s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755881E-001
 1.0001830E+000, 2.0755881E-001
 2.0000366E+000, 2.0755881E-001
 3.0001756E+000, 2.0755881E-001
 4.0002313E+000, 2.0755881E-001
 5.0000423E+000, 2.0755881E-001
 6.0002628E+000, 2.0752334E-001
 7.0001830E+000, 2.0209380E-001
 8.0001300E+000, 1.9667681E-001
 9.0000200E+000, 1.9154819E-001
 1.0000114E+001, 1.8664937E-001
 1.1000223E+001, 1.8203212E-001
 1.2000339E+001, 1.7763814E-001
 1.3000360E+001, 1.7346467E-001
 1.4000160E+001, 1.6945093E-001
 1.5000375E+001, 1.6564760E-001
 1.6000263E+001, 1.6202095E-001
 1.7000216E+001, 1.5854742E-001
 1.8000086E+001, 1.5521787E-001
 1.9000005E+001, 1.5202421E-001
 2.0000232E+001, 1.4896867E-001
 2.1000116E+001, 1.4604417E-001
 2.2000227E+001, 1.4322559E-001
 2.3000363E+001, 1.4049839E-001
 2.4000279E+001, 1.3790785E-001
 2.5000028E+001, 1.3536739E-001
 2.6000306E+001, 1.3294292E-001
 2.7000328E+001, 1.3060560E-001
 2.8000128E+001, 1.2835988E-001
