s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,Time2,Sensor 1 Total,Sensor 2 Total,Sensor 3 Total,Sensor 4 Total,V Sensor 1,V Sensor 2,V Sensor 3,V Sensor 4,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Inlet MF,Test Inlet MF,Test Mid MF,Test Outlet MF,Outlet MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.5475455E-029, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000010E+000, 5.0016245E-001, 4.1783181E-002, 4.4291325E-002, 4.4148962E-002, 4.4149146E-002, 3.7654784E-001, 4.0043771E-001, 3.9907800E-001, 3.9907923E-001, 9.2525708E-006, 9.3669378E-006, 9.3634275E-006, 9.3645228E-006, 9.6228064E-010, 9.4892474E-010, 1.0895338E-009, 1.2470362E-009,-1.2840696E-009
 2.0000046E+000, 1.5000330E+000, 4.6391557E-002, 5.2669450E-002, 4.9690162E-002, 4.9648950E-002, 5.3726887E-001, 6.2120183E-001, 5.9589579E-001, 6.0322127E-001, 2.9662919E-005, 3.1128163E-005, 3.1357725E-005, 3.1380577E-005, 1.9763684E-009, 1.9763700E-009, 1.9469646E-009, 1.9994703E-009,-2.1351274E-009
 3.0000396E+000, 2.5000499E+000, 4.9011478E-002, 5.1277083E-002, 5.7114988E-002, 5.5282664E-002, 5.3008148E-001, 5.6059538E-001, 6.4997391E-001, 6.4623022E-001, 5.3409596E-005, 5.6807144E-005, 5.7234933E-005, 5.6981735E-005, 2.1828214E-009, 2.1791922E-009, 2.0691213E-009, 1.9859063E-009,-2.0931900E-009
 4.0000196E+000, 3.5000576E+000, 4.3295891E-002, 4.7804694E-002, 4.8311170E-002, 4.7510373E-002, 5.4470160E-001, 6.0940883E-001, 6.3707893E-001, 6.4127395E-001, 7.8236327E-005, 8.2524299E-005, 8.3492109E-005, 8.2976386E-005, 2.2128315E-009, 2.2089045E-009, 2.0924855E-009, 1.9711973E-009,-2.0054592E-009
 5.0000341E+000, 4.5000529E+000, 4.5456363E-002, 4.9711215E-002, 5.1001173E-002, 5.1458487E-002, 5.3516307E-001, 5.9036359E-001, 6.2625255E-001, 6.5272395E-001, 1.0222997E-004, 1.0859226E-004, 1.0982106E-004, 1.0905754E-004, 2.2169341E-009, 2.2134516E-009, 2.0953861E-009, 1.9697923E-009,-1.9823774E-009
 6.0000196E+000, 5.5000527E+000, 4.1510109E-002, 4.6248204E-002, 4.5953339E-002, 4.6200118E-002, 5.4244898E-001, 6.1537170E-001, 6.2367193E-001, 6.4717303E-001, 1.2569043E-004, 1.3442436E-004, 1.3606961E-004, 1.3511960E-004, 2.2174901E-009, 2.2143658E-009, 2.0973246E-009, 1.9708672E-009,-1.9746094E-009
 7.0000340E+000, 6.5000523E+000, 4.3672379E-002, 4.2931651E-002, 4.3481919E-002, 4.3345470E-002, 6.1627093E-001, 6.0696847E-001, 6.3398612E-001, 6.5289495E-001, 1.4879406E-004, 1.5996379E-004, 1.6243521E-004, 1.6123879E-004, 2.2175654E-009, 2.2141405E-009, 2.0970220E-009, 1.9732273E-009,-1.9744573E-009
 8.0000105E+000, 7.5000479E+000, 4.6429939E-002, 4.8322508E-002, 4.6870633E-002, 4.6385946E-002, 6.0200034E-001, 6.4387389E-001, 6.3249850E-001, 6.4817561E-001, 1.7249991E-004, 1.8640096E-004, 1.8883115E-004, 1.8734174E-004, 2.2175755E-009, 2.2144414E-009, 2.0978294E-009, 1.9738068E-009,-1.9740333E-009
