s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,Time2,Sensor 1 Total,Sensor 2 Total,Sensor 3 Total,Sensor 4 Total,V Sensor 1,V Sensor 2,V Sensor 3,V Sensor 4,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Inlet MF,Test Inlet MF,Test Mid MF,Test Outlet MF,Outlet MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4202253E-027, 3.7802215E-027, 0.0000000E+000, 0.0000000E+000
 1.0002240E+000, 5.0050700E-001, 1.3830114E-001, 1.3108584E-001, 1.3108477E-001, 1.3109552E-001, 2.0483183E-001, 1.9379405E-001, 1.9379263E-001, 1.9380927E-001, 1.3623348E-005, 1.3494390E-005, 1.3496018E-005, 1.3497656E-005, 6.2549512E-010, 6.0641520E-010, 8.0594854E-010, 1.0001218E-009,-9.9331478E-010
 2.0001929E+000, 1.5003567E+000, 1.9663887E-001, 1.6747320E-001, 1.6629676E-001, 1.6629744E-001, 3.2463477E-001, 2.7819524E-001, 2.7549893E-001, 2.7550031E-001, 4.5514345E-005, 4.1134579E-005, 4.1096157E-005, 4.1099146E-005, 1.2839489E-009, 1.2808972E-009, 1.3829672E-009, 1.4831773E-009,-1.4964713E-009
 3.0002935E+000, 2.5003914E+000, 2.0666016E-001, 1.7638261E-001, 1.7295770E-001, 1.7304005E-001, 3.4194897E-001, 3.0135581E-001, 2.9629114E-001, 2.9572754E-001, 8.3682246E-005, 7.3717707E-005, 7.3236448E-005, 7.3238985E-005, 1.4179795E-009, 1.4202744E-009, 1.3821890E-009, 1.4023118E-009,-1.4524629E-009
 4.0000977E+000, 3.5003437E+000, 2.0506295E-001, 1.7568539E-001, 1.6964666E-001, 1.6897185E-001, 3.3884006E-001, 3.0450629E-001, 2.9988791E-001, 2.9925214E-001, 1.2243876E-004, 1.0675010E-004, 1.0537232E-004, 1.0535029E-004, 1.4374612E-009, 1.4425375E-009, 1.3414059E-009, 1.3433690E-009,-1.4211739E-009
 5.0001982E+000, 4.5002961E+000, 1.9709932E-001, 1.7486272E-001, 1.6646473E-001, 1.6389487E-001, 3.2384334E-001, 3.0405919E-001, 3.0038102E-001, 2.9980845E-001, 1.6000694E-004, 1.3959961E-004, 1.3686327E-004, 1.3654597E-004, 1.4401245E-009, 1.4516421E-009, 1.3153702E-009, 1.2961540E-009,-1.3924266E-009
 6.0000024E+000, 5.5002484E+000, 1.9947687E-001, 1.7497173E-001, 1.6487822E-001, 1.5996287E-001, 3.2832306E-001, 3.0331719E-001, 3.0028560E-001, 2.9987299E-001, 1.9707320E-004, 1.7237751E-004, 1.6788888E-004, 1.6687615E-004, 1.4404855E-009, 1.4499448E-009, 1.3036148E-009, 1.2554408E-009,-1.3618134E-009
 7.0001029E+000, 6.5002008E+000, 2.0570423E-001, 1.7510135E-001, 1.6437464E-001, 1.5757919E-001, 3.4045876E-001, 3.0429326E-001, 3.0027949E-001, 2.9986241E-001, 2.3503678E-004, 2.0520616E-004, 1.9875230E-004, 1.9662182E-004, 1.4405343E-009, 1.4387875E-009, 1.2919550E-009, 1.2160884E-009,-1.3208120E-009
 8.0002034E+000, 7.5003013E+000, 2.1025032E-001, 1.7449746E-001, 1.6373230E-001, 1.5622953E-001, 3.4996028E-001, 3.0534667E-001, 3.0042660E-001, 2.9986815E-001, 2.7409363E-004, 2.3798917E-004, 2.2951967E-004, 2.2603239E-004, 1.4405410E-009, 1.4316381E-009, 1.2797897E-009, 1.1869793E-009,-1.2815876E-009
