s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,Time2,Sensor 1 Total,Sensor 2 Total,Sensor 3 Total,Sensor 4 Total,V Sensor 1,V Sensor 2,V Sensor 3,V Sensor 4,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Inlet MF,Test Inlet MF,Test Mid MF,Test Outlet MF,Outlet MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1651856E-028, 3.7234235E-028, 0.0000000E+000, 0.0000000E+000
 1.0000676E+000, 5.0032508E-001, 6.5209758E-002, 6.1704820E-002, 6.1702525E-002, 6.1708981E-002, 1.9937980E-001, 1.8853985E-001, 1.8853297E-001, 1.8855337E-001, 1.4113823E-005, 1.3869440E-005, 1.3870672E-005, 1.3872428E-005, 1.3268208E-009, 1.2997774E-009, 1.5022399E-009, 1.7126651E-009,-1.7165372E-009
 2.0001346E+000, 1.5001712E+000, 8.0695100E-002, 7.9864276E-002, 7.9068119E-002, 7.8956532E-002, 2.7164430E-001, 2.7271603E-001, 2.7083098E-001, 2.7037113E-001, 4.3543504E-005, 4.2770440E-005, 4.2602976E-005, 4.2600896E-005, 2.7242914E-009, 2.7204052E-009, 2.7792388E-009, 2.8951551E-009,-2.9848792E-009
 3.0000911E+000, 2.5001802E+000, 9.1712273E-002, 8.5644937E-002, 8.3180119E-002, 8.2494474E-002, 3.0950777E-001, 2.9610737E-001, 2.9135175E-001, 2.9118292E-001, 7.9584297E-005, 7.7128769E-005, 7.6358931E-005, 7.6234160E-005, 3.0087972E-009, 3.0150139E-009, 2.9043341E-009, 2.9143441E-009,-3.0390441E-009
 4.0000477E+000, 3.5001368E+000, 8.4859045E-002, 8.5435545E-002, 8.3287886E-002, 8.1653141E-002, 2.8558950E-001, 2.9679624E-001, 2.9650059E-001, 2.9461930E-001, 1.1677178E-004, 1.1276322E-004, 1.1070858E-004, 1.1010309E-004, 3.0501504E-009, 3.0796585E-009, 2.9171417E-009, 2.8448115E-009,-2.9774494E-009
 5.0000043E+000, 4.5000934E+000, 8.2966404E-002, 8.4100749E-002, 8.2740715E-002, 8.0797461E-002, 2.7910203E-001, 2.8969842E-001, 2.9477506E-001, 2.9523213E-001, 1.5202669E-004, 1.4792183E-004, 1.4491407E-004, 1.4358380E-004, 3.0558044E-009, 3.0816311E-009, 2.9139581E-009, 2.7868230E-009,-2.8922335E-009
 6.0000956E+000, 5.5001173E+000, 8.9713544E-002, 8.5206440E-002, 8.3075463E-002, 8.0781216E-002, 3.0255363E-001, 2.9353498E-001, 2.9364903E-001, 2.9466949E-001, 1.8772454E-004, 1.8279919E-004, 1.7909743E-004, 1.7688091E-004, 3.0565707E-009, 3.0742802E-009, 2.9116311E-009, 2.7580121E-009,-2.8234999E-009
 7.0000522E+000, 6.5001413E+000, 9.3568586E-002, 8.6774659E-002, 8.3311162E-002, 8.1111086E-002, 3.1611817E-001, 3.0102819E-001, 2.9609132E-001, 2.9500277E-001, 2.2514258E-004, 2.1841396E-004, 2.1342858E-004, 2.1029650E-004, 3.0566745E-009, 3.0630807E-009, 2.9015240E-009, 2.7445460E-009,-2.7792566E-009
 8.0000087E+000, 7.5000978E+000, 8.8534763E-002, 8.4834283E-002, 8.3193805E-002, 8.0865697E-002, 2.9869125E-001, 2.9268680E-001, 2.9631416E-001, 2.9545822E-001, 2.6167706E-004, 2.5387927E-004, 2.4772205E-004, 2.4369762E-004, 3.0566885E-009, 3.0599120E-009, 2.8912036E-009, 2.7384531E-009,-2.7618222E-009
 9.0001001E+000, 8.5001218E+000, 9.3667759E-002, 8.6427921E-002, 8.3197815E-002, 8.0787557E-002, 3.1665160E-001, 2.9900154E-001, 2.9517105E-001, 2.9498698E-001, 2.9866365E-004, 2.8909505E-004, 2.8195711E-004, 2.7700245E-004, 3.0566904E-009, 3.0582947E-009, 2.8903920E-009, 2.7332948E-009,-2.7512506E-009
 1.0000057E+001, 9.5001457E+000, 9.5032394E-002, 8.6649125E-002, 8.3187367E-002, 8.0915984E-002, 3.2173296E-001, 3.0096967E-001, 2.9646473E-001, 2.9526099E-001, 3.3722215E-004, 3.2480097E-004, 3.1626270E-004, 3.1035908E-004, 3.0566906E-009, 3.0510573E-009, 2.8849658E-009, 2.7276679E-009,-2.7385860E-009
 1.1000013E+001, 1.0500102E+001, 9.4215633E-002, 8.7479590E-002, 8.2932204E-002, 8.0672411E-002, 3.1921991E-001, 3.0549223E-001, 2.9656575E-001, 2.9541425E-001, 3.7675982E-004, 3.6076171E-004, 3.5052148E-004, 3.4366674E-004, 3.0566907E-009, 3.0480143E-009, 2.8783390E-009, 2.7209380E-009,-2.7302371E-009
 1.2000105E+001, 1.1500126E+001, 9.3159970E-002, 8.7268952E-002, 8.2710856E-002, 8.0443436E-002, 3.1514642E-001, 3.0543358E-001, 2.9681839E-001, 2.9554328E-001, 4.1598495E-004, 3.9678152E-004, 3.8471437E-004, 3.7688908E-004, 3.0566907E-009, 3.0523195E-009, 2.8802059E-009, 2.7206184E-009,-2.7272930E-009
 1.3000061E+001, 1.2500150E+001, 9.3111203E-002, 8.6837514E-002, 8.2571686E-002, 8.0271483E-002, 3.1498569E-001, 3.0258494E-001, 2.9630438E-001, 2.9567337E-001, 4.5465582E-004, 4.3257100E-004, 4.1881755E-004, 4.1001334E-004, 3.0566907E-009, 3.0555548E-009, 2.8799600E-009, 2.7223233E-009,-2.7248602E-009
 1.4000018E+001, 1.3500107E+001, 9.4813013E-002, 8.7593160E-002, 8.2867149E-002, 8.0287249E-002, 3.2119535E-001, 3.0580166E-001, 2.9699596E-001, 2.9545294E-001, 4.9397040E-004, 4.6846233E-004, 4.5295983E-004, 4.4309550E-004, 3.0566907E-009, 3.0519845E-009, 2.8819473E-009, 2.7203359E-009,-2.7215199E-009
 1.5000109E+001, 1.4500131E+001, 9.7093692E-002, 8.6698587E-002, 8.2765325E-002, 8.0358736E-002, 3.2878740E-001, 3.0229553E-001, 2.9675057E-001, 2.9557710E-001, 5.3340468E-004, 5.0439915E-004, 4.8711476E-004, 4.7622252E-004, 3.0566907E-009, 3.0506067E-009, 2.8795583E-009, 2.7183406E-009,-2.7175806E-009
 1.6000066E+001, 1.4500131E+001, 7.2468038E-002, 6.4710907E-002, 6.1446713E-002, 5.9599117E-002, 3.3065098E-001, 3.0442499E-001, 2.9699794E-001, 2.9545564E-001, 5.7366159E-004, 5.4034687E-004, 5.2124915E-004, 5.0933055E-004, 3.0566907E-009, 3.0488343E-009, 2.8782595E-009, 2.7184372E-009,-2.7176295E-009
 1.7000022E+001, 1.4500131E+001, 7.1817924E-002, 6.4653787E-002, 6.1430286E-002, 5.9586039E-002, 3.2291700E-001, 3.0233880E-001, 2.9746816E-001, 2.9558235E-001, 6.1319751E-004, 5.7623234E-004, 5.5536648E-004, 5.4242520E-004, 3.0566907E-009, 3.0509441E-009, 2.8766218E-009, 2.7184095E-009,-2.7180084E-009
 1.8000113E+001, 1.4500131E+001, 7.1626757E-002, 6.4692429E-002, 6.1418004E-002, 5.9565894E-002, 3.3343115E-001, 3.0454901E-001, 2.9722074E-001, 2.9544486E-001, 6.5278137E-004, 6.1221880E-004, 5.8947706E-004, 5.7549801E-004, 3.0566907E-009, 3.0531642E-009, 2.8810436E-009, 2.7199306E-009,-2.7203655E-009
 1.9000070E+001, 1.4500131E+001, 7.1707896E-002, 6.4753662E-002, 6.1415447E-002, 5.9561710E-002, 3.2426714E-001, 3.0529386E-001, 2.9748127E-001, 2.9555209E-001, 6.9275260E-004, 6.4829355E-004, 6.2359101E-004, 6.0857943E-004, 3.0566907E-009, 3.0511578E-009, 2.8809184E-009, 2.7185278E-009,-2.7178008E-009
 2.0000027E+001, 1.4500131E+001, 7.1665733E-002, 6.4719824E-002, 6.1402760E-002, 5.9552881E-002, 3.2353168E-001, 3.0372882E-001, 2.9707566E-001, 2.9562197E-001, 7.3247147E-004, 6.8417225E-004, 6.5767398E-004, 6.4164331E-004, 3.0566907E-009, 3.0530469E-009, 2.8788575E-009, 2.7207770E-009,-2.7190749E-009
 2.1000118E+001, 1.4500131E+001, 7.1827306E-002, 6.4744633E-002, 6.1395852E-002, 5.9537131E-002, 3.1738434E-001, 3.0673295E-001, 2.9751713E-001, 2.9549964E-001, 7.7282799E-004, 7.2021369E-004, 6.9176672E-004, 6.7467876E-004, 3.0566907E-009, 3.0481797E-009, 2.8788271E-009, 2.7178795E-009,-2.7174937E-009
 2.2000074E+001, 1.4500131E+001, 7.1920276E-002, 6.4754983E-002, 6.1395205E-002, 5.9533466E-002, 3.4005223E-001, 3.0704896E-001, 2.9722632E-001, 2.9571787E-001, 8.1309187E-004, 7.5622162E-004, 7.2587152E-004, 7.0773926E-004, 3.0566907E-009, 3.0479112E-009, 2.8751970E-009, 2.7161057E-009,-2.7150164E-009
 2.3000031E+001, 1.4500131E+001, 7.1941891E-002, 6.4763074E-002, 6.1388050E-002, 5.9527302E-002, 3.3261989E-001, 3.0416603E-001, 2.9748592E-001, 2.9561082E-001, 8.5314191E-004, 7.9223101E-004, 7.5994669E-004, 7.4078457E-004, 3.0566907E-009, 3.0528263E-009, 2.8785475E-009, 2.7183774E-009,-2.7183416E-009
 2.4000122E+001, 1.4500131E+001, 7.1870339E-002, 6.4749257E-002, 6.1379389E-002, 5.9519713E-002, 3.1366415E-001, 3.0689989E-001, 2.9714292E-001, 2.9558454E-001, 8.9275551E-004, 8.2814469E-004, 7.9401097E-004, 7.7382038E-004, 3.0566907E-009, 3.0534914E-009, 2.8803229E-009, 2.7196873E-009,-2.7194516E-009
 2.5000079E+001, 1.4500131E+001, 7.1644459E-002, 6.4732170E-002, 6.1376339E-002, 5.9514642E-002, 3.2135346E-001, 3.0446874E-001, 2.9670734E-001, 2.9570254E-001, 9.3142684E-004, 8.6402001E-004, 8.2809221E-004, 8.0685727E-004, 3.0566907E-009, 3.0587354E-009, 2.8829335E-009, 2.7226291E-009,-2.7222820E-009
 2.6000035E+001, 1.4500131E+001, 7.1453762E-002, 6.4719572E-002, 6.1380352E-002, 5.9513783E-002, 3.1854902E-001, 3.0081937E-001, 2.9721607E-001, 2.9558064E-001, 9.7006222E-004, 8.9990378E-004, 8.6221322E-004, 8.3991428E-004, 3.0566907E-009, 3.0523923E-009, 2.8827890E-009, 2.7204896E-009,-2.7198716E-009
