s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,Time2,Sensor 1 Total,Sensor 2 Total,Sensor 3 Total,Sensor 4 Total,V Sensor 1,V Sensor 2,V Sensor 3,V Sensor 4,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Inlet MF,Test Inlet MF,Test Mid MF,Test Outlet MF,Outlet MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1823409E-028, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000786E+000, 5.0024589E-001, 9.6623279E-002, 8.7122023E-002, 8.7152208E-002, 8.7148884E-002, 4.2932518E-001, 3.8605835E-001, 3.8619707E-001, 3.8618001E-001, 2.2794378E-005, 2.1812995E-005, 2.1806234E-005, 2.1799390E-005, 1.1535566E-009, 1.1295320E-009, 1.4791941E-009, 1.8278540E-009,-1.8508876E-009
 2.0001202E+000, 1.5001616E+000, 1.3448872E-001, 1.2829996E-001, 1.2574039E-001, 1.2545368E-001, 5.9116383E-001, 5.8477527E-001, 5.8197368E-001, 5.7906448E-001, 7.5511476E-005, 7.2417827E-005, 7.1736378E-005, 7.1673949E-005, 2.3689388E-009, 2.3633030E-009, 2.4101689E-009, 2.5705754E-009,-2.7308362E-009
 3.0000374E+000, 2.5001410E+000, 1.5251828E-001, 1.3523593E-001, 1.2828792E-001, 1.2503678E-001, 6.7538018E-001, 6.3495207E-001, 6.2291333E-001, 6.2004333E-001, 1.4114780E-004, 1.3178582E-004, 1.2885730E-004, 1.2808271E-004, 2.6163359E-009, 2.6242580E-009, 2.3939899E-009, 2.3737212E-009,-2.5974809E-009
 4.0000790E+000, 3.5001203E+000, 1.4339345E-001, 1.3441554E-001, 1.2563596E-001, 1.2070413E-001, 6.2997903E-001, 6.3019557E-001, 6.2740512E-001, 6.2673752E-001, 2.0623044E-004, 1.9198480E-004, 1.8558014E-004, 1.8293453E-004, 2.6522976E-009, 2.7099416E-009, 2.4060162E-009, 2.2369751E-009,-2.4598444E-009
 5.0001205E+000, 4.5001619E+000, 1.5713534E-001, 1.3588281E-001, 1.2606961E-001, 1.1928642E-001, 6.9721775E-001, 6.4348366E-001, 6.3063543E-001, 6.2743884E-001, 2.7306222E-004, 2.5237254E-004, 2.4186492E-004, 2.3634440E-004, 2.6572145E-009, 2.7018163E-009, 2.4097683E-009, 2.1564433E-009,-2.3025021E-009
 6.0000377E+000, 5.5001413E+000, 1.5374872E-001, 1.3548449E-001, 1.2495145E-001, 1.1843231E-001, 6.8117756E-001, 6.4826658E-001, 6.3264523E-001, 6.2775484E-001, 3.4340610E-004, 3.1314347E-004, 2.9794585E-004, 2.8937985E-004, 2.6578808E-009, 2.6740730E-009, 2.3859019E-009, 2.1182308E-009,-2.1902962E-009
 7.0000793E+000, 6.5001207E+000, 1.6062487E-001, 1.3666343E-001, 1.2479985E-001, 1.1735708E-001, 7.1442405E-001, 6.5361875E-001, 6.3080909E-001, 6.2783751E-001, 4.1326764E-004, 3.7364264E-004, 3.5364128E-004, 3.4198830E-004, 2.6579710E-009, 2.6757174E-009, 2.3694753E-009, 2.1104817E-009,-2.1496812E-009
 8.0001209E+000, 7.5001623E+000, 1.6005349E-001, 1.3575591E-001, 1.2437020E-001, 1.1726075E-001, 7.1323249E-001, 6.5236062E-001, 6.3318889E-001, 6.2801223E-001, 4.8424283E-004, 4.3440494E-004, 4.0934754E-004, 3.9442389E-004, 2.6579832E-009, 2.6621117E-009, 2.3627509E-009, 2.0931536E-009,-2.1218131E-009
 9.0000381E+000, 8.5001417E+000, 1.5771791E-001, 1.3581294E-001, 1.2404188E-001, 1.1675889E-001, 7.0336032E-001, 6.5272148E-001, 6.3305127E-001, 6.2813653E-001, 5.5521679E-004, 4.9501323E-004, 4.6480543E-004, 4.4666627E-004, 2.6579848E-009, 2.6554507E-009, 2.3497973E-009, 2.0849145E-009,-2.1034810E-009
 1.0000080E+001, 9.5001211E+000, 1.5973048E-001, 1.3563358E-001, 1.2406700E-001, 1.1658911E-001, 7.1225571E-001, 6.5248697E-001, 6.3332145E-001, 6.2817423E-001, 6.2628108E-004, 5.5568929E-004, 5.2022417E-004, 4.9876541E-004, 2.6579851E-009, 2.6497829E-009, 2.3413185E-009, 2.0743729E-009,-2.0892699E-009
 1.1000121E+001, 1.0500163E+001, 1.5300610E-001, 1.3514732E-001, 1.2391078E-001, 1.1650580E-001, 6.8083914E-001, 6.4914517E-001, 6.3329500E-001, 6.2819098E-001, 6.9643246E-004, 6.1632217E-004, 5.7560390E-004, 5.5081971E-004, 2.6579851E-009, 2.6594905E-009, 2.3434842E-009, 2.0732596E-009,-2.0850165E-009
 1.2000039E+001, 1.1500142E+001, 1.5637011E-001, 1.3568841E-001, 1.2417151E-001, 1.1657344E-001, 6.9625345E-001, 6.4797070E-001, 6.3183328E-001, 6.2801479E-001, 7.6500853E-004, 6.7689067E-004, 6.3100288E-004, 6.0283749E-004, 2.6579851E-009, 2.6604013E-009, 2.3478597E-009, 2.0744616E-009,-2.0829723E-009
 1.3000080E+001, 1.2500121E+001, 1.5904938E-001, 1.3689354E-001, 1.2445561E-001, 1.1701635E-001, 7.1024862E-001, 6.5639488E-001, 6.3205400E-001, 6.2804140E-001, 8.3390600E-004, 7.3763854E-004, 6.8659041E-004, 6.5498841E-004, 2.6579851E-009, 2.6562615E-009, 2.3473203E-009, 2.0725931E-009,-2.0774135E-009
 1.4000122E+001, 1.3500163E+001, 1.5422811E-001, 1.3640877E-001, 1.2453308E-001, 1.1697882E-001, 6.8795786E-001, 6.5556578E-001, 6.3349551E-001, 6.2784521E-001, 9.0367347E-004, 7.9842477E-004, 7.4223496E-004, 7.0724986E-004, 2.6579851E-009, 2.6477998E-009, 2.3404076E-009, 2.0686338E-009,-2.0716551E-009
 1.5000039E+001, 1.4500142E+001, 1.4970555E-001, 1.3527868E-001, 1.2428710E-001, 1.1684447E-001, 6.6399362E-001, 6.4637082E-001, 6.3235187E-001, 6.2797997E-001, 9.7221849E-004, 8.5911648E-004, 7.9779081E-004, 7.5948730E-004, 2.6579851E-009, 2.6486383E-009, 2.3352067E-009, 2.0664041E-009,-2.0704283E-009
 1.6000080E+001, 1.4500142E+001, 1.1836854E-001, 1.0852556E-001, 1.0012287E-001, 9.3942332E-002, 6.5127609E-001, 6.2894895E-001, 6.3063531E-001, 6.2791218E-001, 1.0379798E-003, 9.1940948E-004, 8.5341560E-004, 8.1167838E-004, 2.6579851E-009, 2.6509608E-009, 2.3341501E-009, 2.0648081E-009,-2.0700484E-009
 1.7000122E+001, 1.4500142E+001, 1.1916872E-001, 1.0856983E-001, 1.0056788E-001, 9.4180764E-002, 6.7850985E-001, 6.4002598E-001, 6.2879866E-001, 6.2685636E-001, 1.1046320E-003, 9.7975315E-004, 9.0953623E-004, 8.6413569E-004, 2.6579851E-009, 2.6612148E-009, 2.3436537E-009, 2.0677445E-009,-2.0732820E-009
 1.8000039E+001, 1.4500142E+001, 1.2095565E-001, 1.0902301E-001, 1.0084212E-001, 9.4567080E-002, 7.0152317E-001, 6.5532324E-001, 6.3111987E-001, 6.2753619E-001, 1.1738097E-003, 1.0408201E-003, 9.6585972E-004, 9.1709788E-004, 2.6579851E-009, 2.6520087E-009, 2.3480655E-009, 2.0682988E-009,-2.0724079E-009
 1.9000081E+001, 1.4500142E+001, 1.2198976E-001, 1.0915802E-001, 1.0079560E-001, 9.4678561E-002, 6.7177288E-001, 6.5331477E-001, 6.3283622E-001, 6.2823790E-001, 1.2433082E-003, 1.1016909E-003, 1.0217821E-003, 9.6988508E-004, 2.6579851E-009, 2.6499458E-009, 2.3441377E-009, 2.0693721E-009,-2.0714036E-009
 2.0000122E+001, 1.4500142E+001, 1.2269160E-001, 1.0921364E-001, 1.0064011E-001, 9.4582798E-002, 7.2093168E-001, 6.5649859E-001, 6.3320509E-001, 6.2810995E-001, 1.3130327E-003, 1.1624913E-003, 1.0773500E-003, 1.0222204E-003, 2.6579851E-009, 2.6499136E-009, 2.3389321E-009, 2.0697028E-009,-2.0691039E-009
 2.1000040E+001, 1.4500142E+001, 1.2310741E-001, 1.0921085E-001, 1.0051416E-001, 9.4478984E-002, 6.9107907E-001, 6.5253812E-001, 6.3296556E-001, 6.2792425E-001, 1.3825751E-003, 1.2231512E-003, 1.1328367E-003, 1.0744160E-003, 2.6579851E-009, 2.6505301E-009, 2.3392110E-009, 2.0673211E-009,-2.0660220E-009
 2.2000081E+001, 1.4500142E+001, 1.2338087E-001, 1.0922117E-001, 1.0041229E-001, 9.4380559E-002, 6.9752201E-001, 6.5460448E-001, 6.3253110E-001, 6.2802616E-001, 1.4520344E-003, 1.2838666E-003, 1.1882841E-003, 1.1265238E-003, 2.6579851E-009, 2.6502674E-009, 2.3381638E-009, 2.0661634E-009,-2.0656763E-009
