s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,"Time2","Sensor 1 Total","Sensor 2 Total","Sensor 3 Total","Sensor 4 Total","V Sensor 1","V Sensor 2","V Sensor 3","V Sensor 4","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Inlet MF","Test Inlet MF","Test Mid MF","Test Outlet MF","Outlet MF"
 1.5000012E+001, 1.4500103E+001, 8.3734826E-002, 7.4223686E-002, 6.9989684E-002, 6.7835031E-002, 3.2090104E-001, 2.9393707E-001, 2.8398970E-001, 2.8155283E-001, 4.7452819E-004, 4.3920782E-004, 4.2289491E-004, 4.1341627E-004, 2.7721749E-009, 2.7671960E-009, 2.6161070E-009, 2.4777721E-009,-2.4773690E-009
 1.6000093E+001, 1.4500103E+001, 6.3657951E-002, 5.6121587E-002, 5.3158868E-002, 5.1594682E-002, 3.1496034E-001, 2.9122039E-001, 2.8334111E-001, 2.8171140E-001, 5.0989548E-004, 4.7038801E-004, 4.5242908E-004, 4.4208141E-004, 2.7721749E-009, 2.7681805E-009, 2.6154197E-009, 2.4782666E-009,-2.4775352E-009
 1.7000042E+001, 1.4500103E+001, 6.3238424E-002, 5.6142995E-002, 5.3178983E-002, 5.1578144E-002, 3.1011456E-001, 2.9297657E-001, 2.8328985E-001, 2.8149538E-001, 5.4479306E-004, 5.0158889E-004, 4.8198265E-004, 4.7072530E-004, 2.7721749E-009, 2.7696460E-009, 2.6178678E-009, 2.4782003E-009,-2.4780407E-009
 1.8000124E+001, 1.4500103E+001, 6.3098658E-002, 5.6129347E-002, 5.3194593E-002, 5.1586424E-002, 3.2462630E-001, 2.9222986E-001, 2.8326818E-001, 2.8169642E-001, 5.7969540E-004, 5.3275922E-004, 5.1155494E-004, 4.9939595E-004, 2.7721749E-009, 2.7677808E-009, 2.6173472E-009, 2.4786045E-009,-2.4778558E-009
 1.9000073E+001, 1.4500103E+001, 6.2941115E-002, 5.6151696E-002, 5.3214639E-002, 5.1599048E-002, 3.1849456E-001, 2.9056953E-001, 2.8390393E-001, 2.8148060E-001, 6.1439834E-004, 5.6399029E-004, 5.4115056E-004, 5.2808169E-004, 2.7721749E-009, 2.7688262E-009, 2.6176273E-009, 2.4776638E-009,-2.4774658E-009
 2.0000023E+001, 1.4500103E+001, 6.3029826E-002, 5.6176096E-002, 5.3219695E-002, 5.1608124E-002, 3.1843008E-001, 2.9296910E-001, 2.8317887E-001, 2.8138771E-001, 6.4961029E-004, 5.9525189E-004, 5.7072680E-004, 5.5677160E-004, 2.7721749E-009, 2.7673550E-009, 2.6170704E-009, 2.4784780E-009,-2.4776910E-009
 2.1000104E+001, 1.4500103E+001, 6.3100802E-002, 5.6198193E-002, 5.3226560E-002, 5.1616341E-002, 3.0977651E-001, 2.9229532E-001, 2.8384946E-001, 2.8158426E-001, 6.8486630E-004, 6.2653702E-004, 6.0031858E-004, 5.8547249E-004, 2.7721749E-009, 2.7663864E-009, 2.6163293E-009, 2.4769313E-009,-2.4768625E-009
 2.2000054E+001, 1.4500103E+001, 6.3092150E-002, 5.6193153E-002, 5.3226788E-002, 5.1618658E-002, 3.2149725E-001, 2.9102979E-001, 2.8356626E-001, 2.8160797E-001, 7.1988689E-004, 6.5773707E-004, 6.2988829E-004, 6.1415581E-004, 2.7721749E-009, 2.7680356E-009, 2.6163654E-009, 2.4781419E-009,-2.4776961E-009
 2.3000004E+001, 1.4500103E+001, 6.3152404E-002, 5.6212060E-002, 5.3225133E-002, 5.1617584E-002, 3.2376448E-001, 2.9407245E-001, 2.8330293E-001, 2.8155146E-001, 7.5520412E-004, 6.8903795E-004, 6.5944989E-004, 6.4282662E-004, 2.7721749E-009, 2.7683223E-009, 2.6185972E-009, 2.4791256E-009,-2.4789424E-009
 2.4000085E+001, 1.4500103E+001, 6.3172105E-002, 5.6209702E-002, 5.3225581E-002, 5.1618794E-002, 3.0843153E-001, 2.9126071E-001, 2.8319706E-001, 2.8171111E-001, 7.9039014E-004, 7.2025761E-004, 6.8902405E-004, 6.7151144E-004, 2.7721749E-009, 2.7676316E-009, 2.6155870E-009, 2.4772938E-009,-2.4767566E-009
 2.5000034E+001, 1.4500103E+001, 6.3172329E-002, 5.6216581E-002, 5.3224772E-002, 5.1615880E-002, 3.2287453E-001, 2.9154595E-001, 2.8358372E-001, 2.8151282E-001, 8.2548523E-004, 7.5152187E-004, 7.1858783E-004, 7.0017092E-004, 2.7721749E-009, 2.7682341E-009, 2.6180099E-009, 2.4786194E-009,-2.4784474E-009
 2.6000116E+001, 1.4500103E+001, 6.3143351E-002, 5.6210909E-002, 5.3223717E-002, 5.1615201E-002, 3.0593918E-001, 2.9060756E-001, 2.8353147E-001, 2.8158564E-001, 8.6040673E-004, 7.8272118E-004, 7.4815310E-004, 7.2884458E-004, 2.7721749E-009, 2.7683374E-009, 2.6156011E-009, 2.4773882E-009,-2.4767970E-009
 2.7000065E+001, 1.4500103E+001, 6.3140242E-002, 5.6207406E-002, 5.3223623E-002, 5.1614197E-002, 3.1457094E-001, 2.9136742E-001, 2.8322441E-001, 2.8154011E-001, 8.9546388E-004, 8.1392454E-004, 7.7771972E-004, 7.5751156E-004, 2.7721749E-009, 2.7675501E-009, 2.6173151E-009, 2.4784998E-009,-2.4783086E-009
 2.8000015E+001, 1.4500103E+001, 6.3096990E-002, 5.6200281E-002, 5.3227304E-002, 5.1616522E-002, 3.1460594E-001, 2.9180549E-001, 2.8355490E-001, 2.8160051E-001, 9.3022764E-004, 8.4509785E-004, 8.0731349E-004, 7.8620146E-004, 2.7721749E-009, 2.7692925E-009, 2.6170505E-009, 2.4781632E-009,-2.4781413E-009
 2.9000096E+001, 1.4500103E+001, 6.3143640E-002, 5.6208456E-002, 5.3230926E-002, 5.1620413E-002, 3.1810426E-001, 2.9177926E-001, 2.8327544E-001, 2.8155352E-001, 9.6564721E-004, 8.7638634E-004, 8.3691479E-004, 8.1490989E-004, 2.7721749E-009, 2.7674737E-009, 2.6182531E-009, 2.4776319E-009,-2.4778482E-009
 3.0000000E+001, 1.4500103E+001, 6.3144883E-002, 5.6210214E-002, 5.3233023E-002, 5.1623687E-002, 3.2861879E-001, 2.9186335E-001, 2.8359412E-001, 2.8150297E-001, 1.0007340E-003, 9.0762491E-004, 8.6650216E-004, 8.4361243E-004, 2.7721749E-009, 2.7673059E-009, 2.6167321E-009, 2.4783616E-009,-2.4778009E-009
