s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,"Time2","Sensor 1 Total","Sensor 2 Total","Sensor 3 Total","Sensor 4 Total","V Sensor 1","V Sensor 2","V Sensor 3","V Sensor 4","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Inlet MF","Test Inlet MF","Test Mid MF","Test Outlet MF","Outlet MF"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2282945E-028,-8.9299054E-028, 0.0000000E+000, 0.0000000E+000
 1.0002097E+000, 5.0050942E-001, 1.4635049E-001, 1.3896946E-001, 1.3896792E-001, 1.3897795E-001, 1.9705023E-001, 1.8680267E-001, 1.8680071E-001, 1.8681480E-001, 1.4289675E-005, 1.4161072E-005, 1.4162556E-005, 1.4163944E-005, 6.7450932E-010, 6.5443484E-010, 8.5659205E-010, 1.0534366E-009,-1.0454659E-009
 2.0000957E+000, 1.5003039E+000, 2.0683915E-001, 1.7553141E-001, 1.7429252E-001, 1.7429333E-001, 3.1012772E-001, 2.6463091E-001, 2.6213731E-001, 2.6213871E-001, 4.7201882E-005, 4.2668155E-005, 4.2631223E-005, 4.2633936E-005, 1.3845390E-009, 1.3810465E-009, 1.4850619E-009, 1.5872908E-009,-1.5984925E-009
 3.0001830E+000, 2.5002905E+000, 2.1744889E-001, 1.8505140E-001, 1.8135127E-001, 1.8147812E-001, 3.2673790E-001, 2.8660044E-001, 2.8145762E-001, 2.8104828E-001, 8.6579674E-005, 7.6158290E-005, 7.5656707E-005, 7.5656104E-005, 1.5290799E-009, 1.5291615E-009, 1.4914265E-009, 1.5120283E-009,-1.5613795E-009
 4.0002702E+000, 3.5003777E+000, 2.1615271E-001, 1.8435671E-001, 1.7801078E-001, 1.7739595E-001, 3.2427726E-001, 2.8943144E-001, 2.8473529E-001, 2.8413840E-001, 1.2652510E-004, 1.1014058E-004, 1.0871734E-004, 1.0868816E-004, 1.5500927E-009, 1.5572905E-009, 1.4511297E-009, 1.4535873E-009,-1.5318163E-009
 5.0000552E+000, 4.5003138E+000, 2.0923207E-001, 1.8353363E-001, 1.7487230E-001, 1.7230509E-001, 3.1250926E-001, 2.8928483E-001, 2.8523744E-001, 2.8465100E-001, 1.6559339E-004, 1.4393053E-004, 1.4112506E-004, 1.4081345E-004, 1.5529648E-009, 1.5622198E-009, 1.4235611E-009, 1.4044988E-009,-1.5019299E-009
 6.0001424E+000, 5.5002499E+000, 2.1019828E-001, 1.8353774E-001, 1.7316657E-001, 1.6834706E-001, 3.1416714E-001, 2.8861335E-001, 2.8521764E-001, 2.8470329E-001, 2.0405286E-004, 1.7766005E-004, 1.7309151E-004, 1.7210323E-004, 1.5533540E-009, 1.5624949E-009, 1.4105889E-009, 1.3623466E-009,-1.4708197E-009
 7.0002296E+000, 6.5003371E+000, 2.1522013E-001, 1.8369638E-001, 1.7259092E-001, 1.6585256E-001, 3.2311243E-001, 2.8916394E-001, 2.8518568E-001, 2.8470022E-001, 2.4311336E-004, 2.1141756E-004, 2.0486517E-004, 2.0279940E-004, 1.5534067E-009, 1.5523291E-009, 1.3992299E-009, 1.3223663E-009,-1.4300571E-009
 8.0000146E+000, 7.5002732E+000, 2.1988647E-001, 1.8328753E-001, 1.7209121E-001, 1.6445528E-001, 3.3181875E-001, 2.9005503E-001, 2.8528171E-001, 2.8470248E-001, 2.8314374E-004, 2.4514925E-004, 2.3654209E-004, 2.3314026E-004, 1.5534139E-009, 1.5451245E-009, 1.3879934E-009, 1.2920475E-009,-1.3902339E-009
 9.0001018E+000, 8.5002093E+000, 2.1907439E-001, 1.8251942E-001, 1.7123670E-001, 1.6343800E-001, 3.3139196E-001, 2.9046565E-001, 2.8537135E-001, 2.8471194E-001, 3.2359980E-004, 2.7877352E-004, 2.6810371E-004, 2.6327760E-004, 1.5534148E-009, 1.5420626E-009, 1.3782000E-009, 1.2720747E-009,-1.3569184E-009
 1.0000189E+001, 9.5002965E+000, 2.1256756E-001, 1.8214771E-001, 1.7038681E-001, 1.6243934E-001, 3.2187733E-001, 2.8987623E-001, 2.8538311E-001, 2.8471818E-001, 3.6334338E-004, 3.1228132E-004, 2.9949928E-004, 2.9323093E-004, 1.5534150E-009, 1.5446136E-009, 1.3728934E-009, 1.2591146E-009,-1.3313945E-009
 1.1000276E+001, 1.0500384E+001, 2.0379299E-001, 1.8224521E-001, 1.7028650E-001, 1.6162229E-001, 3.0592933E-001, 2.8819252E-001, 2.8525336E-001, 2.8471714E-001, 4.0139411E-004, 3.4577674E-004, 3.3079644E-004, 3.2301168E-004, 1.5534150E-009, 1.5679796E-009, 1.3825373E-009, 1.2587305E-009,-1.3213261E-009
 1.2000061E+001, 1.1500320E+001, 2.0730418E-001, 1.8311227E-001, 1.7094130E-001, 1.6138659E-001, 3.0993879E-001, 2.8782592E-001, 2.8504247E-001, 2.8469939E-001, 4.3906924E-004, 3.7932200E-004, 3.6214837E-004, 3.5268114E-004, 1.5534150E-009, 1.5636002E-009, 1.3882403E-009, 1.2535082E-009,-1.3062534E-009
 1.3000148E+001, 1.2500256E+001, 2.1710017E-001, 1.8352554E-001, 1.7159033E-001, 1.6167890E-001, 3.2653526E-001, 2.8911787E-001, 2.8512434E-001, 2.8468765E-001, 4.7814021E-004, 4.1304933E-004, 3.9363846E-004, 3.8237312E-004, 1.5534150E-009, 1.5499550E-009, 1.3857579E-009, 1.2445615E-009,-1.2858963E-009
 1.4000236E+001, 1.3500343E+001, 2.2240729E-001, 1.8295183E-001, 1.7136568E-001, 1.6197287E-001, 3.3612753E-001, 2.9044027E-001, 2.8529803E-001, 2.8469973E-001, 5.1860261E-004, 4.4675193E-004, 4.2517694E-004, 4.1212655E-004, 1.5534150E-009, 1.5409166E-009, 1.3761705E-009, 1.2369235E-009,-1.2671210E-009
 1.5000021E+001, 1.4500279E+001, 2.2363802E-001, 1.8206189E-001, 1.7046074E-001, 1.6178030E-001, 3.3882853E-001, 2.9087328E-001, 2.8541281E-001, 2.8471554E-001, 5.5965440E-004, 4.8029016E-004, 4.5659285E-004, 4.4188411E-004, 1.5534150E-009, 1.5400378E-009, 1.3692194E-009, 1.2349976E-009,-1.2571925E-009
 1.6000108E+001, 1.4500279E+001, 7.3511522E-002, 6.0144482E-002, 5.6258439E-002, 5.3442633E-002, 3.3278710E-001, 2.9080762E-001, 2.8543274E-001, 2.8472105E-001, 6.0048935E-004, 5.1369991E-004, 4.8784392E-004, 4.7157103E-004, 1.5534150E-009, 1.5395477E-009, 1.3660215E-009, 1.2331580E-009,-1.2514973E-009
