s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,Time2,Sensor 1 Total,Sensor 2 Total,Sensor 3 Total,Sensor 4 Total,V Sensor 1,V Sensor 2,V Sensor 3,V Sensor 4,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Inlet MF,Test Inlet MF,Test Mid MF,Test Outlet MF,Outlet MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4104833E-027,-5.9953429E-029, 0.0000000E+000, 0.0000000E+000
 1.0001213E+000, 5.0026847E-001, 1.0930011E-001, 9.9304820E-002, 9.9302013E-002, 9.9310035E-002, 4.4525459E-001, 4.0355257E-001, 4.0354156E-001, 4.0357651E-001, 2.5150564E-005, 2.4175274E-005, 2.4176691E-005, 2.4179799E-005, 1.2232108E-009, 1.1980526E-009, 1.5512790E-009, 1.9081076E-009,-1.9313683E-009
 2.0000368E+000, 1.5001432E+000, 1.5123230E-001, 1.4449074E-001, 1.4150018E-001, 1.4090461E-001, 6.0861375E-001, 6.0307512E-001, 5.9957388E-001, 5.9552977E-001, 8.2926097E-005, 7.9568551E-005, 7.8873357E-005, 7.8831995E-005, 2.5118932E-009, 2.5059991E-009, 2.5509640E-009, 2.7137119E-009,-2.8793109E-009
 3.0000805E+000, 2.5001228E+000, 1.7201604E-001, 1.5182768E-001, 1.4411293E-001, 1.4050207E-001, 6.9762189E-001, 6.5214723E-001, 6.3958862E-001, 6.3698481E-001, 1.5450003E-004, 1.4427427E-004, 1.4113447E-004, 1.4031918E-004, 2.7742167E-009, 2.7811621E-009, 2.5401476E-009, 2.5189473E-009,-2.7501614E-009
 4.0000727E+000, 3.5001366E+000, 1.4744380E-001, 1.3584219E-001, 1.2705289E-001, 1.2226176E-001, 6.6024591E-001, 6.4656744E-001, 6.4410347E-001, 6.4365716E-001, 2.2553658E-004, 2.0982000E-004, 2.0295772E-004, 2.0013920E-004, 2.8123521E-009, 2.8712890E-009, 2.5516970E-009, 2.3770358E-009,-2.6079755E-009
 5.0000648E+000, 4.5001265E+000, 1.5750252E-001, 1.3707343E-001, 1.2742756E-001, 1.2095375E-001, 7.1007966E-001, 6.5998459E-001, 6.4692826E-001, 6.4425912E-001, 2.9864726E-004, 2.7561741E-004, 2.6434147E-004, 2.5845305E-004, 2.8175654E-009, 2.8615474E-009, 2.5569022E-009, 2.2921295E-009,-2.4448740E-009
 6.0000569E+000, 5.5001185E+000, 1.5531116E-001, 1.3688778E-001, 1.2648210E-001, 1.1994506E-001, 6.9958389E-001, 6.6407949E-001, 6.4926458E-001, 6.4447246E-001, 3.7502160E-004, 3.4166614E-004, 3.2545645E-004, 3.1640005E-004, 2.8182719E-009, 2.8359658E-009, 2.5314154E-009, 2.2546916E-009,-2.3298176E-009
 7.0000489E+000, 6.5001106E+000, 1.6248028E-001, 1.3787976E-001, 1.2643429E-001, 1.1907127E-001, 7.3689398E-001, 6.7015531E-001, 6.4778214E-001, 6.4477498E-001, 4.5175984E-004, 4.0755249E-004, 3.8621802E-004, 3.7388411E-004, 2.8183675E-009, 2.8361226E-009, 2.5163492E-009, 2.2456316E-009,-2.2870747E-009
 8.0000410E+000, 7.5001027E+000, 1.6060735E-001, 1.3672475E-001, 1.2568180E-001, 1.1896157E-001, 7.2718523E-001, 6.6960330E-001, 6.5013297E-001, 6.4488909E-001, 5.2966558E-004, 4.7368123E-004, 4.4695182E-004, 4.3121256E-004, 2.8183805E-009, 2.8190415E-009, 2.5101140E-009, 2.2275581E-009,-2.2562525E-009
 9.0000331E+000, 8.5000947E+000, 1.6134996E-001, 1.3709234E-001, 1.2544157E-001, 1.1817866E-001, 7.3129086E-001, 6.6944587E-001, 6.4925525E-001, 6.4497404E-001, 6.0714891E-004, 5.3952882E-004, 5.0731607E-004, 4.8826128E-004, 2.8183822E-009, 2.8201096E-009, 2.4950414E-009, 2.2234135E-009,-2.2410626E-009
 1.0000025E+001, 9.5000868E+000, 1.6152157E-001, 1.3704403E-001, 1.2545370E-001, 1.1821057E-001, 7.3265872E-001, 6.7080949E-001, 6.4972814E-001, 6.4491089E-001, 6.8510852E-004, 6.0550907E-004, 5.6771699E-004, 5.4515011E-004, 2.8183825E-009, 2.8153002E-009, 2.4943718E-009, 2.2132816E-009,-2.2290800E-009
