s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,Time2,Sensor 1 Total,Sensor 2 Total,Sensor 3 Total,Sensor 4 Total,V Sensor 1,V Sensor 2,V Sensor 3,V Sensor 4,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Inlet MF,Test Inlet MF,Test Mid MF,Test Outlet MF,Outlet MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4041724E-027, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000299E+000, 5.0030288E-001, 6.2620750E-002, 5.9273116E-002, 5.9271066E-002, 5.9277212E-002, 2.0248758E-001, 1.9152966E-001, 1.9152318E-001, 1.9154374E-001, 1.3645453E-005, 1.3406787E-005, 1.3408002E-005, 1.3409753E-005, 1.2710804E-009, 1.2451236E-009, 1.4499101E-009, 1.6568116E-009,-1.6612248E-009
 2.0000728E+000, 1.5001210E+000, 7.7783052E-002, 7.7131340E-002, 7.6453103E-002, 7.6354012E-002, 2.7696295E-001, 2.7869899E-001, 2.7715481E-001, 2.7670836E-001, 4.2298236E-005, 4.1639474E-005, 4.1479442E-005, 4.1477455E-005, 2.6099074E-009, 2.6061830E-009, 2.6649024E-009, 2.7803439E-009,-2.8694920E-009
 3.0001095E+000, 2.5001577E+000, 8.8813859E-002, 8.2815543E-002, 8.0422449E-002, 7.9749419E-002, 3.1711285E-001, 3.0311983E-001, 2.9829804E-001, 2.9815717E-001, 7.7478019E-005, 7.5259895E-005, 7.4522617E-005, 7.4401073E-005, 2.8824952E-009, 2.8888366E-009, 2.7811322E-009, 2.7907569E-009,-2.9138493E-009
 4.0000131E+000, 3.5001278E+000, 8.3079822E-002, 8.2626598E-002, 8.0507746E-002, 7.8875617E-002, 2.9589223E-001, 3.0395183E-001, 3.0365461E-001, 3.0159776E-001, 1.1368997E-004, 1.1014302E-004, 1.0813522E-004, 1.0753784E-004, 2.9221157E-009, 2.9504306E-009, 2.7934196E-009, 2.7211756E-009,-2.8515930E-009
 5.0000497E+000, 4.5000980E+000, 8.2701110E-002, 8.1966714E-002, 7.9992760E-002, 7.8021375E-002, 2.9436228E-001, 2.9919866E-001, 3.0172181E-001, 3.0220946E-001, 1.4788310E-004, 1.4447917E-004, 1.4159746E-004, 1.4027856E-004, 2.9275324E-009, 2.9540327E-009, 2.7909148E-009, 2.6651848E-009,-2.7678004E-009
 6.0000864E+000, 5.5001346E+000, 8.7684328E-002, 8.2317672E-002, 8.0331466E-002, 7.8084830E-002, 3.1290224E-001, 3.0007637E-001, 3.0151106E-001, 3.0189663E-001, 1.8246175E-004, 1.7879107E-004, 1.7505643E-004, 1.7283609E-004, 2.9282665E-009, 2.9444613E-009, 2.7865500E-009, 2.6361444E-009,-2.6993922E-009
 7.0001231E+000, 6.5001713E+000, 8.5881630E-002, 8.3325911E-002, 8.0563362E-002, 7.8297811E-002, 3.0654960E-001, 3.0596493E-001, 3.0310291E-001, 3.0203997E-001, 2.1897481E-004, 2.1363778E-004, 2.0861831E-004, 2.0548396E-004, 2.9283659E-009, 2.9351442E-009, 2.7769571E-009, 2.6232365E-009,-2.6572660E-009
 8.0000267E+000, 7.5001414E+000, 8.5578444E-002, 8.2996769E-002, 8.0225570E-002, 7.8078084E-002, 3.0570549E-001, 3.0377538E-001, 3.0235016E-001, 3.0250466E-001, 2.5455214E-004, 2.4824065E-004, 2.4216964E-004, 2.3813648E-004, 2.9283794E-009, 2.9346917E-009, 2.7703241E-009, 2.6191473E-009,-2.6417422E-009
