s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,Time2,Sensor 1 Total,Sensor 2 Total,Sensor 3 Total,Sensor 4 Total,V Sensor 1,V Sensor 2,V Sensor 3,V Sensor 4,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Inlet MF,Test Inlet MF,Test Mid MF,Test Outlet MF,Outlet MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9995248E-028, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000278E+000, 5.0017675E-001, 4.0858264E-002, 4.2743323E-002, 4.2575230E-002, 4.2575395E-002, 3.8383954E-001, 4.0281106E-001, 4.0114944E-001, 4.0115059E-001, 9.8748244E-006, 9.9328791E-006, 9.9287171E-006, 9.9297967E-006, 1.0049644E-009, 9.9125604E-010, 1.1291571E-009, 1.2842520E-009,-1.3204233E-009
 2.0000380E+000, 1.5000632E+000, 4.9714442E-002, 5.1640248E-002, 5.3802007E-002, 5.3197499E-002, 5.3093491E-001, 5.5629046E-001, 5.9663469E-001, 5.9630811E-001, 3.1384155E-005, 3.2653762E-005, 3.2751054E-005, 3.2728420E-005, 2.0640021E-009, 2.0631140E-009, 2.0298186E-009, 2.0809805E-009,-2.2166461E-009
 3.0000397E+000, 2.5000670E+000, 4.7827084E-002, 5.6019119E-002, 5.7328672E-002, 5.6020972E-002, 5.0564068E-001, 6.0100174E-001, 6.3783985E-001, 6.3927825E-001, 5.6247035E-005, 5.9299859E-005, 5.9448197E-005, 5.9100091E-005, 2.2795958E-009, 2.2755865E-009, 2.1602838E-009, 2.0750307E-009,-2.1832312E-009
 4.0000374E+000, 3.5000674E+000, 5.2022091E-002, 5.6108172E-002, 5.7582831E-002, 5.6375575E-002, 5.4549243E-001, 5.9628561E-001, 6.3062917E-001, 6.3521311E-001, 8.0998993E-005, 8.5833289E-005, 8.6513792E-005, 8.5903488E-005, 2.3109348E-009, 2.3072017E-009, 2.1866804E-009, 2.0576708E-009,-2.0948595E-009
 5.0000244E+000, 4.5000575E+000, 4.4020398E-002, 4.7894126E-002, 5.0006496E-002, 4.8727544E-002, 5.3641668E-001, 5.9255032E-001, 6.3760075E-001, 6.4031828E-001, 1.0605068E-004, 1.1269466E-004, 1.1373387E-004, 1.1281090E-004, 2.3152193E-009, 2.3117490E-009, 2.1874055E-009, 2.0607384E-009,-2.0714154E-009
 6.0000059E+000, 5.5000411E+000, 5.4323365E-002, 5.6248328E-002, 5.3311550E-002, 5.4429522E-002, 5.9897904E-001, 6.2698643E-001, 6.1057223E-001, 6.4300697E-001, 1.3183953E-004, 1.3933071E-004, 1.4097417E-004, 1.3971239E-004, 2.3157999E-009, 2.3123722E-009, 2.1871760E-009, 2.0597215E-009,-2.0649220E-009
 7.0000203E+000, 6.5000388E+000, 4.1405114E-002, 4.4608770E-002, 4.5613566E-002, 4.5214788E-002, 5.4480210E-001, 5.9366090E-001, 6.2674769E-001, 6.3915165E-001, 1.5728255E-004, 1.6631186E-004, 1.6814369E-004, 1.6656205E-004, 2.3158785E-009, 2.3126446E-009, 2.1887441E-009, 2.0604331E-009,-2.0622934E-009
 8.0000227E+000, 7.5000469E+000, 4.0323469E-002, 4.4875216E-002, 4.5117327E-002, 4.4278702E-002, 5.3815515E-001, 6.0875345E-001, 6.2760222E-001, 6.3630307E-001, 1.8217717E-004, 1.9345112E-004, 1.9540575E-004, 1.9348931E-004, 2.3158891E-009, 2.3128083E-009, 2.1914536E-009, 2.0617320E-009,-2.0624336E-009
 9.0000096E+000, 8.5000416E+000, 5.3447322E-002, 5.4234583E-002, 5.7127677E-002, 5.5101611E-002, 5.7415743E-001, 5.8853178E-001, 6.4134412E-001, 6.3226959E-001, 2.0742430E-004, 2.2045570E-004, 2.2261455E-004, 2.2036113E-004, 2.3158906E-009, 2.3126816E-009, 2.1903623E-009, 2.0599295E-009,-2.0606237E-009
 1.0000039E+001, 9.5000501E+000, 4.3519357E-002, 4.7178476E-002, 4.8909815E-002, 4.8013468E-002, 5.3589404E-001, 5.8654884E-001, 6.2736808E-001, 6.3672634E-001, 2.3213050E-004, 2.4723391E-004, 2.4985801E-004, 2.4725830E-004, 2.3158908E-009, 2.3124515E-009, 2.1854302E-009, 2.0598654E-009,-2.0607319E-009
 1.1000040E+001, 1.0500065E+001, 4.5906558E-002, 4.7219054E-002, 4.8751009E-002, 4.8513545E-002, 5.6275253E-001, 5.8369218E-001, 6.2141004E-001, 6.4085061E-001, 2.5679941E-004, 2.7398449E-004, 2.7707514E-004, 2.7417336E-004, 2.3158908E-009, 2.3125918E-009, 2.1889044E-009, 2.0608025E-009,-2.0598619E-009
 1.2000034E+001, 1.1500063E+001, 4.5499911E-002, 5.0953144E-002, 5.1615963E-002, 5.1141480E-002, 5.2862183E-001, 6.0260506E-001, 6.2763354E-001, 6.4338453E-001, 2.8205517E-004, 3.0121828E-004, 3.0438070E-004, 3.0111603E-004, 2.3158908E-009, 2.3128538E-009, 2.1925269E-009, 2.0632791E-009,-2.0637869E-009
 1.3000008E+001, 1.2500047E+001, 5.0192557E-002, 5.0492281E-002, 5.0344536E-002, 4.9661038E-002, 6.0654931E-001, 6.1805771E-001, 6.3172316E-001, 6.4161285E-001, 3.0711472E-004, 3.2794112E-004, 3.3155075E-004, 3.2798886E-004, 2.3158908E-009, 2.3123470E-009, 2.1867860E-009, 2.0573441E-009,-2.0593113E-009
 1.4000023E+001, 1.3500041E+001, 4.4561831E-002, 4.8130902E-002, 4.9305237E-002, 4.9857338E-002, 5.3513825E-001, 5.8072156E-001, 6.1285407E-001, 6.4152737E-001, 3.3209983E-004, 3.5461920E-004, 3.5880888E-004, 3.5490876E-004, 2.3158908E-009, 2.3126549E-009, 2.1888824E-009, 2.0598423E-009,-2.0593836E-009
