s,s,mg,mg,mg,mg,mm/s,mm/s,mm/s,mm/s,mg,mg,mg,mg,kg/s,kg/s,kg/s,kg/s,kg/s
Time,Time2,Sensor 1 Total,Sensor 2 Total,Sensor 3 Total,Sensor 4 Total,V Sensor 1,V Sensor 2,V Sensor 3,V Sensor 4,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Inlet MF,Test Inlet MF,Test Mid MF,Test Outlet MF,Outlet MF
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6069477E-028,-1.7260277E-027, 0.0000000E+000, 0.0000000E+000
 1.0001024E+000, 5.0032798E-001, 2.4241830E-001, 2.1399508E-001, 2.1398259E-001, 2.1400503E-001, 4.8282553E-001, 4.2174784E-001, 4.2172172E-001, 4.2177034E-001, 2.7744487E-005, 2.6896719E-005, 2.6898408E-005, 2.6901460E-005, 6.2862004E-010, 6.0779290E-010, 9.5833827E-010, 1.2884585E-009,-1.2809344E-009
 2.0002284E+000, 1.5002929E+000, 3.6532438E-001, 2.9865045E-001, 2.9473867E-001, 2.9470020E-001, 7.3177024E-001, 6.1867774E-001, 6.0250648E-001, 6.0229914E-001, 9.8590522E-005, 8.5213519E-005, 8.4900065E-005, 8.4903824E-005, 1.2907684E-009, 1.2995786E-009, 1.4220956E-009, 1.5566078E-009,-1.5901134E-009
 3.0001503E+000, 2.5003241E+000, 4.2221077E-001, 3.3209680E-001, 3.1766579E-001, 3.1847199E-001, 7.7656557E-001, 6.5860552E-001, 6.4245046E-001, 6.4008617E-001, 1.8092014E-004, 1.5108828E-004, 1.4904419E-004, 1.4918585E-004, 1.4255369E-009, 1.4334473E-009, 1.3087658E-009, 1.3342754E-009,-1.4424173E-009
 4.0001233E+000, 3.5002771E+000, 4.1566810E-001, 3.2517692E-001, 3.0114446E-001, 2.9582691E-001, 7.7825009E-001, 6.6514824E-001, 6.4847427E-001, 6.4554759E-001, 2.6461919E-004, 2.1615659E-004, 2.1027162E-004, 2.0997919E-004, 1.4451237E-009, 1.4489328E-009, 1.2138415E-009, 1.1997926E-009,-1.3589351E-009
 5.0000962E+000, 4.5002500E+000, 3.9872426E-001, 3.2172443E-001, 2.8966079E-001, 2.7732733E-001, 7.2226295E-001, 6.5790531E-001, 6.4881237E-001, 6.4651443E-001, 3.4378640E-004, 2.7998552E-004, 2.6866212E-004, 2.6662571E-004, 1.4478018E-009, 1.5024753E-009, 1.1891174E-009, 1.1266428E-009,-1.3233601E-009
 6.0000692E+000, 5.5002230E+000, 4.1130712E-001, 3.2852917E-001, 2.8735373E-001, 2.6542860E-001, 7.5558227E-001, 6.5943620E-001, 6.4826166E-001, 6.4641308E-001, 4.2323528E-004, 3.4434494E-004, 3.2566737E-004, 3.2022090E-004, 1.4481648E-009, 1.4832620E-009, 1.1756132E-009, 1.0493826E-009,-1.2522215E-009
 7.0000421E+000, 6.5001959E+000, 4.2236256E-001, 3.2518164E-001, 2.8696066E-001, 2.6063406E-001, 7.8418747E-001, 6.6492800E-001, 6.4867341E-001, 6.4641791E-001, 5.0539168E-004, 4.0903071E-004, 3.8265938E-004, 3.7219660E-004, 1.4482139E-009, 1.4489244E-009, 1.1529327E-009, 9.8233266E-010,-1.1639317E-009
 8.0000151E+000, 7.5001689E+000, 4.2246629E-001, 3.2036931E-001, 2.8216298E-001, 2.5669803E-001, 7.8113054E-001, 6.6624468E-001, 6.4928840E-001, 6.4655218E-001, 5.8891998E-004, 4.7280597E-004, 4.3906517E-004, 4.2342043E-004, 1.4482205E-009, 1.4392177E-009, 1.1231535E-009, 9.4463469E-010,-1.0950391E-009
 9.0002686E+000, 8.5002821E+000, 4.2460458E-001, 3.1884382E-001, 2.7835511E-001, 2.5181329E-001, 7.8757966E-001, 6.6658561E-001, 6.4931383E-001, 6.4658270E-001, 6.7281878E-004, 5.3610046E-004, 4.9452799E-004, 4.7376899E-004, 1.4482214E-009, 1.4334915E-009, 1.1086896E-009, 9.2069242E-010,-1.0477552E-009
 1.0000242E+001, 9.5003954E+000, 4.2237565E-001, 3.1748674E-001, 2.7601262E-001, 2.4820109E-001, 7.8546354E-001, 6.6689668E-001, 6.4938526E-001, 6.4658352E-001, 7.5679111E-004, 5.9908189E-004, 5.4940053E-004, 5.2324859E-004, 1.4482216E-009, 1.4258427E-009, 1.0988329E-009, 8.9885386E-010,-1.0083313E-009
 1.1000215E+001, 1.0500368E+001, 4.0790018E-001, 3.1870686E-001, 2.7473523E-001, 2.4563043E-001, 7.5387434E-001, 6.6515960E-001, 6.4933588E-001, 6.4659072E-001, 8.3928457E-004, 6.6198864E-004, 6.0389385E-004, 5.7212190E-004, 1.4482216E-009, 1.4311011E-009, 1.0936426E-009, 8.8467389E-010,-9.7608685E-010
 1.2000187E+001, 1.1500341E+001, 4.0513147E-001, 3.2502865E-001, 2.7755143E-001, 2.4469025E-001, 7.3910781E-001, 6.5964182E-001, 6.4860522E-001, 6.4656990E-001, 9.1854020E-004, 7.2568565E-004, 6.5846243E-004, 6.2062369E-004, 1.4482216E-009, 1.4810156E-009, 1.1175740E-009, 8.9264584E-010,-9.6926018E-010
 1.3000160E+001, 1.2500314E+001, 4.2491633E-001, 3.2343282E-001, 2.8162002E-001, 2.4690832E-001, 7.8617723E-001, 6.6506677E-001, 6.4873198E-001, 6.4642584E-001, 1.0009110E-003, 7.9006682E-004, 7.1395800E-004, 6.6923918E-004, 1.4482216E-009, 1.4475621E-009, 1.1229087E-009, 8.8326850E-010,-9.4185464E-010
 1.4000133E+001, 1.3500287E+001, 4.3381114E-001, 3.1756588E-001, 2.7822854E-001, 2.4771929E-001, 8.1337283E-001, 6.6776932E-001, 6.4933961E-001, 6.4655215E-001, 1.0859921E-003, 8.5351823E-004, 7.6944928E-004, 7.1828047E-004, 1.4482216E-009, 1.4237465E-009, 1.0998132E-009, 8.7257080E-010,-9.1125277E-010
 1.5000106E+001, 1.4500260E+001, 4.3453310E-001, 3.1197144E-001, 2.7344857E-001, 2.4529789E-001, 8.2601550E-001, 6.6905263E-001, 6.4957647E-001, 6.4659904E-001, 1.1721535E-003, 9.1583466E-004, 8.2406535E-004, 7.6711645E-004, 1.4482216E-009, 1.4120690E-009, 1.0838239E-009, 8.6593028E-010,-8.9476348E-010
 1.6000079E+001, 1.4500260E+001, 1.5119736E-001, 1.1050541E-001, 9.6694069E-002, 8.6872032E-002, 7.5731907E-001, 6.6758873E-001, 6.4968952E-001, 6.4663252E-001, 1.2561341E-003, 9.7721370E-004, 8.7777301E-004, 8.1536858E-004, 1.4482216E-009, 1.4425158E-009, 1.0814532E-009, 8.6454599E-010,-8.9268925E-010
 1.7000052E+001, 1.4500260E+001, 1.4732369E-001, 1.1119368E-001, 9.6297719E-002, 8.6354560E-002, 7.5152121E-001, 6.5997384E-001, 6.4871342E-001, 6.4664691E-001, 1.3358261E-003, 1.0393687E-003, 9.3105008E-004, 8.6305453E-004, 1.4482216E-009, 1.4840010E-009, 1.1119349E-009, 8.8149893E-010,-9.1018315E-010
