s,m3/s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kW,kg,kg
Time,"VF W","HF-0.05","HF-0.15","HF-0.35","HF-0.55","HF-0.65","HF-0.75","HF-0.85","HF-0.95","HF-1.25","HF-1.45","HF-1.65","HF-1.75","HF-2.05","HF-2.35","HF-2.65","HF-2.75","HF-2.95","HF-3.25","HF-3.35","HF-3.75","HF-3.85","U_TAU-0.05","U_TAU-0.15","U_TAU-0.35","U_TAU-0.55","U_TAU-0.65","U_TAU-0.75","U_TAU-0.85","U_TAU-0.95","U_TAU-1.25","U_TAU-1.45","U_TAU-1.65","U_TAU-1.75","U_TAU-2.05","U_TAU-2.35","U_TAU-2.65","U_TAU-2.75","U_TAU-2.95","U_TAU-3.25","U_TAU-3.35","U_TAU-3.75","U_TAU-3.85","WV-0.05","WV-0.15","WV-0.35","WV-0.55","WV-0.65","WV-0.75","WV-0.85","WV-0.95","WV-1.25","WV-1.45","WV-1.65","WV-1.75","WV-2.05","WV-2.35","WV-2.65","WV-2.75","WV-2.95","WV-3.25","WV-3.35","WV-3.75","WV-3.85","WVC-0.05","WVC-0.15","WVC-0.35","WVC-0.55","WVC-0.65","WVC-0.75","WVC-0.85","WVC-0.95","WVC-1.25","WVC-1.45","WVC-1.65","WVC-1.75","WVC-2.05","WVC-2.35","WVC-2.65","WVC-2.75","WVC-2.95","WVC-3.25","WVC-3.35","WVC-3.75","WVC-3.85","WVD-0.05","WVD-0.15","WVD-0.35","WVD-0.55","WVD-0.65","WVD-0.75","WVD-0.85","WVD-0.95","WVD-1.25","WVD-1.45","WVD-1.65","WVD-1.75","WVD-2.05","WVD-2.35","WVD-2.65","WVD-2.75","WVD-2.95","WVD-3.25","WVD-3.35","WVD-3.75","WVD-3.85","Int HF","ACCUM H2O","MDOT H2O"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2801658E-003, 3.2299097E-003, 3.0906632E-003, 2.7867664E-003, 3.4738191E-003, 1.7247995E-003, 3.2208319E-003, 9.4952325E-004, 3.7203380E-003, 2.4806885E-003, 2.9139551E-003, 2.6411724E-003, 2.9264330E-003, 4.1367342E-003, 2.4475593E-003, 1.7364471E-003, 2.5139246E-003, 3.5445425E-003, 3.7577118E-003, 1.8214420E-003, 3.7438398E-003, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.7673129E-002,-7.8531724E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6924202E-003, 9.5610241E-003, 9.5740983E-003, 8.7321106E-003, 8.4517450E-003, 9.2049153E-003, 8.8339535E-003, 9.0722636E-003, 9.7548384E-003, 8.9120956E-003, 9.4303338E-003, 8.7007592E-003, 9.0731659E-003, 8.0616842E-003, 9.3289958E-003, 8.8794356E-003, 8.7235964E-003, 8.2792785E-003, 9.2593746E-003, 9.1417352E-003, 8.6636119E-003, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.3227906E-002,-2.9247108E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8227461E-002, 1.8673488E-002, 1.8690598E-002, 1.8275721E-002, 1.8124604E-002, 1.8516804E-002, 1.8295584E-002, 1.8415101E-002, 1.8749074E-002, 1.8374792E-002, 1.8646897E-002, 1.8269767E-002, 1.8447693E-002, 1.7980089E-002, 1.8578378E-002, 1.8358743E-002, 1.8282488E-002, 1.8098234E-002, 1.8571820E-002, 1.8471791E-002, 1.8259913E-002, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3477025E-001,-7.3624869E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2213436E-002, 3.2834189E-002, 3.2824945E-002, 3.2373785E-002, 3.2120326E-002, 3.2698021E-002, 3.2261133E-002, 3.2365644E-002, 3.2727094E-002, 3.2511625E-002, 3.2896864E-002, 3.2353988E-002, 3.2559466E-002, 3.2028680E-002, 3.2672057E-002, 3.2424901E-002, 3.2341813E-002, 3.2193768E-002, 3.2867697E-002, 3.2452333E-002, 3.2369282E-002, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7122498E-001,-1.2982692E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0910742E-002, 5.1520615E-002, 5.1245707E-002, 5.1230989E-002, 5.1030073E-002, 5.1528300E-002, 5.0881716E-002, 5.0856915E-002, 5.1031315E-002, 5.1244618E-002, 5.1624908E-002, 5.1200038E-002, 5.1222651E-002, 5.1121553E-002, 5.1203169E-002, 5.1103458E-002, 5.1171428E-002, 5.1074312E-002, 5.1613373E-002, 5.0980518E-002, 5.1158039E-002, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0155024E-001,-1.6446996E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.2061173E-002, 6.2468786E-002, 6.1970688E-002, 6.2391666E-002, 6.2431032E-002, 6.2611114E-002, 6.2095918E-002, 6.1929779E-002, 6.1950488E-002, 6.2105995E-002, 6.2464432E-002, 6.2401384E-002, 6.2250111E-002, 6.2633078E-002, 6.2112446E-002, 6.2104015E-002, 6.2460080E-002, 6.2216607E-002, 6.2202537E-002, 6.2037863E-002, 6.2170963E-002, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4344595E-001,-1.8726595E-001, 4.9761575E-003, 4.9610794E-003, 1.4389953E-002, 1.9503003E-002, 1.9530274E-002, 1.9489000E-002, 2.0631843E-002, 2.0568508E-002, 2.4723287E-002, 2.3537855E-002, 2.4637264E-002, 2.6733118E-002, 2.6787519E-002, 2.6713812E-002, 2.6747079E-002, 2.8729282E-002, 2.6750891E-002, 2.9747546E-002, 2.8551252E-002, 3.0823005E-002, 2.8717679E-002, 6.9613005E-002, 6.9492434E-002, 6.9607730E-002, 6.9606562E-002, 6.9798546E-002, 6.9629332E-002, 6.9879458E-002, 6.9592773E-002, 6.9663067E-002, 6.9172717E-002, 6.9515895E-002, 6.9717405E-002, 6.9775605E-002, 6.9843486E-002, 6.9606438E-002, 6.9441163E-002, 6.9844511E-002, 6.9512446E-002, 6.8892919E-002, 6.9589868E-002, 6.9424663E-002, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 1.5900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7932032E-008, 2.7850405E-008, 8.0752806E-008, 1.0942431E-007, 1.0957714E-007, 1.0934546E-007, 1.1575298E-007, 1.1539762E-007, 1.3868562E-007, 1.3204091E-007, 1.3820292E-007, 1.4994796E-007, 1.5025278E-007, 1.4983924E-007, 1.5002602E-007, 1.6113189E-007, 1.5004743E-007, 1.6683607E-007, 1.6013343E-007, 1.7286198E-007, 1.6106795E-007, 4.2223293E-002, 2.3684262E-007, 5.5538148E-005
 2.9158708E-001,-2.1252147E-001, 2.9719093E-001, 2.9650112E-001, 3.3093082E-001, 3.4611068E-001, 3.4580016E-001, 3.4573431E-001, 3.5072612E-001, 3.4946184E-001, 3.6438669E-001, 3.6005378E-001, 3.6406214E-001, 3.7109334E-001, 3.7150761E-001, 3.6934645E-001, 3.7082483E-001, 3.7761813E-001, 3.6959659E-001, 3.7986797E-001, 3.7722250E-001, 3.8377628E-001, 3.7739373E-001, 7.7291569E-002, 7.6958357E-002, 7.7903794E-002, 7.7088104E-002, 7.7009374E-002, 7.6954023E-002, 7.7500430E-002, 7.7100689E-002, 7.7399901E-002, 7.7051080E-002, 7.7240057E-002, 7.7269491E-002, 7.7438925E-002, 7.6773223E-002, 7.7238731E-002, 7.7151635E-002, 7.6883862E-002, 7.6834287E-002, 7.6955322E-002, 7.6986025E-002, 7.7090766E-002, 1.5892858E-001, 1.5892767E-001, 1.5890958E-001, 1.5890059E-001, 1.5890063E-001, 1.5890084E-001, 1.5889856E-001, 1.5889872E-001, 1.5889072E-001, 1.5889261E-001, 1.5889068E-001, 1.5888737E-001, 1.5888681E-001, 1.5888726E-001, 1.5888769E-001, 1.5888335E-001, 1.5888753E-001, 1.5888158E-001, 1.5888352E-001, 1.5888030E-001, 1.5888292E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1187480E-006, 3.1102387E-006, 3.6985388E-006, 3.9791131E-006, 3.9771540E-006, 3.9741995E-006, 4.0566937E-006, 4.0422842E-006, 4.2979581E-006, 4.2205860E-006, 4.2898086E-006, 4.4136187E-006, 4.4214759E-006, 4.3958684E-006, 4.4139393E-006, 4.5302637E-006, 4.4013045E-006, 4.5799075E-006, 4.5185671E-006, 4.6476493E-006, 4.5280010E-006, 6.3510481E-001, 7.4674189E-006, 3.8992870E-004
 3.2293119E-001,-2.4379770E-001, 6.6688439E-001, 6.6731098E-001, 7.0188785E-001, 7.2145901E-001, 7.2145543E-001, 7.2219701E-001, 7.2458969E-001, 7.2369585E-001, 7.3939417E-001, 7.3640634E-001, 7.4026850E-001, 7.4900895E-001, 7.4722538E-001, 7.4716185E-001, 7.4577666E-001, 7.5516060E-001, 7.4553634E-001, 7.5713457E-001, 7.5538127E-001, 7.6009581E-001, 7.5343893E-001, 8.6184908E-002, 8.6432691E-002, 8.6403688E-002, 8.6399903E-002, 8.6420182E-002, 8.6523028E-002, 8.6308300E-002, 8.6151661E-002, 8.6193191E-002, 8.6366643E-002, 8.6346054E-002, 8.6504000E-002, 8.6234277E-002, 8.6236550E-002, 8.5996058E-002, 8.6299629E-002, 8.5972396E-002, 8.6003327E-002, 8.6318966E-002, 8.5875393E-002, 8.6043413E-002, 1.5867893E-001, 1.5861808E-001, 1.5857632E-001, 1.5855419E-001, 1.5855255E-001, 1.5855269E-001, 1.5854971E-001, 1.5854814E-001, 1.5853333E-001, 1.5853336E-001, 1.5853137E-001, 1.5852633E-001, 1.5852206E-001, 1.5852013E-001, 1.5852308E-001, 1.5851378E-001, 1.5852156E-001, 1.5850794E-001, 1.5851604E-001, 1.5850397E-001, 1.5851060E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1587488E-005, 1.1579058E-005, 1.2738797E-005, 1.3296409E-005, 1.3289156E-005, 1.3293653E-005, 1.3437141E-005, 1.3399918E-005, 1.3909609E-005, 1.3776543E-005, 1.3910140E-005, 1.4161563E-005, 1.4156621E-005, 1.4107690E-005, 1.4129452E-005, 1.4380242E-005, 1.4100016E-005, 1.4457471E-005, 1.4374026E-005, 1.4581566E-005, 1.4363172E-005, 1.2940589E+000, 2.4270755E-005, 6.1335075E-004
