s,m3/s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg/m2,kW,kg,kg
Time,"VF W","HF-0.05","HF-0.15","HF-0.35","HF-0.55","HF-0.65","HF-0.75","HF-0.85","HF-0.95","HF-1.25","HF-1.45","HF-1.65","HF-1.75","HF-2.05","HF-2.35","HF-2.65","HF-2.75","HF-2.95","HF-3.25","HF-3.35","HF-3.75","HF-3.85","U_TAU-0.05","U_TAU-0.15","U_TAU-0.35","U_TAU-0.55","U_TAU-0.65","U_TAU-0.75","U_TAU-0.85","U_TAU-0.95","U_TAU-1.25","U_TAU-1.45","U_TAU-1.65","U_TAU-1.75","U_TAU-2.05","U_TAU-2.35","U_TAU-2.65","U_TAU-2.75","U_TAU-2.95","U_TAU-3.25","U_TAU-3.35","U_TAU-3.75","U_TAU-3.85","WV-0.05","WV-0.15","WV-0.35","WV-0.55","WV-0.65","WV-0.75","WV-0.85","WV-0.95","WV-1.25","WV-1.45","WV-1.65","WV-1.75","WV-2.05","WV-2.35","WV-2.65","WV-2.75","WV-2.95","WV-3.25","WV-3.35","WV-3.75","WV-3.85","WVC-0.05","WVC-0.15","WVC-0.35","WVC-0.55","WVC-0.65","WVC-0.75","WVC-0.85","WVC-0.95","WVC-1.25","WVC-1.45","WVC-1.65","WVC-1.75","WVC-2.05","WVC-2.35","WVC-2.65","WVC-2.75","WVC-2.95","WVC-3.25","WVC-3.35","WVC-3.75","WVC-3.85","WVD-0.05","WVD-0.15","WVD-0.35","WVD-0.55","WVD-0.65","WVD-0.75","WVD-0.85","WVD-0.95","WVD-1.25","WVD-1.45","WVD-1.65","WVD-1.75","WVD-2.05","WVD-2.35","WVD-2.65","WVD-2.75","WVD-2.95","WVD-3.25","WVD-3.35","WVD-3.75","WVD-3.85","Int HF","ACCUM H2O","MDOT H2O"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2565515E-003, 3.2066572E-003, 3.0684131E-003, 2.7667041E-003, 3.4488107E-003, 1.7123824E-003, 3.1976447E-003, 9.4268752E-004, 3.6935548E-003, 2.4628297E-003, 2.8929771E-003, 2.6221583E-003, 2.9053653E-003, 4.1069533E-003, 2.4299391E-003, 1.7239462E-003, 2.4958266E-003, 3.5190249E-003, 3.7306595E-003, 1.8083292E-003, 3.7168874E-003, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.7673129E-002,-9.8004363E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7046923E-003, 1.0479866E-002, 1.0493700E-002, 9.7431910E-003, 9.4967724E-003, 1.0163988E-002, 9.8294897E-003, 1.0046325E-002, 1.0657890E-002, 9.9031945E-003, 1.0366172E-002, 9.7179631E-003, 1.0044753E-002, 9.1597652E-003, 1.0278163E-002, 9.8778521E-003, 9.7396094E-003, 9.3508891E-003, 1.0207761E-002, 1.0112909E-002, 9.6785308E-003, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0189986E-001,-4.9363668E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4430802E-002, 2.4937871E-002, 2.4957937E-002, 2.4514339E-002, 2.4325856E-002, 2.4785220E-002, 2.4496629E-002, 2.4615006E-002, 2.4966978E-002, 2.4631931E-002, 2.4944626E-002, 2.4505687E-002, 2.4700615E-002, 2.4196457E-002, 2.4830109E-002, 2.4595221E-002, 2.4512424E-002, 2.4339795E-002, 2.4885520E-002, 2.4684595E-002, 2.4508714E-002, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2287613E-001,-1.0435540E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2750001E-002, 4.3371789E-002, 4.3327630E-002, 4.2958992E-002, 4.2694860E-002, 4.3275895E-002, 4.2776234E-002, 4.2848777E-002, 4.3162461E-002, 4.3091048E-002, 4.3475951E-002, 4.2935844E-002, 4.3111706E-002, 4.2657569E-002, 4.3191476E-002, 4.2978956E-002, 4.2914698E-002, 4.2808385E-002, 4.3480798E-002, 4.2951647E-002, 4.2962864E-002, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6891447E-001,-1.5650137E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9359954E-002, 5.9928888E-002, 5.9583357E-002, 5.9697001E-002, 5.9551795E-002, 5.9975395E-002, 5.9343104E-002, 5.9280501E-002, 5.9413142E-002, 5.9640523E-002, 6.0013547E-002, 5.9674095E-002, 5.9645284E-002, 5.9683013E-002, 5.9595380E-002, 5.9528041E-002, 5.9666984E-002, 5.9541453E-002, 5.9952107E-002, 5.9411920E-002, 5.9591448E-002, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 1.6900000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0795438E-001,-2.0141738E-001, 9.9294020E-002, 9.9236133E-002, 1.1954383E-001, 1.3549407E-001, 1.3575164E-001, 1.3556168E-001, 1.3845462E-001, 1.3810916E-001, 1.5430806E-001, 1.4835633E-001, 1.5421185E-001, 1.5987653E-001, 1.6256068E-001, 1.6285727E-001, 1.6229969E-001, 1.6477533E-001, 1.6008364E-001, 1.6760289E-001, 1.6668082E-001, 1.7299429E-001, 1.6743202E-001, 7.3868819E-002, 7.3961179E-002, 7.3745217E-002, 7.4017720E-002, 7.4195383E-002, 7.4125411E-002, 7.4065387E-002, 7.3818729E-002, 7.3838548E-002, 7.3582429E-002, 7.3933491E-002, 7.4086962E-002, 7.4026784E-002, 7.4325894E-002, 7.3856891E-002, 7.3765957E-002, 7.4218940E-002, 7.3880576E-002, 7.3400549E-002, 7.3850363E-002, 7.3776171E-002, 1.6899340E-001, 1.6899341E-001, 1.6899129E-001, 1.6898775E-001, 1.6898773E-001, 1.6898774E-001, 1.6898710E-001, 1.6898713E-001, 1.6898342E-001, 1.6898473E-001, 1.6898347E-001, 1.6898220E-001, 1.6898160E-001, 1.6898157E-001, 1.6898156E-001, 1.6898098E-001, 1.6898215E-001, 1.6898041E-001, 1.6898050E-001, 1.6897910E-001, 1.6898042E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8676268E-007, 6.8666024E-007, 8.4827308E-007, 1.0172739E-006, 1.0191743E-006, 1.0179952E-006, 1.0476413E-006, 1.0451094E-006, 1.2187341E-006, 1.1573752E-006, 1.2189316E-006, 1.2787728E-006, 1.3071344E-006, 1.3104136E-006, 1.3050443E-006, 1.3324915E-006, 1.2804342E-006, 1.3626229E-006, 1.3558708E-006, 1.4199223E-006, 1.3612534E-006, 2.6722064E-001, 2.1065726E-006, 2.0950451E-004
 2.4231974E-001,-2.2477634E-001, 4.3280616E-001, 4.3120248E-001, 4.6948300E-001, 4.8505678E-001, 4.8509003E-001, 4.8443232E-001, 4.9039535E-001, 4.8880015E-001, 5.0843864E-001, 4.9964078E-001, 5.0695111E-001, 5.1348588E-001, 5.1770983E-001, 5.1495521E-001, 5.1690433E-001, 5.1895495E-001, 5.1269352E-001, 5.2121155E-001, 5.1987800E-001, 5.2822183E-001, 5.2167812E-001, 8.1213987E-002, 8.0811029E-002, 8.1686939E-002, 8.0961843E-002, 8.0986532E-002, 8.0819709E-002, 8.1488381E-002, 8.1120413E-002, 8.1353950E-002, 8.0739064E-002, 8.1008497E-002, 8.1100466E-002, 8.1354156E-002, 8.0769594E-002, 8.1172765E-002, 8.0943224E-002, 8.0948988E-002, 8.0780829E-002, 8.0446918E-002, 8.0972022E-002, 8.0870711E-002, 1.6886130E-001, 1.6885462E-001, 1.6883271E-001, 1.6881846E-001, 1.6881826E-001, 1.6881889E-001, 1.6881575E-001, 1.6881572E-001, 1.6879997E-001, 1.6880563E-001, 1.6880019E-001, 1.6879570E-001, 1.6879282E-001, 1.6879387E-001, 1.6879384E-001, 1.6879068E-001, 1.6879597E-001, 1.6878878E-001, 1.6878852E-001, 1.6878402E-001, 1.6878725E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.4384175E-006, 5.4246675E-006, 6.1146364E-006, 6.5285741E-006, 6.5346703E-006, 6.5247337E-006, 6.6266705E-006, 6.6072725E-006, 7.0570584E-006, 6.8757323E-006, 7.0410978E-006, 7.1967580E-006, 7.2800008E-006, 7.2634093E-006, 7.2686050E-006, 7.3284016E-006, 7.1959347E-006, 7.3985053E-006, 7.3664597E-006, 7.5527699E-006, 7.3979689E-006, 8.8543066E-001, 1.2262473E-005, 4.5861590E-004
 2.8226496E-001,-2.5852685E-001, 7.9853739E-001, 7.9611170E-001, 8.3845669E-001, 8.5719928E-001, 8.5664404E-001, 8.5719614E-001, 8.6114941E-001, 8.5893157E-001, 8.8138836E-001, 8.7476562E-001, 8.8216077E-001, 8.8984626E-001, 8.9219533E-001, 8.8995506E-001, 8.9043396E-001, 8.9531965E-001, 8.8531989E-001, 8.9585834E-001, 8.9934245E-001, 9.0261736E-001, 8.9746512E-001, 9.0830918E-002, 9.0829346E-002, 9.1296325E-002, 9.0868103E-002, 9.0794730E-002, 9.0868116E-002, 9.0956444E-002, 9.0629439E-002, 9.0835238E-002, 9.0890620E-002, 9.0936278E-002, 9.1010360E-002, 9.0887046E-002, 9.0544819E-002, 9.0630778E-002, 9.0820207E-002, 9.0394085E-002, 9.0408810E-002, 9.0879220E-002, 9.0384898E-002, 9.0652098E-002, 1.6859058E-001, 1.6846175E-001, 1.6841820E-001, 1.6839495E-001, 1.6839006E-001, 1.6839098E-001, 1.6838734E-001, 1.6838591E-001, 1.6835971E-001, 1.6836360E-001, 1.6835930E-001, 1.6835464E-001, 1.6834312E-001, 1.6834236E-001, 1.6834710E-001, 1.6833927E-001, 1.6834851E-001, 1.6833426E-001, 1.6833945E-001, 1.6832812E-001, 1.6833102E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5681873E-005, 1.5635457E-005, 1.6961272E-005, 1.7625986E-005, 1.7622997E-005, 1.7614584E-005, 1.7797021E-005, 1.7742973E-005, 1.8522183E-005, 1.8226285E-005, 1.8504203E-005, 1.8766245E-005, 1.8900637E-005, 1.8833339E-005, 1.8867594E-005, 1.8982376E-005, 1.8713327E-005, 1.9065469E-005, 1.9066759E-005, 1.9326688E-005, 1.9089811E-005, 1.5402497E+000, 3.2277404E-005, 7.6310161E-004
 3.2284489E-001,-2.9787853E-001, 1.2157050E+000, 1.2047203E+000, 1.2491684E+000, 1.2717592E+000, 1.2715475E+000, 1.2712183E+000, 1.2743198E+000, 1.2779040E+000, 1.2975552E+000, 1.2903194E+000, 1.2966480E+000, 1.3049257E+000, 1.3077923E+000, 1.3077347E+000, 1.3071805E+000, 1.3118911E+000, 1.3037634E+000, 1.3167012E+000, 1.3116182E+000, 1.3231277E+000, 1.3115838E+000, 1.0183752E-001, 1.0208674E-001, 1.0208637E-001, 1.0201370E-001, 1.0204168E-001, 1.0200666E-001, 1.0189073E-001, 1.0227664E-001, 1.0184459E-001, 1.0194279E-001, 1.0172981E-001, 1.0180652E-001, 1.0170091E-001, 1.0172444E-001, 1.0163423E-001, 1.0172611E-001, 1.0171305E-001, 1.0180922E-001, 1.0130202E-001, 1.0167848E-001, 1.0131279E-001, 1.6835366E-001, 1.6777798E-001, 1.6771285E-001, 1.6765441E-001, 1.6763704E-001, 1.6763889E-001, 1.6763702E-001, 1.6763063E-001, 1.6759796E-001, 1.6759760E-001, 1.6760873E-001, 1.6758529E-001, 1.6757449E-001, 1.6756625E-001, 1.6757314E-001, 1.6756720E-001, 1.6757024E-001, 1.6756314E-001, 1.6756010E-001, 1.6754317E-001, 1.6755051E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2987147E-005, 3.2841886E-005, 3.4855280E-005, 3.5886214E-005, 3.5884613E-005, 3.5880895E-005, 3.6101806E-005, 3.6062505E-005, 3.7182293E-005, 3.6776885E-005, 3.7165745E-005, 3.7567021E-005, 3.7732923E-005, 3.7668030E-005, 3.7677491E-005, 3.7881340E-005, 3.7466376E-005, 3.8011855E-005, 3.7994183E-005, 3.8372137E-005, 3.7995726E-005, 2.2709710E+000, 6.4926487E-005, 1.0628426E-003
