s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-3.652E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.658E-05, 0.000E+00, 0.000E+00
 5.013E+00, 9.336E+01,-9.947E+00, 1.496E+00,-1.397E+00, 1.117E-01, 0.000E+00, 0.000E+00, 8.029E+01, 8.362E+01, 2.229E-03, 2.229E-03
 1.000E+01, 2.600E+02,-4.077E+01, 4.040E+00,-9.563E+00, 3.154E-01, 0.000E+00, 0.000E+00, 2.136E+02, 2.141E+02, 6.580E-03, 6.580E-03
 1.501E+01, 4.512E+02,-8.195E+01,-9.639E+00,-1.385E+01, 4.750E-01, 0.000E+00, 0.000E+00, 3.453E+02, 3.462E+02, 1.095E-02, 1.095E-02
 2.000E+01, 6.411E+02,-1.346E+02,-7.993E+01,-2.038E+01, 6.084E-01, 0.000E+00, 0.000E+00, 4.065E+02, 4.069E+02, 1.533E-02, 1.533E-02
 2.500E+01, 8.166E+02,-2.243E+02,-1.752E+02,-2.094E+01, 7.151E-01, 0.000E+00, 0.000E+00, 3.970E+02, 3.968E+02, 1.970E-02, 1.970E-02
 3.000E+01, 9.904E+02,-3.693E+02,-2.720E+02,-2.243E+01, 7.810E-01, 0.000E+00, 0.000E+00, 3.276E+02, 3.274E+02, 2.407E-02, 2.407E-02
 3.501E+01, 9.412E+02,-4.111E+02,-3.218E+02,-1.157E+01, 6.679E-01, 0.000E+00, 0.000E+00, 1.999E+02, 1.974E+02, 2.845E-02, 2.845E-02
 4.001E+01, 1.314E+03,-6.216E+02,-3.867E+02,-3.421E+00, 6.390E-01, 0.000E+00, 0.000E+00, 3.035E+02, 3.026E+02, 3.283E-02, 3.283E-02
 4.501E+01, 1.339E+03,-7.197E+02,-4.160E+02,-5.752E-01, 5.088E-01, 0.000E+00, 0.000E+00, 2.029E+02, 2.032E+02, 3.720E-02, 3.720E-02
 5.001E+01, 1.419E+03,-8.152E+02,-4.189E+02, 4.481E-01, 3.844E-01, 0.000E+00, 0.000E+00, 1.868E+02, 1.857E+02, 3.939E-02, 3.939E-02
 5.501E+01, 1.585E+03,-9.188E+02,-4.408E+02, 6.698E-01, 4.857E-01, 0.000E+00, 0.000E+00, 2.293E+02, 2.263E+02, 3.942E-02, 3.942E-02
 6.001E+01, 1.450E+03,-9.366E+02,-5.383E+02, 1.969E+00, 4.941E-01, 0.000E+00, 0.000E+00,-1.786E+01,-2.218E+01, 3.945E-02, 3.945E-02
 6.500E+01, 1.163E+03,-6.872E+02,-4.193E+02, 1.435E+01, 7.066E-01, 0.000E+00, 0.000E+00, 7.478E+01, 7.170E+01, 3.947E-02, 3.947E-02
 7.001E+01, 1.190E+03,-6.278E+02,-5.911E+02, 9.370E+00, 6.189E-01, 0.000E+00, 0.000E+00,-1.595E+01,-1.879E+01, 3.950E-02, 3.950E-02
 7.500E+01, 9.622E+02,-5.190E+02,-4.475E+02, 1.466E+01, 7.358E-01, 0.000E+00, 0.000E+00, 1.217E+01, 1.111E+01, 3.953E-02, 3.953E-02
 8.001E+01, 9.790E+02,-4.786E+02,-4.776E+02, 1.510E+01, 9.214E-01, 0.000E+00, 0.000E+00, 4.004E+01, 3.881E+01, 3.956E-02, 3.956E-02
 8.501E+01, 1.229E+03,-5.496E+02,-6.317E+02, 1.067E+01, 9.016E-01, 0.000E+00, 0.000E+00, 6.115E+01, 5.919E+01, 3.959E-02, 3.959E-02
 9.000E+01, 1.446E+03,-6.212E+02,-7.561E+02, 6.756E+00, 9.192E-01, 0.000E+00, 0.000E+00, 7.668E+01, 7.590E+01, 3.962E-02, 3.962E-02
 9.500E+01, 1.398E+03,-5.633E+02,-8.108E+02, 7.320E+00, 9.814E-01, 0.000E+00, 0.000E+00, 3.430E+01, 3.207E+01, 3.965E-02, 3.965E-02
 1.000E+02, 1.276E+03,-5.494E+02,-7.689E+02, 4.991E+00, 9.801E-01, 0.000E+00, 0.000E+00,-3.354E+01,-3.647E+01, 3.967E-02, 3.967E-02
 1.050E+02, 1.405E+03,-5.461E+02,-8.301E+02, 6.731E+00, 9.646E-01, 0.000E+00, 0.000E+00, 3.785E+01, 3.597E+01, 3.970E-02, 3.970E-02
 1.100E+02, 1.514E+03,-5.773E+02,-8.967E+02, 6.758E+00, 9.751E-01, 0.000E+00, 0.000E+00, 4.946E+01, 4.806E+01, 3.973E-02, 3.973E-02
 1.150E+02, 1.456E+03,-5.515E+02,-9.443E+02, 8.727E+00, 9.254E-01, 0.000E+00, 0.000E+00,-2.434E+01,-2.977E+01, 3.976E-02, 3.976E-02
 1.200E+02, 1.380E+03,-5.347E+02,-8.138E+02, 9.099E+00, 7.841E-01, 0.000E+00, 0.000E+00, 4.465E+01, 4.143E+01, 3.979E-02, 3.979E-02
 1.250E+02, 1.481E+03,-5.458E+02,-9.211E+02, 8.365E+00, 6.875E-01, 0.000E+00, 0.000E+00, 2.515E+01, 2.294E+01, 3.982E-02, 3.982E-02
 1.300E+02, 1.536E+03,-5.558E+02,-9.862E+02, 8.604E+00, 6.149E-01, 0.000E+00, 0.000E+00, 5.164E+00, 3.305E+00, 3.985E-02, 3.985E-02
 1.350E+02, 1.629E+03,-5.837E+02,-1.029E+03, 9.153E+00, 6.441E-01, 0.000E+00, 0.000E+00, 2.660E+01, 2.614E+01, 3.987E-02, 3.987E-02
 1.400E+02, 1.435E+03,-5.326E+02,-8.831E+02, 1.060E+01, 6.159E-01, 0.000E+00, 0.000E+00, 3.333E+01, 3.095E+01, 3.990E-02, 3.990E-02
 1.450E+02, 1.626E+03,-5.645E+02,-1.097E+03, 1.145E+01, 6.587E-01, 0.000E+00, 0.000E+00,-1.710E+01,-2.310E+01, 3.993E-02, 3.993E-02
 1.500E+02, 1.596E+03,-5.635E+02,-1.034E+03, 1.284E+01, 6.792E-01, 0.000E+00, 0.000E+00, 1.320E+01, 1.192E+01, 3.996E-02, 3.996E-02
 1.550E+02, 1.571E+03,-5.567E+02,-1.020E+03, 1.271E+01, 6.847E-01, 0.000E+00, 0.000E+00, 1.034E+01, 7.466E+00, 3.999E-02, 3.999E-02
 1.600E+02, 1.624E+03,-5.713E+02,-1.067E+03, 1.179E+01, 5.943E-01, 0.000E+00, 0.000E+00, 1.604E+00,-1.359E+00, 4.002E-02, 4.002E-02
 1.650E+02, 1.610E+03,-5.486E+02,-1.051E+03, 1.368E+01, 5.390E-01, 0.000E+00, 0.000E+00, 2.740E+01, 2.469E+01, 4.004E-02, 4.004E-02
 1.700E+02, 1.634E+03,-5.683E+02,-1.052E+03, 1.450E+01, 5.517E-01, 0.000E+00, 0.000E+00, 2.984E+01, 2.803E+01, 4.007E-02, 4.007E-02
 1.750E+02, 1.627E+03,-5.660E+02,-1.087E+03, 1.411E+01, 4.698E-01, 0.000E+00, 0.000E+00,-1.062E+01,-1.153E+01, 4.010E-02, 4.010E-02
 1.800E+02, 1.783E+03,-5.983E+02,-1.219E+03, 1.449E+01, 4.972E-01, 0.000E+00, 0.000E+00,-1.822E+01,-1.902E+01, 4.013E-02, 4.013E-02
 1.850E+02, 1.698E+03,-5.920E+02,-1.048E+03, 1.488E+01, 5.320E-01, 0.000E+00, 0.000E+00, 7.065E+01, 7.318E+01, 4.016E-02, 4.016E-02
 1.900E+02, 1.606E+03,-5.451E+02,-1.138E+03, 1.450E+01, 5.245E-01, 0.000E+00, 0.000E+00,-5.400E+01,-6.236E+01, 4.019E-02, 4.019E-02
 1.950E+02, 1.720E+03,-5.810E+02,-1.128E+03, 1.664E+01, 5.416E-01, 0.000E+00, 0.000E+00, 3.061E+01, 2.866E+01, 4.022E-02, 4.022E-02
 2.000E+02, 1.681E+03,-5.661E+02,-1.120E+03, 1.496E+01, 5.083E-01, 0.000E+00, 0.000E+00, 9.333E+00, 1.028E+01, 4.024E-02, 4.024E-02
 2.050E+02, 1.762E+03,-5.918E+02,-1.181E+03, 1.512E+01, 5.104E-01, 0.000E+00, 0.000E+00, 7.954E+00, 4.429E+00, 4.027E-02, 4.027E-02
