s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 2.700E+02, 4.122E+02,-2.599E+02,-1.423E+02, 3.077E-01, 0.000E+00, 0.000E+00,-4.642E+00, 6.674E+00, 5.612E+00, 0.000E+00, 1.027E-02, 0.000E+00, 0.000E+00
 2.800E+02, 4.603E+02,-2.769E+02,-1.671E+02, 9.929E-01, 0.000E+00, 0.000E+00,-4.671E+00, 1.345E+01, 1.259E+01, 0.000E+00, 1.030E-02, 0.000E+00, 0.000E+00
 2.900E+02, 4.209E+02,-2.641E+02,-1.509E+02, 2.192E+00, 0.000E+00, 0.000E+00,-4.698E+00, 4.454E+00, 3.406E+00, 0.000E+00, 1.035E-02, 0.000E+00, 0.000E+00
 3.000E+02, 4.683E+02,-2.736E+02,-1.864E+02, 2.078E+00, 0.000E+00, 0.000E+00,-4.802E+00, 6.344E+00, 5.564E+00, 0.000E+00, 1.058E-02, 0.000E+00, 0.000E+00
 3.100E+02, 4.229E+02,-2.565E+02,-1.605E+02, 1.814E+00, 0.000E+00, 0.000E+00,-4.824E+00, 3.642E+00, 2.831E+00, 0.000E+00, 1.064E-02, 0.000E+00, 0.000E+00
 3.200E+02, 4.947E+02,-2.879E+02,-1.794E+02, 8.444E-01, 0.000E+00, 0.000E+00,-4.805E+00, 2.478E+01, 2.346E+01, 0.000E+00, 1.061E-02, 0.000E+00, 0.000E+00
 3.300E+02, 4.243E+02,-2.594E+02,-1.669E+02, 2.045E+00, 0.000E+00, 0.000E+00,-4.841E+00,-3.365E+00,-4.841E+00, 0.000E+00, 1.068E-02, 0.000E+00, 0.000E+00
 3.400E+02, 4.580E+02,-2.621E+02,-1.820E+02, 1.563E+00, 0.000E+00, 0.000E+00,-4.870E+00, 1.138E+01, 1.061E+01, 0.000E+00, 1.076E-02, 0.000E+00, 0.000E+00
 3.500E+02, 4.685E+02,-2.589E+02,-2.157E+02, 3.128E+00, 0.000E+00, 0.000E+00,-4.908E+00,-6.660E+00,-7.831E+00, 0.000E+00, 1.080E-02, 0.000E+00, 0.000E+00
 3.600E+02, 5.058E+02,-2.669E+02,-2.274E+02, 2.805E+00, 0.000E+00, 0.000E+00,-4.974E+00, 1.055E+01, 9.391E+00, 0.000E+00, 1.094E-02, 0.000E+00, 0.000E+00
 3.700E+02, 4.885E+02,-2.757E+02,-2.080E+02, 1.899E+00, 0.000E+00, 0.000E+00,-4.943E+00, 2.992E+00, 1.754E+00, 0.000E+00, 1.088E-02, 0.000E+00, 0.000E+00
 3.800E+02, 4.739E+02,-2.448E+02,-2.114E+02, 3.235E+00, 0.000E+00, 0.000E+00,-4.995E+00, 1.677E+01, 1.587E+01, 0.000E+00, 1.105E-02, 0.000E+00, 0.000E+00
 3.900E+02, 4.807E+02,-2.629E+02,-2.308E+02, 3.235E+00, 0.000E+00, 0.000E+00,-4.991E+00,-1.324E+01,-1.473E+01, 0.000E+00, 1.102E-02, 0.000E+00, 0.000E+00
 4.000E+02, 4.704E+02,-2.471E+02,-2.200E+02, 2.736E+00, 0.000E+00, 0.000E+00,-5.039E+00, 2.138E+00, 9.700E-01, 0.000E+00, 1.108E-02, 0.000E+00, 0.000E+00
 4.100E+02, 4.962E+02,-2.735E+02,-2.012E+02, 3.289E+00, 0.000E+00, 0.000E+00,-5.006E+00, 2.104E+01, 1.981E+01, 0.000E+00, 1.106E-02, 0.000E+00, 0.000E+00
 4.200E+02, 4.824E+02,-2.604E+02,-2.250E+02, 3.179E+00, 0.000E+00, 0.000E+00,-5.109E+00,-3.978E+00,-4.924E+00, 0.000E+00, 1.128E-02, 0.000E+00, 0.000E+00
 4.300E+02, 4.508E+02,-2.461E+02,-2.100E+02, 3.449E+00, 0.000E+00, 0.000E+00,-5.131E+00,-5.478E+00,-6.876E+00, 0.000E+00, 1.131E-02, 0.000E+00, 0.000E+00
 4.400E+02, 4.979E+02,-2.529E+02,-2.297E+02, 2.874E+00, 0.000E+00, 0.000E+00,-5.158E+00, 1.384E+01, 1.306E+01, 0.000E+00, 1.140E-02, 0.000E+00, 0.000E+00
 4.500E+02, 4.457E+02,-2.475E+02,-1.879E+02, 3.559E+00, 0.000E+00, 0.000E+00,-5.243E+00, 9.714E+00, 8.610E+00, 0.000E+00, 1.161E-02, 0.000E+00, 0.000E+00
 4.600E+02, 4.432E+02,-2.293E+02,-2.178E+02, 3.222E+00, 0.000E+00, 0.000E+00,-5.317E+00,-4.252E+00,-6.000E+00, 0.000E+00, 1.175E-02, 0.000E+00, 0.000E+00
 4.700E+02, 4.496E+02,-2.372E+02,-1.984E+02, 3.054E+00, 0.000E+00, 0.000E+00,-5.434E+00, 1.220E+01, 1.153E+01, 0.000E+00, 1.198E-02, 0.000E+00, 0.000E+00
 4.800E+02, 4.756E+02,-2.429E+02,-2.360E+02, 3.385E+00, 0.000E+00, 0.000E+00,-5.492E+00,-3.966E+00,-5.345E+00, 0.000E+00, 1.215E-02, 0.000E+00, 0.000E+00
 4.900E+02, 4.446E+02,-2.357E+02,-1.990E+02, 3.473E+00, 0.000E+00, 0.000E+00,-5.642E+00, 9.122E+00, 7.770E+00, 0.000E+00, 1.250E-02, 0.000E+00, 0.000E+00
 5.000E+02, 4.964E+02,-2.377E+02,-2.558E+02, 3.190E+00, 0.000E+00, 0.000E+00,-5.731E+00, 1.488E+00, 2.975E-01, 0.000E+00, 1.266E-02, 0.000E+00, 0.000E+00
 5.100E+02, 4.887E+02,-2.433E+02,-2.340E+02, 2.969E+00, 0.000E+00, 0.000E+00,-5.809E+00, 1.010E+01, 8.489E+00, 0.000E+00, 1.288E-02, 0.000E+00, 0.000E+00
 5.200E+02, 4.796E+02,-2.293E+02,-2.354E+02, 3.665E+00, 0.000E+00, 0.000E+00,-5.869E+00, 1.401E+01, 1.265E+01, 0.000E+00, 1.303E-02, 0.000E+00, 0.000E+00
 5.300E+02, 4.670E+02,-2.206E+02,-2.361E+02, 2.883E+00, 0.000E+00, 0.000E+00,-5.841E+00, 9.060E+00, 7.310E+00, 0.000E+00, 1.317E-02, 0.000E+00, 0.000E+00
 5.400E+02, 4.629E+02,-2.103E+02,-2.534E+02, 3.797E+00, 0.000E+00, 0.000E+00,-5.923E+00,-1.328E+00,-2.889E+00, 0.000E+00, 1.329E-02, 0.000E+00, 0.000E+00
 5.500E+02, 5.122E+02,-2.320E+02,-2.746E+02, 2.722E+00, 0.000E+00, 0.000E+00,-6.076E+00, 3.831E+00, 2.298E+00, 0.000E+00, 1.356E-02, 0.000E+00, 0.000E+00
 5.600E+02, 5.582E+02,-2.357E+02,-3.179E+02, 3.306E+00, 0.000E+00, 0.000E+00,-5.818E+00, 3.008E+00, 2.062E+00, 0.000E+00, 1.362E-02, 0.000E+00, 0.000E+00
