s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ISOPROPANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-3.652E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.658E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 3.762E+01, 0.000E+00,-9.880E-01, 7.107E-01,-8.540E-01, 5.133E-02, 0.000E+00, 0.000E+00, 3.598E+01, 3.654E+01, 0.000E+00, 1.242E-03, 0.000E+00, 0.000E+00
 2.002E+01, 1.137E+02, 0.000E+00,-1.006E+01, 1.931E+00,-5.500E+00, 1.447E-01, 0.000E+00, 0.000E+00, 1.001E+02, 1.002E+02, 0.000E+00, 3.701E-03, 0.000E+00, 0.000E+00
 3.001E+01, 1.897E+02, 0.000E+00,-2.683E+01,-8.455E+00,-8.810E+00, 2.244E-01, 0.000E+00, 0.000E+00, 1.457E+02, 1.459E+02, 0.000E+00, 6.162E-03, 0.000E+00, 0.000E+00
 4.000E+01, 2.658E+02, 0.000E+00,-5.103E+01,-3.934E+01,-1.320E+01, 2.968E-01, 0.000E+00, 0.000E+00, 1.624E+02, 1.625E+02, 0.000E+00, 8.622E-03, 0.000E+00, 0.000E+00
 5.002E+01, 3.385E+02, 0.000E+00,-8.701E+01,-7.786E+01,-1.498E+01, 3.557E-01, 0.000E+00, 0.000E+00, 1.588E+02, 1.590E+02, 0.000E+00, 1.109E-02, 0.000E+00, 0.000E+00
 6.000E+01, 4.154E+02, 0.000E+00,-1.387E+02,-1.180E+02,-1.440E+01, 4.089E-01, 0.000E+00, 0.000E+00, 1.446E+02, 1.447E+02, 0.000E+00, 1.355E-02, 0.000E+00, 0.000E+00
 7.001E+01, 4.888E+02, 0.000E+00,-2.047E+02,-1.542E+02,-1.157E+01, 4.459E-01, 0.000E+00, 0.000E+00, 1.187E+02, 1.188E+02, 0.000E+00, 1.601E-02, 0.000E+00, 0.000E+00
 8.000E+01, 5.588E+02, 0.000E+00,-2.693E+02,-1.776E+02,-5.597E+00, 4.647E-01, 0.000E+00, 0.000E+00, 1.066E+02, 1.067E+02, 0.000E+00, 1.847E-02, 0.000E+00, 0.000E+00
 9.002E+01, 6.264E+02, 0.000E+00,-3.303E+02,-2.041E+02,-1.295E+00, 4.575E-01, 0.000E+00, 0.000E+00, 9.105E+01, 9.114E+01, 0.000E+00, 2.094E-02, 0.000E+00, 0.000E+00
 1.000E+02, 6.715E+02, 0.000E+00,-3.758E+02,-2.185E+02, 1.767E+00, 3.969E-01, 0.000E+00, 0.000E+00, 7.933E+01, 7.927E+01, 0.000E+00, 2.340E-02, 0.000E+00, 0.000E+00
