s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_STYRENE
 0.000E+00, 0.000E+00, 0.000E+00,-3.652E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.658E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.004E+01, 9.316E+00, 0.000E+00,-2.744E-02, 1.751E-01,-8.048E-03,-1.252E-02, 0.000E+00, 0.000E+00, 9.244E+00, 9.443E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.347E-04
 2.003E+01, 2.793E+01, 0.000E+00,-3.942E-01, 4.955E-01,-1.462E+00,-3.697E-02, 0.000E+00, 0.000E+00, 2.647E+01, 2.654E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.945E-04
 3.002E+01, 4.688E+01, 0.000E+00,-1.226E+00, 6.506E-01,-2.970E+00,-6.046E-02, 0.000E+00, 0.000E+00, 4.321E+01, 4.327E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.156E-03
 4.002E+01, 6.575E+01, 0.000E+00,-2.683E+00,-2.551E+00,-4.802E+00,-8.370E-02, 0.000E+00, 0.000E+00, 5.557E+01, 5.563E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.616E-03
 5.002E+01, 8.461E+01, 0.000E+00,-5.367E+00,-7.943E+00,-7.113E+00,-1.054E-01, 0.000E+00, 0.000E+00, 6.405E+01, 6.408E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.078E-03
 6.001E+01, 1.036E+02, 0.000E+00,-9.062E+00,-1.697E+01,-8.963E+00,-1.273E-01, 0.000E+00, 0.000E+00, 6.846E+01, 6.849E+01, 0.000E+00, 0.000E+00, 0.000E+00, 2.539E-03
 7.000E+01, 1.225E+02, 0.000E+00,-1.371E+01,-2.645E+01,-1.093E+01,-1.493E-01, 0.000E+00, 0.000E+00, 7.124E+01, 7.123E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.000E-03
 8.002E+01, 1.414E+02, 0.000E+00,-1.883E+01,-4.116E+01,-1.251E+01,-1.718E-01, 0.000E+00, 0.000E+00, 6.873E+01, 6.873E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.462E-03
 9.001E+01, 1.604E+02, 0.000E+00,-2.699E+01,-5.460E+01,-1.395E+01,-1.936E-01, 0.000E+00, 0.000E+00, 6.463E+01, 6.471E+01, 0.000E+00, 0.000E+00, 0.000E+00, 3.923E-03
 1.000E+02, 1.796E+02, 0.000E+00,-3.715E+01,-6.358E+01,-1.472E+01,-2.142E-01, 0.000E+00, 0.000E+00, 6.391E+01, 6.394E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.384E-03
 1.100E+02, 1.969E+02, 0.000E+00,-5.310E+01,-7.410E+01,-1.445E+01,-2.364E-01, 0.000E+00, 0.000E+00, 5.502E+01, 5.505E+01, 0.000E+00, 0.000E+00, 0.000E+00, 4.846E-03
 1.200E+02, 2.165E+02, 0.000E+00,-6.733E+01,-8.507E+01,-1.413E+01,-2.534E-01, 0.000E+00, 0.000E+00, 4.970E+01, 4.971E+01, 0.000E+00, 0.000E+00, 0.000E+00, 5.308E-03
 1.300E+02, 2.355E+02, 0.000E+00,-8.112E+01,-9.720E+01,-1.262E+01,-2.715E-01, 0.000E+00, 0.000E+00, 4.423E+01, 4.426E+01, 0.000E+00, 0.000E+00, 0.000E+00, 5.769E-03
 1.400E+02, 2.530E+02, 0.000E+00,-9.459E+01,-1.089E+02,-1.074E+01,-2.882E-01, 0.000E+00, 0.000E+00, 3.829E+01, 3.846E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.231E-03
 1.500E+02, 2.727E+02, 0.000E+00,-1.085E+02,-1.145E+02,-8.357E+00,-3.125E-01, 0.000E+00, 0.000E+00, 4.102E+01, 4.097E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.692E-03
 1.600E+02, 2.932E+02, 0.000E+00,-1.195E+02,-1.327E+02,-6.247E+00,-3.264E-01, 0.000E+00, 0.000E+00, 3.454E+01, 3.450E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.153E-03
 1.700E+02, 3.087E+02, 0.000E+00,-1.322E+02,-1.383E+02,-3.676E+00,-3.408E-01, 0.000E+00, 0.000E+00, 3.413E+01, 3.408E+01, 0.000E+00, 0.000E+00, 0.000E+00, 7.614E-03
 1.800E+02, 3.294E+02, 0.000E+00,-1.444E+02,-1.512E+02,-1.239E+00,-3.599E-01, 0.000E+00, 0.000E+00, 3.241E+01, 3.233E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.076E-03
 1.900E+02, 3.477E+02, 0.000E+00,-1.571E+02,-1.590E+02, 9.641E-01,-3.726E-01, 0.000E+00, 0.000E+00, 3.211E+01, 3.217E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.537E-03
 2.000E+02, 3.663E+02, 0.000E+00,-1.669E+02,-1.724E+02, 3.055E+00,-3.924E-01, 0.000E+00, 0.000E+00, 2.949E+01, 2.964E+01, 0.000E+00, 0.000E+00, 0.000E+00, 8.949E-03
 2.100E+02, 3.687E+02, 0.000E+00,-1.731E+02,-1.729E+02, 3.889E+00,-3.863E-01, 0.000E+00, 0.000E+00, 2.629E+01, 2.614E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.063E-03
 2.200E+02, 3.721E+02, 0.000E+00,-1.753E+02,-1.858E+02, 5.280E+00,-3.850E-01, 0.000E+00, 0.000E+00, 1.606E+01, 1.590E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.128E-03
 2.300E+02, 3.802E+02, 0.000E+00,-1.803E+02,-1.834E+02, 6.528E+00,-3.884E-01, 0.000E+00, 0.000E+00, 2.288E+01, 2.257E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.193E-03
 2.400E+02, 3.745E+02, 0.000E+00,-1.804E+02,-1.935E+02, 7.799E+00,-3.906E-01, 0.000E+00, 0.000E+00, 8.307E+00, 7.996E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.259E-03
 2.500E+02, 3.848E+02, 0.000E+00,-1.815E+02,-1.957E+02, 8.137E+00,-3.969E-01, 0.000E+00, 0.000E+00, 1.560E+01, 1.540E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.324E-03
 2.600E+02, 3.823E+02, 0.000E+00,-1.799E+02,-1.915E+02, 8.695E+00,-3.880E-01, 0.000E+00, 0.000E+00, 1.943E+01, 1.921E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.389E-03
 2.700E+02, 3.886E+02, 0.000E+00,-1.816E+02,-2.081E+02, 8.389E+00,-3.849E-01, 0.000E+00, 0.000E+00, 7.098E+00, 6.887E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.454E-03
 2.800E+02, 3.881E+02, 0.000E+00,-1.824E+02,-2.045E+02, 9.069E+00,-3.837E-01, 0.000E+00, 0.000E+00, 9.850E+00, 9.825E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.520E-03
 2.900E+02, 3.909E+02, 0.000E+00,-1.819E+02,-2.113E+02, 9.447E+00,-3.820E-01, 0.000E+00, 0.000E+00, 7.112E+00, 6.797E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.585E-03
 3.000E+02, 3.954E+02, 0.000E+00,-1.858E+02,-2.150E+02, 1.067E+01,-3.712E-01, 0.000E+00, 0.000E+00, 5.115E+00, 4.881E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.650E-03
 3.100E+02, 3.955E+02, 0.000E+00,-1.833E+02,-2.176E+02, 1.209E+01,-3.960E-01, 0.000E+00, 0.000E+00, 6.577E+00, 6.259E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.715E-03
 3.200E+02, 3.988E+02, 0.000E+00,-1.820E+02,-2.195E+02, 1.100E+01,-3.743E-01, 0.000E+00, 0.000E+00, 8.279E+00, 7.989E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.780E-03
 3.300E+02, 4.072E+02, 0.000E+00,-1.871E+02,-2.197E+02, 1.109E+01,-3.891E-01, 0.000E+00, 0.000E+00, 1.127E+01, 1.118E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.846E-03
 3.400E+02, 4.055E+02, 0.000E+00,-1.870E+02,-2.281E+02, 1.185E+01,-3.835E-01, 0.000E+00, 0.000E+00, 2.074E+00, 1.867E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.911E-03
 3.500E+02, 4.083E+02, 0.000E+00,-1.857E+02,-2.209E+02, 1.150E+01,-3.885E-01, 0.000E+00, 0.000E+00, 1.323E+01, 1.286E+01, 0.000E+00, 0.000E+00, 0.000E+00, 9.976E-03
 3.600E+02, 4.106E+02, 0.000E+00,-1.901E+02,-2.258E+02, 1.145E+01,-3.866E-01, 0.000E+00, 0.000E+00, 6.060E+00, 5.740E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.004E-02
 3.700E+02, 4.071E+02, 0.000E+00,-1.892E+02,-2.254E+02, 1.251E+01,-3.819E-01, 0.000E+00, 0.000E+00, 5.290E+00, 4.617E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.011E-02
 3.800E+02, 4.153E+02, 0.000E+00,-1.919E+02,-2.319E+02, 1.316E+01,-3.704E-01, 0.000E+00, 0.000E+00, 4.784E+00, 4.283E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.017E-02
 3.900E+02, 4.123E+02, 0.000E+00,-1.930E+02,-2.284E+02, 1.334E+01,-3.655E-01, 0.000E+00, 0.000E+00, 4.085E+00, 3.871E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.024E-02
 4.000E+02, 4.196E+02, 0.000E+00,-1.969E+02,-2.364E+02, 1.382E+01,-3.645E-01, 0.000E+00, 0.000E+00, 7.038E-02,-2.025E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.030E-02
 4.100E+02, 4.240E+02, 0.000E+00,-1.970E+02,-2.321E+02, 1.444E+01,-3.742E-01, 0.000E+00, 0.000E+00, 9.068E+00, 8.917E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.037E-02
 4.200E+02, 4.378E+02, 0.000E+00,-2.019E+02,-2.333E+02, 1.479E+01,-3.800E-01, 0.000E+00, 0.000E+00, 1.744E+01, 1.700E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.043E-02
 4.300E+02, 4.241E+02, 0.000E+00,-1.987E+02,-2.384E+02, 1.515E+01,-3.692E-01, 0.000E+00, 0.000E+00, 1.892E+00, 1.758E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.050E-02
 4.400E+02, 4.250E+02, 0.000E+00,-1.991E+02,-2.393E+02, 1.639E+01,-3.656E-01, 0.000E+00, 0.000E+00, 2.713E+00, 2.644E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.056E-02
 4.500E+02, 4.372E+02, 0.000E+00,-1.968E+02,-2.569E+02, 1.600E+01,-3.685E-01, 0.000E+00, 0.000E+00,-6.833E-01,-8.319E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.063E-02
 4.600E+02, 4.351E+02, 0.000E+00,-2.007E+02,-2.432E+02, 1.627E+01,-3.685E-01, 0.000E+00, 0.000E+00, 7.537E+00, 7.166E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.069E-02
 4.700E+02, 4.352E+02, 0.000E+00,-2.017E+02,-2.430E+02, 1.555E+01,-3.729E-01, 0.000E+00, 0.000E+00, 5.831E+00, 5.607E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.076E-02
 4.800E+02, 4.439E+02, 0.000E+00,-2.021E+02,-2.548E+02, 1.627E+01,-3.826E-01, 0.000E+00, 0.000E+00, 3.055E+00, 2.890E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.082E-02
 4.900E+02, 4.470E+02, 0.000E+00,-2.037E+02,-2.552E+02, 1.584E+01,-3.785E-01, 0.000E+00, 0.000E+00, 3.960E+00, 3.604E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.089E-02
 5.000E+02, 4.501E+02, 0.000E+00,-2.029E+02,-2.508E+02, 1.534E+01,-3.786E-01, 0.000E+00, 0.000E+00, 1.181E+01, 1.143E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.095E-02
 5.100E+02, 4.499E+02, 0.000E+00,-2.058E+02,-2.593E+02, 1.635E+01,-3.826E-01, 0.000E+00, 0.000E+00, 9.874E-01, 7.610E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.102E-02
 5.200E+02, 4.544E+02, 0.000E+00,-2.079E+02,-2.566E+02, 1.657E+01,-3.859E-01, 0.000E+00, 0.000E+00, 6.187E+00, 6.090E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.108E-02
 5.300E+02, 4.521E+02, 0.000E+00,-2.066E+02,-2.649E+02, 1.670E+01,-3.971E-01, 0.000E+00, 0.000E+00,-2.586E+00,-3.118E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.115E-02
 5.400E+02, 4.577E+02, 0.000E+00,-2.055E+02,-2.587E+02, 1.626E+01,-3.881E-01, 0.000E+00, 0.000E+00, 9.882E+00, 9.415E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.121E-02
 5.500E+02, 4.640E+02, 0.000E+00,-2.102E+02,-2.650E+02, 1.644E+01,-3.843E-01, 0.000E+00, 0.000E+00, 5.365E+00, 4.851E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.128E-02
 5.600E+02, 4.603E+02, 0.000E+00,-2.084E+02,-2.680E+02, 1.666E+01,-3.751E-01, 0.000E+00, 0.000E+00, 2.566E-01, 7.921E-02, 0.000E+00, 0.000E+00, 0.000E+00, 1.135E-02
 5.700E+02, 4.660E+02, 0.000E+00,-2.083E+02,-2.723E+02, 1.717E+01,-3.880E-01, 0.000E+00, 0.000E+00, 2.446E+00, 2.146E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.141E-02
 5.800E+02, 4.670E+02, 0.000E+00,-2.104E+02,-2.687E+02, 1.660E+01,-4.011E-01, 0.000E+00, 0.000E+00, 4.401E+00, 4.135E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.148E-02
 5.900E+02, 4.758E+02, 0.000E+00,-2.107E+02,-2.735E+02, 1.813E+01,-3.922E-01, 0.000E+00, 0.000E+00, 9.532E+00, 9.413E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.154E-02
 6.000E+02, 4.700E+02, 0.000E+00,-2.085E+02,-2.785E+02, 1.694E+01,-3.914E-01, 0.000E+00, 0.000E+00,-2.808E-02,-4.159E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.161E-02
 6.100E+02, 4.805E+02, 0.000E+00,-2.168E+02,-2.842E+02, 1.726E+01,-4.029E-01, 0.000E+00, 0.000E+00,-2.890E+00,-3.692E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.167E-02
 6.200E+02, 4.770E+02, 0.000E+00,-2.128E+02,-2.731E+02, 1.808E+01,-3.939E-01, 0.000E+00, 0.000E+00, 9.334E+00, 8.866E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.174E-02
 6.300E+02, 4.776E+02, 0.000E+00,-2.130E+02,-2.895E+02, 1.804E+01,-4.021E-01, 0.000E+00, 0.000E+00,-6.754E+00,-7.255E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.180E-02
 6.400E+02, 4.804E+02, 0.000E+00,-2.130E+02,-2.748E+02, 1.826E+01,-4.013E-01, 0.000E+00, 0.000E+00, 1.081E+01, 1.044E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.187E-02
 6.500E+02, 4.921E+02, 0.000E+00,-2.210E+02,-2.864E+02, 1.835E+01,-3.885E-01, 0.000E+00, 0.000E+00, 3.018E+00, 2.689E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.193E-02
 6.600E+02, 4.919E+02, 0.000E+00,-2.180E+02,-2.878E+02, 1.877E+01,-4.054E-01, 0.000E+00, 0.000E+00, 4.651E+00, 4.416E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.200E-02
 6.700E+02, 4.811E+02, 0.000E+00,-2.179E+02,-2.796E+02, 1.756E+01,-4.001E-01, 0.000E+00, 0.000E+00, 9.671E-01, 6.947E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.206E-02
 6.800E+02, 5.003E+02, 0.000E+00,-2.204E+02,-2.933E+02, 1.734E+01,-3.988E-01, 0.000E+00, 0.000E+00, 4.121E+00, 3.527E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.213E-02
 6.900E+02, 4.993E+02, 0.000E+00,-2.274E+02,-2.828E+02, 1.737E+01,-4.085E-01, 0.000E+00, 0.000E+00, 6.421E+00, 6.018E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.219E-02
 7.000E+02, 5.076E+02, 0.000E+00,-2.255E+02,-2.990E+02, 1.823E+01,-4.138E-01, 0.000E+00, 0.000E+00, 1.262E+00, 9.212E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.226E-02
 7.100E+02, 5.042E+02, 0.000E+00,-2.233E+02,-2.875E+02, 1.810E+01,-4.153E-01, 0.000E+00, 0.000E+00, 1.128E+01, 1.102E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.232E-02
 7.200E+02, 5.050E+02, 0.000E+00,-2.242E+02,-3.053E+02, 1.877E+01,-4.067E-01, 0.000E+00, 0.000E+00,-5.694E+00,-6.168E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.239E-02
 7.300E+02, 5.041E+02, 0.000E+00,-2.267E+02,-2.897E+02, 1.901E+01,-4.009E-01, 0.000E+00, 0.000E+00, 6.611E+00, 6.289E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.245E-02
 7.400E+02, 5.069E+02, 0.000E+00,-2.283E+02,-2.942E+02, 1.810E+01,-4.011E-01, 0.000E+00, 0.000E+00, 2.415E+00, 2.106E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.252E-02
 7.500E+02, 5.268E+02, 0.000E+00,-2.327E+02,-3.041E+02, 1.883E+01,-4.110E-01, 0.000E+00, 0.000E+00, 9.108E+00, 8.389E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.258E-02
 7.600E+02, 5.056E+02, 0.000E+00,-2.258E+02,-3.027E+02, 1.885E+01,-4.160E-01, 0.000E+00, 0.000E+00,-3.988E+00,-4.406E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.265E-02
 7.700E+02, 5.211E+02, 0.000E+00,-2.349E+02,-2.950E+02, 1.893E+01,-4.120E-01, 0.000E+00, 0.000E+00, 1.018E+01, 9.684E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.271E-02
 7.800E+02, 5.230E+02, 0.000E+00,-2.349E+02,-3.036E+02, 1.841E+01,-4.133E-01, 0.000E+00, 0.000E+00, 2.682E+00, 2.448E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.278E-02
 7.900E+02, 5.294E+02, 0.000E+00,-2.378E+02,-3.028E+02, 1.903E+01,-4.268E-01, 0.000E+00, 0.000E+00, 7.851E+00, 7.362E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.285E-02
 8.000E+02, 5.197E+02, 0.000E+00,-2.342E+02,-3.123E+02, 1.955E+01,-4.181E-01, 0.000E+00, 0.000E+00,-7.342E+00,-7.657E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.291E-02
 8.100E+02, 5.426E+02, 0.000E+00,-2.407E+02,-3.102E+02, 1.893E+01,-4.258E-01, 0.000E+00, 0.000E+00, 1.066E+01, 1.017E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.308E-02
 8.200E+02, 5.405E+02, 0.000E+00,-2.378E+02,-3.237E+02, 1.855E+01,-4.336E-01, 0.000E+00, 0.000E+00,-2.421E+00,-2.864E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.384E-02
 8.300E+02, 5.721E+02, 0.000E+00,-2.654E+02,-3.079E+02, 1.720E+01,-4.428E-01, 0.000E+00, 0.000E+00, 1.608E+01, 1.562E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.471E-02
 8.400E+02, 6.328E+02, 0.000E+00,-3.029E+02,-3.401E+02, 1.832E+01,-4.612E-01, 0.000E+00, 0.000E+00, 7.663E+00, 7.602E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.557E-02
 8.500E+02, 6.580E+02, 0.000E+00,-3.200E+02,-3.287E+02, 1.813E+01,-4.885E-01, 0.000E+00, 0.000E+00, 2.711E+01, 2.686E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.644E-02
 8.600E+02, 6.545E+02, 0.000E+00,-3.280E+02,-3.414E+02, 1.729E+01,-4.848E-01, 0.000E+00, 0.000E+00, 2.398E+00, 1.870E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.730E-02
 8.700E+02, 7.314E+02, 0.000E+00,-3.633E+02,-3.639E+02, 1.868E+01,-5.214E-01, 0.000E+00, 0.000E+00, 2.291E+01, 2.236E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.817E-02
 8.800E+02, 7.513E+02, 0.000E+00,-3.836E+02,-3.772E+02, 1.936E+01,-5.206E-01, 0.000E+00, 0.000E+00, 9.874E+00, 9.325E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.904E-02
 8.900E+02, 7.957E+02, 0.000E+00,-4.100E+02,-3.849E+02, 1.869E+01,-5.407E-01, 0.000E+00, 0.000E+00, 1.981E+01, 1.895E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.990E-02
 9.000E+02, 8.071E+02, 0.000E+00,-4.217E+02,-3.948E+02, 1.910E+01,-5.490E-01, 0.000E+00, 0.000E+00, 9.583E+00, 9.173E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.065E-02
 9.100E+02, 8.196E+02, 0.000E+00,-4.289E+02,-4.019E+02, 1.925E+01,-5.420E-01, 0.000E+00, 0.000E+00, 7.938E+00, 7.509E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.069E-02
