s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NYLON
 0.000E+00, 0.000E+00, 0.000E+00,-3.652E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.658E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.010E+01, 3.100E-01, 0.000E+00, 4.031E-02, 1.145E-02, 1.739E-01,-6.184E-04, 0.000E+00, 0.000E+00, 5.207E-01, 5.350E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.098E-05
 2.001E+01, 9.192E-01, 0.000E+00, 4.651E-02, 2.074E-02, 1.604E-01,-1.809E-03, 0.000E+00, 0.000E+00, 1.137E+00, 1.145E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.191E-05
 3.006E+01, 1.531E+00, 0.000E+00, 3.795E-02, 3.189E-02, 8.417E-02,-2.990E-03, 0.000E+00, 0.000E+00, 1.676E+00, 1.682E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.287E-05
 4.008E+01, 2.153E+00, 0.000E+00, 2.582E-02, 4.269E-02,-1.428E-03,-4.185E-03, 0.000E+00, 0.000E+00, 2.211E+00, 2.216E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.400E-05
 5.008E+01, 2.770E+00, 0.000E+00, 9.139E-03, 5.353E-02,-8.468E-02,-5.363E-03, 0.000E+00, 0.000E+00, 2.737E+00, 2.743E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.509E-05
 6.001E+01, 3.385E+00, 0.000E+00,-1.169E-02, 6.382E-02,-1.568E-01,-6.535E-03, 0.000E+00, 0.000E+00, 3.268E+00, 3.274E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.161E-04
 7.002E+01, 4.003E+00, 0.000E+00,-3.729E-02, 6.405E-02,-2.568E-01,-7.707E-03, 0.000E+00, 0.000E+00, 3.759E+00, 3.765E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.371E-04
 8.005E+01, 4.621E+00, 0.000E+00,-6.633E-02,-4.583E-02,-3.572E-01,-8.888E-03, 0.000E+00, 0.000E+00, 4.136E+00, 4.142E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.582E-04
 9.006E+01, 5.243E+00, 0.000E+00,-1.001E-01,-1.083E-01,-4.487E-01,-1.004E-02, 0.000E+00, 0.000E+00, 4.569E+00, 4.576E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.793E-04
 1.000E+02, 5.854E+00, 0.000E+00,-1.384E-01,-1.418E-01,-5.608E-01,-1.121E-02, 0.000E+00, 0.000E+00, 4.995E+00, 5.002E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.004E-04
 1.100E+02, 6.472E+00, 0.000E+00,-1.794E-01,-3.585E-01,-6.742E-01,-1.237E-02, 0.000E+00, 0.000E+00, 5.240E+00, 5.247E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.214E-04
 1.201E+02, 7.086E+00, 0.000E+00,-2.251E-01,-4.747E-01,-7.723E-01,-1.350E-02, 0.000E+00, 0.000E+00, 5.592E+00, 5.601E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.425E-04
 1.300E+02, 7.710E+00, 0.000E+00,-2.756E-01,-5.962E-01,-8.938E-01,-1.466E-02, 0.000E+00, 0.000E+00, 5.923E+00, 5.930E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.636E-04
 1.400E+02, 8.327E+00, 0.000E+00,-3.283E-01,-7.876E-01,-1.055E+00,-1.585E-02, 0.000E+00, 0.000E+00, 6.129E+00, 6.140E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.847E-04
 1.500E+02, 8.933E+00, 0.000E+00,-3.842E-01,-1.029E+00,-1.180E+00,-1.699E-02, 0.000E+00, 0.000E+00, 6.315E+00, 6.323E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.057E-04
 1.600E+02, 9.570E+00, 0.000E+00,-4.434E-01,-1.257E+00,-1.299E+00,-1.813E-02, 0.000E+00, 0.000E+00, 6.542E+00, 6.553E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.268E-04
 1.700E+02, 1.018E+01, 0.000E+00,-5.070E-01,-1.471E+00,-1.415E+00,-1.929E-02, 0.000E+00, 0.000E+00, 6.755E+00, 6.766E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.479E-04
 1.800E+02, 1.079E+01, 0.000E+00,-5.715E-01,-1.907E+00,-1.494E+00,-2.046E-02, 0.000E+00, 0.000E+00, 6.790E+00, 6.802E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.689E-04
 1.900E+02, 1.141E+01, 0.000E+00,-6.391E-01,-1.994E+00,-1.632E+00,-2.168E-02, 0.000E+00, 0.000E+00, 7.106E+00, 7.122E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.900E-04
 2.000E+02, 1.205E+01, 0.000E+00,-7.069E-01,-2.366E+00,-1.812E+00,-2.280E-02, 0.000E+00, 0.000E+00, 7.125E+00, 7.137E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.110E-04
 2.100E+02, 1.265E+01, 0.000E+00,-7.736E-01,-2.807E+00,-1.936E+00,-2.395E-02, 0.000E+00, 0.000E+00, 7.101E+00, 7.110E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.321E-04
 2.200E+02, 1.326E+01, 0.000E+00,-8.437E-01,-2.849E+00,-2.111E+00,-2.494E-02, 0.000E+00, 0.000E+00, 7.417E+00, 7.431E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.533E-04
 2.300E+02, 1.388E+01, 0.000E+00,-9.209E-01,-3.483E+00,-2.192E+00,-2.616E-02, 0.000E+00, 0.000E+00, 7.250E+00, 7.262E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.743E-04
 2.400E+02, 1.450E+01, 0.000E+00,-9.999E-01,-3.671E+00,-2.296E+00,-2.721E-02, 0.000E+00, 0.000E+00, 7.493E+00, 7.510E+00, 0.000E+00, 0.000E+00, 0.000E+00, 4.954E-04
