s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.200E+02, 1.785E+03,-6.044E+02,-1.189E+03, 1.667E+01, 6.763E-01, 0.000E+00, 0.000E+00, 1.089E+01, 9.695E+00, 4.023E-02, 4.023E-02
 3.300E+02, 1.807E+03,-5.972E+02,-1.255E+03, 1.816E+01, 6.737E-01, 0.000E+00, 0.000E+00,-2.417E+01,-2.650E+01, 4.022E-02, 4.022E-02
 3.400E+02, 1.742E+03,-5.882E+02,-1.160E+03, 1.829E+01, 6.329E-01, 0.000E+00, 0.000E+00, 1.396E+01, 1.316E+01, 4.021E-02, 4.021E-02
 3.500E+02, 1.838E+03,-6.056E+02,-1.248E+03, 2.021E+01, 6.517E-01, 0.000E+00, 0.000E+00, 3.810E+00, 4.766E+00, 4.019E-02, 4.019E-02
 3.600E+02, 1.746E+03,-5.910E+02,-1.169E+03, 2.159E+01, 6.465E-01, 0.000E+00, 0.000E+00, 7.943E+00, 7.336E+00, 4.018E-02, 4.018E-02
 3.700E+02, 1.902E+03,-6.453E+02,-1.261E+03, 1.785E+01, 6.339E-01, 0.000E+00, 0.000E+00, 1.719E+01, 1.441E+01, 4.016E-02, 4.016E-02
 3.800E+02, 1.889E+03,-6.545E+02,-1.284E+03, 1.786E+01, 7.028E-01, 0.000E+00, 0.000E+00,-2.845E+01,-3.077E+01, 4.015E-02, 4.015E-02
 3.900E+02, 1.781E+03,-6.099E+02,-1.195E+03, 1.987E+01, 6.634E-01, 0.000E+00, 0.000E+00,-3.778E+00,-3.567E+00, 4.014E-02, 4.014E-02
 4.000E+02, 1.819E+03,-6.083E+02,-1.227E+03, 1.817E+01, 7.127E-01, 0.000E+00, 0.000E+00, 4.760E+00, 2.529E+00, 4.012E-02, 4.012E-02
 4.100E+02, 1.730E+03,-5.820E+02,-1.178E+03, 1.946E+01, 6.343E-01, 0.000E+00, 0.000E+00,-9.217E+00,-9.781E+00, 4.011E-02, 4.011E-02
 4.200E+02, 1.849E+03,-6.226E+02,-1.242E+03, 1.927E+01, 6.615E-01, 0.000E+00, 0.000E+00, 8.783E+00, 4.749E+00, 3.967E-02, 3.967E-02
 4.300E+02, 1.685E+03,-5.711E+02,-1.121E+03, 1.714E+01, 6.162E-01, 0.000E+00, 0.000E+00, 1.114E+01, 1.020E+01, 3.666E-02, 3.666E-02
 4.400E+02, 1.828E+03,-6.394E+02,-1.244E+03, 1.771E+01, 6.365E-01, 0.000E+00, 0.000E+00,-3.687E+01,-3.792E+01, 3.323E-02, 3.323E-02
 4.500E+02, 1.624E+03,-5.584E+02,-1.087E+03, 1.991E+01, 5.860E-01, 0.000E+00, 0.000E+00, 1.312E+00,-5.092E-01, 2.980E-02, 2.980E-02
 4.600E+02, 1.604E+03,-5.737E+02,-1.068E+03, 1.978E+01, 5.290E-01, 0.000E+00, 0.000E+00,-1.490E+01,-1.741E+01, 2.638E-02, 2.638E-02
 4.700E+02, 1.576E+03,-5.844E+02,-1.055E+03, 1.935E+01, 5.192E-01, 0.000E+00, 0.000E+00,-4.160E+01,-4.414E+01, 2.331E-02, 2.331E-02
 4.800E+02, 1.491E+03,-5.592E+02,-9.690E+02, 2.109E+01, 4.915E-01, 0.000E+00, 0.000E+00,-1.344E+01,-1.522E+01, 2.241E-02, 2.241E-02
 4.900E+02, 1.362E+03,-5.190E+02,-9.074E+02, 2.149E+01, 5.437E-01, 0.000E+00, 0.000E+00,-3.997E+01,-4.223E+01, 2.187E-02, 2.187E-02
 5.000E+02, 1.277E+03,-5.040E+02,-8.153E+02, 2.377E+01, 5.177E-01, 0.000E+00, 0.000E+00,-1.590E+01,-1.843E+01, 2.133E-02, 2.133E-02
 5.100E+02, 1.125E+03,-4.591E+02,-7.001E+02, 2.257E+01, 5.201E-01, 0.000E+00, 0.000E+00,-8.662E+00,-1.140E+01, 2.079E-02, 2.079E-02
 5.200E+02, 1.020E+03,-4.468E+02,-6.050E+02, 2.551E+01, 4.936E-01, 0.000E+00, 0.000E+00,-2.838E+00,-5.724E+00, 1.939E-02, 1.939E-02
 5.300E+02, 9.525E+02,-4.388E+02,-5.809E+02, 2.738E+01, 3.671E-01, 0.000E+00, 0.000E+00,-3.744E+01,-3.941E+01, 1.286E-02, 1.286E-02
 5.400E+02, 1.013E+03,-4.646E+02,-6.113E+02, 2.546E+01, 2.168E-01, 0.000E+00, 0.000E+00,-3.448E+01,-3.694E+01, 5.479E-03, 5.479E-03
 5.500E+02, 4.114E+02,-1.576E+02,-3.978E+02, 3.470E+01, 9.001E-02, 0.000E+00, 0.000E+00,-1.074E+02,-1.092E+02, 1.744E-03, 1.744E-03
 5.600E+02, 8.015E+01, 8.399E+01,-2.988E+02, 4.390E+01, 8.768E-02, 0.000E+00, 0.000E+00,-8.991E+01,-9.067E+01, 1.631E-03, 1.631E-03
 5.700E+02, 6.796E+01, 1.053E+02,-2.812E+02, 4.478E+01, 8.185E-02, 0.000E+00, 0.000E+00,-6.238E+01,-6.307E+01, 1.519E-03, 1.519E-03
 5.800E+02, 6.470E+01, 9.809E+01,-2.547E+02, 4.826E+01, 7.518E-02, 0.000E+00, 0.000E+00,-4.288E+01,-4.360E+01, 1.406E-03, 1.406E-03
 5.900E+02, 5.845E+01, 9.309E+01,-2.423E+02, 4.809E+01, 6.993E-02, 0.000E+00, 0.000E+00,-4.190E+01,-4.261E+01, 1.294E-03, 1.294E-03
 6.000E+02, 5.406E+01, 8.630E+01,-2.275E+02, 4.947E+01, 6.469E-02, 0.000E+00, 0.000E+00,-3.682E+01,-3.761E+01, 1.181E-03, 1.181E-03
 6.100E+02, 4.846E+01, 8.041E+01,-2.174E+02, 5.144E+01, 5.982E-02, 0.000E+00, 0.000E+00,-3.670E+01,-3.700E+01, 1.069E-03, 1.069E-03
 6.200E+02, 4.308E+01, 7.555E+01,-2.077E+02, 5.324E+01, 5.432E-02, 0.000E+00, 0.000E+00,-3.510E+01,-3.578E+01, 9.561E-04, 9.561E-04
 6.300E+02, 3.806E+01, 7.271E+01,-1.943E+02, 5.443E+01, 4.815E-02, 0.000E+00, 0.000E+00,-2.864E+01,-2.906E+01, 8.435E-04, 8.435E-04
 6.400E+02, 3.303E+01, 6.992E+01,-1.851E+02, 5.479E+01, 4.204E-02, 0.000E+00, 0.000E+00,-2.639E+01,-2.731E+01, 7.310E-04, 7.310E-04
 6.500E+02, 2.796E+01, 6.756E+01,-1.775E+02, 5.444E+01, 3.578E-02, 0.000E+00, 0.000E+00,-2.696E+01,-2.747E+01, 6.186E-04, 6.186E-04
 6.600E+02, 2.289E+01, 6.518E+01,-1.711E+02, 5.383E+01, 2.945E-02, 0.000E+00, 0.000E+00,-2.834E+01,-2.915E+01, 5.060E-04, 5.060E-04
 6.700E+02, 1.781E+01, 6.211E+01,-1.597E+02, 5.380E+01, 2.306E-02, 0.000E+00, 0.000E+00,-2.543E+01,-2.594E+01, 3.934E-04, 3.934E-04
 6.800E+02, 1.278E+01, 5.858E+01,-1.484E+02, 5.415E+01, 1.651E-02, 0.000E+00, 0.000E+00,-2.242E+01,-2.283E+01, 2.809E-04, 2.809E-04
 6.900E+02, 7.698E+00, 5.546E+01,-1.438E+02, 5.386E+01, 9.974E-03, 0.000E+00, 0.000E+00,-2.650E+01,-2.673E+01, 1.683E-04, 1.683E-04
 7.000E+02, 2.653E+00, 5.111E+01,-1.352E+02, 5.448E+01, 3.325E-03, 0.000E+00, 0.000E+00,-2.635E+01,-2.692E+01, 5.586E-05, 5.586E-05
 7.100E+02, 3.515E-03, 4.682E+01,-1.270E+02, 5.488E+01, 1.707E-17, 0.000E+00, 0.000E+00,-2.501E+01,-2.532E+01, 0.000E+00, 0.000E+00
 7.200E+02, 0.000E+00, 4.326E+01,-1.198E+02, 5.467E+01, 1.656E-17, 0.000E+00, 0.000E+00,-2.152E+01,-2.187E+01, 0.000E+00, 0.000E+00
 7.300E+02, 0.000E+00, 4.024E+01,-1.146E+02, 5.452E+01, 1.359E-17, 0.000E+00, 0.000E+00,-1.942E+01,-1.980E+01, 0.000E+00, 0.000E+00
 7.400E+02, 0.000E+00, 3.777E+01,-1.109E+02, 5.408E+01, 4.589E-18, 0.000E+00, 0.000E+00,-1.890E+01,-1.901E+01, 0.000E+00, 0.000E+00
 7.500E+02, 0.000E+00, 3.573E+01,-1.053E+02, 5.324E+01, 2.226E-17, 0.000E+00, 0.000E+00,-1.613E+01,-1.634E+01, 0.000E+00, 0.000E+00
 7.600E+02, 2.222E-10, 3.389E+01,-1.022E+02, 5.216E+01, 1.571E-17, 0.000E+00, 0.000E+00,-1.572E+01,-1.612E+01, 0.000E+00, 0.000E+00
 7.700E+02, 0.000E+00, 3.232E+01,-9.543E+01, 5.122E+01, 1.511E-17, 0.000E+00, 0.000E+00,-1.168E+01,-1.189E+01, 0.000E+00, 0.000E+00
 7.800E+02, 0.000E+00, 3.083E+01,-9.492E+01, 5.025E+01, 1.185E-17, 0.000E+00, 0.000E+00,-1.370E+01,-1.384E+01, 0.000E+00, 0.000E+00
 7.900E+02, 0.000E+00, 2.955E+01,-8.972E+01, 4.896E+01,-1.203E-17, 0.000E+00, 0.000E+00,-1.095E+01,-1.121E+01, 0.000E+00, 0.000E+00
 8.000E+02, 0.000E+00, 2.826E+01,-8.827E+01, 4.827E+01, 2.583E-17, 0.000E+00, 0.000E+00,-1.161E+01,-1.174E+01, 0.000E+00, 0.000E+00
