s,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,kg/kg,kg/kg,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"O2Rear","CO2Rear","CORear","UHRear","TRSampPtRh","O2Front","CO2Front","COFront","UHFront","TFSampPtRh","TRSampA","TFSampA","YsootR","YsootF","HFRFL","HFFFL","HFOFL","HFRCE","HFCCE","HFFCE","TSHFRFL","TSHFFFL","TSHFOFL","TSHFRCE","TSHFCCE","TSHFFCE","TSXHFRFL","TSXHFFFL","TSXHFRCE","TSXHFCCE","TSXHFFCE","TR3","TR30","TR60","TR90","TR105","TR120","TR135","TR150","TR180","TR210","TR237","TF3","TF30","TF60","TF90","TF105","TF120","TF135","TF150","TF180","TF210","TF237"
 0.000E+00, 2.095E-01, 3.901E-04, 0.000E+00, 0.000E+00, 2.000E+01, 2.095E-01, 3.901E-04, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00,-2.387E-06,-3.624E-06,-2.477E-05,-1.396E-06,-1.735E-06,-2.505E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 2.007E+01, 2.095E-01, 3.902E-04, 1.424E-27, 7.986E-15, 2.002E+01, 2.095E-01, 3.901E-04, 1.290E-29, 5.003E-20, 2.002E+01, 2.001E+01, 2.000E+01, 2.964E-28, 2.684E-30, 1.426E-03, 1.405E-03, 1.740E-04, 9.672E-03, 3.083E-02, 1.088E-02, 2.004E+01, 2.004E+01, 2.000E+01, 2.026E+01, 2.079E+01, 2.030E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.017E+01, 2.000E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.003E+01, 2.002E+01, 2.006E+01, 2.040E+01
 4.003E+01, 2.095E-01, 4.304E-04, 3.793E-26, 5.397E-12, 2.040E+01, 2.093E-01, 5.448E-04, 7.674E-26, 1.926E-11, 2.195E+01, 2.092E+01, 2.338E+01, 7.895E-27, 1.597E-26, 5.590E-03, 5.572E-03, 9.641E-04, 3.863E-02, 1.238E-01, 4.024E-02, 2.022E+01, 2.022E+01, 2.004E+01, 2.146E+01, 2.467E+01, 2.153E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.003E+01, 2.010E+01, 2.011E+01, 2.011E+01, 2.011E+01, 2.010E+01, 2.009E+01, 2.009E+01, 2.009E+01, 2.039E+01, 2.513E+01, 2.003E+01, 2.010E+01, 2.011E+01, 2.011E+01, 2.011E+01, 2.010E+01, 2.011E+01, 2.023E+01, 2.008E+01, 2.054E+01, 2.559E+01
 6.002E+01, 2.092E-01, 6.326E-04, 4.611E-26, 2.694E-11, 2.343E+01, 2.090E-01, 8.104E-04, 4.094E-26, 4.130E-11, 2.697E+01, 2.499E+01, 2.865E+01, 9.595E-27, 8.520E-27, 1.269E-02, 1.247E-02, 2.340E-03, 8.511E-02, 1.762E-01, 7.782E-02, 2.056E+01, 2.055E+01, 2.010E+01, 2.349E+01, 2.788E+01, 2.331E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.008E+01, 2.016E+01, 2.017E+01, 2.085E+01, 2.135E+01, 2.225E+01, 2.256E+01, 2.248E+01, 2.282E+01, 2.374E+01, 3.202E+01, 2.008E+01, 2.016E+01, 2.018E+01, 2.024E+01, 2.066E+01, 2.184E+01, 2.237E+01, 2.308E+01, 2.324E+01, 2.390E+01, 3.100E+01
 8.005E+01, 2.087E-01, 9.675E-04, 3.747E-26, 4.696E-11, 2.924E+01, 2.085E-01, 1.168E-03, 4.161E-26, 5.498E-11, 3.330E+01, 3.145E+01, 3.546E+01, 7.796E-27, 8.657E-27, 2.314E-02, 2.265E-02, 4.363E-03, 1.182E-01, 2.194E-01, 1.260E-01, 2.110E+01, 2.108E+01, 2.021E+01, 2.550E+01, 3.081E+01, 2.564E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.019E+01, 2.026E+01, 2.033E+01, 2.126E+01, 2.270E+01, 2.534E+01, 2.623E+01, 2.871E+01, 2.878E+01, 2.850E+01, 3.631E+01, 2.016E+01, 2.019E+01, 2.029E+01, 2.077E+01, 2.139E+01, 2.320E+01, 2.493E+01, 2.893E+01, 2.935E+01, 2.973E+01, 3.681E+01
 1.000E+02, 2.082E-01, 1.344E-03, 4.973E-26, 5.855E-11, 3.616E+01, 2.079E-01, 1.578E-03, 4.807E-26, 6.192E-11, 4.080E+01, 3.849E+01, 4.335E+01, 1.035E-26, 1.000E-26, 3.808E-02, 3.651E-02, 7.124E-03, 2.111E-01, 2.791E-01, 1.753E-01, 2.189E+01, 2.182E+01, 2.037E+01, 2.951E+01, 3.422E+01, 2.862E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.035E+01, 2.043E+01, 2.195E+01, 2.572E+01, 2.744E+01, 3.039E+01, 3.205E+01, 3.360E+01, 3.470E+01, 3.479E+01, 4.703E+01, 2.020E+01, 2.027E+01, 2.235E+01, 2.596E+01, 2.703E+01, 2.957E+01, 3.072E+01, 3.314E+01, 3.495E+01, 3.629E+01, 4.467E+01
 1.200E+02, 2.078E-01, 1.671E-03, 4.774E-26, 6.197E-11, 4.184E+01, 2.075E-01, 1.882E-03, 5.055E-26, 6.362E-11, 4.662E+01, 4.429E+01, 4.891E+01, 9.931E-27, 1.051E-26, 5.705E-02, 5.336E-02, 1.046E-02, 2.620E-01, 3.136E-01, 2.375E-01, 2.293E+01, 2.278E+01, 2.057E+01, 3.293E+01, 3.703E+01, 3.175E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.060E+01, 2.103E+01, 2.379E+01, 2.989E+01, 3.214E+01, 3.614E+01, 3.833E+01, 3.992E+01, 4.137E+01, 4.095E+01, 5.358E+01, 2.033E+01, 2.067E+01, 2.445E+01, 3.119E+01, 3.209E+01, 3.619E+01, 3.716E+01, 3.962E+01, 4.148E+01, 4.246E+01, 5.055E+01
 1.400E+02, 2.072E-01, 2.040E-03, 4.454E-26, 6.345E-11, 4.810E+01, 2.071E-01, 2.153E-03, 5.370E-26, 6.388E-11, 5.157E+01, 5.083E+01, 5.365E+01, 9.265E-27, 1.117E-26, 8.294E-02, 7.265E-02, 1.419E-02, 3.853E-01, 3.559E-01, 2.704E-01, 2.432E+01, 2.385E+01, 2.081E+01, 3.795E+01, 3.918E+01, 3.443E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.110E+01, 2.205E+01, 2.918E+01, 3.853E+01, 4.004E+01, 4.383E+01, 4.537E+01, 4.711E+01, 4.768E+01, 4.947E+01, 6.330E+01, 2.042E+01, 2.284E+01, 3.068E+01, 3.674E+01, 3.835E+01, 4.289E+01, 4.419E+01, 4.610E+01, 4.844E+01, 4.905E+01, 5.533E+01
 1.600E+02, 2.067E-01, 2.435E-03, 4.016E-26, 6.371E-11, 5.498E+01, 2.065E-01, 2.547E-03, 5.321E-26, 6.411E-11, 5.757E+01, 5.825E+01, 6.057E+01, 8.352E-27, 1.107E-26, 1.140E-01, 9.932E-02, 1.873E-02, 4.429E-01, 4.459E-01, 3.547E-01, 2.605E+01, 2.515E+01, 2.109E+01, 4.248E+01, 4.329E+01, 3.819E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.180E+01, 2.413E+01, 3.729E+01, 4.615E+01, 4.783E+01, 5.063E+01, 5.150E+01, 5.293E+01, 5.496E+01, 5.991E+01, 7.149E+01, 2.060E+01, 3.016E+01, 3.901E+01, 4.688E+01, 4.920E+01, 5.223E+01, 5.266E+01, 5.279E+01, 5.374E+01, 5.481E+01, 6.206E+01
