s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 0.000E+00, 0.000E+00,-3.696E-05,-5.502E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.701E-05, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 1.961E+02,-2.136E+01, 3.136E+00,-7.401E+00, 2.318E-01, 0.000E+00, 0.000E+00, 1.689E+02, 1.707E+02, 0.000E+00, 4.610E-03, 0.000E+00, 0.000E+00
 2.002E+01, 5.963E+02,-1.108E+02,-4.365E+01,-2.174E+01, 6.179E-01, 0.000E+00, 0.000E+00, 4.200E+02, 4.207E+02, 0.000E+00, 1.376E-02, 0.000E+00, 0.000E+00
 3.000E+01, 9.773E+02,-3.212E+02,-2.429E+02,-2.667E+01, 8.819E-01, 0.000E+00, 0.000E+00, 3.870E+02, 3.875E+02, 0.000E+00, 2.293E-02, 0.000E+00, 0.000E+00
 4.000E+01, 1.195E+03,-6.142E+02,-3.469E+02,-1.622E+01, 8.676E-01, 0.000E+00, 0.000E+00, 2.188E+02, 2.185E+02, 0.000E+00, 3.208E-02, 0.000E+00, 0.000E+00
 5.000E+01, 1.267E+03,-7.526E+02,-3.589E+02,-1.002E+01, 6.576E-01, 0.000E+00, 0.000E+00, 1.468E+02, 1.463E+02, 0.000E+00, 4.124E-02, 0.000E+00, 0.000E+00
 6.000E+01, 1.279E+03,-7.287E+02,-4.087E+02,-1.335E-01, 6.959E-01, 0.000E+00, 0.000E+00, 1.429E+02, 1.426E+02, 0.000E+00, 4.918E-02, 0.000E+00, 0.000E+00
 7.000E+01, 1.274E+03,-6.879E+02,-5.487E+02, 6.262E+00, 7.302E-01, 0.000E+00, 0.000E+00, 4.577E+01, 4.484E+01, 0.000E+00, 4.981E-02, 0.000E+00, 0.000E+00
 8.000E+01, 1.201E+03,-5.822E+02,-5.545E+02, 9.241E+00, 7.250E-01, 0.000E+00, 0.000E+00, 7.396E+01, 7.400E+01, 0.000E+00, 4.923E-02, 0.000E+00, 0.000E+00
 9.000E+01, 1.444E+03,-5.854E+02,-8.507E+02, 6.191E+00, 7.330E-01, 0.000E+00, 0.000E+00, 1.557E+01, 1.493E+01, 0.000E+00, 4.864E-02, 0.000E+00, 0.000E+00
