s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.200E+02, 8.692E+02,-4.869E+02,-3.572E+02, 2.119E+01, 0.000E+00, 0.000E+00,-2.789E+01, 2.151E+01, 1.843E+01, 3.099E-02, 3.099E-02
 3.300E+02, 9.102E+02,-4.687E+02,-4.262E+02, 2.192E+01, 0.000E+00, 0.000E+00,-2.797E+01, 1.084E+01, 9.274E+00, 3.112E-02, 3.112E-02
 3.400E+02, 9.228E+02,-4.839E+02,-4.110E+02, 2.121E+01, 0.000E+00, 0.000E+00,-2.786E+01, 2.284E+01, 2.131E+01, 3.100E-02, 3.100E-02
 3.500E+02, 9.180E+02,-4.528E+02,-4.528E+02, 2.176E+01, 0.000E+00, 0.000E+00,-2.815E+01, 8.343E+00, 6.032E+00, 3.134E-02, 3.134E-02
 3.600E+02, 9.415E+02,-4.592E+02,-4.664E+02, 2.194E+01, 0.000E+00, 0.000E+00,-2.777E+01, 1.256E+01, 1.009E+01, 3.083E-02, 3.083E-02
 3.700E+02, 9.410E+02,-4.505E+02,-4.739E+02, 2.461E+01, 0.000E+00, 0.000E+00,-2.798E+01, 1.585E+01, 1.321E+01, 3.107E-02, 3.107E-02
 3.800E+02, 9.729E+02,-4.573E+02,-5.066E+02, 2.277E+01, 0.000E+00, 0.000E+00,-2.820E+01, 5.978E+00, 3.449E+00, 3.127E-02, 3.127E-02
 3.900E+02, 9.253E+02,-4.419E+02,-4.774E+02, 2.520E+01, 0.000E+00, 0.000E+00,-2.751E+01, 5.321E+00, 3.721E+00, 3.048E-02, 3.048E-02
 4.000E+02, 9.357E+02,-4.384E+02,-4.924E+02, 2.355E+01, 0.000E+00, 0.000E+00,-2.805E+01, 2.707E+00, 4.617E-01, 3.108E-02, 3.108E-02
 4.100E+02, 9.679E+02,-4.517E+02,-4.932E+02, 2.487E+01, 0.000E+00, 0.000E+00,-2.780E+01, 2.178E+01, 2.010E+01, 3.082E-02, 3.082E-02
 4.200E+02, 9.619E+02,-4.327E+02,-5.313E+02, 2.526E+01, 0.000E+00, 0.000E+00,-2.789E+01,-2.581E+00,-4.726E+00, 3.091E-02, 3.091E-02
 4.300E+02, 9.669E+02,-4.358E+02,-5.387E+02, 2.547E+01, 0.000E+00, 0.000E+00,-2.795E+01,-7.043E+00,-1.012E+01, 3.095E-02, 3.095E-02
 4.400E+02, 9.233E+02,-4.066E+02,-5.166E+02, 2.856E+01, 0.000E+00, 0.000E+00,-2.818E+01, 2.054E+00, 4.679E-01, 3.117E-02, 3.117E-02
 4.500E+02, 9.494E+02,-4.405E+02,-5.017E+02, 2.528E+01, 0.000E+00, 0.000E+00,-2.779E+01, 7.640E+00, 4.730E+00, 3.073E-02, 3.073E-02
 4.600E+02, 1.001E+03,-4.387E+02,-5.488E+02, 2.627E+01, 0.000E+00, 0.000E+00,-2.809E+01, 1.573E+01, 1.210E+01, 3.104E-02, 3.104E-02
 4.700E+02, 9.455E+02,-4.251E+02,-5.185E+02, 2.767E+01, 0.000E+00, 0.000E+00,-2.791E+01, 3.614E+00, 1.703E+00, 3.088E-02, 3.088E-02
 4.800E+02, 1.030E+03,-4.587E+02,-5.712E+02, 2.727E+01, 0.000E+00, 0.000E+00,-2.820E+01, 2.485E+00,-3.453E-01, 3.123E-02, 3.123E-02
 4.900E+02, 9.465E+02,-4.262E+02,-5.216E+02, 2.831E+01, 0.000E+00, 0.000E+00,-2.794E+01, 1.252E+00,-8.794E-01, 3.092E-02, 3.092E-02
 5.000E+02, 9.340E+02,-3.914E+02,-5.509E+02, 2.951E+01, 0.000E+00, 0.000E+00,-2.791E+01,-3.919E+00,-6.698E+00, 3.084E-02, 3.084E-02
 5.100E+02, 1.010E+03,-4.264E+02,-5.750E+02, 2.942E+01, 0.000E+00, 0.000E+00,-2.804E+01, 1.261E+01, 9.707E+00, 3.100E-02, 3.100E-02
 5.200E+02, 9.529E+02,-4.112E+02,-5.466E+02, 2.957E+01, 0.000E+00, 0.000E+00,-2.788E+01,-8.534E-01,-3.274E+00, 3.081E-02, 3.081E-02
 5.300E+02, 1.010E+03,-4.421E+02,-5.801E+02, 2.920E+01, 0.000E+00, 0.000E+00,-2.835E+01,-8.518E+00,-1.113E+01, 3.126E-02, 3.126E-02
 5.400E+02, 8.697E+02,-3.764E+02,-4.886E+02, 3.181E+01, 0.000E+00, 0.000E+00,-2.795E+01, 1.038E+01, 8.554E+00, 3.089E-02, 3.089E-02
 5.500E+02, 1.022E+03,-4.317E+02,-5.873E+02, 2.852E+01, 0.000E+00, 0.000E+00,-2.801E+01, 6.388E+00, 3.547E+00, 3.094E-02, 3.094E-02
 5.600E+02, 9.653E+02,-4.157E+02,-5.584E+02, 3.119E+01, 0.000E+00, 0.000E+00,-2.796E+01,-2.549E+00,-5.516E+00, 3.087E-02, 3.087E-02
 5.700E+02, 9.017E+02,-3.867E+02,-5.104E+02, 3.064E+01, 0.000E+00, 0.000E+00,-2.830E+01, 8.730E+00, 6.931E+00, 3.122E-02, 3.122E-02
 5.800E+02, 1.007E+03,-4.169E+02,-5.866E+02, 3.043E+01, 0.000E+00, 0.000E+00,-2.813E+01, 8.115E+00, 5.627E+00, 3.101E-02, 3.101E-02
 5.900E+02, 9.241E+02,-3.741E+02,-5.654E+02, 3.105E+01, 0.000E+00, 0.000E+00,-2.800E+01,-9.188E+00,-1.242E+01, 3.095E-02, 3.095E-02
 6.000E+02, 1.076E+03,-4.368E+02,-6.528E+02, 3.177E+01, 0.000E+00, 0.000E+00,-2.810E+01,-7.112E+00,-1.003E+01, 3.106E-02, 3.106E-02
 6.100E+02, 8.909E+02,-3.670E+02,-5.357E+02, 3.167E+01, 0.000E+00, 0.000E+00,-2.808E+01,-5.998E+00,-8.233E+00, 3.099E-02, 3.099E-02
 6.200E+02, 9.358E+02,-3.877E+02,-5.364E+02, 3.203E+01, 0.000E+00, 0.000E+00,-2.817E+01, 1.846E+01, 1.551E+01, 3.106E-02, 3.106E-02
 6.300E+02, 9.867E+02,-4.087E+02,-5.817E+02, 3.261E+01, 0.000E+00, 0.000E+00,-2.793E+01, 3.203E+00, 9.616E-01, 3.080E-02, 3.080E-02
 6.400E+02, 9.638E+02,-3.946E+02,-5.724E+02, 3.231E+01, 0.000E+00, 0.000E+00,-2.820E+01, 3.480E+00, 9.638E-01, 3.109E-02, 3.109E-02
 6.500E+02, 9.762E+02,-4.068E+02,-5.673E+02, 3.275E+01, 0.000E+00, 0.000E+00,-2.832E+01, 9.559E+00, 6.599E+00, 3.124E-02, 3.124E-02
 6.600E+02, 1.020E+03,-4.140E+02,-6.091E+02, 3.489E+01, 0.000E+00, 0.000E+00,-2.844E+01, 7.560E+00, 3.582E+00, 3.138E-02, 3.138E-02
 6.700E+02, 9.801E+02,-3.826E+02,-6.122E+02, 3.553E+01, 0.000E+00, 0.000E+00,-2.790E+01,-3.921E+00,-7.058E+00, 3.077E-02, 3.077E-02
 6.800E+02, 1.027E+03,-4.092E+02,-6.404E+02, 3.474E+01, 0.000E+00, 0.000E+00,-2.794E+01,-1.222E+01,-1.539E+01, 3.085E-02, 3.085E-02
 6.900E+02, 9.225E+02,-3.640E+02,-5.669E+02, 3.541E+01, 0.000E+00, 0.000E+00,-2.828E+01, 2.349E+00,-1.302E+00, 3.121E-02, 3.121E-02
 7.000E+02, 9.853E+02,-3.974E+02,-6.002E+02, 3.387E+01, 0.000E+00, 0.000E+00,-2.821E+01,-3.881E+00,-6.655E+00, 3.112E-02, 3.112E-02
 7.100E+02, 8.913E+02,-3.695E+02,-5.187E+02, 3.450E+01, 0.000E+00, 0.000E+00,-2.801E+01, 1.207E+01, 9.615E+00, 3.083E-02, 3.083E-02
 7.200E+02, 9.797E+02,-3.906E+02,-5.938E+02, 3.418E+01, 0.000E+00, 0.000E+00,-2.837E+01, 3.666E+00, 1.161E+00, 3.121E-02, 3.121E-02
 7.300E+02, 9.547E+02,-3.931E+02,-5.765E+02, 3.276E+01, 0.000E+00, 0.000E+00,-2.787E+01,-6.448E+00,-1.002E+01, 3.071E-02, 3.071E-02
 7.400E+02, 1.027E+03,-3.990E+02,-6.309E+02, 3.623E+01, 0.000E+00, 0.000E+00,-2.816E+01, 7.967E+00, 5.168E+00, 3.102E-02, 3.102E-02
 7.500E+02, 9.532E+02,-3.911E+02,-5.780E+02, 3.487E+01, 0.000E+00, 0.000E+00,-2.809E+01,-6.412E+00,-8.999E+00, 3.095E-02, 3.095E-02
 7.600E+02, 9.256E+02,-3.580E+02,-5.673E+02, 3.508E+01, 0.000E+00, 0.000E+00,-2.813E+01, 9.374E+00, 7.175E+00, 3.096E-02, 3.096E-02
 7.700E+02, 9.664E+02,-3.894E+02,-5.939E+02, 3.487E+01, 0.000E+00, 0.000E+00,-2.789E+01,-6.746E+00,-9.966E+00, 3.067E-02, 3.067E-02
