s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 2.501E+02, 2.175E+01, 0.000E+00,-2.094E+00,-8.350E+00,-3.921E+00, 2.255E-02, 0.000E+00, 0.000E+00, 7.387E+00, 7.408E+00, 0.000E+00, 4.756E-04, 0.000E+00, 0.000E+00
 2.600E+02, 2.235E+01, 0.000E+00,-2.220E+00,-8.909E+00,-3.991E+00, 2.309E-02, 0.000E+00, 0.000E+00, 7.223E+00, 7.250E+00, 0.000E+00, 4.874E-04, 0.000E+00, 0.000E+00
 2.700E+02, 2.286E+01, 0.000E+00,-2.343E+00,-8.770E+00,-4.169E+00, 2.373E-02, 0.000E+00, 0.000E+00, 7.582E+00, 7.605E+00, 0.000E+00, 4.993E-04, 0.000E+00, 0.000E+00
 2.801E+02, 2.339E+01, 0.000E+00,-2.467E+00,-9.993E+00,-4.290E+00, 2.424E-02, 0.000E+00, 0.000E+00, 6.656E+00, 6.661E+00, 0.000E+00, 5.111E-04, 0.000E+00, 0.000E+00
 2.900E+02, 2.396E+01, 0.000E+00,-2.592E+00,-1.002E+01,-4.255E+00, 2.473E-02, 0.000E+00, 0.000E+00, 7.081E+00, 7.112E+00, 0.000E+00, 5.230E-04, 0.000E+00, 0.000E+00
 3.000E+02, 2.445E+01, 0.000E+00,-2.717E+00,-1.116E+01,-4.446E+00, 2.529E-02, 0.000E+00, 0.000E+00, 6.121E+00, 6.150E+00, 0.000E+00, 5.348E-04, 0.000E+00, 0.000E+00
 3.100E+02, 2.508E+01, 0.000E+00,-2.856E+00,-1.106E+01,-4.487E+00, 2.580E-02, 0.000E+00, 0.000E+00, 6.700E+00, 6.709E+00, 0.000E+00, 5.467E-04, 0.000E+00, 0.000E+00
 3.200E+02, 2.556E+01, 0.000E+00,-2.975E+00,-1.179E+01,-4.599E+00, 2.628E-02, 0.000E+00, 0.000E+00, 6.182E+00, 6.218E+00, 0.000E+00, 5.585E-04, 0.000E+00, 0.000E+00
 3.300E+02, 2.613E+01, 0.000E+00,-3.099E+00,-1.200E+01,-4.639E+00, 2.687E-02, 0.000E+00, 0.000E+00, 6.417E+00, 6.419E+00, 0.000E+00, 5.704E-04, 0.000E+00, 0.000E+00
 3.401E+02, 2.665E+01, 0.000E+00,-3.233E+00,-1.235E+01,-4.603E+00, 2.751E-02, 0.000E+00, 0.000E+00, 6.439E+00, 6.487E+00, 0.000E+00, 5.823E-04, 0.000E+00, 0.000E+00
