s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ISOPROPANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 2.700E+02, 1.301E+03,-5.342E+02,-7.713E+02, 1.204E+01, 4.550E-01, 0.000E+00, 0.000E+00, 8.640E+00, 8.489E+00, 0.000E+00, 4.576E-02, 0.000E+00, 0.000E+00
 2.800E+02, 1.257E+03,-4.968E+02,-7.759E+02, 1.346E+01, 4.986E-01, 0.000E+00, 0.000E+00,-1.947E+00,-2.071E+00, 0.000E+00, 4.608E-02, 0.000E+00, 0.000E+00
 2.900E+02, 1.249E+03,-4.939E+02,-7.593E+02, 1.270E+01, 4.847E-01, 0.000E+00, 0.000E+00, 9.435E+00, 9.284E+00, 0.000E+00, 4.639E-02, 0.000E+00, 0.000E+00
 3.000E+02, 1.175E+03,-4.677E+02,-7.079E+02, 1.408E+01, 4.919E-01, 0.000E+00, 0.000E+00, 1.391E+01, 1.400E+01, 0.000E+00, 4.671E-02, 0.000E+00, 0.000E+00
 3.100E+02, 1.375E+03,-5.112E+02,-8.611E+02, 1.409E+01, 4.520E-01, 0.000E+00, 0.000E+00, 1.649E+01, 1.701E+01, 0.000E+00, 4.702E-02, 0.000E+00, 0.000E+00
 3.200E+02, 1.355E+03,-4.970E+02,-8.729E+02, 1.446E+01, 4.486E-01, 0.000E+00, 0.000E+00,-5.100E-02, 1.022E-01, 0.000E+00, 4.734E-02, 0.000E+00, 0.000E+00
 3.300E+02, 1.395E+03,-5.056E+02,-8.920E+02, 1.501E+01, 4.299E-01, 0.000E+00, 0.000E+00, 1.249E+01, 1.277E+01, 0.000E+00, 4.765E-02, 0.000E+00, 0.000E+00
 3.400E+02, 1.326E+03,-4.860E+02,-8.392E+02, 1.566E+01, 4.270E-01, 0.000E+00, 0.000E+00, 1.676E+01, 1.683E+01, 0.000E+00, 4.797E-02, 0.000E+00, 0.000E+00
 3.500E+02, 1.410E+03,-4.972E+02,-9.287E+02, 1.579E+01, 4.117E-01, 0.000E+00, 0.000E+00,-6.610E-01,-1.758E-01, 0.000E+00, 4.828E-02, 0.000E+00, 0.000E+00
 3.600E+02, 1.446E+03,-5.109E+02,-9.261E+02, 1.451E+01, 4.426E-01, 0.000E+00, 0.000E+00, 2.295E+01, 2.341E+01, 0.000E+00, 4.860E-02, 0.000E+00, 0.000E+00
 3.700E+02, 1.486E+03,-5.168E+02,-1.001E+03, 1.514E+01, 4.488E-01, 0.000E+00, 0.000E+00,-1.623E+01,-1.577E+01, 0.000E+00, 4.891E-02, 0.000E+00, 0.000E+00
 3.800E+02, 1.597E+03,-5.405E+02,-1.072E+03, 1.500E+01, 4.313E-01, 0.000E+00, 0.000E+00, 3.122E-01, 7.320E-01, 0.000E+00, 4.923E-02, 0.000E+00, 0.000E+00
 3.900E+02, 1.514E+03,-5.146E+02,-1.012E+03, 1.640E+01, 4.423E-01, 0.000E+00, 0.000E+00, 3.449E+00, 4.202E+00, 0.000E+00, 4.954E-02, 0.000E+00, 0.000E+00
 4.000E+02, 1.532E+03,-5.086E+02,-1.036E+03, 1.593E+01, 4.431E-01, 0.000E+00, 0.000E+00, 3.647E+00, 3.884E+00, 0.000E+00, 4.986E-02, 0.000E+00, 0.000E+00
 4.100E+02, 1.533E+03,-5.117E+02,-1.048E+03, 1.609E+01, 4.201E-01, 0.000E+00, 0.000E+00,-9.917E+00,-1.007E+01, 0.000E+00, 5.017E-02, 0.000E+00, 0.000E+00
 4.200E+02, 1.528E+03,-5.135E+02,-1.025E+03, 1.550E+01, 4.340E-01, 0.000E+00, 0.000E+00, 4.163E+00, 5.364E+00, 0.000E+00, 5.049E-02, 0.000E+00, 0.000E+00
