s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-7.474E-04,-1.595E-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-7.474E-04, 0.000E+00, 0.000E+00
 1.500E+01, 3.790E+01,-1.405E+01,-1.574E+01,-3.147E+00,-3.975E-02, 0.000E+00, 0.000E+00, 5.061E+00, 4.924E+00, 1.561E-03, 1.561E-03
 3.000E+01, 5.998E+01,-2.258E+01,-3.357E+01,-4.298E+00,-1.043E-01, 0.000E+00, 0.000E+00,-2.894E-01,-5.807E-01, 2.341E-03, 2.341E-03
 4.500E+01, 6.062E+01,-2.284E+01,-3.381E+01,-4.093E+00,-1.444E-01, 0.000E+00, 0.000E+00, 3.450E-02,-2.748E-01, 2.364E-03, 2.364E-03
 6.000E+01, 6.608E+01,-2.491E+01,-3.640E+01,-4.315E+00,-2.175E-01, 0.000E+00, 0.000E+00, 5.666E-01, 2.298E-01, 2.578E-03, 2.578E-03
 7.500E+01, 8.040E+01,-3.040E+01,-4.446E+01,-5.025E+00,-3.504E-01, 0.000E+00, 0.000E+00, 5.674E-01, 1.646E-01, 3.155E-03, 3.155E-03
 9.000E+01, 1.027E+02,-3.891E+01,-5.699E+01,-5.906E+00,-5.219E-01, 0.000E+00, 0.000E+00, 9.417E-01, 3.730E-01, 4.014E-03, 4.014E-03
 1.050E+02, 1.273E+02,-4.804E+01,-7.158E+01,-6.917E+00,-7.159E-01, 0.000E+00, 0.000E+00, 8.698E-01, 5.089E-02, 4.983E-03, 4.983E-03
 1.200E+02, 1.618E+02,-6.123E+01,-9.099E+01,-7.883E+00,-9.815E-01, 0.000E+00, 0.000E+00, 1.706E+00, 7.165E-01, 6.356E-03, 6.356E-03
 1.350E+02, 2.133E+02,-8.095E+01,-1.214E+02,-9.600E+00,-1.377E+00, 0.000E+00, 0.000E+00, 1.300E+00,-5.478E-02, 8.350E-03, 8.350E-03
 1.500E+02, 2.954E+02,-1.119E+02,-1.690E+02,-1.215E+01,-2.034E+00, 0.000E+00, 0.000E+00, 2.467E+00, 3.199E-01, 1.159E-02, 1.159E-02
 1.650E+02, 4.503E+02,-1.709E+02,-2.609E+02,-1.566E+01,-3.295E+00, 0.000E+00, 0.000E+00, 2.381E+00,-4.738E-01, 1.774E-02, 1.774E-02
 1.800E+02, 8.213E+02,-3.125E+02,-4.776E+02,-2.139E+01,-6.289E+00, 0.000E+00, 0.000E+00, 7.164E+00, 3.579E+00, 3.270E-02, 3.270E-02
 1.950E+02, 1.460E+03,-5.604E+02,-8.589E+02,-2.871E+01,-1.136E+01, 0.000E+00, 0.000E+00, 4.055E+00, 7.437E-01, 5.949E-02, 5.949E-02
 2.100E+02, 1.782E+03,-6.895E+02,-1.049E+03,-3.041E+01,-1.351E+01, 0.000E+00, 0.000E+00, 2.506E+00,-2.077E-01, 7.391E-02, 7.391E-02
 2.250E+02, 1.937E+03,-7.580E+02,-1.135E+03,-3.187E+01,-1.458E+01, 0.000E+00, 0.000E+00,-1.216E+00,-3.008E+00, 8.296E-02, 8.296E-02
 2.400E+02, 2.059E+03,-8.089E+02,-1.202E+03,-3.195E+01,-1.525E+01, 0.000E+00, 0.000E+00, 1.664E+00, 2.643E-01, 8.960E-02, 8.960E-02
 2.550E+02, 2.151E+03,-8.490E+02,-1.255E+03,-3.108E+01,-1.587E+01, 0.000E+00, 0.000E+00, 1.795E+00,-6.094E-01, 9.538E-02, 9.538E-02
 2.700E+02, 2.244E+03,-8.899E+02,-1.309E+03,-3.203E+01,-1.631E+01, 0.000E+00, 0.000E+00,-1.573E+00,-3.259E+00, 1.011E-01, 1.011E-01
 2.850E+02, 2.337E+03,-9.275E+02,-1.358E+03,-3.331E+01,-1.678E+01, 0.000E+00, 0.000E+00, 2.837E+00, 1.245E+00, 1.064E-01, 1.064E-01
 3.000E+02, 2.459E+03,-9.798E+02,-1.429E+03,-3.384E+01,-1.751E+01, 0.000E+00, 0.000E+00,-5.582E-01,-1.351E+00, 1.161E-01, 1.161E-01
 3.150E+02, 2.581E+03,-1.032E+03,-1.499E+03,-3.265E+01,-1.793E+01, 0.000E+00, 0.000E+00, 8.766E-01,-1.932E-01, 1.259E-01, 1.259E-01
 3.300E+02, 2.238E+03,-8.903E+02,-1.306E+03,-3.116E+01,-1.470E+01, 0.000E+00, 0.000E+00,-2.262E+00,-3.996E+00, 1.004E-01, 1.004E-01
 3.450E+02, 1.587E+03,-6.224E+02,-9.362E+02,-2.617E+01,-1.000E+01, 0.000E+00, 0.000E+00,-3.785E+00,-7.390E+00, 6.382E-02, 6.382E-02
 3.600E+02, 1.126E+03,-4.357E+02,-6.686E+02,-2.075E+01,-7.141E+00, 0.000E+00, 0.000E+00,-2.406E+00,-6.583E+00, 4.418E-02, 4.418E-02
 3.750E+02, 8.990E+02,-3.454E+02,-5.370E+02,-1.749E+01,-5.685E+00, 0.000E+00, 0.000E+00,-2.494E+00,-6.508E+00, 3.523E-02, 3.523E-02
 3.900E+02, 7.550E+02,-2.879E+02,-4.510E+02,-1.468E+01,-4.776E+00, 0.000E+00, 0.000E+00, 1.025E-01,-3.465E+00, 2.950E-02, 2.950E-02
 4.050E+02, 6.683E+02,-2.529E+02,-4.035E+02,-1.321E+01,-4.199E+00, 0.000E+00, 0.000E+00,-2.068E+00,-5.395E+00, 2.612E-02, 2.612E-02
 4.200E+02, 5.898E+02,-2.212E+02,-3.582E+02,-1.110E+01,-3.704E+00, 0.000E+00, 0.000E+00,-1.431E+00,-4.393E+00, 2.301E-02, 2.301E-02
 4.350E+02, 5.243E+02,-1.954E+02,-3.191E+02,-9.811E+00,-3.310E+00, 0.000E+00, 0.000E+00,-6.999E-01,-3.271E+00, 2.045E-02, 2.045E-02
 4.500E+02, 4.747E+02,-1.752E+02,-2.914E+02,-9.088E+00,-2.999E+00, 0.000E+00, 0.000E+00,-1.442E+00,-3.975E+00, 1.852E-02, 1.852E-02
