m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 8.6682872E-001, 2.5000000E-003, 6.1747049E-008, 2.5000000E-003, 7.3439668E-001, 2.5000000E-003, 4.4655982E-007, 2.5000000E-003, 5.9582251E-001, 2.5000000E-003, 1.3587867E-006, 2.5000000E-003, 3.1866965E-001, 2.5000000E-003, 3.7725119E-004, 2.5000000E-003, 1.9616370E-001, 2.5000000E-003, 3.8435677E-004
 7.5000000E-003, 8.9814983E-001, 7.5000000E-003, 2.1705653E-007, 7.5000000E-003, 8.2898954E-001, 7.5000000E-003, 4.7171731E-007, 7.5000000E-003, 6.2520295E-001, 7.5000000E-003, 1.3468429E-006, 7.5000000E-003, 3.3000270E-001, 7.5000000E-003, 3.7975464E-004, 7.5000000E-003, 2.0522549E-001, 7.5000000E-003, 3.8507953E-004
 1.2500000E-002, 9.0545855E-001, 1.2500000E-002, 8.6541767E-007, 1.2500000E-002, 8.4442460E-001, 1.2500000E-002, 8.2002020E-007, 1.2500000E-002, 6.3180226E-001, 1.2500000E-002, 1.3672258E-006, 1.2500000E-002, 3.2966231E-001, 1.2500000E-002, 3.8005640E-004, 1.2500000E-002, 2.0528175E-001, 1.2500000E-002, 3.8305911E-004
 1.7500000E-002, 9.1886845E-001, 1.7500000E-002, 2.3960310E-006, 1.7500000E-002, 8.5998070E-001, 1.7500000E-002, 2.0905942E-006, 1.7500000E-002, 6.3652555E-001, 1.7500000E-002, 1.4199560E-006, 1.7500000E-002, 3.2834908E-001, 1.7500000E-002, 3.8051850E-004, 1.7500000E-002, 2.0482720E-001, 1.7500000E-002, 3.8085136E-004
 2.2500000E-002, 9.3434283E-001, 2.2500000E-002, 5.4010492E-006, 2.2500000E-002, 8.7929224E-001, 2.2500000E-002, 5.5501704E-006, 2.2500000E-002, 6.4095124E-001, 2.2500000E-002, 2.9296886E-006, 2.2500000E-002, 3.2659983E-001, 2.2500000E-002, 3.8112976E-004, 2.2500000E-002, 2.0420131E-001, 2.2500000E-002, 3.7883563E-004
 2.7500000E-002, 9.4989842E-001, 2.7500000E-002, 1.1077478E-005, 2.7500000E-002, 9.0141070E-001, 2.7500000E-002, 1.4225680E-005, 2.7500000E-002, 6.4488230E-001, 2.7500000E-002, 6.0384842E-006, 2.7500000E-002, 3.2423407E-001, 2.7500000E-002, 3.8138031E-004, 2.7500000E-002, 2.0340768E-001, 2.7500000E-002, 3.7801761E-004
 3.2500000E-002, 9.6295866E-001, 3.2500000E-002, 2.2381287E-005, 3.2500000E-002, 9.2433930E-001, 3.2500000E-002, 3.2726239E-005, 3.2500000E-002, 6.4890892E-001, 3.2500000E-002, 9.8521353E-006, 3.2500000E-002, 3.2229384E-001, 3.2500000E-002, 3.8181749E-004, 3.2500000E-002, 2.0253937E-001, 3.2500000E-002, 3.8016604E-004
 3.7500000E-002, 9.6921317E-001, 3.7500000E-002, 3.9802717E-005, 3.7500000E-002, 9.4238229E-001, 3.7500000E-002, 6.1967133E-005, 3.7500000E-002, 6.4310567E-001, 3.7500000E-002, 1.5454138E-005, 3.7500000E-002, 3.1616170E-001, 3.7500000E-002, 3.8054725E-004, 3.7500000E-002, 2.0096202E-001, 3.7500000E-002, 3.8672710E-004
 4.2500000E-002, 9.8415508E-001, 4.2500000E-002, 5.8295334E-005, 4.2500000E-002, 9.7067753E-001, 4.2500000E-002, 9.2428961E-005, 4.2500000E-002, 6.9315922E-001, 4.2500000E-002, 3.4872959E-005, 4.2500000E-002, 3.2709811E-001, 4.2500000E-002, 3.7400667E-004, 4.2500000E-002, 2.0371082E-001, 4.2500000E-002, 4.2777279E-004
 4.7500000E-002, 9.9129327E-001, 4.7500000E-002, 6.5666092E-005, 4.7500000E-002, 9.8989618E-001, 4.7500000E-002, 1.0555077E-004, 4.7500000E-002, 4.3138080E-001, 4.7500000E-002, 8.2951928E-005, 4.7500000E-002, 2.5139300E-001, 4.7500000E-002, 3.9289667E-004, 4.7500000E-002, 1.6053842E-001, 4.7500000E-002, 6.3421438E-004
 5.2500000E-002, 9.8566374E-001, 5.2500000E-002, 6.8479551E-005, 5.2500000E-002, 9.9830602E-001, 5.2500000E-002, 1.0261707E-004, 5.2500000E-002, 1.0289013E+000, 5.2500000E-002, 1.7424545E-004, 5.2500000E-002, 5.7875202E-001, 5.2500000E-002, 5.3645318E-004, 5.2500000E-002, 6.0121401E-001, 5.2500000E-002, 1.9943416E-003
 5.7500000E-002, 9.9670142E-001, 5.7500000E-002, 1.3162298E-004, 5.7500000E-002, 1.0252543E+000, 5.7500000E-002, 1.8517701E-004, 5.7500000E-002, 1.3135229E+000, 5.7500000E-002, 2.2431798E-004, 5.7500000E-002, 9.5983186E-001, 5.7500000E-002, 6.5400797E-004, 5.7500000E-002, 9.5580603E-001, 5.7500000E-002, 3.6569274E-003
 6.2500000E-002, 1.0140178E+000, 6.2500000E-002, 1.6472812E-004, 6.2500000E-002, 1.0558387E+000, 6.2500000E-002, 2.6013351E-004, 6.2500000E-002, 1.3865518E+000, 6.2500000E-002, 2.5965274E-004, 6.2500000E-002, 1.4679423E+000, 6.2500000E-002, 7.9258869E-004, 6.2500000E-002, 1.4272983E+000, 6.2500000E-002, 5.6134515E-003
 6.7500000E-002, 1.0283011E+000, 6.7500000E-002, 1.8336484E-004, 6.7500000E-002, 1.0820000E+000, 6.7500000E-002, 2.3426698E-004, 6.7500000E-002, 1.4034095E+000, 6.7500000E-002, 4.2350626E-004, 6.7500000E-002, 1.8057223E+000, 6.7500000E-002, 2.7230924E-003, 6.7500000E-002, 1.8674484E+000, 6.7500000E-002, 1.4424833E-002
 7.2500000E-002, 1.0384726E+000, 7.2500000E-002, 3.0581970E-004, 7.2500000E-002, 1.1027254E+000, 7.2500000E-002, 4.3274374E-004, 7.2500000E-002, 1.4138890E+000, 7.2500000E-002, 4.4821510E-004, 7.2500000E-002, 1.9553418E+000, 7.2500000E-002, 5.9345809E-003, 7.2500000E-002, 2.1190973E+000, 7.2500000E-002, 4.6330598E-002
 7.7500000E-002, 1.0457663E+000, 7.7500000E-002, 3.4680608E-004, 7.7500000E-002, 1.1199075E+000, 7.7500000E-002, 4.4385047E-004, 7.7500000E-002, 1.4222847E+000, 7.7500000E-002, 5.2253248E-004, 7.7500000E-002, 2.0028484E+000, 7.7500000E-002, 8.6169996E-003, 7.7500000E-002, 2.2303671E+000, 7.7500000E-002, 7.7564020E-002
 8.2500000E-002, 1.0525658E+000, 8.2500000E-002, 3.3718112E-004, 8.2500000E-002, 1.1339926E+000, 8.2500000E-002, 4.7914538E-004, 8.2500000E-002, 1.4289813E+000, 8.2500000E-002, 5.2256372E-004, 8.2500000E-002, 2.0151208E+000, 8.2500000E-002, 1.0182935E-002, 8.2500000E-002, 2.2657858E+000, 8.2500000E-002, 7.6284065E-002
