m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 4.1380721E-001, 2.5000000E-003, 2.9187536E-008, 2.5000000E-003, 2.9155088E-001, 2.5000000E-003, 1.8193574E-007, 2.5000000E-003, 2.4364821E-001, 2.5000000E-003, 6.5304858E-007, 2.5000000E-003, 9.6570393E-002, 2.5000000E-003, 2.5861570E-004, 2.5000000E-003, 4.4969776E-002, 2.5000000E-003, 2.8820493E-004
 7.5000000E-003, 4.4127920E-001, 7.5000000E-003, 3.1156206E-008, 7.5000000E-003, 3.7904528E-001, 7.5000000E-003, 1.7926562E-007, 7.5000000E-003, 2.5076299E-001, 7.5000000E-003, 6.3527616E-007, 7.5000000E-003, 9.9914702E-002, 7.5000000E-003, 2.6185054E-004, 7.5000000E-003, 4.6861380E-002, 7.5000000E-003, 2.9266610E-004
 1.2500000E-002, 4.4793589E-001, 1.2500000E-002, 7.8173810E-008, 1.2500000E-002, 3.9813647E-001, 1.2500000E-002, 1.7566520E-007, 1.2500000E-002, 2.5294153E-001, 1.2500000E-002, 6.0260200E-007, 1.2500000E-002, 9.9494134E-002, 1.2500000E-002, 2.6187660E-004, 1.2500000E-002, 4.6763002E-002, 1.2500000E-002, 2.9340205E-004
 1.7500000E-002, 4.5860604E-001, 1.7500000E-002, 2.0949768E-007, 1.7500000E-002, 4.0986430E-001, 1.7500000E-002, 2.9989341E-007, 1.7500000E-002, 2.5533225E-001, 1.7500000E-002, 5.4584829E-007, 1.7500000E-002, 9.8694571E-002, 1.7500000E-002, 2.6194291E-004, 1.7500000E-002, 4.6536597E-002, 1.7500000E-002, 2.9495455E-004
 2.2500000E-002, 4.7054412E-001, 2.2500000E-002, 5.1341848E-007, 2.2500000E-002, 4.2314403E-001, 2.2500000E-002, 7.4131012E-007, 2.2500000E-002, 2.5751935E-001, 2.2500000E-002, 5.2084051E-007, 2.2500000E-002, 9.7625886E-002, 2.2500000E-002, 2.6198996E-004, 2.2500000E-002, 4.6234155E-002, 2.2500000E-002, 2.9783139E-004
 2.7500000E-002, 4.8272048E-001, 2.7500000E-002, 1.2030116E-006, 2.7500000E-002, 4.3956486E-001, 2.7500000E-002, 2.0024212E-006, 2.7500000E-002, 2.5914922E-001, 2.7500000E-002, 5.6601042E-007, 2.7500000E-002, 9.6297721E-002, 2.7500000E-002, 2.6193954E-004, 2.7500000E-002, 4.5859665E-002, 2.7500000E-002, 3.0282987E-004
 3.2500000E-002, 4.8998588E-001, 3.2500000E-002, 2.5653006E-006, 3.2500000E-002, 4.5455873E-001, 3.2500000E-002, 4.7017582E-006, 3.2500000E-002, 2.5966061E-001, 3.2500000E-002, 9.2522993E-007, 3.2500000E-002, 9.4714349E-002, 3.2500000E-002, 2.6166529E-004, 3.2500000E-002, 4.5415512E-002, 3.2500000E-002, 3.1111062E-004
 3.7500000E-002, 4.9916984E-001, 3.7500000E-002, 4.8651089E-006, 3.7500000E-002, 4.7343201E-001, 3.7500000E-002, 8.6539917E-006, 3.7500000E-002, 2.5997814E-001, 3.7500000E-002, 1.8711100E-006, 3.7500000E-002, 9.2910528E-002, 3.7500000E-002, 2.6090520E-004, 3.7500000E-002, 4.4905666E-002, 3.7500000E-002, 3.2431870E-004
 4.2500000E-002, 4.9734000E-001, 4.2500000E-002, 7.4298945E-006, 4.2500000E-002, 4.8170175E-001, 4.2500000E-002, 1.3750679E-005, 4.2500000E-002, 2.4487424E-001, 4.2500000E-002, 3.7609478E-006, 4.2500000E-002, 9.0585517E-002, 4.2500000E-002, 2.5971101E-004, 4.2500000E-002, 4.4331612E-002, 4.2500000E-002, 3.4470372E-004
 4.7500000E-002, 5.0417039E-001, 4.7500000E-002, 8.6610712E-006, 4.7500000E-002, 5.0390118E-001, 4.7500000E-002, 1.7512193E-005, 4.7500000E-002, 2.7775058E-001, 4.7500000E-002, 7.3966385E-006, 4.7500000E-002, 9.0736472E-002, 4.7500000E-002, 2.5391311E-004, 4.7500000E-002, 4.3721729E-002, 4.7500000E-002, 3.8058578E-004
 5.2500000E-002, 5.2227909E-001, 5.2500000E-002, 7.9875536E-006, 5.2500000E-002, 5.3034846E-001, 5.2500000E-002, 1.8951959E-005, 5.2500000E-002, 1.2848203E-001, 5.2500000E-002, 1.5101648E-005, 5.2500000E-002, 6.2437624E-002, 5.2500000E-002, 2.6534544E-004, 5.2500000E-002, 3.9471415E-002, 5.2500000E-002, 4.6490583E-004
 5.7500000E-002, 5.2034475E-001, 5.7500000E-002, 1.0266636E-005, 5.7500000E-002, 5.3287654E-001, 5.7500000E-002, 2.1643392E-005, 5.7500000E-002, 4.6437254E-001, 5.7500000E-002, 3.1872320E-005, 5.7500000E-002, 3.1435704E-001, 5.7500000E-002, 3.9601921E-004, 5.7500000E-002, 3.3680824E-001, 5.7500000E-002, 2.1130557E-003
 6.2500000E-002, 5.1514041E-001, 6.2500000E-002, 1.9876543E-005, 6.2500000E-002, 5.4467182E-001, 6.2500000E-002, 3.8003209E-005, 6.2500000E-002, 7.6338550E-001, 6.2500000E-002, 5.4117836E-005, 6.2500000E-002, 5.2520075E-001, 6.2500000E-002, 4.0670088E-004, 6.2500000E-002, 5.8019670E-001, 6.2500000E-002, 3.9848004E-003
 6.7500000E-002, 5.2112714E-001, 6.7500000E-002, 2.5687106E-005, 6.7500000E-002, 5.6690794E-001, 6.7500000E-002, 5.1778518E-005, 6.7500000E-002, 8.6975072E-001, 6.7500000E-002, 7.1247944E-005, 6.7500000E-002, 8.5344057E-001, 6.7500000E-002, 4.1182708E-004, 6.7500000E-002, 8.7777853E-001, 6.7500000E-002, 5.8922370E-003
 7.2500000E-002, 5.3117671E-001, 7.2500000E-002, 3.7091032E-005, 7.2500000E-002, 5.8767994E-001, 7.2500000E-002, 5.5018401E-005, 7.2500000E-002, 8.8800903E-001, 7.2500000E-002, 1.0472030E-004, 7.2500000E-002, 1.1136333E+000, 7.2500000E-002, 1.2334458E-003, 7.2500000E-002, 1.1660793E+000, 7.2500000E-002, 9.2204965E-003
 7.7500000E-002, 5.3684279E-001, 7.7500000E-002, 6.2703361E-005, 7.7500000E-002, 6.0230097E-001, 7.7500000E-002, 1.0345460E-004, 7.7500000E-002, 8.8851092E-001, 7.7500000E-002, 1.2520646E-004, 7.7500000E-002, 1.2366112E+000, 7.7500000E-002, 4.7373649E-003, 7.7500000E-002, 1.3290787E+000, 7.7500000E-002, 3.3937154E-002
 8.2500000E-002, 5.3955369E-001, 8.2500000E-002, 9.2249873E-005, 8.2500000E-002, 6.1202270E-001, 8.2500000E-002, 1.3238661E-004, 8.2500000E-002, 8.8804169E-001, 8.2500000E-002, 1.4597963E-004, 8.2500000E-002, 1.2774117E+000, 8.2500000E-002, 8.1838560E-003, 8.2500000E-002, 1.3784455E+000, 8.2500000E-002, 5.7619520E-002
 8.7500000E-002, 5.4127288E-001, 8.7500000E-002, 7.6097104E-005, 8.7500000E-002, 6.1908694E-001, 8.7500000E-002, 1.0313551E-004, 8.7500000E-002, 8.8611580E-001, 8.7500000E-002, 1.3455591E-004, 8.7500000E-002, 1.2822874E+000, 8.7500000E-002, 9.0910550E-003, 8.7500000E-002, 1.3964486E+000, 8.7500000E-002, 6.0812394E-002
 9.2500000E-002, 5.4279690E-001, 9.2500000E-002, 8.0401552E-005, 9.2500000E-002, 6.2361696E-001, 9.2500000E-002, 1.1899430E-004, 9.2500000E-002, 8.9247587E-001, 9.2500000E-002, 1.4509945E-004, 9.2500000E-002, 1.2895285E+000, 9.2500000E-002, 1.0587045E-002, 9.2500000E-002, 1.3950826E+000, 9.2500000E-002, 8.1623632E-002
 9.7500000E-002, 5.1784584E-001, 9.7500000E-002, 1.1092095E-004, 9.7500000E-002, 5.5566912E-001, 9.7500000E-002, 1.5989437E-004, 9.7500000E-002, 8.0399453E-001, 9.7500000E-002, 1.7281905E-004, 9.7500000E-002, 1.1249020E+000, 9.7500000E-002, 1.0765263E-002, 9.7500000E-002, 1.1219320E+000, 9.7500000E-002, 9.8201469E-002
