m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 3.9585467E-001, 2.5000000E-003, 2.0479142E-008, 2.5000000E-003, 2.9800356E-001, 2.5000000E-003, 1.4771233E-007, 2.5000000E-003, 2.6020559E-001, 2.5000000E-003, 4.6964335E-007, 2.5000000E-003, 1.2027410E-001, 2.5000000E-003, 1.1197322E-004, 2.5000000E-003, 6.2594632E-002, 2.5000000E-003, 1.3179486E-004
 7.5000000E-003, 4.2340880E-001, 7.5000000E-003, 2.1177010E-008, 7.5000000E-003, 3.8175904E-001, 7.5000000E-003, 1.3969791E-007, 7.5000000E-003, 2.7725409E-001, 7.5000000E-003, 4.6654237E-007, 7.5000000E-003, 1.2718881E-001, 7.5000000E-003, 1.1333341E-004, 7.5000000E-003, 6.6914338E-002, 7.5000000E-003, 1.3424787E-004
 1.2500000E-002, 4.3118640E-001, 1.2500000E-002, 3.2826263E-008, 1.2500000E-002, 3.9935516E-001, 1.2500000E-002, 1.3891375E-007, 1.2500000E-002, 2.8194018E-001, 1.2500000E-002, 4.5004774E-007, 1.2500000E-002, 1.2706032E-001, 1.2500000E-002, 1.1326295E-004, 1.2500000E-002, 6.6949437E-002, 1.2500000E-002, 1.3509734E-004
 1.7500000E-002, 4.4458066E-001, 1.7500000E-002, 9.2109956E-008, 1.7500000E-002, 4.1288584E-001, 1.7500000E-002, 1.3876040E-007, 1.7500000E-002, 2.8576314E-001, 1.7500000E-002, 4.4280948E-007, 1.7500000E-002, 1.2632812E-001, 1.7500000E-002, 1.1320027E-004, 1.7500000E-002, 6.6709576E-002, 1.7500000E-002, 1.3668750E-004
 2.2500000E-002, 4.5988855E-001, 2.2500000E-002, 2.4715426E-007, 2.2500000E-002, 4.2893203E-001, 2.2500000E-002, 2.7933667E-007, 2.2500000E-002, 2.8927144E-001, 2.2500000E-002, 4.1287778E-007, 2.2500000E-002, 1.2532161E-001, 2.2500000E-002, 1.1308760E-004, 2.2500000E-002, 6.6376373E-002, 2.2500000E-002, 1.3935393E-004
 2.7500000E-002, 4.7516125E-001, 2.7500000E-002, 6.1131344E-007, 2.7500000E-002, 4.4709387E-001, 2.7500000E-002, 8.1318961E-007, 2.7500000E-002, 2.9236082E-001, 2.7500000E-002, 5.3718476E-007, 2.7500000E-002, 1.2405059E-001, 2.7500000E-002, 1.1290415E-004, 2.7500000E-002, 6.5961077E-002, 2.7500000E-002, 1.4364488E-004
 3.2500000E-002, 4.8808044E-001, 3.2500000E-002, 1.4300339E-006, 3.2500000E-002, 4.6553448E-001, 3.2500000E-002, 2.0022440E-006, 3.2500000E-002, 2.9526599E-001, 3.2500000E-002, 7.2440771E-007, 3.2500000E-002, 1.2267099E-001, 3.2500000E-002, 1.1247724E-004, 3.2500000E-002, 6.5468672E-002, 3.2500000E-002, 1.5035964E-004
 3.7500000E-002, 4.9547358E-001, 3.7500000E-002, 2.8130939E-006, 3.7500000E-002, 4.7986067E-001, 3.7500000E-002, 4.1669531E-006, 3.7500000E-002, 2.9079707E-001, 3.7500000E-002, 1.3061403E-006, 3.7500000E-002, 1.2016153E-001, 3.7500000E-002, 1.1220548E-004, 3.7500000E-002, 6.4877622E-002, 3.7500000E-002, 1.6047324E-004
 4.2500000E-002, 5.0701931E-001, 4.2500000E-002, 4.3072554E-006, 4.2500000E-002, 4.9977588E-001, 4.2500000E-002, 6.8163486E-006, 4.2500000E-002, 3.2468640E-001, 4.2500000E-002, 2.8357194E-006, 4.2500000E-002, 1.2309625E-001, 4.2500000E-002, 1.0937754E-004, 4.2500000E-002, 6.4578523E-002, 4.2500000E-002, 1.8151699E-004
 4.7500000E-002, 5.1571602E-001, 4.7500000E-002, 4.9952346E-006, 4.7500000E-002, 5.1527253E-001, 4.7500000E-002, 8.9099398E-006, 4.7500000E-002, 1.7074663E-001, 4.7500000E-002, 6.2899956E-006, 4.7500000E-002, 8.8744740E-002, 4.7500000E-002, 1.1399930E-004, 4.7500000E-002, 5.4647057E-002, 4.7500000E-002, 2.4710489E-004
 5.2500000E-002, 5.1424091E-001, 5.2500000E-002, 5.1761754E-006, 5.2500000E-002, 5.2154167E-001, 5.2500000E-002, 9.6056001E-006, 5.2500000E-002, 5.0238913E-001, 5.2500000E-002, 1.4638021E-005, 5.2500000E-002, 2.8176788E-001, 5.2500000E-002, 1.4701464E-004, 5.2500000E-002, 2.9249788E-001, 5.2500000E-002, 8.8715134E-004
