m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 8.1067219E-001, 2.5000000E-003, 1.0342446E-007, 2.5000000E-003, 6.6124698E-001, 2.5000000E-003, 4.9432596E-007, 2.5000000E-003, 5.4875609E-001, 2.5000000E-003, 1.0921248E-006, 2.5000000E-003, 2.6873410E-001, 2.5000000E-003, 6.1765779E-004, 2.5000000E-003, 1.5441885E-001, 2.5000000E-003, 6.4380014E-004
 7.5000000E-003, 8.4168421E-001, 7.5000000E-003, 2.9349436E-007, 7.5000000E-003, 7.5374946E-001, 7.5000000E-003, 5.4524172E-007, 7.5000000E-003, 5.6106744E-001, 7.5000000E-003, 1.1226032E-006, 7.5000000E-003, 2.7478085E-001, 7.5000000E-003, 6.2029738E-004, 7.5000000E-003, 1.5905651E-001, 7.5000000E-003, 6.4523927E-004
 1.2500000E-002, 8.5788099E-001, 1.2500000E-002, 1.0019656E-006, 1.2500000E-002, 7.7584935E-001, 1.2500000E-002, 9.7435868E-007, 1.2500000E-002, 5.6523542E-001, 1.2500000E-002, 1.1063581E-006, 1.2500000E-002, 2.7403662E-001, 1.2500000E-002, 6.2061870E-004, 1.2500000E-002, 1.5886427E-001, 1.2500000E-002, 6.4239792E-004
 1.7500000E-002, 8.8560643E-001, 1.7500000E-002, 2.5885028E-006, 1.7500000E-002, 8.0269219E-001, 1.7500000E-002, 2.2729727E-006, 1.7500000E-002, 5.6978950E-001, 1.7500000E-002, 1.4673332E-006, 1.7500000E-002, 2.7264016E-001, 1.7500000E-002, 6.2114555E-004, 1.7500000E-002, 1.5839828E-001, 1.7500000E-002, 6.3875928E-004
 2.2500000E-002, 9.1687621E-001, 2.2500000E-002, 5.3749132E-006, 2.2500000E-002, 8.3562748E-001, 2.2500000E-002, 4.7481761E-006, 2.2500000E-002, 5.7443858E-001, 2.2500000E-002, 2.2499787E-006, 2.2500000E-002, 2.7077706E-001, 2.2500000E-002, 6.2171147E-004, 2.2500000E-002, 1.5777204E-001, 2.2500000E-002, 6.3473857E-004
 2.7500000E-002, 9.4817154E-001, 2.7500000E-002, 1.0237796E-005, 2.7500000E-002, 8.7309442E-001, 2.7500000E-002, 1.2256046E-005, 2.7500000E-002, 5.7879447E-001, 2.7500000E-002, 4.2878099E-006, 2.7500000E-002, 2.6847074E-001, 2.7500000E-002, 6.2209722E-004, 2.7500000E-002, 1.5700361E-001, 2.7500000E-002, 6.3125726E-004
 3.2500000E-002, 9.7247060E-001, 3.2500000E-002, 2.0212874E-005, 3.2500000E-002, 9.0835936E-001, 3.2500000E-002, 3.1703343E-005, 3.2500000E-002, 5.8168172E-001, 3.2500000E-002, 8.1191362E-006, 3.2500000E-002, 2.6570882E-001, 3.2500000E-002, 6.2211782E-004, 3.2500000E-002, 1.5606891E-001, 3.2500000E-002, 6.2984107E-004
 3.7500000E-002, 9.9561632E-001, 3.7500000E-002, 4.2162462E-005, 3.7500000E-002, 9.4569331E-001, 3.7500000E-002, 6.6674348E-005, 3.7500000E-002, 5.8369503E-001, 3.7500000E-002, 1.3893676E-005, 3.7500000E-002, 2.6274550E-001, 3.7500000E-002, 6.2048401E-004, 3.7500000E-002, 1.5502243E-001, 3.7500000E-002, 6.3300259E-004
 4.2500000E-002, 1.0015902E+000, 4.2500000E-002, 7.4659775E-005, 4.2500000E-002, 9.6799951E-001, 4.2500000E-002, 1.1554964E-004, 4.2500000E-002, 5.6420847E-001, 4.2500000E-002, 2.4731912E-005, 4.2500000E-002, 2.5776468E-001, 4.2500000E-002, 6.2071345E-004, 4.2500000E-002, 1.5367371E-001, 4.2500000E-002, 6.4400200E-004
