m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 1.6298859E+000, 2.5000000E-003, 7.1993186E-007, 2.5000000E-003, 1.3804438E+000, 2.5000000E-003, 1.5266125E-006, 2.5000000E-003, 1.1768205E+000, 2.5000000E-003, 3.0103576E-006, 2.5000000E-003, 6.4447333E-001, 2.5000000E-003, 1.1870357E-003, 2.5000000E-003, 4.1398493E-001, 2.5000000E-003, 1.2886841E-003
 7.5000000E-003, 1.6848243E+000, 7.5000000E-003, 2.3712614E-006, 7.5000000E-003, 1.5367138E+000, 7.5000000E-003, 2.7444612E-006, 7.5000000E-003, 1.2011318E+000, 7.5000000E-003, 3.2104383E-006, 7.5000000E-003, 6.5244955E-001, 7.5000000E-003, 1.1891229E-003, 7.5000000E-003, 4.2129053E-001, 7.5000000E-003, 1.2877660E-003
 1.2500000E-002, 1.7166586E+000, 1.2500000E-002, 7.3658385E-006, 1.2500000E-002, 1.5744863E+000, 1.2500000E-002, 6.7974167E-006, 1.2500000E-002, 1.2092550E+000, 1.2500000E-002, 3.9541493E-006, 1.2500000E-002, 6.5100507E-001, 1.2500000E-002, 1.1903135E-003, 1.2500000E-002, 4.2087347E-001, 1.2500000E-002, 1.2829608E-003
 1.7500000E-002, 1.7721952E+000, 1.7500000E-002, 1.6422909E-005, 1.7500000E-002, 1.6279896E+000, 1.7500000E-002, 1.3985418E-005, 1.7500000E-002, 1.2184447E+000, 1.7500000E-002, 6.3443602E-006, 1.7500000E-002, 6.4852399E-001, 1.7500000E-002, 1.1920884E-003, 1.7500000E-002, 4.2002704E-001, 1.7500000E-002, 1.2769094E-003
 2.2500000E-002, 1.8347212E+000, 2.2500000E-002, 3.0098988E-005, 2.2500000E-002, 1.6932780E+000, 2.2500000E-002, 2.4365741E-005, 2.2500000E-002, 1.2281993E+000, 2.2500000E-002, 1.1643991E-005, 2.2500000E-002, 6.4519663E-001, 2.2500000E-002, 1.1942398E-003, 2.2500000E-002, 4.1887748E-001, 2.2500000E-002, 1.2706367E-003
 2.7500000E-002, 1.8970703E+000, 2.7500000E-002, 5.0757183E-005, 2.7500000E-002, 1.7661335E+000, 2.7500000E-002, 4.8198853E-005, 2.7500000E-002, 1.2378568E+000, 2.7500000E-002, 2.1122145E-005, 2.7500000E-002, 6.4113576E-001, 2.7500000E-002, 1.1964369E-003, 2.7500000E-002, 4.1747521E-001, 2.7500000E-002, 1.2662075E-003
 3.2500000E-002, 1.9461425E+000, 3.2500000E-002, 8.8318507E-005, 3.2500000E-002, 1.8338435E+000, 3.2500000E-002, 1.0907684E-004, 3.2500000E-002, 1.2449113E+000, 3.2500000E-002, 3.7494457E-005, 3.2500000E-002, 6.3617372E-001, 3.2500000E-002, 1.1984162E-003, 3.2500000E-002, 4.1575711E-001, 3.2500000E-002, 1.2669961E-003
 3.7500000E-002, 1.9890632E+000, 3.7500000E-002, 1.6877691E-004, 3.7500000E-002, 1.9010208E+000, 3.7500000E-002, 2.2845026E-004, 3.7500000E-002, 1.2502108E+000, 3.7500000E-002, 5.4998400E-005, 3.7500000E-002, 6.3120917E-001, 3.7500000E-002, 1.1982982E-003, 3.7500000E-002, 4.1392520E-001, 3.7500000E-002, 1.2790316E-003
 4.2500000E-002, 2.0044297E+000, 4.2500000E-002, 2.8234092E-004, 4.2500000E-002, 1.9439099E+000, 4.2500000E-002, 4.0475457E-004, 4.2500000E-002, 1.2238204E+000, 4.2500000E-002, 8.6000505E-005, 4.2500000E-002, 6.2114113E-001, 4.2500000E-002, 1.2046605E-003, 4.2500000E-002, 4.1094559E-001, 4.2500000E-002, 1.3062652E-003
