m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 1.3117769E+000, 2.5000000E-003, 1.2266199E-007, 2.5000000E-003, 1.1829514E+000, 2.5000000E-003, 4.3692548E-007, 2.5000000E-003, 1.0366226E+000, 2.5000000E-003, 1.5823530E-006, 2.5000000E-003, 7.4904893E-001, 2.5000000E-003, 3.0349616E-004, 2.5000000E-003, 5.7117742E-001, 2.5000000E-003, 3.5860514E-004
 7.5000000E-003, 1.3523019E+000, 7.5000000E-003, 5.2446053E-007, 7.5000000E-003, 1.3076261E+000, 7.5000000E-003, 8.1439538E-007, 7.5000000E-003, 1.1330689E+000, 7.5000000E-003, 1.6671978E-006, 7.5000000E-003, 7.8551265E-001, 7.5000000E-003, 3.0558194E-004, 7.5000000E-003, 6.0205547E-001, 7.5000000E-003, 3.5901137E-004
 1.2500000E-002, 1.3599586E+000, 1.2500000E-002, 1.6808360E-006, 1.2500000E-002, 1.3220324E+000, 1.2500000E-002, 2.2676800E-006, 1.2500000E-002, 1.1463709E+000, 1.2500000E-002, 2.2949085E-006, 1.2500000E-002, 7.8774062E-001, 1.2500000E-002, 3.0568444E-004, 1.2500000E-002, 6.0361082E-001, 1.2500000E-002, 3.5945324E-004
 1.7500000E-002, 1.3753136E+000, 1.7500000E-002, 3.2762732E-006, 1.7500000E-002, 1.3387412E+000, 1.7500000E-002, 3.8883320E-006, 1.7500000E-002, 1.1547421E+000, 1.7500000E-002, 3.7355008E-006, 1.7500000E-002, 7.8687604E-001, 1.7500000E-002, 3.0579771E-004, 1.7500000E-002, 6.0325433E-001, 1.7500000E-002, 3.6104573E-004
 2.2500000E-002, 1.3931642E+000, 2.2500000E-002, 5.9219061E-006, 2.2500000E-002, 1.3592901E+000, 2.2500000E-002, 5.8731673E-006, 2.2500000E-002, 1.1637941E+000, 2.2500000E-002, 5.0195611E-006, 2.2500000E-002, 7.8555177E-001, 2.2500000E-002, 3.0600591E-004, 2.2500000E-002, 6.0271595E-001, 2.2500000E-002, 3.6374866E-004
 2.7500000E-002, 1.4112081E+000, 2.7500000E-002, 1.2069359E-005, 2.7500000E-002, 1.3819326E+000, 2.7500000E-002, 1.3729830E-005, 2.7500000E-002, 1.1736680E+000, 2.7500000E-002, 8.3299838E-006, 2.7500000E-002, 7.8141310E-001, 2.7500000E-002, 3.0634338E-004, 2.7500000E-002, 6.0131678E-001, 2.7500000E-002, 3.6935886E-004
 3.2500000E-002, 1.4260951E+000, 3.2500000E-002, 2.5293445E-005, 3.2500000E-002, 1.4035174E+000, 3.2500000E-002, 3.3359734E-005, 3.2500000E-002, 1.1832478E+000, 3.2500000E-002, 1.9417330E-005, 3.2500000E-002, 7.8721370E-001, 3.2500000E-002, 3.0700453E-004, 3.2500000E-002, 6.0214697E-001, 3.2500000E-002, 3.7809733E-004
 3.7500000E-002, 1.4373801E+000, 3.7500000E-002, 5.2480360E-005, 3.7500000E-002, 1.4229408E+000, 3.7500000E-002, 7.1398440E-005, 3.7500000E-002, 1.1892381E+000, 3.7500000E-002, 3.6961318E-005, 3.7500000E-002, 7.5775106E-001, 3.7500000E-002, 3.0466223E-004, 3.7500000E-002, 5.9503321E-001, 3.7500000E-002, 3.9187663E-004
 4.2500000E-002, 1.4498121E+000, 4.2500000E-002, 1.0254088E-004, 4.2500000E-002, 1.4445819E+000, 4.2500000E-002, 1.3142839E-004, 4.2500000E-002, 1.2105496E+000, 4.2500000E-002, 6.4268791E-005, 4.2500000E-002, 8.2027383E-001, 4.2500000E-002, 3.1712708E-004, 4.2500000E-002, 6.1491984E-001, 4.2500000E-002, 4.4536274E-004
 4.7500000E-002, 1.4578649E+000, 4.7500000E-002, 1.5736749E-004, 4.7500000E-002, 1.4622245E+000, 4.7500000E-002, 1.9263743E-004, 4.7500000E-002, 1.0806807E+000, 4.7500000E-002, 1.1466068E-004, 4.7500000E-002, 6.5971189E-001, 4.7500000E-002, 3.1861758E-004, 4.7500000E-002, 5.1578293E-001, 4.7500000E-002, 5.2862613E-004
 5.2500000E-002, 1.4683846E+000, 5.2500000E-002, 1.6063905E-004, 5.2500000E-002, 1.4828984E+000, 5.2500000E-002, 1.9775541E-004, 5.2500000E-002, 1.6070360E+000, 5.2500000E-002, 2.8192964E-004, 5.2500000E-002, 1.0718830E+000, 5.2500000E-002, 4.2654092E-004, 5.2500000E-002, 9.8375570E-001, 5.2500000E-002, 1.8354703E-003
 5.7500000E-002, 1.4890592E+000, 5.7500000E-002, 2.1215984E-004, 5.7500000E-002, 1.5138452E+000, 5.7500000E-002, 2.6730800E-004, 5.7500000E-002, 1.7523918E+000, 5.7500000E-002, 3.6064701E-004, 5.7500000E-002, 1.7015017E+000, 5.7500000E-002, 8.5226863E-004, 5.7500000E-002, 1.5573798E+000, 5.7500000E-002, 3.4181868E-003
 6.2500000E-002, 1.5082667E+000, 6.2500000E-002, 3.1209629E-004, 6.2500000E-002, 1.5430868E+000, 6.2500000E-002, 4.0472769E-004, 6.2500000E-002, 1.7900878E+000, 6.2500000E-002, 4.8557970E-004, 6.2500000E-002, 2.1504720E+000, 6.2500000E-002, 2.4602690E-003, 6.2500000E-002, 2.1637003E+000, 6.2500000E-002, 8.7137990E-003
 6.7500000E-002, 1.5251747E+000, 6.7500000E-002, 3.8804519E-004, 6.7500000E-002, 1.5697482E+000, 6.7500000E-002, 4.7337994E-004, 6.7500000E-002, 1.8128122E+000, 6.7500000E-002, 6.4063370E-004, 6.7500000E-002, 2.3555935E+000, 6.7500000E-002, 4.5314574E-003, 6.7500000E-002, 2.5490292E+000, 6.7500000E-002, 3.4082109E-002
 7.2500000E-002, 1.5370024E+000, 7.2500000E-002, 4.7882027E-004, 7.2500000E-002, 1.5902120E+000, 7.2500000E-002, 5.6911825E-004, 7.2500000E-002, 1.8313728E+000, 7.2500000E-002, 7.5393941E-004, 7.2500000E-002, 2.4265481E+000, 7.2500000E-002, 6.9646596E-003, 7.2500000E-002, 2.7363549E+000, 7.2500000E-002, 6.0909608E-002
 7.7500000E-002, 1.5434565E+000, 7.7500000E-002, 4.9697643E-004, 7.7500000E-002, 1.6039342E+000, 7.7500000E-002, 6.0281146E-004, 7.7500000E-002, 1.8435994E+000, 7.7500000E-002, 8.0906688E-004, 7.7500000E-002, 2.4485659E+000, 7.7500000E-002, 9.1801162E-003, 7.7500000E-002, 2.7952023E+000, 7.7500000E-002, 7.8729159E-002
 8.2500000E-002, 1.5481694E+000, 8.2500000E-002, 4.3648307E-004, 8.2500000E-002, 1.6145407E+000, 8.2500000E-002, 5.2718552E-004, 8.2500000E-002, 1.8516718E+000, 8.2500000E-002, 7.8814919E-004, 8.2500000E-002, 2.4558152E+000, 8.2500000E-002, 9.5502905E-003, 8.2500000E-002, 2.7994207E+000, 8.2500000E-002, 8.2272476E-002
 8.7500000E-002, 1.5526854E+000, 8.7500000E-002, 3.8472914E-004, 8.7500000E-002, 1.6235943E+000, 8.7500000E-002, 4.6868969E-004, 8.7500000E-002, 1.8583300E+000, 8.7500000E-002, 6.7431425E-004, 8.7500000E-002, 2.4569512E+000, 8.7500000E-002, 9.2676738E-003, 8.7500000E-002, 2.7984569E+000, 8.7500000E-002, 8.8148171E-002
 9.2500000E-002, 1.5571034E+000, 9.2500000E-002, 3.7077129E-004, 9.2500000E-002, 1.6286918E+000, 9.2500000E-002, 4.8318446E-004, 9.2500000E-002, 1.8658006E+000, 9.2500000E-002, 7.9235017E-004, 9.2500000E-002, 2.4721448E+000, 9.2500000E-002, 9.5786525E-003, 9.2500000E-002, 2.8033118E+000, 9.2500000E-002, 9.8948628E-002
 9.7500000E-002, 1.5161171E+000, 9.7500000E-002, 4.5160414E-004, 9.7500000E-002, 1.5021649E+000, 9.7500000E-002, 5.5510698E-004, 9.7500000E-002, 1.6735964E+000, 9.7500000E-002, 8.4733145E-004, 9.7500000E-002, 2.1576388E+000, 9.7500000E-002, 8.8814298E-003, 9.7500000E-002, 2.3523473E+000, 9.7500000E-002, 5.0322008E-002
