m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 4.2620112E-001, 2.5000000E-003, 7.6211992E-009, 2.5000000E-003, 3.5271230E-001, 2.5000000E-003, 5.4206528E-008, 2.5000000E-003, 3.1145917E-001, 2.5000000E-003, 1.9248668E-007, 2.5000000E-003, 2.1184323E-001, 2.5000000E-003, 3.5531188E-005, 2.5000000E-003, 1.4799469E-001, 2.5000000E-003, 4.0414514E-005
 7.5000000E-003, 4.5279987E-001, 7.5000000E-003, 7.1901245E-009, 7.5000000E-003, 4.3294764E-001, 7.5000000E-003, 5.1447871E-008, 7.5000000E-003, 3.6271370E-001, 7.5000000E-003, 1.9264758E-007, 7.5000000E-003, 2.3482449E-001, 7.5000000E-003, 3.6014622E-005, 7.5000000E-003, 1.6652837E-001, 7.5000000E-003, 4.0694662E-005
 1.2500000E-002, 4.5751729E-001, 1.2500000E-002, 7.6307989E-009, 1.2500000E-002, 4.4541671E-001, 1.2500000E-002, 4.8242056E-008, 1.2500000E-002, 3.7274936E-001, 1.2500000E-002, 1.8325213E-007, 1.2500000E-002, 2.3673646E-001, 1.2500000E-002, 3.6004323E-005, 1.2500000E-002, 1.6802940E-001, 1.2500000E-002, 4.0511707E-005
 1.7500000E-002, 4.6635689E-001, 1.7500000E-002, 1.6625804E-008, 1.7500000E-002, 4.5445968E-001, 1.7500000E-002, 4.7876119E-008, 1.7500000E-002, 3.7787750E-001, 1.7500000E-002, 1.7187681E-007, 1.7500000E-002, 2.3652502E-001, 1.7500000E-002, 3.6009424E-005, 1.7500000E-002, 1.6800078E-001, 1.7500000E-002, 4.0430814E-005
 2.2500000E-002, 4.7676529E-001, 2.2500000E-002, 5.0909776E-008, 2.2500000E-002, 4.6527718E-001, 2.2500000E-002, 6.3492401E-008, 2.2500000E-002, 3.8259344E-001, 2.2500000E-002, 1.6962329E-007, 2.2500000E-002, 2.3594712E-001, 2.2500000E-002, 3.6018857E-005, 2.2500000E-002, 1.6773876E-001, 2.2500000E-002, 4.0397888E-005
 2.7500000E-002, 4.8743107E-001, 2.7500000E-002, 1.5105233E-007, 2.7500000E-002, 4.7727917E-001, 2.7500000E-002, 1.4711635E-007, 2.7500000E-002, 3.8754201E-001, 2.7500000E-002, 1.8284384E-007, 2.7500000E-002, 2.3460488E-001, 2.7500000E-002, 3.6057465E-005, 2.7500000E-002, 1.6735098E-001, 2.7500000E-002, 4.0471755E-005
 3.2500000E-002, 4.9678088E-001, 3.2500000E-002, 3.7993982E-007, 3.2500000E-002, 4.8904939E-001, 3.2500000E-002, 3.9361091E-007, 3.2500000E-002, 3.9244835E-001, 3.2500000E-002, 3.5296721E-007, 3.2500000E-002, 2.3534381E-001, 3.2500000E-002, 3.6149478E-005, 3.2500000E-002, 1.6704750E-001, 3.2500000E-002, 4.0755006E-005
 3.7500000E-002, 5.0454129E-001, 3.7500000E-002, 8.2876550E-007, 3.7500000E-002, 5.0001192E-001, 3.7500000E-002, 1.0207681E-006, 3.7500000E-002, 3.9583573E-001, 3.7500000E-002, 7.5177067E-007, 3.7500000E-002, 2.2865180E-001, 3.7500000E-002, 3.6092375E-005, 3.7500000E-002, 1.6582403E-001, 3.7500000E-002, 4.1565949E-005
 4.2500000E-002, 5.1246425E-001, 4.2500000E-002, 1.5685628E-006, 4.2500000E-002, 5.1173601E-001, 4.2500000E-002, 2.2143955E-006, 4.2500000E-002, 4.0779444E-001, 4.2500000E-002, 1.4255951E-006, 4.2500000E-002, 2.4184800E-001, 4.2500000E-002, 3.6993741E-005, 4.2500000E-002, 1.6919794E-001, 4.2500000E-002, 4.4528642E-005
 4.7500000E-002, 5.1841301E-001, 4.7500000E-002, 2.4065786E-006, 4.7500000E-002, 5.2171897E-001, 4.7500000E-002, 3.7436929E-006, 4.7500000E-002, 3.4372644E-001, 4.7500000E-002, 3.1590044E-006, 4.7500000E-002, 1.9706282E-001, 4.7500000E-002, 3.6789658E-005, 4.7500000E-002, 1.4080572E-001, 4.7500000E-002, 5.3438931E-005
 5.2500000E-002, 5.2265656E-001, 5.2500000E-002, 2.8124985E-006, 5.2500000E-002, 5.3070148E-001, 5.2500000E-002, 4.4722260E-006, 5.2500000E-002, 5.6942260E-001, 5.2500000E-002, 6.8261957E-006, 5.2500000E-002, 3.4526440E-001, 5.2500000E-002, 3.8470387E-005, 5.2500000E-002, 3.3366525E-001, 5.2500000E-002, 1.3552013E-004
 5.7500000E-002, 5.2855996E-001, 5.7500000E-002, 4.2699525E-006, 5.7500000E-002, 5.4181046E-001, 5.7500000E-002, 5.1741854E-006, 5.7500000E-002, 6.4278557E-001, 5.7500000E-002, 8.6485334E-006, 5.7500000E-002, 5.7080708E-001, 5.7500000E-002, 4.4082857E-005, 5.7500000E-002, 5.3254784E-001, 5.7500000E-002, 2.0650054E-004
 6.2500000E-002, 5.3389328E-001, 6.2500000E-002, 6.5969535E-006, 6.2500000E-002, 5.5171970E-001, 6.2500000E-002, 9.3054751E-006, 6.2500000E-002, 6.6052470E-001, 6.2500000E-002, 1.1463187E-005, 6.2500000E-002, 7.6886339E-001, 6.2500000E-002, 6.8999343E-005, 6.2500000E-002, 7.6032919E-001, 6.2500000E-002, 4.0032535E-004
 6.7500000E-002, 5.3809525E-001, 6.7500000E-002, 8.2960267E-006, 6.7500000E-002, 5.6020518E-001, 6.7500000E-002, 1.1538600E-005, 6.7500000E-002, 6.6766499E-001, 6.7500000E-002, 1.8340905E-005, 6.7500000E-002, 8.7339277E-001, 6.7500000E-002, 1.8222424E-004, 6.7500000E-002, 9.2942116E-001, 6.7500000E-002, 2.0552576E-003
 7.2500000E-002, 5.4027069E-001, 7.2500000E-002, 1.5273115E-005, 7.2500000E-002, 5.6638098E-001, 7.2500000E-002, 1.8324567E-005, 7.2500000E-002, 6.7266065E-001, 7.2500000E-002, 2.2752806E-005, 7.2500000E-002, 9.1281440E-001, 7.2500000E-002, 3.2156912E-004, 7.2500000E-002, 1.0159124E+000, 7.2500000E-002, 7.5291796E-003
 7.7500000E-002, 5.4061195E-001, 7.7500000E-002, 1.7784761E-005, 7.7500000E-002, 5.7016453E-001, 7.7500000E-002, 1.9172636E-005, 7.7500000E-002, 6.7546366E-001, 7.7500000E-002, 2.4673002E-005, 7.7500000E-002, 9.2385565E-001, 7.7500000E-002, 4.7999021E-004, 7.7500000E-002, 1.0485922E+000, 7.7500000E-002, 1.3243534E-002
 8.2500000E-002, 5.4058887E-001, 8.2500000E-002, 1.5624133E-005, 8.2500000E-002, 5.7284604E-001, 8.2500000E-002, 1.8808072E-005, 8.2500000E-002, 6.7673495E-001, 8.2500000E-002, 2.4893803E-005, 8.2500000E-002, 9.2546615E-001, 8.2500000E-002, 5.9725276E-004, 8.2500000E-002, 1.0587238E+000, 8.2500000E-002, 1.3355034E-002
 8.7500000E-002, 5.4088183E-001, 8.7500000E-002, 1.5513372E-005, 8.7500000E-002, 5.7516284E-001, 8.7500000E-002, 1.8974568E-005, 8.7500000E-002, 6.7790482E-001, 8.7500000E-002, 2.5481799E-005, 8.7500000E-002, 9.2480278E-001, 8.7500000E-002, 5.4113478E-004, 8.7500000E-002, 1.0608275E+000, 8.7500000E-002, 1.5664522E-002
 9.2500000E-002, 5.4173810E-001, 9.2500000E-002, 1.4468074E-005, 9.2500000E-002, 5.7390964E-001, 9.2500000E-002, 1.9366914E-005, 9.2500000E-002, 6.7639653E-001, 9.2500000E-002, 2.8628771E-005, 9.2500000E-002, 9.2464910E-001, 9.2500000E-002, 5.3722288E-004, 9.2500000E-002, 1.0521235E+000, 9.2500000E-002, 1.5121182E-002
 9.7500000E-002, 5.1669318E-001, 9.7500000E-002, 1.8335061E-005, 9.7500000E-002, 5.0020166E-001, 9.7500000E-002, 2.6142315E-005, 9.7500000E-002, 5.7221890E-001, 9.7500000E-002, 3.5573840E-005, 9.7500000E-002, 7.7509372E-001, 9.7500000E-002, 1.3276123E-004, 9.7500000E-002, 8.4460736E-001, 9.7500000E-002, 1.4781525E-003
