m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 1.7424493E+000, 2.5000000E-003, 7.0865043E-007, 2.5000000E-003, 1.5846167E+000, 2.5000000E-003, 1.1297159E-006, 2.5000000E-003, 1.4016006E+000, 2.5000000E-003, 2.5068599E-006, 2.5000000E-003, 1.0270852E+000, 2.5000000E-003, 4.2904330E-004, 2.5000000E-003, 7.9807293E-001, 2.5000000E-003, 5.1416100E-004
 7.5000000E-003, 1.7925727E+000, 7.5000000E-003, 3.4002797E-006, 7.5000000E-003, 1.7377504E+000, 7.5000000E-003, 4.8159383E-006, 7.5000000E-003, 1.5228777E+000, 7.5000000E-003, 4.2577065E-006, 7.5000000E-003, 1.0755305E+000, 7.5000000E-003, 4.3345158E-004, 7.5000000E-003, 8.3317215E-001, 7.5000000E-003, 5.1437899E-004
 1.2500000E-002, 1.8051037E+000, 1.2500000E-002, 9.5499915E-006, 1.2500000E-002, 1.7571796E+000, 1.2500000E-002, 1.3681897E-005, 1.2500000E-002, 1.5392591E+000, 1.2500000E-002, 1.0407464E-005, 1.2500000E-002, 1.0782098E+000, 1.2500000E-002, 4.3358006E-004, 1.2500000E-002, 8.3481347E-001, 1.2500000E-002, 5.1621712E-004
 1.7500000E-002, 1.8294303E+000, 1.7500000E-002, 1.5379882E-005, 1.7500000E-002, 1.7827986E+000, 1.7500000E-002, 2.1880174E-005, 1.7500000E-002, 1.5516908E+000, 1.7500000E-002, 1.8933788E-005, 1.7500000E-002, 1.0770272E+000, 1.7500000E-002, 4.3417215E-004, 1.7500000E-002, 8.3432174E-001, 1.7500000E-002, 5.2012057E-004
 2.2500000E-002, 1.8576232E+000, 2.2500000E-002, 1.5934683E-005, 2.2500000E-002, 1.8140114E+000, 2.2500000E-002, 1.9042757E-005, 2.2500000E-002, 1.5657120E+000, 2.2500000E-002, 2.1220634E-005, 2.2500000E-002, 1.0753490E+000, 2.2500000E-002, 4.3421286E-004, 2.2500000E-002, 8.3364886E-001, 2.2500000E-002, 5.2755798E-004
 2.7500000E-002, 1.8865691E+000, 2.7500000E-002, 2.3260932E-005, 2.7500000E-002, 1.8482836E+000, 2.7500000E-002, 2.4349550E-005, 2.7500000E-002, 1.5809519E+000, 2.7500000E-002, 1.7827859E-005, 2.7500000E-002, 1.0700297E+000, 2.7500000E-002, 4.3757748E-004, 2.7500000E-002, 8.3163359E-001, 2.7500000E-002, 5.3767066E-004
 3.2500000E-002, 1.9127540E+000, 3.2500000E-002, 4.8302425E-005, 3.2500000E-002, 1.8822701E+000, 3.2500000E-002, 5.8613056E-005, 3.2500000E-002, 1.5959719E+000, 3.2500000E-002, 3.5017747E-005, 3.2500000E-002, 1.0779839E+000, 3.2500000E-002, 4.3676004E-004, 3.2500000E-002, 8.3323896E-001, 3.2500000E-002, 5.6981652E-004
 3.7500000E-002, 1.9356192E+000, 3.7500000E-002, 1.0384509E-004, 3.7500000E-002, 1.9148879E+000, 3.7500000E-002, 1.2821708E-004, 3.7500000E-002, 1.6070433E+000, 3.7500000E-002, 7.0528288E-005, 3.7500000E-002, 1.0375072E+000, 3.7500000E-002, 4.3170995E-004, 3.7500000E-002, 8.2259537E-001, 3.7500000E-002, 5.9734718E-004
 4.2500000E-002, 1.9598887E+000, 4.2500000E-002, 2.0698121E-004, 4.2500000E-002, 1.9505643E+000, 4.2500000E-002, 2.4746901E-004, 4.2500000E-002, 1.6367458E+000, 4.2500000E-002, 1.3139079E-004, 4.2500000E-002, 1.1261603E+000, 4.2500000E-002, 4.5256934E-004, 4.2500000E-002, 8.5065115E-001, 4.2500000E-002, 6.5817357E-004
