m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 1.2194024E+000, 2.5000000E-003, 2.6975190E-007, 2.5000000E-003, 1.0187977E+000, 2.5000000E-003, 9.4037832E-007, 2.5000000E-003, 8.6268360E-001, 2.5000000E-003, 2.0747084E-006, 2.5000000E-003, 4.5497538E-001, 2.5000000E-003, 8.8742386E-004, 2.5000000E-003, 2.8156171E-001, 2.5000000E-003, 9.2688377E-004
 7.5000000E-003, 1.2634506E+000, 7.5000000E-003, 1.0788939E-006, 7.5000000E-003, 1.1454341E+000, 7.5000000E-003, 1.3731608E-006, 7.5000000E-003, 8.8043467E-001, 7.5000000E-003, 2.1609218E-006, 7.5000000E-003, 4.6229629E-001, 7.5000000E-003, 8.8973826E-004, 7.5000000E-003, 2.8786406E-001, 7.5000000E-003, 9.2650827E-004
 1.2500000E-002, 1.2874733E+000, 1.2500000E-002, 3.4980534E-006, 1.2500000E-002, 1.1755455E+000, 1.2500000E-002, 3.1994094E-006, 1.2500000E-002, 8.8664601E-001, 1.2500000E-002, 2.4150926E-006, 1.2500000E-002, 4.6120614E-001, 1.2500000E-002, 8.9065305E-004, 1.2500000E-002, 2.8756650E-001, 1.2500000E-002, 9.2190671E-004
 1.7500000E-002, 1.3290606E+000, 1.7500000E-002, 8.3334786E-006, 1.7500000E-002, 1.2156226E+000, 1.7500000E-002, 7.2146612E-006, 1.7500000E-002, 8.9351421E-001, 1.7500000E-002, 3.5599712E-006, 1.7500000E-002, 4.5925716E-001, 1.7500000E-002, 8.9204655E-004, 1.7500000E-002, 2.8689747E-001, 1.7500000E-002, 9.1594580E-004
 2.2500000E-002, 1.3759092E+000, 2.2500000E-002, 1.6326063E-005, 2.2500000E-002, 1.2646560E+000, 2.2500000E-002, 1.3783404E-005, 2.2500000E-002, 9.0071664E-001, 2.2500000E-002, 6.2022456E-006, 2.2500000E-002, 4.5665694E-001, 2.2500000E-002, 8.9376312E-004, 2.2500000E-002, 2.8600300E-001, 2.2500000E-002, 9.0930263E-004
 2.7500000E-002, 1.4227220E+000, 2.7500000E-002, 2.8925381E-005, 2.7500000E-002, 1.3197880E+000, 2.7500000E-002, 2.9841531E-005, 2.7500000E-002, 9.0770353E-001, 2.7500000E-002, 1.1750790E-005, 2.7500000E-002, 4.5344986E-001, 2.7500000E-002, 8.9549142E-004, 2.7500000E-002, 2.8490168E-001, 2.7500000E-002, 9.0341580E-004
 3.2500000E-002, 1.4594005E+000, 3.2500000E-002, 5.2322036E-005, 3.2500000E-002, 1.3712295E+000, 3.2500000E-002, 7.0516809E-005, 3.2500000E-002, 9.1269000E-001, 3.2500000E-002, 2.1793812E-005, 3.2500000E-002, 4.4958878E-001, 3.2500000E-002, 8.9716942E-004, 3.2500000E-002, 2.8355820E-001, 3.2500000E-002, 9.0070863E-004
 3.7500000E-002, 1.4923955E+000, 3.7500000E-002, 1.0283330E-004, 3.7500000E-002, 1.4235245E+000, 3.7500000E-002, 1.4900172E-004, 3.7500000E-002, 9.1631855E-001, 3.7500000E-002, 3.3388780E-005, 3.7500000E-002, 4.4559014E-001, 3.7500000E-002, 8.9685712E-004, 3.7500000E-002, 2.8208685E-001, 3.7500000E-002, 9.0499507E-004
 4.2500000E-002, 1.5029811E+000, 4.2500000E-002, 1.7579834E-004, 4.2500000E-002, 1.4559837E+000, 4.2500000E-002, 2.6327733E-004, 4.2500000E-002, 8.9343787E-001, 4.2500000E-002, 5.4425373E-005, 4.2500000E-002, 4.3802485E-001, 4.2500000E-002, 9.0178936E-004, 4.2500000E-002, 2.7994400E-001, 4.2500000E-002, 9.2060850E-004
 4.7500000E-002, 1.5467830E+000, 4.7500000E-002, 2.5020406E-004, 4.7500000E-002, 1.5249148E+000, 4.7500000E-002, 3.6964747E-004, 4.7500000E-002, 9.8843231E-001, 4.7500000E-002, 1.2362493E-004, 4.7500000E-002, 4.4864180E-001, 4.7500000E-002, 8.7310449E-004, 4.7500000E-002, 2.8189969E-001, 4.7500000E-002, 1.0050648E-003
 5.2500000E-002, 1.5772719E+000, 5.2500000E-002, 2.9546706E-004, 5.2500000E-002, 1.5784299E+000, 5.2500000E-002, 4.2254412E-004, 5.2500000E-002, 5.1089945E-001, 5.2500000E-002, 2.7373859E-004, 5.2500000E-002, 3.3768011E-001, 5.2500000E-002, 9.7205672E-004, 5.2500000E-002, 2.2424266E-001, 5.2500000E-002, 1.5344362E-003
 5.7500000E-002, 1.5519912E+000, 5.7500000E-002, 3.1763881E-004, 5.7500000E-002, 1.5818896E+000, 5.7500000E-002, 4.4898750E-004, 5.7500000E-002, 1.5640098E+000, 5.7500000E-002, 6.0329662E-004, 5.7500000E-002, 9.4150416E-001, 5.7500000E-002, 1.3851657E-003, 5.7500000E-002, 1.0163615E+000, 5.7500000E-002, 5.2948656E-003
 6.2500000E-002, 1.5533404E+000, 6.2500000E-002, 4.5389665E-004, 6.2500000E-002, 1.6209220E+000, 6.2500000E-002, 6.8387899E-004, 6.2500000E-002, 2.1864599E+000, 6.2500000E-002, 8.0861465E-004, 6.2500000E-002, 1.6046291E+000, 6.2500000E-002, 1.5649569E-003, 6.2500000E-002, 1.6537270E+000, 6.2500000E-002, 1.0677239E-002
 6.7500000E-002, 1.5799828E+000, 6.7500000E-002, 6.7778219E-004, 6.7500000E-002, 1.6743010E+000, 6.7500000E-002, 1.0021732E-003, 6.7500000E-002, 2.3582082E+000, 6.7500000E-002, 1.0073033E-003, 6.7500000E-002, 2.5125775E+000, 6.7500000E-002, 2.8594440E-003, 6.7500000E-002, 2.4996481E+000, 6.7500000E-002, 1.7226140E-002
 7.2500000E-002, 1.5980472E+000, 7.2500000E-002, 8.9635641E-004, 7.2500000E-002, 1.7164143E+000, 7.2500000E-002, 9.8508475E-004, 7.2500000E-002, 2.3851216E+000, 7.2500000E-002, 1.4158702E-003, 7.2500000E-002, 3.1097531E+000, 7.2500000E-002, 1.0881912E-002, 7.2500000E-002, 3.2458744E+000, 7.2500000E-002, 4.6364952E-002
 7.7500000E-002, 1.6022859E+000, 7.7500000E-002, 1.2174504E-003, 7.7500000E-002, 1.7418443E+000, 7.7500000E-002, 1.6776080E-003, 7.7500000E-002, 2.3894688E+000, 7.7500000E-002, 1.5919323E-003, 7.7500000E-002, 3.3608219E+000, 7.7500000E-002, 2.0539691E-002, 7.7500000E-002, 3.6856667E+000, 7.7500000E-002, 1.1402893E-001
 8.2500000E-002, 1.6019168E+000, 8.2500000E-002, 1.5745175E-003, 8.2500000E-002, 1.7579641E+000, 8.2500000E-002, 1.7703560E-003, 8.2500000E-002, 2.3884837E+000, 8.2500000E-002, 1.8999175E-003, 8.2500000E-002, 3.4347285E+000, 8.2500000E-002, 2.5635432E-002, 8.2500000E-002, 3.7982617E+000, 8.2500000E-002, 1.6442664E-001
 8.7500000E-002, 1.6011992E+000, 8.7500000E-002, 1.5074826E-003, 8.7500000E-002, 1.7691352E+000, 8.7500000E-002, 1.8581665E-003, 8.7500000E-002, 2.3818666E+000, 8.7500000E-002, 1.7749817E-003, 8.7500000E-002, 3.4383432E+000, 8.7500000E-002, 2.8414743E-002, 8.7500000E-002, 3.8311876E+000, 8.7500000E-002, 1.5634503E-001
 9.2500000E-002, 1.6027174E+000, 9.2500000E-002, 1.2716175E-003, 9.2500000E-002, 1.7790092E+000, 9.2500000E-002, 1.4062483E-003, 9.2500000E-002, 2.3946853E+000, 9.2500000E-002, 1.6794069E-003, 9.2500000E-002, 3.4629984E+000, 9.2500000E-002, 3.3176842E-002, 9.2500000E-002, 3.8406974E+000, 9.2500000E-002, 1.8438733E-001
 9.7500000E-002, 1.5608817E+000, 9.7500000E-002, 1.5981616E-003, 9.7500000E-002, 1.6557871E+000, 9.7500000E-002, 2.0609791E-003, 9.7500000E-002, 2.2124686E+000, 9.7500000E-002, 1.9573675E-003, 9.7500000E-002, 3.1119239E+000, 9.7500000E-002, 2.9889357E-002, 9.7500000E-002, 3.2683989E+000, 9.7500000E-002, 1.2787100E-001
