m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 1.2617833E+000, 2.5000000E-003, 1.5263461E-007, 2.5000000E-003, 1.0869112E+000, 2.5000000E-003, 6.6863876E-007, 2.5000000E-003, 8.9343023E-001, 2.5000000E-003, 2.0222607E-006, 2.5000000E-003, 5.0558193E-001, 2.5000000E-003, 5.8710063E-004, 2.5000000E-003, 3.2836710E-001, 2.5000000E-003, 5.9196004E-004
 7.5000000E-003, 1.3022629E+000, 7.5000000E-003, 8.3658788E-007, 7.5000000E-003, 1.2122308E+000, 7.5000000E-003, 1.0031911E-006, 7.5000000E-003, 9.3482669E-001, 7.5000000E-003, 2.0170264E-006, 7.5000000E-003, 5.1871341E-001, 7.5000000E-003, 5.8991326E-004, 7.5000000E-003, 3.3974849E-001, 7.5000000E-003, 5.9083830E-004
 1.2500000E-002, 1.3112521E+000, 1.2500000E-002, 3.0006080E-006, 1.2500000E-002, 1.2306637E+000, 1.2500000E-002, 2.6171012E-006, 1.2500000E-002, 9.4341053E-001, 1.2500000E-002, 2.2416300E-006, 1.2500000E-002, 5.1809773E-001, 1.2500000E-002, 5.9067956E-004, 1.2500000E-002, 3.3974239E-001, 1.2500000E-002, 5.8643854E-004
 1.7500000E-002, 1.3281389E+000, 1.7500000E-002, 7.4644907E-006, 1.7500000E-002, 1.2505051E+000, 1.7500000E-002, 6.1127767E-006, 1.7500000E-002, 9.4957413E-001, 1.7500000E-002, 2.9951346E-006, 1.7500000E-002, 5.1629294E-001, 1.7500000E-002, 5.9178066E-004, 1.7500000E-002, 3.3911968E-001, 1.7500000E-002, 5.8113619E-004
 2.2500000E-002, 1.3478227E+000, 2.2500000E-002, 1.5504403E-005, 2.2500000E-002, 1.2753948E+000, 2.2500000E-002, 1.4269943E-005, 2.2500000E-002, 9.5552322E-001, 2.2500000E-002, 7.3223392E-006, 2.2500000E-002, 5.1395935E-001, 2.2500000E-002, 5.9330296E-004, 2.2500000E-002, 3.3827142E-001, 2.2500000E-002, 5.7546240E-004
 2.7500000E-002, 1.3680188E+000, 2.7500000E-002, 3.0121235E-005, 2.7500000E-002, 1.3040409E+000, 2.7500000E-002, 3.4293806E-005, 2.7500000E-002, 9.6089476E-001, 2.7500000E-002, 1.6194142E-005, 2.7500000E-002, 5.1059688E-001, 2.7500000E-002, 5.9436363E-004, 2.7500000E-002, 3.3718594E-001, 2.7500000E-002, 5.7094701E-004
 3.2500000E-002, 1.3864815E+000, 3.2500000E-002, 5.8708835E-005, 3.2500000E-002, 1.3347120E+000, 3.2500000E-002, 7.7847842E-005, 3.2500000E-002, 9.6648126E-001, 3.2500000E-002, 2.8520190E-005, 3.2500000E-002, 5.0844912E-001, 3.2500000E-002, 5.9625768E-004, 3.2500000E-002, 3.3610308E-001, 3.2500000E-002, 5.7073181E-004
 3.7500000E-002, 1.3980186E+000, 3.7500000E-002, 1.0310659E-004, 3.7500000E-002, 1.3611769E+000, 3.7500000E-002, 1.4990746E-004, 3.7500000E-002, 9.6022510E-001, 3.7500000E-002, 4.2619201E-005, 3.7500000E-002, 4.9897616E-001, 3.7500000E-002, 5.9388906E-004, 3.7500000E-002, 3.3344620E-001, 3.7500000E-002, 5.7666749E-004
 4.2500000E-002, 1.4217901E+000, 4.2500000E-002, 1.5504173E-004, 4.2500000E-002, 1.4017637E+000, 4.2500000E-002, 2.3082689E-004, 4.2500000E-002, 1.0225468E+000, 4.2500000E-002, 7.8283625E-005, 4.2500000E-002, 5.1651630E-001, 4.2500000E-002, 5.9340963E-004, 4.2500000E-002, 3.4004601E-001, 4.2500000E-002, 6.3808704E-004
