s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Tf01","Tf02","Tf03","Tf04","Tl01","Tl02","Tl03","Tl04","Tl05","Tl06","Tl07","Tl08","Tl09","Tp01","Tp10","Tp02","Tp09","Tp05","Tp04","Tp06","Tp08","Tp07","Tp03"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 1.001E+01, 1.464E+02, 9.283E+01, 6.736E+01, 5.488E+01, 2.103E+01, 2.224E+01, 2.456E+01, 3.045E+01, 3.796E+01, 2.929E+01, 2.421E+01, 2.211E+01, 2.100E+01, 2.069E+01, 2.420E+01, 2.052E+01, 2.345E+01, 2.222E+01, 2.079E+01, 2.171E+01, 2.054E+01, 2.070E+01, 2.274E+01
 2.001E+01, 7.131E+02, 6.231E+02, 5.050E+02, 3.748E+02, 4.810E+01, 5.400E+01, 6.621E+01, 1.093E+02, 2.244E+02, 1.014E+02, 6.386E+01, 5.261E+01, 4.672E+01, 2.539E+01, 3.533E+01, 2.455E+01, 3.256E+01, 3.499E+01, 2.269E+01, 3.230E+01, 2.461E+01, 2.543E+01, 3.134E+01
 3.001E+01, 9.198E+02, 8.936E+02, 7.895E+02, 6.160E+02, 8.327E+01, 8.967E+01, 1.059E+02, 1.753E+02, 4.145E+02, 1.647E+02, 1.048E+02, 8.964E+01, 8.298E+01, 3.194E+01, 4.221E+01, 3.046E+01, 3.825E+01, 5.103E+01, 2.407E+01, 4.628E+01, 3.058E+01, 3.198E+01, 3.773E+01
 4.000E+01, 9.317E+02, 9.039E+02, 8.125E+02, 6.711E+02, 9.663E+01, 1.025E+02, 1.185E+02, 1.927E+02, 4.899E+02, 1.840E+02, 1.178E+02, 1.030E+02, 9.751E+01, 3.828E+01, 4.633E+01, 3.616E+01, 4.152E+01, 6.678E+01, 2.518E+01, 6.011E+01, 3.625E+01, 3.825E+01, 4.256E+01
 5.001E+01, 9.418E+02, 9.167E+02, 8.250E+02, 6.771E+02, 1.083E+02, 1.153E+02, 1.339E+02, 2.154E+02, 5.203E+02, 1.919E+02, 1.256E+02, 1.113E+02, 1.061E+02, 4.434E+01, 4.919E+01, 4.170E+01, 4.377E+01, 8.109E+01, 2.599E+01, 7.288E+01, 4.159E+01, 4.408E+01, 4.620E+01
 6.001E+01, 9.294E+02, 9.036E+02, 8.162E+02, 6.730E+02, 1.138E+02, 1.202E+02, 1.382E+02, 2.155E+02, 5.275E+02, 1.944E+02, 1.292E+02, 1.157E+02, 1.114E+02, 5.016E+01, 5.143E+01, 4.697E+01, 4.595E+01, 9.455E+01, 2.675E+01, 8.466E+01, 4.681E+01, 4.983E+01, 4.926E+01
 7.001E+01, 9.423E+02, 9.163E+02, 8.233E+02, 6.588E+02, 1.159E+02, 1.218E+02, 1.394E+02, 2.159E+02, 5.212E+02, 1.952E+02, 1.313E+02, 1.177E+02, 1.133E+02, 5.571E+01, 5.344E+01, 5.211E+01, 4.773E+01, 1.067E+02, 2.744E+01, 9.546E+01, 5.190E+01, 5.535E+01, 5.212E+01
 8.000E+01, 9.371E+02, 9.031E+02, 8.042E+02, 6.469E+02, 1.195E+02, 1.259E+02, 1.456E+02, 2.240E+02, 5.108E+02, 1.993E+02, 1.358E+02, 1.203E+02, 1.151E+02, 6.107E+01, 5.539E+01, 5.704E+01, 4.907E+01, 1.183E+02, 2.814E+01, 1.057E+02, 5.669E+01, 6.057E+01, 5.490E+01
 9.001E+01, 9.239E+02, 8.890E+02, 8.011E+02, 6.563E+02, 1.195E+02, 1.254E+02, 1.443E+02, 2.230E+02, 5.205E+02, 1.980E+02, 1.347E+02, 1.214E+02, 1.169E+02, 6.591E+01, 5.649E+01, 6.151E+01, 5.025E+01, 1.283E+02, 2.873E+01, 1.147E+02, 6.106E+01, 6.529E+01, 5.713E+01
 1.000E+02, 9.304E+02, 9.054E+02, 8.093E+02, 6.610E+02, 1.210E+02, 1.274E+02, 1.459E+02, 2.200E+02, 5.148E+02, 2.034E+02, 1.382E+02, 1.238E+02, 1.193E+02, 7.028E+01, 5.759E+01, 6.559E+01, 5.180E+01, 1.374E+02, 2.929E+01, 1.228E+02, 6.540E+01, 6.994E+01, 5.914E+01
 1.100E+02, 9.438E+02, 9.198E+02, 8.277E+02, 6.688E+02, 1.226E+02, 1.285E+02, 1.467E+02, 2.219E+02, 5.154E+02, 2.101E+02, 1.404E+02, 1.252E+02, 1.205E+02, 7.472E+01, 5.947E+01, 6.979E+01, 5.331E+01, 1.462E+02, 2.997E+01, 1.307E+02, 6.976E+01, 7.457E+01, 6.175E+01
 1.200E+02, 9.450E+02, 9.209E+02, 8.363E+02, 6.841E+02, 1.236E+02, 1.291E+02, 1.473E+02, 2.286E+02, 5.504E+02, 2.143E+02, 1.436E+02, 1.272E+02, 1.218E+02, 7.912E+01, 6.052E+01, 7.404E+01, 5.381E+01, 1.546E+02, 3.053E+01, 1.387E+02, 7.371E+01, 7.868E+01, 6.413E+01
 1.300E+02, 9.441E+02, 9.228E+02, 8.397E+02, 6.887E+02, 1.237E+02, 1.283E+02, 1.456E+02, 2.243E+02, 5.441E+02, 2.124E+02, 1.446E+02, 1.291E+02, 1.241E+02, 8.310E+01, 6.146E+01, 7.783E+01, 5.497E+01, 1.624E+02, 3.115E+01, 1.459E+02, 7.754E+01, 8.272E+01, 6.632E+01
 1.400E+02, 9.441E+02, 9.297E+02, 8.332E+02, 6.793E+02, 1.239E+02, 1.293E+02, 1.480E+02, 2.280E+02, 5.330E+02, 2.126E+02, 1.441E+02, 1.281E+02, 1.231E+02, 8.669E+01, 6.229E+01, 8.126E+01, 5.599E+01, 1.689E+02, 3.171E+01, 1.521E+02, 8.121E+01, 8.658E+01, 6.803E+01
 1.500E+02, 9.347E+02, 9.198E+02, 8.454E+02, 6.976E+02, 1.255E+02, 1.316E+02, 1.507E+02, 2.322E+02, 5.339E+02, 2.142E+02, 1.449E+02, 1.286E+02, 1.235E+02, 9.020E+01, 6.320E+01, 8.462E+01, 5.642E+01, 1.746E+02, 3.214E+01, 1.575E+02, 8.465E+01, 9.016E+01, 6.951E+01
 1.600E+02, 9.371E+02, 9.218E+02, 8.411E+02, 6.898E+02, 1.250E+02, 1.309E+02, 1.503E+02, 2.341E+02, 5.349E+02, 2.137E+02, 1.450E+02, 1.286E+02, 1.230E+02, 9.357E+01, 6.410E+01, 8.788E+01, 5.740E+01, 1.800E+02, 3.270E+01, 1.626E+02, 8.785E+01, 9.347E+01, 7.142E+01
