m,m/s,m/s,m,m/s,m/s
Height,u_left,u_right,Length,u_bottom,u_top
 6.2500000E-004, 5.9998032E-003,-9.2068189E-002, 3.0000000E-002, 3.3270766E-003, 4.2724541E-001
 3.0303030E-002, 5.9998032E-003,-9.2068189E-002, 9.2517483E-002, 6.0240310E-003, 4.0684091E-001
 6.0606061E-002, 5.8686540E-003,-1.0519161E-001, 1.5503497E-001, 8.1529944E-003, 3.9571278E-001
 9.0909091E-002, 5.7402175E-003,-1.0814799E-001, 2.1755245E-001, 1.0408072E-002, 3.8973077E-001
 1.2121212E-001, 5.3481276E-003,-1.0958450E-001, 2.8006993E-001, 1.2162596E-002, 3.8651845E-001
 1.5151515E-001, 4.6208885E-003,-1.0987402E-001, 3.4258741E-001, 1.3456269E-002, 3.8475035E-001
 1.8181818E-001, 3.1246821E-003,-1.0919793E-001, 4.0510490E-001, 1.4776284E-002, 3.8383237E-001
 2.1212121E-001, 1.7356242E-003,-1.0805292E-001, 4.6762238E-001, 1.6566185E-002, 3.8333259E-001
 2.4242424E-001, 9.6503471E-005,-1.0552295E-001, 5.3013986E-001, 1.7551733E-002, 3.8312191E-001
 2.7272727E-001,-2.5283600E-003,-1.0352461E-001, 5.9265734E-001, 1.8145743E-002, 3.8301375E-001
 3.0303030E-001,-2.5283600E-003,-1.0352461E-001, 6.5517483E-001, 1.9728344E-002, 3.8300356E-001
 3.3333333E-001,-5.5076944E-003,-1.0208749E-001, 7.1769231E-001, 2.1128074E-002, 3.8298463E-001
 3.6363636E-001,-8.6154086E-003,-1.0155989E-001, 7.8020979E-001, 2.0937455E-002, 3.8300028E-001
 3.9393939E-001,-8.6154086E-003,-1.0155989E-001, 8.4272727E-001, 2.0398791E-002, 3.8297021E-001
 4.2424242E-001,-1.2185078E-002,-9.9407629E-002, 9.0524476E-001, 2.0248838E-002, 3.8295489E-001
 4.5454545E-001,-1.2185078E-002,-9.9407629E-002, 9.6776224E-001, 2.0268075E-002, 3.8286938E-001
 4.8484848E-001,-1.5479012E-002,-9.5591318E-002, 1.0302797E+000, 2.0656630E-002, 3.8279365E-001
 5.1515152E-001,-1.5479012E-002,-9.5591318E-002, 1.0927972E+000, 2.0931092E-002, 3.8264461E-001
 5.4545455E-001,-1.5479012E-002,-9.5591318E-002, 1.1553147E+000, 2.1439416E-002, 3.8250472E-001
 5.7575758E-001,-1.8885237E-002,-9.1297364E-002, 1.2178322E+000, 2.2217799E-002, 3.8228839E-001
 6.0606061E-001,-1.8885237E-002,-9.1297364E-002, 1.2803497E+000, 2.2330028E-002, 3.8206322E-001
 6.3636364E-001,-2.0027261E-002,-8.5381961E-002, 1.3428671E+000, 2.2458503E-002, 3.8174925E-001
 6.6666667E-001,-2.0027261E-002,-8.5381961E-002, 1.4053846E+000, 2.3038744E-002, 3.8141859E-001
 6.9696970E-001,-2.0027261E-002,-8.5381961E-002, 1.4679021E+000, 2.2967371E-002, 3.8098282E-001
 7.2727273E-001,-2.3965449E-002,-8.0912033E-002, 1.5304196E+000, 2.2057685E-002, 3.8053251E-001
 7.5757576E-001,-2.3965449E-002,-8.0912033E-002, 1.5929371E+000, 2.1315920E-002, 3.7996653E-001
 7.8787879E-001,-2.3965449E-002,-8.0912033E-002, 1.6554545E+000, 2.0435265E-002, 3.7937692E-001
 8.1818182E-001,-2.3028894E-002,-7.4821758E-002, 1.7179720E+000, 1.9659386E-002, 3.7864764E-001
 8.4848485E-001,-2.3028894E-002,-7.4821758E-002, 1.7804895E+000, 1.9161926E-002, 3.7780396E-001
 8.7878788E-001,-2.3028894E-002,-7.4821758E-002, 1.8430070E+000, 1.8545512E-002, 3.7677682E-001
 9.0909091E-001,-2.4147615E-002,-7.0073376E-002, 1.9055245E+000, 1.8150813E-002, 3.7573870E-001
 9.3939394E-001,-2.4147615E-002,-7.0073376E-002, 1.9680420E+000, 1.8466867E-002, 3.7453815E-001
 9.6969697E-001,-2.4147615E-002,-7.0073376E-002, 2.0305594E+000, 1.8732515E-002, 3.7325295E-001
 1.0000000E+000,-2.4607417E-002,-6.4616490E-002, 2.0930769E+000, 1.8103121E-002, 3.7174483E-001
 1.0303030E+000,-2.4607417E-002,-6.4616490E-002, 2.1555944E+000, 1.7415477E-002, 3.7011304E-001
 1.0606061E+000,-2.4607417E-002,-6.4616490E-002, 2.2181119E+000, 1.6301329E-002, 3.6805957E-001
 1.0909091E+000,-2.1210255E-002,-5.3076805E-002, 2.2806294E+000, 1.5498989E-002, 3.6563635E-001
 1.1212121E+000,-2.1210255E-002,-5.3076805E-002, 2.3431469E+000, 1.4659956E-002, 3.6302655E-001
 1.1515152E+000,-2.1210255E-002,-5.3076805E-002, 2.4056643E+000, 1.3580543E-002, 3.6036050E-001
 1.1818182E+000,-2.1210255E-002,-5.3076805E-002, 2.4681818E+000, 1.2894472E-002, 3.5750423E-001
 1.2121212E+000,-1.9478175E-002,-4.1632317E-002, 2.5306993E+000, 1.1586643E-002, 3.5448464E-001
 1.2424242E+000,-1.9478175E-002,-4.1632317E-002, 2.5932168E+000, 1.0304278E-002, 3.5121323E-001
 1.2727273E+000,-1.9478175E-002,-4.1632317E-002, 2.6557343E+000, 9.1044348E-003, 3.4762873E-001
 1.3030303E+000,-1.7778118E-002,-2.9321152E-002, 2.7182517E+000, 7.9919793E-003, 3.4371517E-001
 1.3333333E+000,-1.7778118E-002,-2.9321152E-002, 2.7807692E+000, 8.0189988E-003, 3.4002263E-001
 1.3636364E+000,-1.7778118E-002,-2.9321152E-002, 2.8432867E+000, 8.2803011E-003, 3.3617869E-001
 1.3939394E+000,-1.7778118E-002,-2.9321152E-002, 2.9058042E+000, 7.4816129E-003, 3.3211861E-001
 1.4242424E+000,-1.8433775E-002,-2.0582159E-002, 2.9683217E+000, 6.0043554E-003, 3.2762217E-001
 1.4545455E+000,-1.8433775E-002,-2.0582159E-002, 3.0308392E+000, 5.7402175E-003, 3.2311203E-001
 1.4848485E+000,-1.8433775E-002,-2.0582159E-002, 3.0933566E+000, 5.7261795E-003, 3.1848645E-001
 1.5151515E+000,-1.8433775E-002,-2.0582159E-002, 3.1558741E+000, 6.0838489E-003, 3.1408199E-001
 1.5454545E+000,-1.8822238E-002,-8.5235089E-003, 3.2183916E+000, 6.3159559E-003, 3.0956615E-001
 1.5757576E+000,-1.8822238E-002,-8.5235089E-003, 3.2809091E+000, 5.9596665E-003, 3.0469203E-001
 1.6060606E+000,-1.8822238E-002,-8.5235089E-003, 3.3434266E+000, 5.0555647E-003, 2.9965265E-001
 1.6363636E+000,-1.8822238E-002,-8.5235089E-003, 3.4059441E+000, 3.8106042E-003, 2.9502086E-001
 1.6666667E+000,-1.6514914E-002, 1.2361267E-002, 3.4684615E+000, 2.1915934E-003, 2.9087173E-001
 1.6969697E+000,-1.6514914E-002, 1.2361267E-002, 3.5309790E+000, 1.3325833E-003, 2.8738887E-001
 1.7272727E+000,-1.6514914E-002, 1.2361267E-002, 3.5934965E+000, 9.1011808E-004, 2.8375131E-001
 1.7575758E+000,-1.4121464E-002, 2.8856504E-002, 3.6560140E+000,-2.7565879E-004, 2.7996124E-001
 1.7878788E+000,-1.4121464E-002, 2.8856504E-002, 3.7185315E+000,-3.5262172E-003, 2.7564546E-001
 1.8181818E+000,-1.4121464E-002, 2.8856504E-002, 3.7810490E+000,-5.7960851E-003, 2.7086377E-001
 1.8484848E+000,-1.4121464E-002, 2.8856504E-002, 3.8435664E+000,-8.0338260E-003, 2.6626503E-001
 1.8787879E+000,-1.5878271E-002, 4.6014522E-002, 3.9060839E+000,-1.1684741E-002, 2.6235197E-001
 1.9090909E+000,-1.5878271E-002, 4.6014522E-002, 3.9686014E+000,-1.2056546E-002, 2.5873171E-001
 1.9393939E+000,-1.5878271E-002, 4.6014522E-002, 4.0311189E+000,-1.3409623E-002, 2.5533956E-001
 1.9696970E+000,-1.5226388E-002, 6.1137825E-002, 4.0936364E+000,-1.4268564E-002, 2.5201744E-001
 2.0000000E+000,-1.5226388E-002, 6.1137825E-002, 4.1561538E+000,-1.5741936E-002, 2.4878506E-001
 2.0303030E+000,-1.5226388E-002, 6.1137825E-002, 4.2186713E+000,-1.7887061E-002, 2.4564310E-001
 2.0606061E+000,-1.5179011E-002, 7.9407066E-002, 4.2811888E+000,-1.9197560E-002, 2.4258077E-001
 2.0909091E+000,-1.5179011E-002, 7.9407066E-002, 4.3437063E+000,-2.0683693E-002, 2.3974786E-001
 2.1212121E+000,-1.5179011E-002, 7.9407066E-002, 4.4062238E+000,-2.2575074E-002, 2.3693958E-001
 2.1515152E+000,-1.5179011E-002, 7.9407066E-002, 4.4687413E+000,-2.3356164E-002, 2.3462417E-001
 2.1818182E+000,-1.6813653E-002, 9.5510922E-002, 4.5312587E+000,-2.6165350E-002, 2.3250535E-001
 2.2121212E+000,-1.6813653E-002, 9.5510922E-002, 4.5937762E+000,-3.2842241E-002, 2.3043557E-001
 2.2424242E+000,-1.6813653E-002, 9.5510922E-002, 4.6562937E+000,-3.9597741E-002, 2.2844396E-001
 2.2727273E+000,-1.6894954E-002, 1.1600886E-001, 4.7188112E+000,-4.7203214E-002, 2.2730417E-001
 2.3030303E+000,-1.6894954E-002, 1.1600886E-001, 4.7813287E+000,-5.2790018E-002, 2.2675889E-001
 2.3333333E+000,-1.2947827E-002, 1.3213911E-001, 4.8438462E+000,-5.7417543E-002, 2.2650976E-001
 2.3636364E+000,-1.2947827E-002, 1.3213911E-001, 4.9063636E+000,-6.3085889E-002, 2.2586689E-001
 2.3939394E+000,-1.2947827E-002, 1.3213911E-001, 4.9688811E+000,-6.8062170E-002, 2.2510333E-001
 2.4242424E+000,-4.9778189E-003, 1.5040004E-001, 5.0313986E+000,-7.2389182E-002, 2.2372495E-001
 2.4545455E+000,-4.9778189E-003, 1.5040004E-001, 5.0939161E+000,-7.5813745E-002, 2.2230760E-001
 2.4848485E+000, 8.9501142E-003, 1.6549584E-001, 5.1564336E+000,-8.0066431E-002, 2.2065596E-001
 2.5151515E+000, 8.9501142E-003, 1.6549584E-001, 5.2189510E+000,-8.2963005E-002, 2.1942700E-001
 2.5454545E+000, 2.9402347E-002, 1.7790834E-001, 5.2814685E+000,-8.6152132E-002, 2.1822700E-001
 2.5757576E+000, 2.9402347E-002, 1.7790834E-001, 5.3439860E+000,-8.9486287E-002, 2.1708397E-001
 2.6060606E+000, 6.0669153E-002, 1.8940745E-001, 5.4065035E+000,-9.2562697E-002, 2.1576007E-001
 2.6363636E+000, 9.4990485E-002, 1.9595004E-001, 5.4690210E+000,-9.4770786E-002, 2.1431762E-001
 2.6666667E+000, 9.4990485E-002, 1.9595004E-001, 5.5315385E+000,-9.7072516E-002, 2.1269291E-001
 2.6969697E+000, 1.3180568E-001, 2.0090206E-001, 5.5940559E+000,-9.8892749E-002, 2.1156294E-001
 2.7272727E+000, 1.6838864E-001, 2.0447185E-001, 5.6565734E+000,-1.0084750E-001, 2.1044289E-001
 2.7575758E+000, 2.0402413E-001, 2.0701009E-001, 5.7190909E+000,-1.0236048E-001, 2.0933192E-001
 2.7878788E+000, 2.3735901E-001, 2.0857796E-001, 5.7816084E+000,-1.0370039E-001, 2.0812873E-001
 2.8181818E+000, 2.6730537E-001, 2.0847270E-001, 5.8441259E+000,-1.0488871E-001, 2.0700631E-001
 2.8484848E+000, 2.9351544E-001, 2.0824861E-001, 5.9066434E+000,-1.0615201E-001, 2.0583785E-001
 2.8787879E+000, 3.1290643E-001, 2.0754990E-001, 5.9691608E+000,-1.0722860E-001, 2.0451361E-001
 2.9090909E+000, 3.2626021E-001, 2.0628273E-001, 6.0316783E+000,-1.0814799E-001, 2.0285148E-001
 2.9393939E+000, 2.9530635E-001, 1.9471963E-001, 6.0941958E+000,-1.0910001E-001, 2.0116510E-001
 2.9696970E+000, 2.4807383E-001, 1.7176797E-001, 6.1567133E+000,-1.0975208E-001, 1.9928366E-001
 2.9993750E+000, 2.4807383E-001, 1.7176797E-001, 6.2192308E+000,-1.1016063E-001, 1.9744272E-001
