s,C,m
Time,"T","D"
 0.0000000E+000, 9.1000000E+000, 1.0430000E-003
 2.0000000E+000, 9.0080452E+000, 1.0423272E-003
 4.0100000E+000, 8.8553461E+000, 1.0409940E-003
 6.0100000E+000, 8.7412135E+000, 1.0396717E-003
 8.0100000E+000, 8.6561084E+000, 1.0383601E-003
 1.0010000E+001, 8.5924454E+000, 1.0370537E-003
 1.2010000E+001, 8.5448236E+000, 1.0357506E-003
 1.4010000E+001, 8.5092069E+000, 1.0344495E-003
 1.6010000E+001, 8.4825756E+000, 1.0331495E-003
 1.8000000E+001, 8.4627095E+000, 1.0318531E-003
 2.0000000E+001, 8.4478567E+000, 1.0305565E-003
 2.2000000E+001, 8.4367267E+000, 1.0292561E-003
 2.4000000E+001, 8.4284129E+000, 1.0279547E-003
 2.6000000E+001, 8.4222029E+000, 1.0266522E-003
 2.8000000E+001, 8.4175636E+000, 1.0253483E-003
 3.0000000E+001, 8.4140959E+000, 1.0240429E-003
 3.2000000E+001, 8.4115019E+000, 1.0227360E-003
 3.4000000E+001, 8.4095586E+000, 1.0214275E-003
 3.6000000E+001, 8.4080997E+000, 1.0201172E-003
 3.8000000E+001, 8.4070012E+000, 1.0188052E-003
 4.0000000E+001, 8.4061704E+000, 1.0174914E-003
 4.2000000E+001, 8.4055385E+000, 1.0161758E-003
 4.4010000E+001, 8.4050532E+000, 1.0148550E-003
 4.6010000E+001, 8.4046775E+000, 1.0135324E-003
 4.8010000E+001, 8.4043839E+000, 1.0122112E-003
 5.0010000E+001, 8.4041501E+000, 1.0108882E-003
 5.2010000E+001, 8.4039605E+000, 1.0095632E-003
 5.4010000E+001, 8.4038035E+000, 1.0082363E-003
 5.6010000E+001, 8.4036706E+000, 1.0069075E-003
 5.8010000E+001, 8.4035555E+000, 1.0055767E-003
 6.0010000E+001, 8.4034533E+000, 1.0042441E-003
 6.2010000E+001, 8.4033607E+000, 1.0029094E-003
 6.4010000E+001, 8.4032751E+000, 1.0015729E-003
 6.6010000E+001, 8.4031946E+000, 1.0002343E-003
 6.8010000E+001, 8.4031178E+000, 9.9889381E-004
 7.0010000E+001, 8.4030436E+000, 9.9755132E-004
 7.2010000E+001, 8.4029714E+000, 9.9620685E-004
 7.4000000E+001, 8.4029007E+000, 9.9486374E-004
 7.6000000E+001, 8.4028310E+000, 9.9351865E-004
 7.8000000E+001, 8.4027617E+000, 9.9216817E-004
 8.0000000E+001, 8.4026929E+000, 9.9081568E-004
 8.2000000E+001, 8.4026243E+000, 9.8946116E-004
 8.4000000E+001, 8.4025558E+000, 9.8810461E-004
 8.6000000E+001, 8.4024875E+000, 9.8674601E-004
 8.8000000E+001, 8.4024191E+000, 9.8538536E-004
 9.0000000E+001, 8.4023507E+000, 9.8402265E-004
 9.2000000E+001, 8.4022822E+000, 9.8265788E-004
 9.4000000E+001, 8.4022135E+000, 9.8129103E-004
 9.6000000E+001, 8.4021447E+000, 9.7992209E-004
 9.8000000E+001, 8.4020758E+000, 9.7855107E-004
 1.0000000E+002, 8.4020067E+000, 9.7717794E-004
 1.0200000E+002, 8.4019375E+000, 9.7580270E-004
 1.0400000E+002, 8.4018681E+000, 9.7442535E-004
 1.0600000E+002, 8.4017985E+000, 9.7304586E-004
 1.0800000E+002, 8.4017287E+000, 9.7166425E-004
 1.1000000E+002, 8.4016587E+000, 9.7028049E-004
 1.1200000E+002, 8.4015885E+000, 9.6889457E-004
 1.1400000E+002, 8.4015181E+000, 9.6750649E-004
 1.1600000E+002, 8.4014475E+000, 9.6611625E-004
 1.1800000E+002, 8.4013767E+000, 9.6472382E-004
 1.2000000E+002, 8.4013057E+000, 9.6332920E-004
 1.2200000E+002, 8.4012345E+000, 9.6193239E-004
 1.2400000E+002, 8.4011631E+000, 9.6053337E-004
 1.2600000E+002, 8.4010915E+000, 9.5913213E-004
 1.2800000E+002, 8.4010196E+000, 9.5772866E-004
 1.3000000E+002, 8.4009476E+000, 9.5632296E-004
 1.3200000E+002, 8.4008753E+000, 9.5491501E-004
 1.3400000E+002, 8.4008028E+000, 9.5350481E-004
 1.3600000E+002, 8.4007300E+000, 9.5209235E-004
 1.3800000E+002, 8.4006571E+000, 9.5067761E-004
 1.4000000E+002, 8.4005839E+000, 9.4926059E-004
 1.4200000E+002, 8.4005105E+000, 9.4784127E-004
 1.4400000E+002, 8.4004368E+000, 9.4641965E-004
 1.4600000E+002, 8.4003629E+000, 9.4499571E-004
 1.4800000E+002, 8.4002888E+000, 9.4356945E-004
 1.5000000E+002, 8.4002144E+000, 9.4214086E-004
 1.5200000E+002, 8.4001398E+000, 9.4070992E-004
 1.5400000E+002, 8.4000649E+000, 9.3927663E-004
 1.5600000E+002, 8.3999898E+000, 9.3784097E-004
 1.5800000E+002, 8.3999144E+000, 9.3640294E-004
 1.6001000E+002, 8.3998386E+000, 9.3495892E-004
 1.6201000E+002, 8.3997625E+000, 9.3351249E-004
 1.6401000E+002, 8.3996863E+000, 9.3206725E-004
 1.6601000E+002, 8.3996099E+000, 9.3061960E-004
 1.6801000E+002, 8.3995332E+000, 9.2916951E-004
 1.7001000E+002, 8.3994562E+000, 9.2771699E-004
 1.7201000E+002, 8.3993790E+000, 9.2626201E-004
 1.7401000E+002, 8.3993015E+000, 9.2480458E-004
 1.7601000E+002, 8.3992237E+000, 9.2334466E-004
 1.7801000E+002, 8.3991456E+000, 9.2188227E-004
 1.8001000E+002, 8.3990672E+000, 9.2041737E-004
 1.8201000E+002, 8.3989885E+000, 9.1894997E-004
 1.8401000E+002, 8.3989096E+000, 9.1748005E-004
 1.8601000E+002, 8.3988303E+000, 9.1600759E-004
 1.8801000E+002, 8.3987508E+000, 9.1453259E-004
 1.9001000E+002, 8.3986709E+000, 9.1305504E-004
 1.9201000E+002, 8.3985907E+000, 9.1157492E-004
