s,status,status,status,status,status,status,status
Time,Dt2,Dt_t2,numer,denom_1,denom,dD2/dt CTRL,kill
 0.0000000E+000,-1,-1,-1,-1,-1,-1,-1
 2.0000000E-001,-1,-1,-1,-1,-1,-1,-1
 4.0000001E-001,-1,-1,-1,-1,-1,-1,-1
 6.0000002E-001,-1,-1,-1,-1,-1,-1,-1
 8.0000001E-001,-1,-1,-1,-1,-1,-1,-1
 1.0000000E+000,-1,-1,-1,-1,-1,-1,-1
 1.2000000E+000,-1,-1,-1,-1,-1,-1,-1
 1.4000000E+000,-1,-1,-1,-1,-1,-1,-1
 1.6000000E+000,-1,-1,-1,-1,-1,-1,-1
 1.8000000E+000,-1,-1,-1,-1,-1,-1,-1
 2.0000000E+000,-1,-1,-1,-1,-1,-1,-1
 2.2100000E+000,-1,-1,-1,-1,-1,-1,-1
 2.4100001E+000,-1,-1,-1,-1,-1,-1,-1
 2.6099999E+000,-1,-1,-1,-1,-1,-1,-1
 2.8099999E+000,-1,-1,-1,-1,-1,-1,-1
 3.0100000E+000,-1,-1,-1,-1,-1,-1,-1
 3.2100000E+000,-1,-1,-1,-1,-1,-1,-1
 3.4100001E+000,-1,-1,-1,-1,-1,-1,-1
 3.6099999E+000,-1,-1,-1,-1,-1,-1,-1
 3.8099999E+000,-1,-1,-1,-1,-1,-1,-1
 4.0100002E+000,-1,-1,-1,-1,-1,-1,-1
 4.2100000E+000,-1,-1,-1,-1,-1,-1,-1
 4.4099998E+000,-1,-1,-1,-1,-1,-1,-1
 4.6100001E+000,-1,-1,-1,-1,-1,-1,-1
