s,C,mu-m,mu-m,s,m2/s
Time,"T","Diameter","Diameter_t","Timer2","dD2/dt"
 0.0000000E+000, 6.1000000E+000, 9.5400000E+002, 9.5400000E+002, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 6.1964368E+000, 9.5370181E+002, 9.5370181E+002, 1.0500000E-001, 0.0000000E+000
 4.0000000E-001, 6.3634592E+000, 9.5312923E+002, 9.5312923E+002, 3.0500000E-001, 0.0000000E+000
 6.0000000E-001, 6.5077685E+000, 9.5254986E+002, 9.5254986E+002, 5.0500000E-001, 0.0000000E+000
 8.0000000E-001, 6.6331065E+000, 9.5196523E+002, 9.5196523E+002, 7.0500000E-001, 0.0000000E+000
 1.0000000E+000, 6.7413764E+000, 9.5137555E+002, 9.5137555E+002, 9.0500000E-001, 0.0000000E+000
 1.2000000E+000, 6.8331331E+000, 9.5077988E+002, 9.5077988E+002, 1.1050000E+000, 0.0000000E+000
 1.4000000E+000, 6.9125269E+000, 9.5018060E+002, 9.5018060E+002, 1.3050000E+000, 0.0000000E+000
 1.6000000E+000, 6.9813658E+000, 9.4957830E+002, 9.4957830E+002, 1.5050000E+000, 0.0000000E+000
 1.8000000E+000, 7.0410279E+000, 9.4897335E+002, 9.4897335E+002, 1.7050000E+000, 0.0000000E+000
 2.0000000E+000, 7.0927165E+000, 9.4836606E+002, 9.4836606E+002, 1.9050000E+000, 0.0000000E+000
 2.2100000E+000, 7.1384946E+000, 9.4774143E+002, 9.4774143E+002, 2.1100000E+000, 0.0000000E+000
 2.4100000E+000, 7.1780324E+000, 9.4711490E+002, 9.4711490E+002, 2.3150000E+000, 0.0000000E+000
 2.6100000E+000, 7.2113343E+000, 9.4650201E+002, 9.4650201E+002, 2.5150000E+000, 0.0000000E+000
 2.8100000E+000, 7.2401486E+000, 9.4588769E+002, 9.4588769E+002, 2.7150000E+000, 0.0000000E+000
 3.0100000E+000, 7.2650735E+000, 9.4527210E+002, 9.4527210E+002, 2.9150000E+000, 0.0000000E+000
 3.2100000E+000, 7.2866286E+000, 9.4465537E+002, 9.4465537E+002, 3.1150000E+000, 0.0000000E+000
 3.4100000E+000, 7.3052650E+000, 9.4403762E+002, 9.4403762E+002, 3.3150000E+000, 0.0000000E+000
 3.6100000E+000, 7.3213745E+000, 9.4341895E+002, 9.4341895E+002, 3.5150000E+000, 0.0000000E+000
 3.8100000E+000, 7.3352965E+000, 9.4279946E+002, 9.4279946E+002, 3.7150000E+000, 0.0000000E+000
 4.0100000E+000, 7.3472880E+000, 9.4217918E+002, 9.4217918E+002, 3.9150000E+000, 0.0000000E+000
 4.2100000E+000, 7.3566753E+000, 9.4155730E+002, 9.4155730E+002, 4.1150000E+000, 0.0000000E+000
 4.4100000E+000, 7.3643718E+000, 9.4093443E+002, 9.4093443E+002, 4.3150000E+000, 0.0000000E+000
 4.6100000E+000, 7.3710179E+000, 9.4031102E+002, 9.4031102E+002, 4.5150000E+000, 0.0000000E+000
 4.8100000E+000, 7.3767560E+000, 9.3968713E+002, 9.3968713E+002, 4.7150000E+000, 0.0000000E+000
 5.0100000E+000, 7.3817093E+000, 9.3906277E+002, 9.3906277E+002, 4.9150000E+000, 0.0000000E+000
 5.2100000E+000, 7.3859845E+000, 9.3843798E+002, 9.3843798E+002, 5.1150000E+000, 0.0000000E+000
 5.4100000E+000, 7.3896739E+000, 9.3781278E+002, 9.3781278E+002, 5.3150000E+000, 0.0000000E+000
 5.6100000E+000, 7.3928572E+000, 9.3718720E+002, 9.3718720E+002, 5.5150000E+000, 0.0000000E+000
 5.8100000E+000, 7.3956035E+000, 9.3656124E+002, 9.3656124E+002, 5.7150000E+000, 0.0000000E+000
 6.0100000E+000, 7.3979725E+000, 9.3593493E+002, 9.3593493E+002, 5.9150000E+000, 0.0000000E+000
 6.2100000E+000, 7.4000158E+000, 9.3530827E+002, 9.3530827E+002, 6.1150000E+000, 0.0000000E+000
 6.4100000E+000, 7.4017778E+000, 9.3468129E+002, 9.3468129E+002, 6.3150000E+000, 0.0000000E+000
 6.6100000E+000, 7.4032973E+000, 9.3405398E+002, 9.3405398E+002, 6.5150000E+000, 0.0000000E+000
 6.8100000E+000, 7.4046073E+000, 9.3342636E+002, 9.3342636E+002, 6.7150000E+000, 0.0000000E+000
 7.0100000E+000, 7.4057368E+000, 9.3279844E+002, 9.3279844E+002, 6.9150000E+000, 0.0000000E+000
 7.2100000E+000, 7.4067105E+000, 9.3217022E+002, 9.3217022E+002, 7.1150000E+000, 0.0000000E+000
 7.4100000E+000, 7.4075498E+000, 9.3154170E+002, 9.3154170E+002, 7.3150000E+000, 0.0000000E+000
 7.6100000E+000, 7.4082732E+000, 9.3091289E+002, 9.3091289E+002, 7.5150000E+000, 0.0000000E+000
 7.8100000E+000, 7.4088968E+000, 9.3028380E+002, 9.3028380E+002, 7.7150000E+000, 0.0000000E+000
 8.0100000E+000, 7.4094343E+000, 9.2965442E+002, 9.2965442E+002, 7.9150000E+000, 0.0000000E+000
 8.2100000E+000, 7.4098976E+000, 9.2902477E+002, 9.2902477E+002, 8.1150000E+000, 0.0000000E+000
 8.4100000E+000, 7.4102970E+000, 9.2839484E+002, 9.2839484E+002, 8.3150000E+000, 0.0000000E+000
 8.6100000E+000, 7.4106413E+000, 9.2776463E+002, 9.2776463E+002, 8.5150000E+000, 0.0000000E+000
 8.8100000E+000, 7.4109382E+000, 9.2713414E+002, 9.2713414E+002, 8.7150000E+000, 0.0000000E+000
 9.0100000E+000, 7.4111942E+000, 9.2650339E+002, 9.2650339E+002, 8.9150000E+000, 0.0000000E+000
 9.2100000E+000, 7.4114150E+000, 9.2587236E+002, 9.2587236E+002, 9.1150000E+000, 0.0000000E+000
