s,C,mu-m,mu-m,s,m2/s
Time,"T","Diameter","Diameter_t","Timer2","dD2/dt"
 0.0000000E+000, 3.8300000E+001, 1.0100000E+003, 1.0100000E+003, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 3.7978422E+001, 1.0090324E+003, 1.0090324E+003, 1.0500000E-001, 0.0000000E+000
 4.0000000E-001, 3.7440895E+001, 1.0072244E+003, 1.0072244E+003, 3.0500000E-001, 0.0000000E+000
 6.0000000E-001, 3.6999203E+001, 1.0054622E+003, 1.0054622E+003, 5.0500000E-001, 0.0000000E+000
 8.0000000E-001, 3.6640109E+001, 1.0037406E+003, 1.0037406E+003, 7.0500000E-001, 0.0000000E+000
 1.0000000E+000, 3.6343038E+001, 1.0020473E+003, 1.0020473E+003, 9.0500000E-001, 0.0000000E+000
 1.2000000E+000, 3.6096935E+001, 1.0003774E+003, 1.0003774E+003, 1.1050000E+000, 0.0000000E+000
 1.4000000E+000, 3.5892138E+001, 9.9872524E+002, 9.9872524E+002, 1.3050000E+000, 0.0000000E+000
 1.6000000E+000, 3.5721442E+001, 9.9708719E+002, 9.9708719E+002, 1.5050000E+000, 0.0000000E+000
 1.8000000E+000, 3.5579069E+001, 9.9546048E+002, 9.9546048E+002, 1.7050000E+000, 0.0000000E+000
 2.0000000E+000, 3.5464412E+001, 9.9384666E+002, 9.9384666E+002, 1.9050000E+000, 0.0000000E+000
 2.2100000E+000, 3.5370211E+001, 9.9220314E+002, 9.9220314E+002, 2.1100000E+000, 0.0000000E+000
 2.4100000E+000, 3.5292677E+001, 9.9056651E+002, 9.9056651E+002, 2.3150000E+000, 0.0000000E+000
 2.6100000E+000, 3.5230025E+001, 9.8897432E+002, 9.8897432E+002, 2.5150000E+000, 0.0000000E+000
 2.8100000E+000, 3.5177685E+001, 9.8738497E+002, 9.8738497E+002, 2.7150000E+000, 0.0000000E+000
 3.0100000E+000, 3.5133964E+001, 9.8579768E+002, 9.8579768E+002, 2.9150000E+000, 0.0000000E+000
 3.2100000E+000, 3.5097450E+001, 9.8421177E+002, 9.8421177E+002, 3.1150000E+000, 0.0000000E+000
 3.4100000E+000, 3.5066964E+001, 9.8262669E+002, 9.8262669E+002, 3.3150000E+000, 0.0000000E+000
 3.6100000E+000, 3.5041517E+001, 9.8104198E+002, 9.8104198E+002, 3.5150000E+000, 0.0000000E+000
 3.8100000E+000, 3.5020283E+001, 9.7945725E+002, 9.7945725E+002, 3.7150000E+000, 0.0000000E+000
 4.0100000E+000, 3.5002571E+001, 9.7787218E+002, 9.7787218E+002, 3.9150000E+000, 0.0000000E+000
 4.2100000E+000, 3.4987802E+001, 9.7628649E+002, 9.7628649E+002, 4.1150000E+000, 0.0000000E+000
 4.4100000E+000, 3.4975492E+001, 9.7469994E+002, 9.7469994E+002, 4.3150000E+000, 0.0000000E+000
 4.6100000E+000, 3.4965236E+001, 9.7311236E+002, 9.7311236E+002, 4.5150000E+000, 0.0000000E+000
 4.8100000E+000, 3.4956694E+001, 9.7152356E+002, 9.7152356E+002, 4.7150000E+000, 0.0000000E+000
 5.0100000E+000, 3.4949583E+001, 9.6993342E+002, 9.6993342E+002, 4.9150000E+000, 0.0000000E+000
 5.2100000E+000, 3.4943667E+001, 9.6834183E+002, 9.6993342E+002, 4.9150000E+000, 1.5419685E-008
 5.4100000E+000, 3.4938745E+001, 9.6674867E+002, 9.6993342E+002, 4.9150000E+000, 1.5414779E-008
 5.6100000E+000, 3.4934654E+001, 9.6515387E+002, 9.6993342E+002, 4.9150000E+000, 1.5410071E-008
 5.8100000E+000, 3.4931253E+001, 9.6355736E+002, 9.6993342E+002, 4.9150000E+000, 1.5405552E-008
 6.0100000E+000, 3.4928429E+001, 9.6195907E+002, 9.6993342E+002, 4.9150000E+000, 1.5401200E-008
 6.2100000E+000, 3.4926083E+001, 9.6035895E+002, 9.6993342E+002, 4.9150000E+000, 1.5396995E-008
 6.4100000E+000, 3.4924136E+001, 9.5875696E+002, 9.6993342E+002, 4.9150000E+000, 1.5392919E-008
 6.6100000E+000, 3.4922520E+001, 9.5715306E+002, 9.6993342E+002, 4.9150000E+000, 1.5388957E-008
 6.8100000E+000, 3.4921180E+001, 9.5554722E+002, 9.6993342E+002, 4.9150000E+000, 1.5385093E-008
