s,C,mu-m,mu-m,s,m2/s
Time,"T","Diameter","Diameter_t","Timer2","dD2/dt"
 0.0000000E+000, 2.4800000E+001, 8.5000000E+002, 8.5000000E+002, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 2.4749447E+001, 8.4952815E+002, 8.4952815E+002, 1.0500000E-001, 0.0000000E+000
 4.0000000E-001, 2.4661953E+001, 8.4863200E+002, 8.4863200E+002, 3.0500000E-001, 0.0000000E+000
 6.0000000E-001, 2.4586018E+001, 8.4773921E+002, 8.4773921E+002, 5.0500000E-001, 0.0000000E+000
 8.0000000E-001, 2.4520105E+001, 8.4684922E+002, 8.4684922E+002, 7.0500000E-001, 0.0000000E+000
 1.0000000E+000, 2.4462889E+001, 8.4596157E+002, 8.4596157E+002, 9.0500000E-001, 0.0000000E+000
 1.2000000E+000, 2.4413220E+001, 8.4507584E+002, 8.4507584E+002, 1.1050000E+000, 0.0000000E+000
 1.4000000E+000, 2.4370104E+001, 8.4419170E+002, 8.4419170E+002, 1.3050000E+000, 0.0000000E+000
 1.6000000E+000, 2.4333340E+001, 8.4330953E+002, 8.4330953E+002, 1.5050000E+000, 0.0000000E+000
 1.8000000E+000, 2.4302127E+001, 8.4242912E+002, 8.4242912E+002, 1.7050000E+000, 0.0000000E+000
 2.0000000E+000, 2.4275037E+001, 8.4154942E+002, 8.4154942E+002, 1.9050000E+000, 0.0000000E+000
 2.2100000E+000, 2.4250997E+001, 8.4064829E+002, 8.4064829E+002, 2.1100000E+000, 0.0000000E+000
 2.4100000E+000, 2.4230187E+001, 8.3974753E+002, 8.3974753E+002, 2.3150000E+000, 0.0000000E+000
 2.6100000E+000, 2.4212618E+001, 8.3886896E+002, 8.3886896E+002, 2.5150000E+000, 0.0000000E+000
 2.8100000E+000, 2.4197380E+001, 8.3799049E+002, 8.3799049E+002, 2.7150000E+000, 0.0000000E+000
 3.0100000E+000, 2.4184165E+001, 8.3711199E+002, 8.3711199E+002, 2.9150000E+000, 0.0000000E+000
 3.2100000E+000, 2.4172709E+001, 8.3623339E+002, 8.3623339E+002, 3.1150000E+000, 0.0000000E+000
 3.4100000E+000, 2.4162778E+001, 8.3535459E+002, 8.3535459E+002, 3.3150000E+000, 0.0000000E+000
 3.6100000E+000, 2.4154172E+001, 8.3447553E+002, 8.3447553E+002, 3.5150000E+000, 0.0000000E+000
 3.8100000E+000, 2.4146716E+001, 8.3359614E+002, 8.3359614E+002, 3.7150000E+000, 0.0000000E+000
 4.0100000E+000, 2.4140257E+001, 8.3271637E+002, 8.3271637E+002, 3.9150000E+000, 0.0000000E+000
 4.2100000E+000, 2.4134664E+001, 8.3183617E+002, 8.3183617E+002, 4.1150000E+000, 0.0000000E+000
 4.4100000E+000, 2.4129822E+001, 8.3095550E+002, 8.3095550E+002, 4.3150000E+000, 0.0000000E+000
 4.6100000E+000, 2.4125632E+001, 8.3007433E+002, 8.3007433E+002, 4.5150000E+000, 0.0000000E+000
 4.8100000E+000, 2.4122006E+001, 8.2919262E+002, 8.2919262E+002, 4.7150000E+000, 0.0000000E+000
 5.0100000E+000, 2.4118869E+001, 8.2831034E+002, 8.2831034E+002, 4.9150000E+000, 0.0000000E+000
 5.2100000E+000, 2.4116157E+001, 8.2742748E+002, 8.2831034E+002, 4.9150000E+000, 7.3075897E-009
 5.4100000E+000, 2.4113813E+001, 8.2654401E+002, 8.2831034E+002, 4.9150000E+000, 7.3062686E-009
 5.6100000E+000, 2.4111787E+001, 8.2565990E+002, 8.2831034E+002, 4.9150000E+000, 7.3049785E-009
 5.8100000E+000, 2.4110036E+001, 8.2477515E+002, 8.2831034E+002, 4.9150000E+000, 7.3037242E-009
 6.0100000E+000, 2.4108525E+001, 8.2388974E+002, 8.2831034E+002, 4.9150000E+000, 7.3025034E-009
 6.2100000E+000, 2.4107220E+001, 8.2300366E+002, 8.2831034E+002, 4.9150000E+000, 7.3013133E-009
 6.4100000E+000, 2.4106094E+001, 8.2211689E+002, 8.2831034E+002, 4.9150000E+000, 7.3001509E-009
 6.6100000E+000, 2.4105122E+001, 8.2122942E+002, 8.2831034E+002, 4.9150000E+000, 7.2990135E-009
 6.8100000E+000, 2.4104285E+001, 8.2034126E+002, 8.2831034E+002, 4.9150000E+000, 7.2978987E-009
 7.0100000E+000, 2.4103563E+001, 8.1945237E+002, 8.2831034E+002, 4.9150000E+000, 7.2968043E-009
 7.2100000E+000, 2.4102941E+001, 8.1856277E+002, 8.2831034E+002, 4.9150000E+000, 7.2957282E-009
 7.4100000E+000, 2.4102406E+001, 8.1767244E+002, 8.2831034E+002, 4.9150000E+000, 7.2946686E-009
 7.6100000E+000, 2.4101945E+001, 8.1678138E+002, 8.2831034E+002, 4.9150000E+000, 7.2936240E-009
 7.8100000E+000, 2.4101549E+001, 8.1588958E+002, 8.2831034E+002, 4.9150000E+000, 7.2925927E-009
 8.0100000E+000, 2.4101208E+001, 8.1499703E+002, 8.2831034E+002, 4.9150000E+000, 7.2915736E-009
 8.2100000E+000, 2.4100916E+001, 8.1410374E+002, 8.2831034E+002, 4.9150000E+000, 7.2905654E-009
 8.4100000E+000, 2.4100665E+001, 8.1320969E+002, 8.2831034E+002, 4.9150000E+000, 7.2895671E-009
 8.6100000E+000, 2.4100450E+001, 8.1231489E+002, 8.2831034E+002, 4.9150000E+000, 7.2885776E-009
 8.8100000E+000, 2.4100266E+001, 8.1141932E+002, 8.2831034E+002, 4.9150000E+000, 7.2875962E-009
 9.0100000E+000, 2.4100108E+001, 8.1052300E+002, 8.2831034E+002, 4.9150000E+000, 7.2866221E-009
