s,C,mu-m,mu-m,s,m2/s
Time,"T","Diameter","Diameter_t","Timer2","dD2/dt"
 0.0000000E+000, 8.9000000E+000, 9.5400000E+002, 9.5400000E+002, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 8.8764137E+000, 9.5387184E+002, 9.5387184E+002, 1.0500000E-001, 0.0000000E+000
 4.0000000E-001, 8.8331048E+000, 9.5362814E+002, 9.5362814E+002, 3.0500000E-001, 0.0000000E+000
 6.0000000E-001, 8.7920667E+000, 9.5338503E+002, 9.5338503E+002, 5.0500000E-001, 0.0000000E+000
 8.0000000E-001, 8.7531789E+000, 9.5314248E+002, 9.5314248E+002, 7.0500000E-001, 0.0000000E+000
 1.0000000E+000, 8.7163272E+000, 9.5290045E+002, 9.5290045E+002, 9.0500000E-001, 0.0000000E+000
 1.2000000E+000, 8.6814040E+000, 9.5265891E+002, 9.5265891E+002, 1.1050000E+000, 0.0000000E+000
 1.4000000E+000, 8.6483073E+000, 9.5241784E+002, 9.5241784E+002, 1.3050000E+000, 0.0000000E+000
 1.6000000E+000, 8.6169407E+000, 9.5217720E+002, 9.5217720E+002, 1.5050000E+000, 0.0000000E+000
 1.8000000E+000, 8.5872131E+000, 9.5193698E+002, 9.5193698E+002, 1.7050000E+000, 0.0000000E+000
 2.0000000E+000, 8.5590382E+000, 9.5169713E+002, 9.5169713E+002, 1.9050000E+000, 0.0000000E+000
 2.2100000E+000, 8.5316909E+000, 9.5145167E+002, 9.5145167E+002, 2.1100000E+000, 0.0000000E+000
 2.4100000E+000, 8.5057942E+000, 9.5120657E+002, 9.5120657E+002, 2.3150000E+000, 0.0000000E+000
 2.6100000E+000, 8.4818692E+000, 9.5096777E+002, 9.5096777E+002, 2.5150000E+000, 0.0000000E+000
 2.8100000E+000, 8.4591923E+000, 9.5072926E+002, 9.5072926E+002, 2.7150000E+000, 0.0000000E+000
 3.0100000E+000, 8.4376982E+000, 9.5049104E+002, 9.5049104E+002, 2.9150000E+000, 0.0000000E+000
 3.2100000E+000, 8.4173251E+000, 9.5025309E+002, 9.5025309E+002, 3.1150000E+000, 0.0000000E+000
 3.4100000E+000, 8.3980143E+000, 9.5001538E+002, 9.5001538E+002, 3.3150000E+000, 0.0000000E+000
 3.6100000E+000, 8.3797104E+000, 9.4977790E+002, 9.4977790E+002, 3.5150000E+000, 0.0000000E+000
 3.8100000E+000, 8.3623608E+000, 9.4954064E+002, 9.4954064E+002, 3.7150000E+000, 0.0000000E+000
 4.0100000E+000, 8.3460613E+000, 9.4930371E+002, 9.4930371E+002, 3.9150000E+000, 0.0000000E+000
 4.2100000E+000, 8.3309932E+000, 9.4906734E+002, 9.4906734E+002, 4.1150000E+000, 0.0000000E+000
 4.4100000E+000, 8.3167305E+000, 9.4883115E+002, 9.4883115E+002, 4.3150000E+000, 0.0000000E+000
 4.6100000E+000, 8.3032110E+000, 9.4859513E+002, 9.4859513E+002, 4.5150000E+000, 0.0000000E+000
 4.8100000E+000, 8.2903962E+000, 9.4835925E+002, 9.4835925E+002, 4.7150000E+000, 0.0000000E+000
 5.0100000E+000, 8.2782494E+000, 9.4812350E+002, 9.4812350E+002, 4.9150000E+000, 0.0000000E+000
 5.2100000E+000, 8.2667358E+000, 9.4788789E+002, 9.4788789E+002, 5.1150000E+000, 0.0000000E+000
 5.4100000E+000, 8.2558225E+000, 9.4765239E+002, 9.4765239E+002, 5.3150000E+000, 0.0000000E+000
 5.6100000E+000, 8.2454782E+000, 9.4741701E+002, 9.4741701E+002, 5.5150000E+000, 0.0000000E+000
 5.8100000E+000, 8.2356734E+000, 9.4718172E+002, 9.4718172E+002, 5.7150000E+000, 0.0000000E+000
 6.0100000E+000, 8.2263801E+000, 9.4694653E+002, 9.4694653E+002, 5.9150000E+000, 0.0000000E+000
 6.2100000E+000, 8.2175716E+000, 9.4671142E+002, 9.4671142E+002, 6.1150000E+000, 0.0000000E+000
 6.4100000E+000, 8.2092227E+000, 9.4647640E+002, 9.4647640E+002, 6.3150000E+000, 0.0000000E+000
 6.6100000E+000, 8.2013096E+000, 9.4624144E+002, 9.4624144E+002, 6.5150000E+000, 0.0000000E+000
 6.8100000E+000, 8.1938096E+000, 9.4600655E+002, 9.4600655E+002, 6.7150000E+000, 0.0000000E+000
 7.0100000E+000, 8.1867013E+000, 9.4577173E+002, 9.4577173E+002, 6.9150000E+000, 0.0000000E+000
 7.2100000E+000, 8.1799642E+000, 9.4553696E+002, 9.4553696E+002, 7.1150000E+000, 0.0000000E+000
 7.4100000E+000, 8.1735792E+000, 9.4530223E+002, 9.4530223E+002, 7.3150000E+000, 0.0000000E+000
 7.6100000E+000, 8.1675278E+000, 9.4506756E+002, 9.4506756E+002, 7.5150000E+000, 0.0000000E+000
 7.8100000E+000, 8.1617927E+000, 9.4483292E+002, 9.4483292E+002, 7.7150000E+000, 0.0000000E+000
 8.0100000E+000, 8.1563576E+000, 9.4459832E+002, 9.4459832E+002, 7.9150000E+000, 0.0000000E+000
 8.2100000E+000, 8.1512067E+000, 9.4436374E+002, 9.4436374E+002, 8.1150000E+000, 0.0000000E+000
 8.4100000E+000, 8.1463254E+000, 9.4412920E+002, 9.4412920E+002, 8.3150000E+000, 0.0000000E+000
 8.6100000E+000, 8.1416996E+000, 9.4389468E+002, 9.4389468E+002, 8.5150000E+000, 0.0000000E+000
 8.8100000E+000, 8.1373159E+000, 9.4366017E+002, 9.4366017E+002, 8.7150000E+000, 0.0000000E+000
 9.0100000E+000, 8.1331619E+000, 9.4342568E+002, 9.4342568E+002, 8.9150000E+000, 0.0000000E+000
 9.2100000E+000, 8.1292256E+000, 9.4319121E+002, 9.4319121E+002, 9.1150000E+000, 0.0000000E+000
 9.4100000E+000, 8.1254956E+000, 9.4295674E+002, 9.4295674E+002, 9.3150000E+000, 0.0000000E+000
 9.6100000E+000, 8.1219611E+000, 9.4272228E+002, 9.4272228E+002, 9.5150000E+000, 0.0000000E+000
 9.8100000E+000, 8.1186121E+000, 9.4248783E+002, 9.4248783E+002, 9.7150000E+000, 0.0000000E+000
 1.0010000E+001, 8.1154388E+000, 9.4225337E+002, 9.4225337E+002, 9.9150000E+000, 0.0000000E+000
 1.0210000E+001, 8.1124321E+000, 9.4201892E+002, 9.4225337E+002, 9.9150000E+000, 2.2086423E-009
 1.0410000E+001, 8.1095833E+000, 9.4178446E+002, 9.4225337E+002, 9.9150000E+000, 2.2083973E-009
 1.0610000E+001, 8.1068842E+000, 9.4154999E+002, 9.4225337E+002, 9.9150000E+000, 2.2081555E-009
 1.0810000E+001, 8.1043270E+000, 9.4131551E+002, 9.4225337E+002, 9.9150000E+000, 2.2079194E-009
 1.1010000E+001, 8.1019042E+000, 9.4108103E+002, 9.4225337E+002, 9.9150000E+000, 2.2076894E-009
 1.1210000E+001, 8.0996089E+000, 9.4084653E+002, 9.4225337E+002, 9.9150000E+000, 2.2074654E-009
 1.1410000E+001, 8.0974344E+000, 9.4061202E+002, 9.4225337E+002, 9.9150000E+000, 2.2072472E-009
 1.1610000E+001, 8.0953744E+000, 9.4037749E+002, 9.4225337E+002, 9.9150000E+000, 2.2070346E-009
 1.1810000E+001, 8.0934229E+000, 9.4014294E+002, 9.4225337E+002, 9.9150000E+000, 2.2068275E-009
 1.2010000E+001, 8.0915743E+000, 9.3990838E+002, 9.4225337E+002, 9.9150000E+000, 2.2066256E-009
 1.2210000E+001, 8.0898231E+000, 9.3967379E+002, 9.4225337E+002, 9.9150000E+000, 2.2064287E-009
 1.2410000E+001, 8.0881643E+000, 9.3943918E+002, 9.4225337E+002, 9.9150000E+000, 2.2062366E-009
 1.2610000E+001, 8.0865931E+000, 9.3920455E+002, 9.4225337E+002, 9.9150000E+000, 2.2060492E-009
 1.2810000E+001, 8.0851048E+000, 9.3896989E+002, 9.4225337E+002, 9.9150000E+000, 2.2058663E-009
 1.3010000E+001, 8.0836952E+000, 9.3873521E+002, 9.4225337E+002, 9.9150000E+000, 2.2056877E-009
 1.3210000E+001, 8.0823601E+000, 9.3850050E+002, 9.4225337E+002, 9.9150000E+000, 2.2055133E-009
 1.3410000E+001, 8.0810956E+000, 9.3826576E+002, 9.4225337E+002, 9.9150000E+000, 2.2053428E-009
 1.3610000E+001, 8.0798980E+000, 9.3803099E+002, 9.4225337E+002, 9.9150000E+000, 2.2051762E-009
 1.3810000E+001, 8.0787638E+000, 9.3779619E+002, 9.4225337E+002, 9.9150000E+000, 2.2050133E-009
 1.4010000E+001, 8.0776897E+000, 9.3756136E+002, 9.4225337E+002, 9.9150000E+000, 2.2048539E-009
 1.4210000E+001, 8.0766726E+000, 9.3732650E+002, 9.4225337E+002, 9.9150000E+000, 2.2046980E-009
 1.4410000E+001, 8.0757093E+000, 9.3709161E+002, 9.4225337E+002, 9.9150000E+000, 2.2045454E-009
 1.4610000E+001, 8.0747972E+000, 9.3685668E+002, 9.4225337E+002, 9.9150000E+000, 2.2043959E-009
 1.4810000E+001, 8.0739335E+000, 9.3662172E+002, 9.4225337E+002, 9.9150000E+000, 2.2042495E-009
 1.5000000E+001, 8.0731355E+000, 9.3639259E+002, 9.4225337E+002, 9.9150000E+000, 2.2041131E-009
