s,C,mu-m,mu-m,s,m2/s
Time,"T","Diameter","Diameter_t","Timer2","dD2/dt"
 0.0000000E+000, 7.7000000E+000, 9.5400000E+002, 9.5400000E+002, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 7.7071480E+000, 9.5380843E+002, 9.5380843E+002, 1.0500000E-001, 0.0000000E+000
 4.0000000E-001, 7.7200084E+000, 9.5344326E+002, 9.5344326E+002, 3.0500000E-001, 0.0000000E+000
 6.0000000E-001, 7.7318313E+000, 9.5307772E+002, 9.5307772E+002, 5.0500000E-001, 0.0000000E+000
 8.0000000E-001, 7.7426995E+000, 9.5271181E+002, 9.5271181E+002, 7.0500000E-001, 0.0000000E+000
 1.0000000E+000, 7.7526895E+000, 9.5234557E+002, 9.5234557E+002, 9.0500000E-001, 0.0000000E+000
 1.2000000E+000, 7.7618714E+000, 9.5197902E+002, 9.5197902E+002, 1.1050000E+000, 0.0000000E+000
 1.4000000E+000, 7.7703101E+000, 9.5161216E+002, 9.5161216E+002, 1.3050000E+000, 0.0000000E+000
 1.6000000E+000, 7.7772156E+000, 9.5124430E+002, 9.5124430E+002, 1.5050000E+000, 0.0000000E+000
 1.8000000E+000, 7.7822434E+000, 9.5087506E+002, 9.5087506E+002, 1.7050000E+000, 0.0000000E+000
 2.0000000E+000, 7.7868462E+000, 9.5050559E+002, 9.5050559E+002, 1.9050000E+000, 0.0000000E+000
 2.2100000E+000, 7.7911739E+000, 9.5012668E+002, 9.5012668E+002, 2.1100000E+000, 0.0000000E+000
 2.4100000E+000, 7.7951432E+000, 9.4974756E+002, 9.4974756E+002, 2.3150000E+000, 0.0000000E+000
 2.6100000E+000, 7.7986948E+000, 9.4937751E+002, 9.4937751E+002, 2.5150000E+000, 0.0000000E+000
 2.8100000E+000, 7.8019565E+000, 9.4900727E+002, 9.4900727E+002, 2.7150000E+000, 0.0000000E+000
 3.0100000E+000, 7.8049520E+000, 9.4863686E+002, 9.4863686E+002, 2.9150000E+000, 0.0000000E+000
 3.2100000E+000, 7.8077027E+000, 9.4826629E+002, 9.4826629E+002, 3.1150000E+000, 0.0000000E+000
 3.4100000E+000, 7.8102285E+000, 9.4789555E+002, 9.4789555E+002, 3.3150000E+000, 0.0000000E+000
