s,C,mu-m,mu-m,s,m2/s
Time,"T","Diameter","Diameter_t","Timer2","dD2/dt"
 0.0000000E+000, 7.9000000E+000, 9.5400000E+002, 9.5400000E+002, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 7.9195784E+000, 9.5372774E+002, 9.5372774E+002, 1.0500000E-001, 0.0000000E+000
 4.0000000E-001, 7.9539974E+000, 9.5320825E+002, 9.5320825E+002, 3.0500000E-001, 0.0000000E+000
 6.0000000E-001, 7.9845671E+000, 9.5268752E+002, 9.5268752E+002, 5.0500000E-001, 0.0000000E+000
 8.0000000E-001, 8.0117124E+000, 9.5216568E+002, 9.5216568E+002, 7.0500000E-001, 0.0000000E+000
 1.0000000E+000, 8.0358121E+000, 9.5164282E+002, 9.5164282E+002, 9.0500000E-001, 0.0000000E+000
 1.2000000E+000, 8.0572039E+000, 9.5111903E+002, 9.5111903E+002, 1.1050000E+000, 0.0000000E+000
 1.4000000E+000, 8.0761889E+000, 9.5059441E+002, 9.5059441E+002, 1.3050000E+000, 0.0000000E+000
 1.6000000E+000, 8.0930350E+000, 9.5006901E+002, 9.5006901E+002, 1.5050000E+000, 0.0000000E+000
 1.8000000E+000, 8.1079806E+000, 9.4954291E+002, 9.4954291E+002, 1.7050000E+000, 0.0000000E+000
 2.0000000E+000, 8.1212383E+000, 9.4901616E+002, 9.4901616E+002, 1.9050000E+000, 0.0000000E+000
 2.2100000E+000, 8.1332675E+000, 9.4847562E+002, 9.4847562E+002, 2.1100000E+000, 0.0000000E+000
 2.4100000E+000, 8.1439136E+000, 9.4793451E+002, 9.4793451E+002, 2.3150000E+000, 0.0000000E+000
 2.6100000E+000, 8.1531040E+000, 9.4740608E+002, 9.4740608E+002, 2.5150000E+000, 0.0000000E+000
 2.8100000E+000, 8.1612518E+000, 9.4687718E+002, 9.4687718E+002, 2.7150000E+000, 0.0000000E+000
 3.0100000E+000, 8.1684743E+000, 9.4634784E+002, 9.4634784E+002, 2.9150000E+000, 0.0000000E+000
 3.2100000E+000, 8.1748759E+000, 9.4581808E+002, 9.4581808E+002, 3.1150000E+000, 0.0000000E+000
 3.4100000E+000, 8.1805492E+000, 9.4528793E+002, 9.4528793E+002, 3.3150000E+000, 0.0000000E+000
 3.6100000E+000, 8.1855764E+000, 9.4475742E+002, 9.4475742E+002, 3.5150000E+000, 0.0000000E+000
 3.8100000E+000, 8.1900306E+000, 9.4422657E+002, 9.4422657E+002, 3.7150000E+000, 0.0000000E+000
 4.0100000E+000, 8.1939767E+000, 9.4369538E+002, 9.4369538E+002, 3.9150000E+000, 0.0000000E+000
 4.2100000E+000, 8.1974724E+000, 9.4316389E+002, 9.4316389E+002, 4.1150000E+000, 0.0000000E+000
 4.4100000E+000, 8.2005686E+000, 9.4263209E+002, 9.4263209E+002, 4.3150000E+000, 0.0000000E+000
 4.6100000E+000, 8.2033109E+000, 9.4210000E+002, 9.4210000E+002, 4.5150000E+000, 0.0000000E+000
 4.8100000E+000, 8.2057394E+000, 9.4156764E+002, 9.4156764E+002, 4.7150000E+000, 0.0000000E+000
 5.0100000E+000, 8.2078899E+000, 9.4103501E+002, 9.4103501E+002, 4.9150000E+000, 0.0000000E+000
 5.2100000E+000, 8.2097940E+000, 9.4050212E+002, 9.4050212E+002, 5.1150000E+000, 0.0000000E+000
 5.4100000E+000, 8.2114798E+000, 9.3996898E+002, 9.3996898E+002, 5.3150000E+000, 0.0000000E+000
 5.6100000E+000, 8.2129723E+000, 9.3943560E+002, 9.3943560E+002, 5.5150000E+000, 0.0000000E+000
 5.8100000E+000, 8.2142935E+000, 9.3890197E+002, 9.3890197E+002, 5.7150000E+000, 0.0000000E+000
 6.0100000E+000, 8.2154631E+000, 9.3836811E+002, 9.3836811E+002, 5.9150000E+000, 0.0000000E+000
 6.2100000E+000, 8.2164984E+000, 9.3783402E+002, 9.3783402E+002, 6.1150000E+000, 0.0000000E+000
 6.4100000E+000, 8.2174147E+000, 9.3729971E+002, 9.3729971E+002, 6.3150000E+000, 0.0000000E+000
 6.6100000E+000, 8.2182258E+000, 9.3676517E+002, 9.3676517E+002, 6.5150000E+000, 0.0000000E+000
 6.8100000E+000, 8.2189437E+000, 9.3623041E+002, 9.3623041E+002, 6.7150000E+000, 0.0000000E+000
 7.0100000E+000, 8.2195791E+000, 9.3569544E+002, 9.3569544E+002, 6.9150000E+000, 0.0000000E+000
 7.2100000E+000, 8.2201416E+000, 9.3516025E+002, 9.3516025E+002, 7.1150000E+000, 0.0000000E+000
 7.4100000E+000, 8.2206394E+000, 9.3462485E+002, 9.3462485E+002, 7.3150000E+000, 0.0000000E+000
 7.6100000E+000, 8.2210801E+000, 9.3408924E+002, 9.3408924E+002, 7.5150000E+000, 0.0000000E+000
 7.8100000E+000, 8.2214702E+000, 9.3355341E+002, 9.3355341E+002, 7.7150000E+000, 0.0000000E+000
 8.0100000E+000, 8.2218157E+000, 9.3301738E+002, 9.3301738E+002, 7.9150000E+000, 0.0000000E+000
 8.2100000E+000, 8.2221215E+000, 9.3248115E+002, 9.3248115E+002, 8.1150000E+000, 0.0000000E+000
 8.4100000E+000, 8.2223924E+000, 9.3194470E+002, 9.3194470E+002, 8.3150000E+000, 0.0000000E+000
 8.6100000E+000, 8.2226324E+000, 9.3140805E+002, 9.3140805E+002, 8.5150000E+000, 0.0000000E+000
 8.8100000E+000, 8.2228450E+000, 9.3087120E+002, 9.3087120E+002, 8.7150000E+000, 0.0000000E+000
 9.0100000E+000, 8.2230335E+000, 9.3033414E+002, 9.3033414E+002, 8.9150000E+000, 0.0000000E+000
 9.2100000E+000, 8.2232005E+000, 9.2979688E+002, 9.2979688E+002, 9.1150000E+000, 0.0000000E+000
 9.4100000E+000, 8.2233487E+000, 9.2925942E+002, 9.2925942E+002, 9.3150000E+000, 0.0000000E+000
 9.6100000E+000, 8.2234802E+000, 9.2872175E+002, 9.2872175E+002, 9.5150000E+000, 0.0000000E+000
 9.8100000E+000, 8.2235970E+000, 9.2818389E+002, 9.2818389E+002, 9.7150000E+000, 0.0000000E+000
 1.0010000E+001, 8.2237007E+000, 9.2764581E+002, 9.2764581E+002, 9.9150000E+000, 0.0000000E+000
 1.0210000E+001, 8.2237930E+000, 9.2710754E+002, 9.2764581E+002, 9.9150000E+000, 4.9913079E-009
 1.0410000E+001, 8.2238750E+000, 9.2656907E+002, 9.2764581E+002, 9.9150000E+000, 4.9908069E-009
 1.0610000E+001, 8.2239481E+000, 9.2603039E+002, 9.2764581E+002, 9.9150000E+000, 4.9902965E-009
 1.0810000E+001, 8.2240132E+000, 9.2549151E+002, 9.2764581E+002, 9.9150000E+000, 4.9897828E-009
 1.1010000E+001, 8.2240714E+000, 9.2495243E+002, 9.2764581E+002, 9.9150000E+000, 4.9892673E-009
 1.1210000E+001, 8.2241234E+000, 9.2441315E+002, 9.2764581E+002, 9.9150000E+000, 4.9887505E-009
 1.1410000E+001, 8.2241699E+000, 9.2387366E+002, 9.2764581E+002, 9.9150000E+000, 4.9882325E-009
 1.1610000E+001, 8.2242116E+000, 9.2333397E+002, 9.2764581E+002, 9.9150000E+000, 4.9877135E-009
 1.1810000E+001, 8.2242490E+000, 9.2279408E+002, 9.2764581E+002, 9.9150000E+000, 4.9871937E-009
 1.2010000E+001, 8.2242828E+000, 9.2225399E+002, 9.2764581E+002, 9.9150000E+000, 4.9866731E-009
 1.2210000E+001, 8.2243132E+000, 9.2171369E+002, 9.2764581E+002, 9.9150000E+000, 4.9861517E-009
 1.2410000E+001, 8.2243406E+000, 9.2117320E+002, 9.2764581E+002, 9.9150000E+000, 4.9856296E-009
 1.2610000E+001, 8.2243656E+000, 9.2063249E+002, 9.2764581E+002, 9.9150000E+000, 4.9851069E-009
 1.2810000E+001, 8.2243882E+000, 9.2009159E+002, 9.2764581E+002, 9.9150000E+000, 4.9845836E-009
 1.3010000E+001, 8.2244089E+000, 9.1955048E+002, 9.2764581E+002, 9.9150000E+000, 4.9840597E-009
 1.3210000E+001, 8.2244277E+000, 9.1900917E+002, 9.2764581E+002, 9.9150000E+000, 4.9835353E-009
 1.3410000E+001, 8.2244451E+000, 9.1846765E+002, 9.2764581E+002, 9.9150000E+000, 4.9830103E-009
 1.3610000E+001, 8.2244610E+000, 9.1792593E+002, 9.2764581E+002, 9.9150000E+000, 4.9824848E-009
 1.3810000E+001, 8.2244758E+000, 9.1738401E+002, 9.2764581E+002, 9.9150000E+000, 4.9819589E-009
