m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 3.878E+01, 2.000E-02, 3.159E+01,-4.907E-01
 6.860E-02, 3.822E+01, 6.865E-02, 3.074E+01,-4.971E-01
 1.172E-01, 3.798E+01, 1.173E-01, 3.033E+01,-4.965E-01
 1.658E-01, 3.857E+01, 1.659E-01, 3.019E+01,-4.935E-01
 2.144E-01, 3.924E+01, 2.146E-01, 3.017E+01,-4.923E-01
 2.630E-01, 3.958E+01, 2.632E-01, 3.018E+01,-4.993E-01
 3.116E-01, 3.987E+01, 3.119E-01, 3.021E+01,-4.912E-01
 3.602E-01, 4.024E+01, 3.605E-01, 3.024E+01,-4.916E-01
 4.088E-01, 4.075E+01, 4.092E-01, 3.031E+01,-4.933E-01
 4.574E-01, 4.145E+01, 4.578E-01, 3.040E+01,-4.856E-01
 5.060E-01, 4.180E+01, 5.065E-01, 3.049E+01,-4.783E-01
 5.547E-01, 4.201E+01, 5.551E-01, 3.057E+01,-4.680E-01
 6.033E-01, 4.221E+01, 6.038E-01, 3.063E+01,-4.597E-01
 6.519E-01, 4.254E+01, 6.524E-01, 3.069E+01,-4.401E-01
 7.005E-01, 4.308E+01, 7.011E-01, 3.075E+01,-4.166E-01
 7.491E-01, 4.363E+01, 7.497E-01, 3.081E+01,-4.024E-01
 7.977E-01, 4.416E+01, 7.984E-01, 3.086E+01,-3.890E-01
 8.463E-01, 4.492E+01, 8.470E-01, 3.101E+01,-3.762E-01
 8.949E-01, 4.559E+01, 8.957E-01, 3.148E+01,-3.496E-01
 9.435E-01, 4.603E+01, 9.443E-01, 3.271E+01,-2.709E-01
 9.921E-01, 4.685E+01, 9.930E-01, 3.472E+01,-1.853E-01
 1.041E+00, 5.097E+01, 1.042E+00, 3.723E+01,-6.157E-02
 1.089E+00, 6.174E+01, 1.090E+00, 3.941E+01, 1.196E-01
 1.138E+00, 7.282E+01, 1.139E+00, 4.170E+01, 2.416E-01
 1.187E+00, 8.614E+01, 1.188E+00, 4.421E+01, 3.348E-01
 1.235E+00, 1.090E+02, 1.236E+00, 4.873E+01, 4.289E-01
 1.284E+00, 1.316E+02, 1.285E+00, 5.760E+01, 5.292E-01
 1.332E+00, 1.449E+02, 1.334E+00, 7.616E+01, 6.721E-01
 1.381E+00, 1.522E+02, 1.382E+00, 9.681E+01, 8.540E-01
 1.430E+00, 1.601E+02, 1.431E+00, 1.127E+02, 9.342E-01
 1.478E+00, 1.655E+02, 1.479E+00, 1.235E+02, 9.945E-01
 1.527E+00, 1.669E+02, 1.528E+00, 1.310E+02, 1.081E+00
 1.575E+00, 1.674E+02, 1.577E+00, 1.377E+02, 1.192E+00
 1.624E+00, 1.676E+02, 1.625E+00, 1.454E+02, 1.349E+00
 1.673E+00, 1.680E+02, 1.674E+00, 1.549E+02, 1.600E+00
 1.721E+00, 1.684E+02, 1.723E+00, 1.619E+02, 1.906E+00
 1.770E+00, 1.687E+02, 1.771E+00, 1.633E+02, 1.724E+00
 1.818E+00, 1.688E+02, 1.820E+00, 1.520E+02, 2.414E-01
 1.867E+00, 1.688E+02,NaN,NaN,NaN
 1.916E+00, 1.690E+02,NaN,NaN,NaN
 1.964E+00, 1.695E+02,NaN,NaN,NaN
 2.013E+00, 1.697E+02,NaN,NaN,NaN
 2.061E+00, 1.695E+02,NaN,NaN,NaN
 2.110E+00, 1.687E+02,NaN,NaN,NaN
