m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 3.888E+01, 2.000E-02, 2.777E+01,-7.756E-01
 6.860E-02, 3.902E+01, 6.865E-02, 2.680E+01,-7.539E-01
 1.172E-01, 3.965E+01, 1.173E-01, 2.646E+01,-7.541E-01
 1.658E-01, 4.036E+01, 1.659E-01, 2.640E+01,-7.567E-01
 2.144E-01, 4.113E+01, 2.146E-01, 2.638E+01,-7.574E-01
 2.630E-01, 4.162E+01, 2.632E-01, 2.639E+01,-7.498E-01
 3.116E-01, 4.188E+01, 3.119E-01, 2.642E+01,-7.241E-01
 3.602E-01, 4.217E+01, 3.605E-01, 2.646E+01,-7.020E-01
 4.088E-01, 4.294E+01, 4.092E-01, 2.651E+01,-6.888E-01
 4.574E-01, 4.385E+01, 4.578E-01, 2.658E+01,-6.710E-01
 5.060E-01, 4.453E+01, 5.065E-01, 2.665E+01,-6.538E-01
 5.547E-01, 4.498E+01, 5.551E-01, 2.674E+01,-6.367E-01
 6.033E-01, 4.585E+01, 6.038E-01, 2.684E+01,-6.029E-01
 6.519E-01, 4.724E+01, 6.524E-01, 2.694E+01,-5.749E-01
 7.005E-01, 4.934E+01, 7.011E-01, 2.704E+01,-5.474E-01
 7.491E-01, 5.128E+01, 7.497E-01, 2.712E+01,-5.198E-01
 7.977E-01, 5.210E+01, 7.984E-01, 2.720E+01,-4.815E-01
 8.463E-01, 5.273E+01, 8.470E-01, 2.728E+01,-4.418E-01
 8.949E-01, 5.353E+01, 8.957E-01, 2.739E+01,-4.028E-01
 9.435E-01, 5.525E+01, 9.443E-01, 2.790E+01,-3.646E-01
 9.921E-01, 6.062E+01, 9.930E-01, 3.167E+01,-3.019E-01
 1.041E+00, 7.896E+01, 1.042E+00, 4.170E+01, 1.632E-03
 1.089E+00, 1.139E+02, 1.090E+00, 5.225E+01, 2.412E-01
 1.138E+00, 1.522E+02, 1.139E+00, 6.549E+01, 4.678E-01
 1.187E+00, 1.749E+02, 1.188E+00, 8.721E+01, 7.206E-01
 1.235E+00, 1.865E+02, 1.236E+00, 1.143E+02, 9.417E-01
 1.284E+00, 1.916E+02, 1.285E+00, 1.353E+02, 1.105E+00
 1.332E+00, 1.946E+02, 1.334E+00, 1.455E+02, 1.192E+00
 1.381E+00, 1.967E+02, 1.382E+00, 1.526E+02, 1.267E+00
 1.430E+00, 1.979E+02, 1.431E+00, 1.597E+02, 1.377E+00
 1.478E+00, 1.985E+02, 1.479E+00, 1.664E+02, 1.466E+00
 1.527E+00, 1.986E+02, 1.528E+00, 1.687E+02, 1.551E+00
 1.575E+00, 1.988E+02, 1.577E+00, 1.701E+02, 1.630E+00
 1.624E+00, 1.990E+02, 1.625E+00, 1.748E+02, 1.791E+00
 1.673E+00, 1.992E+02, 1.674E+00, 1.823E+02, 2.044E+00
 1.721E+00, 1.994E+02, 1.723E+00, 1.879E+02, 2.310E+00
 1.770E+00, 1.996E+02, 1.771E+00, 1.917E+02, 2.257E+00
 1.818E+00, 1.998E+02, 1.820E+00, 1.884E+02, 8.330E-01
 1.867E+00, 2.003E+02,NaN,NaN,NaN
 1.916E+00, 2.009E+02,NaN,NaN,NaN
 1.964E+00, 2.017E+02,NaN,NaN,NaN
 2.013E+00, 2.018E+02,NaN,NaN,NaN
 2.061E+00, 2.010E+02,NaN,NaN,NaN
 2.110E+00, 2.000E+02,NaN,NaN,NaN
