m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 2.428E+01, 2.000E-02, 1.455E+01,-5.707E-01
 6.860E-02, 2.322E+01, 6.865E-02, 1.394E+01,-5.869E-01
 1.172E-01, 2.292E+01, 1.173E-01, 1.384E+01,-5.932E-01
 1.658E-01, 2.301E+01, 1.659E-01, 1.384E+01,-6.025E-01
 2.144E-01, 2.333E+01, 2.146E-01, 1.385E+01,-6.034E-01
 2.630E-01, 2.392E+01, 2.632E-01, 1.387E+01,-5.937E-01
 3.116E-01, 2.448E+01, 3.119E-01, 1.390E+01,-5.845E-01
 3.602E-01, 2.503E+01, 3.605E-01, 1.392E+01,-5.796E-01
 4.088E-01, 2.532E+01, 4.092E-01, 1.395E+01,-5.718E-01
 4.574E-01, 2.546E+01, 4.578E-01, 1.397E+01,-5.641E-01
 5.060E-01, 2.570E+01, 5.065E-01, 1.399E+01,-5.498E-01
 5.547E-01, 2.609E+01, 5.551E-01, 1.402E+01,-5.341E-01
 6.033E-01, 2.640E+01, 6.038E-01, 1.405E+01,-5.159E-01
 6.519E-01, 2.670E+01, 6.524E-01, 1.408E+01,-4.950E-01
 7.005E-01, 2.718E+01, 7.011E-01, 1.410E+01,-4.735E-01
 7.491E-01, 2.783E+01, 7.497E-01, 1.413E+01,-4.541E-01
 7.977E-01, 2.854E+01, 7.984E-01, 1.417E+01,-4.389E-01
 8.463E-01, 2.965E+01, 8.470E-01, 1.420E+01,-4.188E-01
 8.949E-01, 3.110E+01, 8.957E-01, 1.435E+01,-3.877E-01
 9.435E-01, 3.306E+01, 9.443E-01, 1.532E+01,-3.464E-01
 9.921E-01, 3.667E+01, 9.930E-01, 1.764E+01,-2.481E-01
 1.041E+00, 4.337E+01, 1.042E+00, 2.149E+01,-1.570E-01
 1.089E+00, 5.347E+01, 1.090E+00, 2.874E+01, 9.636E-02
 1.138E+00, 6.807E+01, 1.139E+00, 3.602E+01, 2.753E-01
 1.187E+00, 8.021E+01, 1.188E+00, 4.793E+01, 5.026E-01
 1.235E+00, 9.013E+01, 1.236E+00, 6.510E+01, 6.838E-01
 1.284E+00, 9.966E+01, 1.285E+00, 8.042E+01, 7.746E-01
 1.332E+00, 1.107E+02, 1.334E+00, 9.255E+01, 8.581E-01
 1.381E+00, 1.197E+02, 1.382E+00, 1.020E+02, 9.437E-01
 1.430E+00, 1.256E+02, 1.431E+00, 1.091E+02, 1.011E+00
 1.478E+00, 1.298E+02, 1.479E+00, 1.135E+02, 1.121E+00
 1.527E+00, 1.331E+02, 1.528E+00, 1.176E+02, 1.216E+00
 1.575E+00, 1.357E+02, 1.577E+00, 1.211E+02, 1.312E+00
 1.624E+00, 1.376E+02, 1.625E+00, 1.235E+02, 1.456E+00
 1.673E+00, 1.395E+02, 1.674E+00, 1.256E+02, 1.612E+00
 1.721E+00, 1.410E+02, 1.723E+00, 1.281E+02, 1.822E+00
 1.770E+00, 1.419E+02, 1.771E+00, 1.302E+02, 1.908E+00
 1.818E+00, 1.426E+02, 1.820E+00, 1.304E+02, 1.101E+00
 1.867E+00, 1.430E+02,NaN,NaN,NaN
 1.916E+00, 1.434E+02,NaN,NaN,NaN
 1.964E+00, 1.439E+02,NaN,NaN,NaN
 2.013E+00, 1.438E+02,NaN,NaN,NaN
 2.061E+00, 1.435E+02,NaN,NaN,NaN
 2.110E+00, 1.424E+02,NaN,NaN,NaN
