s,C,m
Time,HGL Temp,HGL Height
 0.000E+00, 6.000E+00, 2.130E+00
 1.004E+01, 6.006E+00, 2.130E+00
 2.005E+01, 6.016E+00, 2.130E+00
 3.002E+01, 6.031E+00, 2.130E+00
 4.002E+01, 1.802E+01, 2.059E+00
 5.003E+01, 3.912E+01, 1.573E+00
 6.001E+01, 3.831E+01, 1.366E+00
 7.004E+01, 4.661E+01, 1.384E+00
 8.003E+01, 5.816E+01, 1.373E+00
 9.001E+01, 6.090E+01, 1.331E+00
 1.000E+02, 6.704E+01, 1.255E+00
 1.100E+02, 6.772E+01, 1.324E+00
 1.200E+02, 7.094E+01, 1.346E+00
 1.301E+02, 7.404E+01, 1.297E+00
 1.400E+02, 7.979E+01, 1.227E+00
 1.500E+02, 8.180E+01, 1.175E+00
 1.600E+02, 8.547E+01, 1.165E+00
 1.700E+02, 8.594E+01, 1.174E+00
 1.800E+02, 8.310E+01, 1.173E+00
 1.900E+02, 8.502E+01, 1.103E+00
 2.000E+02, 8.506E+01, 1.074E+00
 2.100E+02, 8.940E+01, 1.106E+00
 2.200E+02, 9.156E+01, 1.089E+00
 2.300E+02, 9.329E+01, 1.023E+00
 2.401E+02, 8.963E+01, 1.051E+00
 2.500E+02, 9.373E+01, 1.054E+00
 2.600E+02, 9.607E+01, 1.057E+00
 2.701E+02, 9.744E+01, 1.064E+00
 2.800E+02, 1.057E+02, 1.028E+00
 2.900E+02, 1.012E+02, 1.046E+00
 3.000E+02, 1.068E+02, 9.949E-01
 3.100E+02, 1.024E+02, 1.051E+00
 3.200E+02, 1.027E+02, 1.039E+00
 3.300E+02, 1.102E+02, 1.016E+00
 3.400E+02, 1.101E+02, 1.031E+00
 3.500E+02, 1.087E+02, 1.002E+00
 3.601E+02, 1.055E+02, 1.018E+00
 3.700E+02, 1.028E+02, 1.014E+00
 3.801E+02, 1.086E+02, 9.655E-01
 3.900E+02, 1.108E+02, 1.011E+00
 4.000E+02, 1.121E+02, 1.052E+00
 4.101E+02, 1.134E+02, 1.028E+00
 4.200E+02, 1.138E+02, 1.036E+00
 4.300E+02, 1.137E+02, 1.099E+00
 4.400E+02, 1.175E+02, 1.107E+00
 4.500E+02, 1.154E+02, 1.007E+00
 4.600E+02, 1.135E+02, 9.692E-01
 4.700E+02, 1.138E+02, 1.043E+00
 4.800E+02, 1.117E+02, 1.088E+00
 4.900E+02, 1.148E+02, 1.007E+00
 5.000E+02, 1.190E+02, 9.480E-01
 5.100E+02, 1.159E+02, 1.035E+00
 5.201E+02, 1.144E+02, 1.096E+00
 5.301E+02, 1.077E+02, 1.036E+00
 5.400E+02, 1.156E+02, 9.953E-01
 5.500E+02, 1.193E+02, 1.040E+00
 5.600E+02, 1.195E+02, 1.073E+00
 5.700E+02, 1.205E+02, 1.062E+00
 5.800E+02, 1.165E+02, 1.044E+00
 5.901E+02, 1.183E+02, 1.008E+00
 6.000E+02, 1.264E+02, 1.033E+00
 6.100E+02, 1.252E+02, 1.119E+00
 6.200E+02, 1.254E+02, 1.144E+00
 6.300E+02, 1.244E+02, 1.056E+00
 6.400E+02, 1.193E+02, 1.023E+00
 6.500E+02, 1.222E+02, 1.070E+00
 6.600E+02, 1.245E+02, 1.162E+00
 6.700E+02, 1.166E+02, 1.070E+00
 6.801E+02, 1.187E+02, 9.789E-01
 6.901E+02, 1.224E+02, 1.045E+00
 7.000E+02, 1.260E+02, 1.181E+00
 7.100E+02, 1.233E+02, 1.132E+00
 7.201E+02, 1.245E+02, 9.796E-01
 7.300E+02, 1.248E+02, 1.096E+00
 7.400E+02, 1.251E+02, 1.137E+00
 7.500E+02, 1.240E+02, 1.037E+00
 7.600E+02, 1.194E+02, 1.032E+00
 7.700E+02, 1.190E+02, 1.098E+00
 7.800E+02, 1.215E+02, 1.075E+00
 7.900E+02, 1.205E+02, 9.729E-01
 8.000E+02, 1.202E+02, 1.044E+00
 8.100E+02, 1.191E+02, 1.047E+00
 8.200E+02, 1.198E+02, 1.015E+00
 8.300E+02, 1.191E+02, 1.037E+00
 8.400E+02, 1.208E+02, 1.042E+00
 8.500E+02, 1.228E+02, 1.103E+00
 8.600E+02, 1.256E+02, 1.119E+00
 8.701E+02, 1.230E+02, 1.056E+00
 8.801E+02, 1.222E+02, 9.978E-01
 8.900E+02, 1.221E+02, 1.069E+00
 9.000E+02, 1.156E+02, 1.025E+00
 9.100E+02, 1.183E+02, 1.011E+00
 9.200E+02, 1.225E+02, 1.047E+00
 9.300E+02, 1.243E+02, 1.014E+00
 9.400E+02, 1.230E+02, 1.070E+00
 9.500E+02, 1.288E+02, 1.152E+00
 9.600E+02, 1.235E+02, 1.093E+00
 9.700E+02, 1.226E+02, 1.061E+00
 9.800E+02, 1.214E+02, 1.005E+00
 9.900E+02, 1.212E+02, 1.011E+00
 1.000E+03, 1.237E+02, 1.089E+00
 1.010E+03, 1.195E+02, 1.065E+00
 1.020E+03, 1.199E+02, 1.059E+00
 1.030E+03, 1.237E+02, 1.064E+00
 1.040E+03, 1.236E+02, 1.072E+00
 1.050E+03, 1.242E+02, 1.062E+00
 1.060E+03, 1.217E+02, 1.041E+00
 1.070E+03, 1.209E+02, 1.068E+00
 1.080E+03, 1.205E+02, 1.070E+00
 1.090E+03, 1.198E+02, 1.008E+00
 1.100E+03, 1.199E+02, 1.006E+00
 1.110E+03, 1.188E+02, 1.042E+00
 1.120E+03, 1.171E+02, 1.037E+00
 1.130E+03, 1.192E+02, 1.021E+00
 1.140E+03, 1.155E+02, 1.021E+00
 1.150E+03, 1.184E+02, 1.003E+00
 1.160E+03, 1.186E+02, 1.003E+00
 1.170E+03, 1.150E+02, 9.819E-01
 1.180E+03, 1.158E+02, 9.781E-01
 1.190E+03, 1.148E+02, 1.009E+00
 1.200E+03, 1.166E+02, 1.012E+00
 1.210E+03, 1.218E+02, 9.977E-01
 1.220E+03, 1.227E+02, 1.041E+00
 1.230E+03, 1.166E+02, 1.045E+00
 1.240E+03, 1.188E+02, 1.033E+00
 1.250E+03, 1.230E+02, 1.026E+00
 1.260E+03, 1.225E+02, 1.097E+00
 1.270E+03, 1.233E+02, 1.138E+00
 1.280E+03, 1.194E+02, 1.016E+00
 1.290E+03, 1.225E+02, 1.024E+00
 1.300E+03, 1.239E+02, 1.122E+00
 1.310E+03, 1.278E+02, 1.083E+00
 1.320E+03, 1.276E+02, 1.053E+00
 1.330E+03, 1.204E+02, 1.078E+00
 1.340E+03, 1.246E+02, 1.082E+00
 1.350E+03, 1.277E+02, 1.070E+00
 1.360E+03, 1.198E+02, 1.058E+00
 1.370E+03, 1.198E+02, 1.072E+00
 1.380E+03, 1.206E+02, 1.105E+00
 1.390E+03, 1.271E+02, 1.114E+00
 1.400E+03, 1.218E+02, 1.077E+00
 1.410E+03, 1.239E+02, 1.037E+00
 1.420E+03, 1.220E+02, 1.076E+00
