m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 2.709E+01, 2.000E-02, 9.000E+00, 8.486E-07
 6.860E-02, 2.593E+01, 6.865E-02, 9.000E+00, 7.791E-07
 1.172E-01, 2.575E+01, 1.173E-01, 9.000E+00, 6.867E-07
 1.658E-01, 2.595E+01, 1.659E-01, 9.000E+00, 6.364E-07
 2.144E-01, 2.612E+01, 2.146E-01, 9.000E+00, 6.366E-07
 2.630E-01, 2.638E+01, 2.632E-01, 9.000E+00, 6.712E-07
 3.116E-01, 2.672E+01, 3.119E-01, 9.000E+00, 5.906E-07
 3.602E-01, 2.714E+01, 3.605E-01, 9.000E+00, 5.366E-07
 4.088E-01, 2.781E+01, 4.092E-01, 9.000E+00, 1.451E-06
 4.574E-01, 2.854E+01, 4.578E-01, 1.065E+01,-4.400E-01
 5.060E-01, 2.904E+01, 5.065E-01, 1.032E+01,-1.021E+00
 5.547E-01, 2.949E+01, 5.551E-01, 1.015E+01,-9.648E-01
 6.033E-01, 3.007E+01, 6.038E-01, 1.010E+01,-8.059E-01
 6.519E-01, 3.053E+01, 6.524E-01, 1.011E+01,-7.419E-01
 7.005E-01, 3.132E+01, 7.011E-01, 1.015E+01,-7.046E-01
 7.491E-01, 3.277E+01, 7.497E-01, 1.019E+01,-6.587E-01
 7.977E-01, 3.497E+01, 7.984E-01, 1.023E+01,-6.322E-01
 8.463E-01, 3.735E+01, 8.470E-01, 1.026E+01,-6.289E-01
 8.949E-01, 3.993E+01, 8.957E-01, 1.029E+01,-6.238E-01
 9.435E-01, 4.284E+01, 9.443E-01, 1.032E+01,-5.933E-01
 9.921E-01, 4.676E+01, 9.930E-01, 1.036E+01,-5.636E-01
 1.041E+00, 5.749E+01, 1.042E+00, 1.052E+01,-5.391E-01
 1.089E+00, 7.360E+01, 1.090E+00, 1.267E+01,-4.982E-01
 1.138E+00, 9.330E+01, 1.139E+00, 2.247E+01,-3.729E-01
 1.187E+00, 1.075E+02, 1.188E+00, 4.296E+01, 1.794E-02
 1.235E+00, 1.186E+02, 1.236E+00, 6.544E+01, 3.550E-01
 1.284E+00, 1.280E+02, 1.285E+00, 9.237E+01, 7.486E-01
 1.332E+00, 1.377E+02, 1.334E+00, 1.110E+02, 9.676E-01
 1.381E+00, 1.456E+02, 1.382E+00, 1.189E+02, 1.087E+00
 1.430E+00, 1.509E+02, 1.431E+00, 1.245E+02, 1.175E+00
 1.478E+00, 1.541E+02, 1.479E+00, 1.290E+02, 1.256E+00
 1.527E+00, 1.554E+02, 1.528E+00, 1.341E+02, 1.340E+00
 1.575E+00, 1.560E+02, 1.577E+00, 1.396E+02, 1.479E+00
 1.624E+00, 1.571E+02, 1.625E+00, 1.431E+02, 1.663E+00
 1.673E+00, 1.585E+02, 1.674E+00, 1.453E+02, 1.808E+00
 1.721E+00, 1.596E+02, 1.723E+00, 1.474E+02, 2.013E+00
 1.770E+00, 1.604E+02, 1.771E+00, 1.494E+02, 2.110E+00
 1.818E+00, 1.613E+02, 1.820E+00, 1.493E+02, 1.261E+00
 1.867E+00, 1.625E+02,NaN,NaN,NaN
 1.916E+00, 1.632E+02,NaN,NaN,NaN
 1.964E+00, 1.638E+02,NaN,NaN,NaN
 2.013E+00, 1.641E+02,NaN,NaN,NaN
 2.061E+00, 1.643E+02,NaN,NaN,NaN
 2.110E+00, 1.630E+02,NaN,NaN,NaN
