m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 4.229E+01, 2.000E-02, 8.000E+00, 7.682E-06
 6.860E-02, 4.197E+01, 6.865E-02, 8.000E+00, 7.886E-06
 1.172E-01, 4.244E+01, 1.173E-01, 8.000E+00, 7.896E-06
 1.658E-01, 4.281E+01, 1.659E-01, 8.000E+00, 7.849E-06
 2.144E-01, 4.306E+01, 2.146E-01, 8.000E+00, 7.825E-06
 2.630E-01, 4.322E+01, 2.632E-01, 8.000E+00, 7.834E-06
 3.116E-01, 4.354E+01, 3.119E-01, 8.000E+00, 7.787E-06
 3.602E-01, 4.392E+01, 3.605E-01, 8.000E+00, 7.790E-06
 4.088E-01, 4.427E+01, 4.092E-01, 8.000E+00, 7.807E-06
 4.574E-01, 4.470E+01, 4.578E-01, 8.000E+00, 7.708E-06
 5.060E-01, 4.506E+01, 5.065E-01, 8.000E+00, 7.692E-06
 5.547E-01, 4.573E+01, 5.551E-01, 8.000E+00, 7.650E-06
 6.033E-01, 4.707E+01, 6.038E-01, 8.000E+00, 7.488E-06
 6.519E-01, 4.816E+01, 6.524E-01, 8.000E+00, 7.189E-06
 7.005E-01, 5.020E+01, 7.011E-01, 8.000E+00, 6.947E-06
 7.491E-01, 5.310E+01, 7.497E-01, 8.000E+00, 6.600E-06
 7.977E-01, 5.758E+01, 7.984E-01, 8.000E+00, 6.323E-06
 8.463E-01, 6.413E+01, 8.470E-01, 8.000E+00, 5.920E-06
 8.949E-01, 7.018E+01, 8.957E-01, 8.000E+00, 5.192E-06
 9.435E-01, 7.830E+01, 9.443E-01, 9.788E+00,-6.948E-01
 9.921E-01, 8.946E+01, 9.930E-01, 9.523E+00,-1.126E+00
 1.041E+00, 1.058E+02, 1.042E+00, 9.562E+00,-1.002E+00
 1.089E+00, 1.263E+02, 1.090E+00, 9.676E+00,-8.569E-01
 1.138E+00, 1.400E+02, 1.139E+00, 9.755E+00,-7.651E-01
 1.187E+00, 1.492E+02, 1.188E+00, 9.866E+00,-6.600E-01
 1.235E+00, 1.556E+02, 1.236E+00, 1.005E+01,-5.704E-01
 1.284E+00, 1.636E+02, 1.285E+00, 1.264E+01,-5.109E-01
 1.332E+00, 1.699E+02, 1.334E+00, 2.760E+01,-3.331E-01
 1.381E+00, 1.747E+02, 1.382E+00, 6.140E+01, 7.949E-02
 1.430E+00, 1.779E+02, 1.431E+00, 1.087E+02, 6.655E-01
 1.478E+00, 1.804E+02, 1.479E+00, 1.361E+02, 1.004E+00
 1.527E+00, 1.839E+02, 1.528E+00, 1.540E+02, 1.191E+00
 1.575E+00, 1.875E+02, 1.577E+00, 1.662E+02, 1.317E+00
 1.624E+00, 1.891E+02, 1.625E+00, 1.715E+02, 1.503E+00
 1.673E+00, 1.899E+02, 1.674E+00, 1.737E+02, 1.701E+00
 1.721E+00, 1.903E+02, 1.723E+00, 1.759E+02, 1.916E+00
 1.770E+00, 1.909E+02, 1.771E+00, 1.783E+02, 2.095E+00
 1.818E+00, 1.909E+02, 1.820E+00, 1.781E+02, 1.281E+00
 1.867E+00, 1.908E+02,NaN,NaN,NaN
 1.916E+00, 1.909E+02,NaN,NaN,NaN
 1.964E+00, 1.914E+02,NaN,NaN,NaN
 2.013E+00, 1.926E+02,NaN,NaN,NaN
 2.061E+00, 1.929E+02,NaN,NaN,NaN
 2.110E+00, 1.921E+02,NaN,NaN,NaN
