m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 1.389E+02, 2.000E-02, 7.000E+00,-9.986E-07
 6.860E-02, 1.395E+02, 6.865E-02, 7.000E+00,-2.629E-06
 1.172E-01, 1.401E+02, 1.173E-01, 7.000E+00,-2.786E-06
 1.658E-01, 1.405E+02, 1.659E-01, 7.000E+00,-1.964E-06
 2.144E-01, 1.404E+02, 2.146E-01, 7.000E+00,-1.247E-06
 2.630E-01, 1.407E+02, 2.632E-01, 7.000E+00,-7.502E-07
 3.116E-01, 1.417E+02, 3.119E-01, 7.000E+00,-4.748E-07
 3.602E-01, 1.434E+02, 3.605E-01, 7.000E+00,-1.943E-07
 4.088E-01, 1.455E+02, 4.092E-01, 7.000E+00,-7.855E-09
 4.574E-01, 1.477E+02, 4.578E-01, 7.000E+00, 2.582E-07
 5.060E-01, 1.505E+02, 5.065E-01, 7.000E+00, 2.796E-07
 5.547E-01, 1.546E+02, 5.551E-01, 7.000E+00, 5.231E-07
 6.033E-01, 1.581E+02, 6.038E-01, 7.000E+00, 4.869E-07
 6.519E-01, 1.614E+02, 6.524E-01, 7.000E+00,-8.334E-07
 7.005E-01, 1.642E+02, 7.011E-01, 7.000E+00,-1.781E-06
 7.491E-01, 1.683E+02, 7.497E-01, 7.000E+00,-9.590E-07
 7.977E-01, 1.749E+02, 7.984E-01, 7.000E+00, 5.076E-07
 8.463E-01, 1.843E+02, 8.470E-01, 7.000E+00, 2.047E-06
 8.949E-01, 1.957E+02, 8.957E-01, 7.000E+00, 3.206E-06
 9.435E-01, 2.056E+02, 9.443E-01, 7.000E+00, 5.218E-06
 9.921E-01, 2.156E+02, 9.930E-01, 7.000E+00, 7.431E-06
 1.041E+00, 2.254E+02, 1.042E+00, 7.000E+00, 9.330E-06
 1.089E+00, 2.325E+02, 1.090E+00, 7.000E+00, 9.094E-06
 1.138E+00, 2.382E+02, 1.139E+00, 7.000E+00, 8.438E-06
 1.187E+00, 2.419E+02, 1.188E+00, 7.000E+00, 7.346E-06
 1.235E+00, 2.466E+02, 1.236E+00, 7.000E+00, 5.676E-06
 1.284E+00, 2.512E+02, 1.285E+00, 7.000E+00, 3.964E-06
 1.332E+00, 2.548E+02, 1.334E+00, 7.000E+00, 4.247E-06
 1.381E+00, 2.603E+02, 1.382E+00, 1.199E+01,-4.871E-01
 1.430E+00, 2.643E+02, 1.431E+00, 1.132E+01,-8.547E-01
 1.478E+00, 2.657E+02, 1.479E+00, 1.324E+01,-6.438E-01
 1.527E+00, 2.669E+02, 1.528E+00, 3.181E+01,-3.408E-01
 1.575E+00, 2.683E+02, 1.577E+00, 7.441E+01,-1.801E-01
 1.624E+00, 2.694E+02, 1.625E+00, 1.513E+02, 5.833E-01
 1.673E+00, 2.694E+02, 1.674E+00, 2.024E+02, 9.871E-01
 1.721E+00, 2.697E+02, 1.723E+00, 2.317E+02, 1.348E+00
 1.770E+00, 2.696E+02, 1.771E+00, 2.458E+02, 1.789E+00
 1.818E+00, 2.689E+02, 1.820E+00, 2.484E+02, 1.244E+00
 1.867E+00, 2.686E+02,NaN,NaN,NaN
 1.916E+00, 2.689E+02,NaN,NaN,NaN
 1.964E+00, 2.693E+02,NaN,NaN,NaN
 2.013E+00, 2.696E+02,NaN,NaN,NaN
 2.061E+00, 2.702E+02,NaN,NaN,NaN
 2.110E+00, 2.691E+02,NaN,NaN,NaN
