s,C,m
Time,HGL Temp,HGL Height
 0.000E+00, 8.000E+00, 2.130E+00
 1.003E+01, 8.000E+00, 2.130E+00
 2.005E+01, 8.014E+00, 2.130E+00
 3.002E+01, 8.083E+00, 2.130E+00
 4.003E+01, 3.060E+01, 1.705E+00
 5.001E+01, 3.774E+01, 1.155E+00
 6.002E+01, 4.079E+01, 1.511E+00
 7.002E+01, 5.659E+01, 1.341E+00
 8.004E+01, 5.202E+01, 1.263E+00
 9.003E+01, 5.466E+01, 1.199E+00
 1.000E+02, 5.861E+01, 1.042E+00
 1.100E+02, 5.994E+01, 1.166E+00
 1.200E+02, 6.228E+01, 1.239E+00
 1.300E+02, 6.886E+01, 1.223E+00
 1.400E+02, 7.559E+01, 1.041E+00
 1.500E+02, 7.250E+01, 1.012E+00
 1.600E+02, 7.688E+01, 9.714E-01
 1.700E+02, 8.144E+01, 9.327E-01
 1.800E+02, 7.822E+01, 9.520E-01
 1.900E+02, 7.774E+01, 9.738E-01
 2.000E+02, 8.457E+01, 8.983E-01
 2.101E+02, 8.335E+01, 8.679E-01
 2.200E+02, 8.558E+01, 8.543E-01
 2.300E+02, 8.617E+01, 8.653E-01
 2.400E+02, 8.490E+01, 8.396E-01
 2.500E+02, 8.858E+01, 7.488E-01
 2.600E+02, 9.227E+01, 7.190E-01
 2.700E+02, 9.510E+01, 7.531E-01
 2.800E+02, 9.891E+01, 8.183E-01
 2.901E+02, 1.029E+02, 8.635E-01
 3.000E+02, 1.015E+02, 7.911E-01
 3.100E+02, 1.051E+02, 7.462E-01
 3.200E+02, 1.041E+02, 7.780E-01
 3.300E+02, 1.048E+02, 8.562E-01
 3.400E+02, 1.097E+02, 8.086E-01
 3.500E+02, 1.052E+02, 7.514E-01
 3.600E+02, 1.110E+02, 6.683E-01
 3.700E+02, 1.089E+02, 7.403E-01
 3.800E+02, 1.141E+02, 7.987E-01
 3.900E+02, 1.205E+02, 8.241E-01
 4.000E+02, 1.159E+02, 8.400E-01
 4.100E+02, 1.125E+02, 7.735E-01
 4.200E+02, 1.169E+02, 7.818E-01
 4.300E+02, 1.238E+02, 7.356E-01
 4.400E+02, 1.196E+02, 8.186E-01
 4.500E+02, 1.172E+02, 7.928E-01
 4.600E+02, 1.182E+02, 8.134E-01
 4.700E+02, 1.207E+02, 7.544E-01
 4.800E+02, 1.176E+02, 7.472E-01
 4.900E+02, 1.243E+02, 7.876E-01
 5.001E+02, 1.303E+02, 7.839E-01
 5.101E+02, 1.296E+02, 7.836E-01
 5.200E+02, 1.267E+02, 8.221E-01
 5.300E+02, 1.324E+02, 7.944E-01
 5.400E+02, 1.297E+02, 7.802E-01
 5.500E+02, 1.292E+02, 7.676E-01
 5.600E+02, 1.317E+02, 7.510E-01
 5.700E+02, 1.294E+02, 7.368E-01
 5.800E+02, 1.313E+02, 7.655E-01
 5.900E+02, 1.288E+02, 7.767E-01
 6.000E+02, 1.297E+02, 7.926E-01
 6.100E+02, 1.323E+02, 7.521E-01
 6.200E+02, 1.348E+02, 7.321E-01
 6.300E+02, 1.362E+02, 7.538E-01
 6.400E+02, 1.371E+02, 7.438E-01
 6.500E+02, 1.306E+02, 8.101E-01
 6.600E+02, 1.369E+02, 7.624E-01
 6.700E+02, 1.428E+02, 8.141E-01
 6.800E+02, 1.437E+02, 8.441E-01
 6.900E+02, 1.422E+02, 7.485E-01
 7.000E+02, 1.429E+02, 7.831E-01
 7.100E+02, 1.421E+02, 7.989E-01
 7.200E+02, 1.348E+02, 8.050E-01
 7.300E+02, 1.349E+02, 7.930E-01
 7.400E+02, 1.375E+02, 7.395E-01
 7.500E+02, 1.424E+02, 7.938E-01
 7.600E+02, 1.418E+02, 8.015E-01
 7.700E+02, 1.404E+02, 7.525E-01
 7.800E+02, 1.384E+02, 8.245E-01
 7.900E+02, 1.375E+02, 8.076E-01
 8.000E+02, 1.421E+02, 8.157E-01
 8.100E+02, 1.392E+02, 6.919E-01
 8.200E+02, 1.430E+02, 7.298E-01
 8.300E+02, 1.425E+02, 7.372E-01
 8.400E+02, 1.363E+02, 7.680E-01
 8.500E+02, 1.468E+02, 7.773E-01
 8.600E+02, 1.494E+02, 8.381E-01
 8.700E+02, 1.465E+02, 8.270E-01
 8.800E+02, 1.461E+02, 7.653E-01
 8.900E+02, 1.420E+02, 7.676E-01
 9.000E+02, 1.463E+02, 7.780E-01
 9.100E+02, 1.394E+02, 7.387E-01
 9.200E+02, 1.397E+02, 7.359E-01
 9.300E+02, 1.415E+02, 7.500E-01
 9.400E+02, 1.442E+02, 8.126E-01
 9.501E+02, 1.469E+02, 8.287E-01
 9.600E+02, 1.492E+02, 7.724E-01
 9.700E+02, 1.419E+02, 7.884E-01
 9.800E+02, 1.397E+02, 7.464E-01
 9.900E+02, 1.415E+02, 7.211E-01
 1.000E+03, 1.376E+02, 7.360E-01
 1.010E+03, 1.400E+02, 7.545E-01
 1.020E+03, 1.390E+02, 7.272E-01
 1.030E+03, 1.444E+02, 7.663E-01
 1.040E+03, 1.434E+02, 7.751E-01
 1.050E+03, 1.461E+02, 7.654E-01
 1.060E+03, 1.394E+02, 7.870E-01
 1.070E+03, 1.466E+02, 7.914E-01
 1.080E+03, 1.454E+02, 7.740E-01
 1.090E+03, 1.441E+02, 7.897E-01
 1.100E+03, 1.456E+02, 7.938E-01
 1.110E+03, 1.452E+02, 7.891E-01
 1.120E+03, 1.422E+02, 7.589E-01
 1.130E+03, 1.450E+02, 7.940E-01
 1.140E+03, 1.503E+02, 7.932E-01
 1.150E+03, 1.470E+02, 8.123E-01
 1.160E+03, 1.485E+02, 8.434E-01
 1.170E+03, 1.452E+02, 8.129E-01
 1.180E+03, 1.383E+02, 7.552E-01
 1.190E+03, 1.396E+02, 7.131E-01
 1.200E+03, 1.397E+02, 7.305E-01
 1.210E+03, 1.392E+02, 7.654E-01
 1.220E+03, 1.387E+02, 8.043E-01
 1.230E+03, 1.476E+02, 7.919E-01
 1.240E+03, 1.460E+02, 8.305E-01
 1.250E+03, 1.444E+02, 7.670E-01
 1.260E+03, 1.416E+02, 7.215E-01
 1.270E+03, 1.461E+02, 7.510E-01
 1.280E+03, 1.415E+02, 7.368E-01
 1.290E+03, 1.396E+02, 7.443E-01
 1.300E+03, 1.492E+02, 7.670E-01
 1.310E+03, 1.435E+02, 7.927E-01
 1.320E+03, 1.454E+02, 6.973E-01
 1.330E+03, 1.403E+02, 7.298E-01
 1.340E+03, 1.371E+02, 7.599E-01
 1.350E+03, 1.366E+02, 7.018E-01
 1.360E+03, 1.400E+02, 7.212E-01
 1.370E+03, 1.446E+02, 7.283E-01
 1.380E+03, 1.409E+02, 8.267E-01
 1.390E+03, 1.467E+02, 7.879E-01
 1.400E+03, 1.448E+02, 7.882E-01
 1.410E+03, 1.449E+02, 7.506E-01
 1.420E+03, 1.439E+02, 8.104E-01
 1.430E+03, 1.473E+02, 7.702E-01
 1.440E+03, 1.478E+02, 7.385E-01
 1.450E+03, 1.431E+02, 7.674E-01
 1.460E+03, 1.460E+02, 8.011E-01
 1.470E+03, 1.382E+02, 7.597E-01
 1.480E+03, 1.394E+02, 7.160E-01
 1.490E+03, 1.446E+02, 7.092E-01
 1.500E+03, 1.437E+02, 7.447E-01
 1.510E+03, 1.427E+02, 8.337E-01
 1.520E+03, 1.488E+02, 8.104E-01
 1.530E+03, 1.445E+02, 7.869E-01
 1.540E+03, 1.482E+02, 8.200E-01
 1.550E+03, 1.539E+02, 8.254E-01
 1.560E+03, 1.509E+02, 8.251E-01
 1.570E+03, 1.480E+02, 8.231E-01
 1.580E+03, 1.485E+02, 8.259E-01
 1.590E+03, 1.440E+02, 7.710E-01
 1.600E+03, 1.435E+02, 7.492E-01
 1.610E+03, 1.362E+02, 7.424E-01
 1.620E+03, 1.393E+02, 7.494E-01
 1.630E+03, 1.454E+02, 7.155E-01
 1.640E+03, 1.433E+02, 7.587E-01
 1.650E+03, 1.447E+02, 7.629E-01
 1.660E+03, 1.471E+02, 7.836E-01
 1.670E+03, 1.393E+02, 7.782E-01
 1.680E+03, 1.471E+02, 8.027E-01
 1.690E+03, 1.442E+02, 7.882E-01
 1.700E+03, 1.449E+02, 7.845E-01
 1.710E+03, 1.423E+02, 7.707E-01
 1.720E+03, 1.464E+02, 8.269E-01
 1.730E+03, 1.451E+02, 7.400E-01
 1.740E+03, 1.415E+02, 7.684E-01
 1.750E+03, 1.449E+02, 7.924E-01
 1.760E+03, 1.523E+02, 8.008E-01
 1.770E+03, 1.469E+02, 8.103E-01
 1.780E+03, 1.469E+02, 7.438E-01
 1.790E+03, 1.405E+02, 7.521E-01
 1.800E+03, 1.394E+02, 7.726E-01
