s,C,m
Time,HGL Temp,HGL Height
 0.000E+00, 1.700E+01, 2.130E+00
 1.002E+01, 1.700E+01, 2.130E+00
 2.006E+01, 1.701E+01, 2.130E+00
 3.001E+01, 1.702E+01, 2.130E+00
 4.002E+01, 1.985E+01, 2.099E+00
 5.001E+01, 3.984E+01, 1.647E+00
 6.004E+01, 3.725E+01, 1.198E+00
 7.003E+01, 3.578E+01, 1.199E+00
 8.006E+01, 4.040E+01, 1.326E+00
 9.001E+01, 4.228E+01, 1.265E+00
 1.001E+02, 4.513E+01, 1.212E+00
 1.100E+02, 4.570E+01, 1.182E+00
 1.201E+02, 4.515E+01, 1.209E+00
 1.300E+02, 4.625E+01, 9.217E-01
 1.400E+02, 4.663E+01, 9.803E-01
 1.500E+02, 5.230E+01, 1.199E+00
 1.600E+02, 5.418E+01, 1.249E+00
 1.700E+02, 5.534E+01, 1.211E+00
 1.800E+02, 5.416E+01, 1.182E+00
 1.901E+02, 5.815E+01, 1.051E+00
 2.001E+02, 6.148E+01, 1.016E+00
 2.101E+02, 5.882E+01, 1.057E+00
 2.200E+02, 6.045E+01, 1.033E+00
 2.300E+02, 5.910E+01, 9.820E-01
 2.400E+02, 5.922E+01, 9.426E-01
 2.500E+02, 6.298E+01, 9.484E-01
 2.600E+02, 6.203E+01, 1.026E+00
 2.701E+02, 6.353E+01, 1.039E+00
 2.801E+02, 6.399E+01, 9.855E-01
 2.900E+02, 6.587E+01, 1.014E+00
 3.000E+02, 6.428E+01, 1.003E+00
 3.101E+02, 6.789E+01, 9.069E-01
 3.200E+02, 6.560E+01, 9.593E-01
 3.301E+02, 6.980E+01, 1.007E+00
 3.400E+02, 6.896E+01, 1.006E+00
 3.500E+02, 6.853E+01, 9.789E-01
 3.600E+02, 7.087E+01, 9.433E-01
 3.700E+02, 7.316E+01, 9.752E-01
 3.800E+02, 6.803E+01, 9.830E-01
 3.900E+02, 6.934E+01, 9.129E-01
 4.001E+02, 7.093E+01, 8.771E-01
 4.100E+02, 7.061E+01, 8.871E-01
 4.200E+02, 7.222E+01, 8.774E-01
 4.300E+02, 7.279E+01, 9.238E-01
 4.400E+02, 7.229E+01, 9.507E-01
 4.500E+02, 7.061E+01, 9.482E-01
 4.600E+02, 7.318E+01, 9.215E-01
 4.701E+02, 7.661E+01, 9.090E-01
 4.800E+02, 7.129E+01, 9.514E-01
 4.900E+02, 7.420E+01, 8.999E-01
 5.000E+02, 7.514E+01, 9.261E-01
 5.101E+02, 7.727E+01, 8.912E-01
 5.201E+02, 7.620E+01, 9.493E-01
 5.301E+02, 7.763E+01, 9.955E-01
 5.401E+02, 7.650E+01, 9.583E-01
 5.500E+02, 7.359E+01, 9.501E-01
 5.601E+02, 7.880E+01, 9.312E-01
 5.700E+02, 7.715E+01, 9.791E-01
 5.800E+02, 7.891E+01, 9.324E-01
 5.901E+02, 7.838E+01, 9.334E-01
 6.000E+02, 8.036E+01, 9.303E-01
 6.101E+02, 8.133E+01, 9.602E-01
 6.200E+02, 8.240E+01, 1.039E+00
 6.300E+02, 8.348E+01, 1.069E+00
 6.400E+02, 8.376E+01, 1.082E+00
 6.501E+02, 8.075E+01, 9.879E-01
 6.601E+02, 8.301E+01, 9.519E-01
 6.700E+02, 8.282E+01, 9.483E-01
 6.801E+02, 8.230E+01, 1.016E+00
 6.900E+02, 8.311E+01, 1.018E+00
 7.001E+02, 8.069E+01, 1.033E+00
 7.101E+02, 8.420E+01, 1.004E+00
 7.201E+02, 8.414E+01, 9.670E-01
 7.301E+02, 8.321E+01, 9.855E-01
 7.400E+02, 8.630E+01, 1.028E+00
 7.500E+02, 8.345E+01, 1.018E+00
 7.600E+02, 8.146E+01, 9.998E-01
 7.701E+02, 8.121E+01, 9.520E-01
 7.800E+02, 8.350E+01, 9.874E-01
 7.900E+02, 8.383E+01, 1.020E+00
 8.000E+02, 8.491E+01, 1.058E+00
 8.100E+02, 8.134E+01, 1.014E+00
 8.200E+02, 8.346E+01, 9.849E-01
 8.300E+02, 8.472E+01, 9.567E-01
 8.401E+02, 8.720E+01, 9.610E-01
