m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 6.619E+01, 2.000E-02, 3.394E+01,-1.070E+00
 6.860E-02, 6.629E+01, 6.865E-02, 3.218E+01,-1.089E+00
 1.172E-01, 6.884E+01, 1.173E-01, 3.187E+01,-1.095E+00
 1.658E-01, 7.172E+01, 1.659E-01, 3.193E+01,-1.090E+00
 2.144E-01, 7.380E+01, 2.146E-01, 3.204E+01,-1.089E+00
 2.630E-01, 7.538E+01, 2.632E-01, 3.216E+01,-1.085E+00
 3.116E-01, 7.745E+01, 3.119E-01, 3.227E+01,-1.074E+00
 3.602E-01, 8.040E+01, 3.605E-01, 3.238E+01,-1.060E+00
 4.088E-01, 8.352E+01, 4.092E-01, 3.247E+01,-1.045E+00
 4.574E-01, 8.711E+01, 4.578E-01, 3.256E+01,-1.013E+00
 5.060E-01, 9.190E+01, 5.065E-01, 3.262E+01,-9.821E-01
 5.547E-01, 9.760E+01, 5.551E-01, 3.270E+01,-9.547E-01
 6.033E-01, 1.047E+02, 6.038E-01, 3.278E+01,-9.182E-01
 6.519E-01, 1.147E+02, 6.524E-01, 3.288E+01,-8.774E-01
 7.005E-01, 1.258E+02, 7.011E-01, 3.301E+01,-8.389E-01
 7.491E-01, 1.401E+02, 7.497E-01, 3.319E+01,-7.816E-01
 7.977E-01, 1.557E+02, 7.984E-01, 3.410E+01,-7.211E-01
 8.463E-01, 1.703E+02, 8.470E-01, 3.930E+01,-6.332E-01
 8.949E-01, 1.876E+02, 8.957E-01, 5.573E+01,-4.629E-01
 9.435E-01, 2.008E+02, 9.443E-01, 9.241E+01,-5.343E-02
 9.921E-01, 2.095E+02, 9.930E-01, 1.375E+02, 5.177E-01
 1.041E+00, 2.173E+02, 1.042E+00, 1.667E+02, 8.581E-01
 1.089E+00, 2.250E+02, 1.090E+00, 1.908E+02, 1.121E+00
 1.138E+00, 2.317E+02, 1.139E+00, 2.062E+02, 1.225E+00
 1.187E+00, 2.373E+02, 1.188E+00, 2.142E+02, 1.342E+00
 1.235E+00, 2.433E+02, 1.236E+00, 2.210E+02, 1.452E+00
 1.284E+00, 2.473E+02, 1.285E+00, 2.267E+02, 1.570E+00
 1.332E+00, 2.497E+02, 1.334E+00, 2.306E+02, 1.665E+00
 1.381E+00, 2.503E+02, 1.382E+00, 2.332E+02, 1.776E+00
 1.430E+00, 2.514E+02, 1.431E+00, 2.356E+02, 1.903E+00
 1.478E+00, 2.530E+02, 1.479E+00, 2.380E+02, 2.041E+00
 1.527E+00, 2.541E+02, 1.528E+00, 2.400E+02, 2.144E+00
 1.575E+00, 2.551E+02, 1.577E+00, 2.418E+02, 2.276E+00
 1.624E+00, 2.552E+02, 1.625E+00, 2.433E+02, 2.443E+00
 1.673E+00, 2.548E+02, 1.674E+00, 2.451E+02, 2.676E+00
 1.721E+00, 2.551E+02, 1.723E+00, 2.476E+02, 2.968E+00
 1.770E+00, 2.559E+02, 1.771E+00, 2.494E+02, 2.919E+00
 1.818E+00, 2.568E+02, 1.820E+00, 2.471E+02, 1.291E+00
 1.867E+00, 2.573E+02,NaN,NaN,NaN
 1.916E+00, 2.575E+02,NaN,NaN,NaN
 1.964E+00, 2.582E+02,NaN,NaN,NaN
 2.013E+00, 2.587E+02,NaN,NaN,NaN
 2.061E+00, 2.589E+02,NaN,NaN,NaN
 2.110E+00, 2.577E+02,NaN,NaN,NaN
