s,C,m
Time,HGL Temp,HGL Height
 0.000E+00, 2.300E+01, 2.130E+00
 1.000E+01, 2.301E+01, 2.130E+00
 2.002E+01, 2.306E+01, 2.130E+00
 3.003E+01, 5.977E+01, 1.989E+00
 4.000E+01, 5.354E+01, 1.333E+00
 5.004E+01, 5.225E+01, 9.896E-01
 6.001E+01, 6.005E+01, 8.776E-01
 7.005E+01, 6.291E+01, 1.037E+00
 8.000E+01, 6.404E+01, 1.229E+00
 9.001E+01, 7.132E+01, 1.127E+00
 1.000E+02, 7.827E+01, 8.682E-01
 1.100E+02, 7.675E+01, 8.606E-01
 1.200E+02, 8.077E+01, 9.958E-01
 1.300E+02, 8.509E+01, 1.020E+00
 1.400E+02, 9.095E+01, 1.040E+00
 1.500E+02, 9.459E+01, 1.020E+00
 1.600E+02, 9.395E+01, 9.486E-01
 1.701E+02, 9.417E+01, 8.540E-01
 1.801E+02, 9.538E+01, 7.925E-01
 1.900E+02, 9.792E+01, 7.802E-01
 2.000E+02, 9.971E+01, 7.864E-01
 2.100E+02, 1.013E+02, 8.233E-01
 2.200E+02, 1.038E+02, 8.184E-01
 2.300E+02, 1.070E+02, 7.472E-01
 2.400E+02, 1.076E+02, 7.046E-01
 2.500E+02, 1.075E+02, 6.424E-01
 2.600E+02, 1.019E+02, 6.776E-01
 2.700E+02, 1.000E+02, 6.461E-01
 2.801E+02, 1.012E+02, 5.392E-01
 2.900E+02, 1.050E+02, 5.145E-01
 3.000E+02, 1.060E+02, 5.575E-01
 3.100E+02, 1.108E+02, 6.006E-01
 3.200E+02, 1.088E+02, 5.820E-01
 3.300E+02, 1.102E+02, 5.387E-01
 3.401E+02, 1.122E+02, 5.497E-01
 3.500E+02, 1.130E+02, 5.226E-01
 3.600E+02, 1.161E+02, 5.544E-01
 3.700E+02, 1.142E+02, 5.151E-01
 3.800E+02, 1.186E+02, 4.955E-01
 3.900E+02, 1.184E+02, 4.292E-01
 4.001E+02, 1.191E+02, 4.128E-01
 4.100E+02, 1.225E+02, 4.821E-01
 4.200E+02, 1.253E+02, 5.513E-01
 4.301E+02, 1.259E+02, 5.343E-01
 4.400E+02, 1.271E+02, 4.815E-01
 4.500E+02, 1.311E+02, 5.224E-01
 4.600E+02, 1.338E+02, 5.814E-01
 4.700E+02, 1.359E+02, 5.384E-01
 4.800E+02, 1.336E+02, 5.072E-01
 4.901E+02, 1.336E+02, 4.893E-01
 5.001E+02, 1.334E+02, 5.407E-01
 5.100E+02, 1.324E+02, 4.735E-01
 5.200E+02, 1.324E+02, 4.285E-01
 5.300E+02, 1.336E+02, 4.377E-01
 5.401E+02, 1.355E+02, 4.798E-01
 5.501E+02, 1.355E+02, 4.675E-01
 5.600E+02, 1.358E+02, 4.814E-01
 5.700E+02, 1.387E+02, 3.684E-01
 5.800E+02, 1.436E+02, 3.673E-01
 5.900E+02, 1.447E+02, 4.742E-01
 6.001E+02, 1.523E+02, 5.601E-01
 6.101E+02, 1.499E+02, 6.432E-01
 6.200E+02, 1.455E+02, 6.217E-01
 6.301E+02, 1.470E+02, 5.229E-01
 6.400E+02, 1.505E+02, 4.811E-01
 6.501E+02, 1.497E+02, 4.823E-01
 6.601E+02, 1.543E+02, 5.535E-01
 6.701E+02, 1.518E+02, 4.348E-01
 6.801E+02, 1.524E+02, 3.906E-01
 6.900E+02, 1.526E+02, 4.493E-01
 7.001E+02, 1.528E+02, 5.311E-01
 7.100E+02, 1.533E+02, 5.558E-01
 7.200E+02, 1.535E+02, 4.569E-01
