m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 5.741E+01, 2.000E-02, 2.600E+01,-7.483E-06
 6.860E-02, 5.730E+01, 6.865E-02, 2.600E+01,-7.452E-06
 1.172E-01, 5.800E+01, 1.173E-01, 2.600E+01,-7.412E-06
 1.658E-01, 5.841E+01, 1.659E-01, 2.600E+01,-7.371E-06
 2.144E-01, 5.851E+01, 2.146E-01, 2.600E+01,-7.348E-06
 2.630E-01, 5.902E+01, 2.632E-01, 2.600E+01,-7.320E-06
 3.116E-01, 5.953E+01, 3.119E-01, 2.600E+01,-7.276E-06
 3.602E-01, 5.995E+01, 3.605E-01, 2.600E+01,-7.212E-06
 4.088E-01, 6.035E+01, 4.092E-01, 2.600E+01,-7.132E-06
 4.574E-01, 6.082E+01, 4.578E-01, 2.600E+01,-7.061E-06
 5.060E-01, 6.115E+01, 5.065E-01, 2.600E+01,-6.962E-06
 5.547E-01, 6.193E+01, 5.551E-01, 2.600E+01,-6.833E-06
 6.033E-01, 6.392E+01, 6.038E-01, 2.600E+01,-6.660E-06
 6.519E-01, 6.526E+01, 6.524E-01, 2.600E+01,-6.436E-06
 7.005E-01, 6.570E+01, 7.011E-01, 2.600E+01,-6.159E-06
 7.491E-01, 6.703E+01, 7.497E-01, 2.600E+01,-5.820E-06
 7.977E-01, 6.877E+01, 7.984E-01, 2.600E+01,-5.382E-06
 8.463E-01, 7.117E+01, 8.470E-01, 2.600E+01,-4.835E-06
 8.949E-01, 7.374E+01, 8.957E-01, 2.600E+01,-4.164E-06
 9.435E-01, 7.593E+01, 9.443E-01, 2.850E+01,-6.697E-01
 9.921E-01, 7.893E+01, 9.930E-01, 2.819E+01,-1.092E+00
 1.041E+00, 8.547E+01, 1.042E+00, 2.827E+01,-9.582E-01
 1.089E+00, 1.001E+02, 1.090E+00, 2.839E+01,-8.091E-01
 1.138E+00, 1.341E+02, 1.139E+00, 2.851E+01,-7.188E-01
 1.187E+00, 1.724E+02, 1.188E+00, 2.861E+01,-6.584E-01
 1.235E+00, 1.961E+02, 1.236E+00, 2.878E+01,-5.749E-01
 1.284E+00, 2.097E+02, 1.285E+00, 3.030E+01,-5.031E-01
 1.332E+00, 2.143E+02, 1.334E+00, 4.243E+01,-3.624E-01
 1.381E+00, 2.156E+02, 1.382E+00, 7.221E+01,-1.691E-02
 1.430E+00, 2.173E+02, 1.431E+00, 1.188E+02, 6.235E-01
 1.478E+00, 2.187E+02, 1.479E+00, 1.533E+02, 8.846E-01
 1.527E+00, 2.196E+02, 1.528E+00, 1.782E+02, 1.136E+00
 1.575E+00, 2.203E+02, 1.577E+00, 1.935E+02, 1.294E+00
 1.624E+00, 2.206E+02, 1.625E+00, 1.992E+02, 1.417E+00
 1.673E+00, 2.211E+02, 1.674E+00, 2.023E+02, 1.617E+00
 1.721E+00, 2.216E+02, 1.723E+00, 2.074E+02, 1.952E+00
 1.770E+00, 2.216E+02, 1.771E+00, 2.120E+02, 1.964E+00
 1.818E+00, 2.216E+02, 1.820E+00, 2.107E+02, 7.970E-01
 1.867E+00, 2.214E+02,NaN,NaN,NaN
 1.916E+00, 2.215E+02,NaN,NaN,NaN
 1.964E+00, 2.219E+02,NaN,NaN,NaN
 2.013E+00, 2.226E+02,NaN,NaN,NaN
 2.061E+00, 2.232E+02,NaN,NaN,NaN
 2.110E+00, 2.226E+02,NaN,NaN,NaN
