s,C,m
Time,HGL Temp,HGL Height
 0.000E+00, 2.200E+01, 2.130E+00
 1.000E+01, 2.200E+01, 2.130E+00
 2.004E+01, 2.202E+01, 2.130E+00
 3.004E+01, 2.203E+01, 2.130E+00
 4.004E+01, 4.740E+01, 2.009E+00
 5.003E+01, 6.852E+01, 1.160E+00
 6.004E+01, 7.111E+01, 6.898E-01
 7.002E+01, 6.877E+01, 8.478E-01
 8.000E+01, 7.268E+01, 1.109E+00
 9.001E+01, 8.025E+01, 1.229E+00
 1.000E+02, 8.306E+01, 1.376E+00
 1.100E+02, 9.281E+01, 1.347E+00
 1.200E+02, 9.985E+01, 1.307E+00
 1.300E+02, 1.105E+02, 1.220E+00
 1.400E+02, 1.124E+02, 1.223E+00
 1.500E+02, 1.106E+02, 1.187E+00
 1.600E+02, 1.103E+02, 1.218E+00
 1.700E+02, 1.120E+02, 1.164E+00
 1.800E+02, 1.157E+02, 1.114E+00
 1.900E+02, 1.165E+02, 1.127E+00
 2.000E+02, 1.252E+02, 1.067E+00
 2.100E+02, 1.193E+02, 1.085E+00
 2.200E+02, 1.181E+02, 1.012E+00
 2.300E+02, 1.185E+02, 9.995E-01
 2.400E+02, 1.290E+02, 9.536E-01
 2.500E+02, 1.264E+02, 1.038E+00
 2.600E+02, 1.370E+02, 1.004E+00
 2.700E+02, 1.376E+02, 1.011E+00
 2.800E+02, 1.374E+02, 1.024E+00
 2.900E+02, 1.335E+02, 1.032E+00
 3.000E+02, 1.400E+02, 9.716E-01
 3.100E+02, 1.452E+02, 9.404E-01
 3.200E+02, 1.416E+02, 1.091E+00
 3.300E+02, 1.460E+02, 1.054E+00
 3.400E+02, 1.552E+02, 9.370E-01
 3.500E+02, 1.492E+02, 9.821E-01
 3.600E+02, 1.463E+02, 1.053E+00
 3.700E+02, 1.466E+02, 1.073E+00
 3.800E+02, 1.494E+02, 9.916E-01
 3.900E+02, 1.536E+02, 9.231E-01
 4.000E+02, 1.511E+02, 9.780E-01
 4.100E+02, 1.524E+02, 9.437E-01
 4.200E+02, 1.518E+02, 9.174E-01
 4.300E+02, 1.561E+02, 9.010E-01
 4.400E+02, 1.599E+02, 9.381E-01
 4.500E+02, 1.634E+02, 9.739E-01
 4.600E+02, 1.696E+02, 9.725E-01
 4.700E+02, 1.702E+02, 9.837E-01
 4.800E+02, 1.696E+02, 9.708E-01
 4.900E+02, 1.685E+02, 9.168E-01
 5.000E+02, 1.651E+02, 1.001E+00
 5.100E+02, 1.661E+02, 1.026E+00
 5.200E+02, 1.720E+02, 1.004E+00
 5.300E+02, 1.766E+02, 9.880E-01
 5.400E+02, 1.748E+02, 1.008E+00
 5.501E+02, 1.719E+02, 1.043E+00
 5.600E+02, 1.779E+02, 1.023E+00
 5.700E+02, 1.749E+02, 1.037E+00
 5.800E+02, 1.766E+02, 1.016E+00
 5.900E+02, 1.742E+02, 9.839E-01
 6.000E+02, 1.783E+02, 9.591E-01
 6.100E+02, 1.793E+02, 1.031E+00
 6.200E+02, 1.763E+02, 1.074E+00
 6.300E+02, 1.765E+02, 1.056E+00
 6.400E+02, 1.844E+02, 9.896E-01
 6.500E+02, 1.832E+02, 1.011E+00
 6.600E+02, 1.834E+02, 1.059E+00
 6.700E+02, 1.874E+02, 1.024E+00
 6.800E+02, 1.825E+02, 9.986E-01
 6.900E+02, 1.826E+02, 1.074E+00
 7.000E+02, 1.867E+02, 1.037E+00
 7.101E+02, 1.855E+02, 9.882E-01
 7.200E+02, 1.892E+02, 9.863E-01
 7.300E+02, 1.860E+02, 1.043E+00
 7.400E+02, 1.834E+02, 1.069E+00
 7.500E+02, 1.813E+02, 1.000E+00
 7.600E+02, 1.856E+02, 1.003E+00
 7.700E+02, 1.893E+02, 1.059E+00
 7.800E+02, 1.895E+02, 1.063E+00
 7.900E+02, 1.888E+02, 1.074E+00
 8.000E+02, 1.831E+02, 1.060E+00
 8.100E+02, 1.880E+02, 9.681E-01
 8.200E+02, 1.879E+02, 1.008E+00
 8.300E+02, 1.814E+02, 1.045E+00
 8.400E+02, 1.824E+02, 1.067E+00
 8.500E+02, 1.841E+02, 1.020E+00
 8.600E+02, 1.848E+02, 9.985E-01
 8.700E+02, 1.910E+02, 1.027E+00
 8.800E+02, 1.883E+02, 1.045E+00
 8.900E+02, 1.910E+02, 1.061E+00
 9.000E+02, 1.890E+02, 1.058E+00
 9.100E+02, 1.872E+02, 9.181E-01
 9.200E+02, 1.921E+02, 1.012E+00
 9.300E+02, 1.947E+02, 1.059E+00
 9.400E+02, 1.906E+02, 1.022E+00
 9.500E+02, 1.982E+02, 1.043E+00
 9.600E+02, 1.938E+02, 1.125E+00
 9.700E+02, 1.861E+02, 1.077E+00
 9.800E+02, 1.908E+02, 9.912E-01
 9.900E+02, 1.919E+02, 1.027E+00
 1.000E+03, 1.930E+02, 1.061E+00
 1.010E+03, 1.970E+02, 1.104E+00
 1.020E+03, 1.967E+02, 1.043E+00
 1.030E+03, 1.939E+02, 1.042E+00
 1.040E+03, 1.843E+02, 1.003E+00
 1.050E+03, 1.892E+02, 1.029E+00
 1.060E+03, 1.923E+02, 1.096E+00
 1.070E+03, 2.007E+02, 1.063E+00
 1.080E+03, 1.925E+02, 1.012E+00
 1.090E+03, 1.932E+02, 1.014E+00
 1.100E+03, 1.939E+02, 1.087E+00
 1.110E+03, 1.923E+02, 1.120E+00
 1.120E+03, 1.981E+02, 1.010E+00
 1.130E+03, 1.892E+02, 1.007E+00
 1.140E+03, 1.897E+02, 1.026E+00
 1.150E+03, 1.830E+02, 9.740E-01
 1.160E+03, 1.863E+02, 1.036E+00
 1.170E+03, 1.919E+02, 1.037E+00
 1.180E+03, 1.931E+02, 9.809E-01
 1.190E+03, 1.919E+02, 1.002E+00
 1.200E+03, 1.847E+02, 1.039E+00
 1.210E+03, 1.865E+02, 9.698E-01
 1.220E+03, 1.967E+02, 9.816E-01
 1.230E+03, 1.990E+02, 1.029E+00
 1.240E+03, 1.894E+02, 1.044E+00
 1.250E+03, 1.906E+02, 9.811E-01
 1.260E+03, 1.943E+02, 9.673E-01
 1.270E+03, 1.916E+02, 1.060E+00
 1.280E+03, 1.934E+02, 1.052E+00
 1.290E+03, 1.927E+02, 9.597E-01
 1.300E+03, 1.966E+02, 1.014E+00
 1.310E+03, 1.971E+02, 1.055E+00
 1.320E+03, 1.960E+02, 1.073E+00
 1.330E+03, 1.963E+02, 9.869E-01
 1.340E+03, 1.917E+02, 9.882E-01
 1.350E+03, 1.925E+02, 1.006E+00
 1.360E+03, 1.910E+02, 9.965E-01
 1.370E+03, 1.890E+02, 9.706E-01
 1.380E+03, 1.920E+02, 9.662E-01
 1.390E+03, 1.920E+02, 1.001E+00
 1.400E+03, 1.937E+02, 9.764E-01
 1.410E+03, 1.931E+02, 1.009E+00
 1.420E+03, 1.919E+02, 1.034E+00
 1.430E+03, 1.926E+02, 1.006E+00
 1.440E+03, 1.953E+02, 9.861E-01
 1.450E+03, 1.958E+02, 1.041E+00
 1.460E+03, 1.988E+02, 1.033E+00
 1.470E+03, 1.910E+02, 9.608E-01
 1.480E+03, 1.887E+02, 9.419E-01
 1.490E+03, 1.919E+02, 9.969E-01
 1.500E+03, 1.900E+02, 9.842E-01
 1.510E+03, 1.946E+02, 1.043E+00
 1.520E+03, 1.977E+02, 1.086E+00
 1.530E+03, 1.986E+02, 1.053E+00
 1.540E+03, 1.880E+02, 9.661E-01
 1.550E+03, 1.885E+02, 1.040E+00
 1.560E+03, 1.902E+02, 1.023E+00
 1.570E+03, 1.866E+02, 9.820E-01
 1.580E+03, 1.942E+02, 9.952E-01
