m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 3.448E+01, 2.000E-02, 9.808E+00,-1.268E+00
 6.860E-02, 3.570E+01, 6.865E-02, 9.314E+00,-1.272E+00
 1.172E-01, 3.756E+01, 1.173E-01, 9.179E+00,-1.282E+00
 1.658E-01, 3.867E+01, 1.659E-01, 9.133E+00,-1.256E+00
 2.144E-01, 3.957E+01, 2.146E-01, 9.120E+00,-1.251E+00
 2.630E-01, 4.172E+01, 2.632E-01, 9.139E+00,-1.215E+00
 3.116E-01, 4.471E+01, 3.119E-01, 9.168E+00,-1.193E+00
 3.602E-01, 4.724E+01, 3.605E-01, 9.203E+00,-1.163E+00
 4.088E-01, 4.924E+01, 4.092E-01, 9.245E+00,-1.135E+00
 4.574E-01, 5.116E+01, 4.578E-01, 9.298E+00,-1.099E+00
 5.060E-01, 5.254E+01, 5.065E-01, 9.344E+00,-1.065E+00
 5.547E-01, 5.476E+01, 5.551E-01, 9.391E+00,-1.029E+00
 6.033E-01, 5.773E+01, 6.038E-01, 9.450E+00,-9.818E-01
 6.519E-01, 6.354E+01, 6.524E-01, 9.525E+00,-9.319E-01
 7.005E-01, 7.445E+01, 7.011E-01, 9.620E+00,-8.744E-01
 7.491E-01, 9.149E+01, 7.497E-01, 9.777E+00,-8.024E-01
 7.977E-01, 1.118E+02, 7.984E-01, 1.021E+01,-7.222E-01
 8.463E-01, 1.320E+02, 8.470E-01, 1.315E+01,-6.480E-01
 8.949E-01, 1.508E+02, 8.957E-01, 2.875E+01,-4.439E-01
 9.435E-01, 1.641E+02, 9.443E-01, 6.869E+01, 5.636E-02
 9.921E-01, 1.723E+02, 9.930E-01, 9.740E+01, 4.145E-01
 1.041E+00, 1.789E+02, 1.042E+00, 1.348E+02, 9.537E-01
 1.089E+00, 1.826E+02, 1.090E+00, 1.601E+02, 1.440E+00
 1.138E+00, 1.860E+02, 1.139E+00, 1.702E+02, 1.668E+00
 1.187E+00, 1.898E+02, 1.188E+00, 1.755E+02, 1.811E+00
 1.235E+00, 1.930E+02, 1.236E+00, 1.798E+02, 1.938E+00
 1.284E+00, 1.953E+02, 1.285E+00, 1.829E+02, 2.073E+00
 1.332E+00, 1.967E+02, 1.334E+00, 1.844E+02, 2.184E+00
 1.381E+00, 1.977E+02, 1.382E+00, 1.855E+02, 2.262E+00
 1.430E+00, 1.984E+02, 1.431E+00, 1.869E+02, 2.364E+00
 1.478E+00, 1.992E+02, 1.479E+00, 1.884E+02, 2.418E+00
 1.527E+00, 1.999E+02, 1.528E+00, 1.899E+02, 2.443E+00
 1.575E+00, 2.000E+02, 1.577E+00, 1.911E+02, 2.487E+00
 1.624E+00, 2.003E+02, 1.625E+00, 1.917E+02, 2.653E+00
 1.673E+00, 2.009E+02, 1.674E+00, 1.920E+02, 2.911E+00
 1.721E+00, 2.012E+02, 1.723E+00, 1.918E+02, 3.061E+00
 1.770E+00, 2.015E+02, 1.771E+00, 1.913E+02, 2.947E+00
 1.818E+00, 2.015E+02, 1.820E+00, 1.899E+02, 1.678E+00
 1.867E+00, 2.017E+02,NaN,NaN,NaN
 1.916E+00, 2.023E+02,NaN,NaN,NaN
 1.964E+00, 2.024E+02,NaN,NaN,NaN
 2.013E+00, 2.029E+02,NaN,NaN,NaN
 2.061E+00, 2.026E+02,NaN,NaN,NaN
 2.110E+00, 2.007E+02,NaN,NaN,NaN
