s,C,m
Time,"HGL Temp","HGL Height"
 1.320E+03, 1.457E+02, 1.101E+00
 1.330E+03, 1.410E+02, 1.110E+00
 1.340E+03, 1.459E+02, 1.116E+00
 1.350E+03, 1.505E+02, 1.097E+00
 1.360E+03, 1.453E+02, 1.144E+00
 1.370E+03, 1.404E+02, 1.133E+00
 1.380E+03, 1.480E+02, 1.071E+00
 1.390E+03, 1.497E+02, 1.141E+00
 1.400E+03, 1.424E+02, 1.207E+00
 1.410E+03, 1.488E+02, 1.154E+00
 1.420E+03, 1.476E+02, 1.033E+00
 1.430E+03, 1.423E+02, 1.089E+00
 1.440E+03, 1.411E+02, 1.128E+00
 1.450E+03, 1.338E+02, 1.153E+00
 1.460E+03, 1.354E+02, 1.133E+00
 1.470E+03, 1.457E+02, 1.055E+00
 1.480E+03, 1.452E+02, 1.054E+00
 1.490E+03, 1.469E+02, 1.097E+00
 1.500E+03, 1.428E+02, 1.200E+00
 1.510E+03, 1.400E+02, 1.185E+00
 1.520E+03, 1.472E+02, 1.097E+00
 1.530E+03, 1.451E+02, 1.094E+00
 1.540E+03, 1.449E+02, 1.084E+00
 1.550E+03, 1.444E+02, 1.053E+00
 1.560E+03, 1.400E+02, 1.130E+00
 1.570E+03, 1.344E+02, 1.178E+00
 1.580E+03, 1.381E+02, 1.087E+00
 1.590E+03, 1.455E+02, 1.043E+00
 1.600E+03, 1.463E+02, 1.124E+00
 1.610E+03, 1.492E+02, 1.176E+00
 1.620E+03, 1.507E+02, 1.187E+00
 1.630E+03, 1.430E+02, 1.190E+00
 1.640E+03, 1.379E+02, 1.242E+00
 1.650E+03, 1.437E+02, 1.157E+00
 1.660E+03, 1.539E+02, 1.122E+00
 1.670E+03, 1.545E+02, 1.158E+00
 1.680E+03, 1.496E+02, 1.228E+00
 1.690E+03, 1.425E+02, 1.238E+00
 1.700E+03, 1.501E+02, 1.104E+00
 1.710E+03, 1.536E+02, 1.030E+00
 1.720E+03, 1.403E+02, 1.148E+00
 1.730E+03, 1.410E+02, 1.184E+00
 1.740E+03, 1.572E+02, 1.099E+00
 1.750E+03, 1.465E+02, 1.140E+00
 1.760E+03, 1.429E+02, 1.225E+00
 1.770E+03, 1.514E+02, 1.181E+00
 1.780E+03, 1.544E+02, 1.191E+00
 1.790E+03, 1.569E+02, 1.210E+00
 1.800E+03, 1.480E+02, 1.181E+00
