s,C,m
Time,HGL Temp,HGL Height
 0.000E+00, 1.500E+01, 2.130E+00
 1.002E+01, 1.500E+01, 2.130E+00
 2.004E+01, 1.504E+01, 2.130E+00
 3.004E+01, 4.823E+01, 1.986E+00
 4.004E+01, 4.667E+01, 1.309E+00
 5.004E+01, 4.425E+01, 9.893E-01
 6.004E+01, 4.863E+01, 1.020E+00
 7.006E+01, 5.752E+01, 1.186E+00
 8.002E+01, 6.426E+01, 1.287E+00
 9.001E+01, 6.558E+01, 1.215E+00
 1.000E+02, 6.880E+01, 1.065E+00
 1.100E+02, 7.428E+01, 1.070E+00
 1.200E+02, 7.406E+01, 1.060E+00
 1.300E+02, 7.348E+01, 1.014E+00
 1.400E+02, 7.376E+01, 9.444E-01
 1.500E+02, 7.638E+01, 9.137E-01
 1.600E+02, 8.127E+01, 1.002E+00
 1.700E+02, 8.469E+01, 9.534E-01
 1.800E+02, 8.713E+01, 8.956E-01
 1.900E+02, 8.547E+01, 8.534E-01
 2.000E+02, 8.744E+01, 8.821E-01
 2.101E+02, 8.836E+01, 9.042E-01
 2.200E+02, 8.678E+01, 8.354E-01
 2.300E+02, 8.396E+01, 7.397E-01
 2.400E+02, 8.231E+01, 7.271E-01
 2.500E+02, 8.624E+01, 7.105E-01
 2.600E+02, 8.333E+01, 7.071E-01
 2.700E+02, 8.591E+01, 6.979E-01
 2.800E+02, 8.688E+01, 6.799E-01
 2.901E+02, 8.746E+01, 6.482E-01
 3.000E+02, 8.496E+01, 6.322E-01
 3.101E+02, 8.553E+01, 6.316E-01
 3.201E+02, 8.700E+01, 6.374E-01
 3.300E+02, 8.589E+01, 6.230E-01
 3.400E+02, 8.599E+01, 5.659E-01
 3.501E+02, 8.599E+01, 4.965E-01
 3.600E+02, 8.457E+01, 4.844E-01
 3.700E+02, 8.329E+01, 5.479E-01
 3.800E+02, 8.577E+01, 5.684E-01
 3.901E+02, 8.692E+01, 5.198E-01
 4.000E+02, 8.879E+01, 5.046E-01
 4.100E+02, 9.110E+01, 5.545E-01
 4.201E+02, 9.290E+01, 6.277E-01
 4.300E+02, 9.593E+01, 6.181E-01
 4.400E+02, 9.558E+01, 5.852E-01
 4.500E+02, 9.456E+01, 5.526E-01
 4.601E+02, 9.549E+01, 5.425E-01
 4.700E+02, 9.718E+01, 5.629E-01
 4.801E+02, 9.691E+01, 6.283E-01
 4.901E+02, 9.480E+01, 6.244E-01
 5.000E+02, 9.651E+01, 5.400E-01
 5.100E+02, 9.689E+01, 4.789E-01
 5.200E+02, 9.805E+01, 5.337E-01
 5.300E+02, 9.701E+01, 5.588E-01
 5.400E+02, 9.642E+01, 5.372E-01
 5.500E+02, 9.875E+01, 5.095E-01
 5.600E+02, 1.002E+02, 5.458E-01
 5.700E+02, 1.013E+02, 6.476E-01
 5.801E+02, 9.952E+01, 6.477E-01
 5.900E+02, 1.016E+02, 6.096E-01
 6.000E+02, 1.013E+02, 6.477E-01
 6.100E+02, 1.013E+02, 5.830E-01
 6.200E+02, 1.017E+02, 5.533E-01
 6.300E+02, 1.016E+02, 5.460E-01
 6.400E+02, 1.007E+02, 5.314E-01
 6.500E+02, 1.014E+02, 5.505E-01
 6.600E+02, 1.024E+02, 5.933E-01
 6.700E+02, 9.966E+01, 5.964E-01
 6.801E+02, 9.893E+01, 5.681E-01
 6.900E+02, 1.006E+02, 5.621E-01
 7.000E+02, 9.967E+01, 5.691E-01
 7.101E+02, 1.028E+02, 5.698E-01
 7.200E+02, 1.021E+02, 5.392E-01
 7.301E+02, 1.038E+02, 5.728E-01
 7.400E+02, 1.035E+02, 6.500E-01
 7.500E+02, 1.044E+02, 6.458E-01
 7.600E+02, 1.074E+02, 5.731E-01
 7.701E+02, 1.061E+02, 5.698E-01
 7.800E+02, 1.042E+02, 6.491E-01
 7.901E+02, 1.032E+02, 6.650E-01
 8.000E+02, 1.051E+02, 5.850E-01
 8.100E+02, 1.053E+02, 5.862E-01
 8.201E+02, 1.042E+02, 6.319E-01
 8.300E+02, 1.055E+02, 5.906E-01
 8.401E+02, 1.060E+02, 5.672E-01
 8.500E+02, 1.040E+02, 6.471E-01
 8.600E+02, 1.038E+02, 6.610E-01
 8.701E+02, 1.059E+02, 6.457E-01
 8.801E+02, 1.060E+02, 6.483E-01
 8.901E+02, 1.069E+02, 6.338E-01
 9.000E+02, 1.043E+02, 6.235E-01
 9.100E+02, 1.060E+02, 6.150E-01
 9.200E+02, 1.052E+02, 6.622E-01
 9.301E+02, 1.054E+02, 6.005E-01
 9.401E+02, 1.060E+02, 5.708E-01
 9.501E+02, 1.062E+02, 6.360E-01
 9.600E+02, 1.057E+02, 6.784E-01
 9.700E+02, 1.076E+02, 7.074E-01
 9.801E+02, 1.073E+02, 6.932E-01
 9.901E+02, 1.055E+02, 6.602E-01
 1.000E+03, 1.032E+02, 5.973E-01
 1.010E+03, 1.045E+02, 5.723E-01
 1.020E+03, 1.019E+02, 5.435E-01
 1.030E+03, 1.037E+02, 5.468E-01
 1.040E+03, 1.072E+02, 5.946E-01
 1.050E+03, 1.085E+02, 6.467E-01
 1.060E+03, 1.056E+02, 6.745E-01
 1.070E+03, 1.030E+02, 6.928E-01
 1.080E+03, 1.045E+02, 5.678E-01
 1.090E+03, 1.058E+02, 5.111E-01
 1.100E+03, 1.069E+02, 5.351E-01
 1.110E+03, 1.079E+02, 6.031E-01
 1.120E+03, 1.056E+02, 6.205E-01
 1.130E+03, 1.076E+02, 6.502E-01
 1.140E+03, 1.075E+02, 6.910E-01
 1.150E+03, 1.032E+02, 6.686E-01
 1.160E+03, 1.021E+02, 6.265E-01
 1.170E+03, 1.052E+02, 5.345E-01
 1.180E+03, 1.051E+02, 4.470E-01
 1.190E+03, 1.052E+02, 5.146E-01
 1.200E+03, 1.030E+02, 6.016E-01
 1.210E+03, 1.042E+02, 6.470E-01
 1.220E+03, 1.072E+02, 6.590E-01
 1.230E+03, 1.066E+02, 6.448E-01
 1.240E+03, 1.062E+02, 5.854E-01
