m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 4.516E+01, 2.000E-02, 2.700E+01,-4.082E-06
 6.860E-02, 4.436E+01, 6.865E-02, 2.700E+01,-4.061E-06
 1.172E-01, 4.448E+01, 1.173E-01, 2.700E+01,-4.019E-06
 1.658E-01, 4.492E+01, 1.659E-01, 2.700E+01,-3.940E-06
 2.144E-01, 4.511E+01, 2.146E-01, 2.700E+01,-3.821E-06
 2.630E-01, 4.520E+01, 2.632E-01, 2.700E+01,-3.645E-06
 3.116E-01, 4.544E+01, 3.119E-01, 2.700E+01,-3.391E-06
 3.602E-01, 4.564E+01, 3.605E-01, 2.700E+01,-3.018E-06
 4.088E-01, 4.575E+01, 4.092E-01, 2.700E+01,-2.410E-06
 4.574E-01, 4.588E+01, 4.578E-01, 2.916E+01,-5.520E-01
 5.060E-01, 4.607E+01, 5.065E-01, 2.876E+01,-9.242E-01
 5.547E-01, 4.630E+01, 5.551E-01, 2.863E+01,-8.378E-01
 6.033E-01, 4.647E+01, 6.038E-01, 2.867E+01,-7.199E-01
 6.519E-01, 4.670E+01, 6.524E-01, 2.876E+01,-6.560E-01
 7.005E-01, 4.699E+01, 7.011E-01, 2.884E+01,-6.153E-01
 7.491E-01, 4.744E+01, 7.497E-01, 2.893E+01,-5.790E-01
 7.977E-01, 4.779E+01, 7.984E-01, 2.900E+01,-5.529E-01
 8.463E-01, 4.861E+01, 8.470E-01, 2.908E+01,-5.254E-01
 8.949E-01, 4.950E+01, 8.957E-01, 2.916E+01,-5.092E-01
 9.435E-01, 5.092E+01, 9.443E-01, 2.923E+01,-4.960E-01
 9.921E-01, 5.345E+01, 9.930E-01, 2.930E+01,-4.670E-01
 1.041E+00, 5.850E+01, 1.042E+00, 2.939E+01,-4.319E-01
 1.089E+00, 6.660E+01, 1.090E+00, 2.955E+01,-4.064E-01
 1.138E+00, 8.030E+01, 1.139E+00, 3.046E+01,-3.616E-01
 1.187E+00, 1.164E+02, 1.188E+00, 3.464E+01,-2.877E-01
 1.235E+00, 1.564E+02, 1.236E+00, 4.266E+01,-1.562E-01
 1.284E+00, 1.786E+02, 1.285E+00, 5.914E+01, 2.340E-01
 1.332E+00, 1.865E+02, 1.334E+00, 8.675E+01, 5.837E-01
 1.381E+00, 1.914E+02, 1.382E+00, 1.187E+02, 8.911E-01
 1.430E+00, 1.946E+02, 1.431E+00, 1.352E+02, 1.029E+00
 1.478E+00, 1.970E+02, 1.479E+00, 1.431E+02, 1.117E+00
 1.527E+00, 1.984E+02, 1.528E+00, 1.491E+02, 1.248E+00
 1.575E+00, 1.992E+02, 1.577E+00, 1.569E+02, 1.329E+00
 1.624E+00, 1.996E+02, 1.625E+00, 1.680E+02, 1.496E+00
 1.673E+00, 1.998E+02, 1.674E+00, 1.806E+02, 1.789E+00
 1.721E+00, 2.000E+02, 1.723E+00, 1.894E+02, 2.080E+00
 1.770E+00, 2.003E+02, 1.771E+00, 1.920E+02, 1.922E+00
 1.818E+00, 2.008E+02, 1.820E+00, 1.802E+02, 3.102E-01
 1.867E+00, 2.011E+02,NaN,NaN,NaN
 1.916E+00, 2.013E+02,NaN,NaN,NaN
 1.964E+00, 2.015E+02,NaN,NaN,NaN
 2.013E+00, 2.020E+02,NaN,NaN,NaN
 2.061E+00, 2.026E+02,NaN,NaN,NaN
 2.110E+00, 2.027E+02,NaN,NaN,NaN
