m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
-2.8000000E-001, 5.4599918E+003,-2.8000000E-001, 1.3884577E-004,-2.8000000E-001, 1.4512581E-004,-2.8000000E-001, 1.4890699E-004,-2.8000000E-001,-5.6248279E+000,-2.8000000E-001,-7.6735847E+000,-2.8000000E-001,-5.5930837E-005,-2.8000000E-001, 6.4095394E+005,-2.8000000E-001, 1.3345874E-004,-2.8000000E-001, 1.3504855E-004,-2.8000000E-001, 1.3594480E-004,-2.8000000E-001,-7.3594967E-001,-2.8000000E-001,-9.0203082E-001,-2.8000000E-001,-6.9448235E-004
-2.7050847E-001, 3.7062180E+003,-2.7050847E-001, 1.4116101E-004,-2.7050847E-001, 1.4684744E-004,-2.7050847E-001, 1.5027119E-004,-2.7050847E-001,-1.5464785E+000,-2.7050847E-001,-1.8843828E+000,-2.7050847E-001,-3.1078736E-005,-2.7050847E-001, 6.1915546E+005,-2.7050847E-001, 1.3608186E-004,-2.7050847E-001, 1.3689298E-004,-2.7050847E-001, 1.3738078E-004,-2.7050847E-001,-7.6449157E-001,-2.7050847E-001,-9.0671629E-001,-2.7050847E-001,-7.7203113E-004
-2.6101695E-001, 4.6609521E+004,-2.6101695E-001, 1.2416457E-004,-2.6101695E-001, 1.2554223E-004,-2.6101695E-001, 1.2651243E-004,-2.6101695E-001,-2.2597027E+000,-2.6101695E-001,-2.6124161E+000,-2.6101695E-001,-2.0545136E-004,-2.6101695E-001, 8.6583486E+005,-2.6101695E-001, 1.3311089E-004,-2.6101695E-001, 1.3431218E-004,-2.6101695E-001, 1.3501798E-004,-2.6101695E-001,-6.7534549E-001,-2.6101695E-001,-8.4596257E-001,-2.6101695E-001,-8.9283305E-004
-2.5152542E-001, 6.3666955E+004,-2.5152542E-001, 1.2376262E-004,-2.5152542E-001, 1.2568819E-004,-2.5152542E-001, 1.2698349E-004,-2.5152542E-001,-3.9171757E+000,-2.5152542E-001,-4.7049352E+000,-2.5152542E-001,-2.3595126E-004,-2.5152542E-001, 1.5568974E+006,-2.5152542E-001, 1.2990200E-004,-2.5152542E-001, 1.3105938E-004,-2.5152542E-001, 1.3172368E-004,-2.5152542E-001,-6.2722659E-001,-2.5152542E-001,-7.7445084E-001,-2.5152542E-001,-1.2885648E-003
-2.4203390E-001, 5.8569759E+004,-2.4203390E-001, 1.2531481E-004,-2.4203390E-001, 1.2828902E-004,-2.4203390E-001, 1.3018890E-004,-2.4203390E-001,-4.3099933E+000,-2.4203390E-001,-5.3775274E+000,-2.4203390E-001,-1.4335310E-004,-2.4203390E-001, 1.7659123E+006,-2.4203390E-001, 1.2929334E-004,-2.4203390E-001, 1.3062429E-004,-2.4203390E-001, 1.3137566E-004,-2.4203390E-001,-6.6895693E-001,-2.4203390E-001,-8.2820676E-001,-2.4203390E-001,-1.6277806E-003
-2.3254237E-001, 4.0784099E+005,-2.3254237E-001, 1.0598853E-004,-2.3254237E-001, 1.0876445E-004,-2.3254237E-001, 1.1057850E-004,-2.3254237E-001,-1.5300700E+000,-2.3254237E-001,-2.4481060E+000,-2.3254237E-001,-3.8284625E-004,-2.3254237E-001, 1.7480719E+006,-2.3254237E-001, 1.2592419E-004,-2.3254237E-001, 1.2792779E-004,-2.3254237E-001, 1.2902524E-004,-2.3254237E-001,-6.5142651E-001,-2.3254237E-001,-8.4750480E-001,-2.3254237E-001,-1.4043012E-003
-2.2305085E-001, 9.8097988E+005,-2.2305085E-001, 1.0281529E-004,-2.2305085E-001, 1.0432445E-004,-2.2305085E-001, 1.0533359E-004,-2.2305085E-001,-8.4070381E-001,-2.2305085E-001,-1.3157072E+000,-2.2305085E-001,-5.5985253E-004,-2.2305085E-001, 2.4641898E+006,-2.2305085E-001, 1.2534411E-004,-2.2305085E-001, 1.2675735E-004,-2.2305085E-001, 1.2753350E-004,-2.2305085E-001,-5.8310633E-001,-2.2305085E-001,-7.2726940E-001,-2.2305085E-001,-2.0459823E-003
-2.1355932E-001, 1.6980616E+006,-2.1355932E-001, 1.0336315E-004,-2.1355932E-001, 1.0461583E-004,-2.1355932E-001, 1.0548220E-004,-2.1355932E-001,-8.6264576E-001,-2.1355932E-001,-1.3104998E+000,-2.1355932E-001,-1.0757178E-003,-2.1355932E-001, 2.6251655E+006,-2.1355932E-001, 1.2684058E-004,-2.1355932E-001, 1.2792209E-004,-2.1355932E-001, 1.2854909E-004,-2.1355932E-001,-6.6359305E-001,-2.1355932E-001,-8.2864054E-001,-2.1355932E-001,-2.5397474E-003
-2.0406780E-001, 1.8540791E+006,-2.0406780E-001, 1.0378198E-004,-2.0406780E-001, 1.0497675E-004,-2.0406780E-001, 1.0586690E-004,-2.0406780E-001,-1.0910783E+000,-2.0406780E-001,-1.6865788E+000,-2.0406780E-001,-1.5065692E-003,-2.0406780E-001, 2.7191076E+006,-2.0406780E-001, 1.2571739E-004,-2.0406780E-001, 1.2694902E-004,-2.0406780E-001, 1.2766962E-004,-2.0406780E-001,-7.7461741E-001,-2.0406780E-001,-9.9581631E-001,-2.0406780E-001,-2.9809431E-003
