m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
-2.8000000E-001, 1.0322665E+004,-2.8000000E-001, 1.3728855E-004,-2.8000000E-001, 1.3889810E-004,-2.8000000E-001, 1.3979626E-004,-2.8000000E-001,-7.6198752E+000,-2.8000000E-001,-8.1398941E+000,-2.8000000E-001,-1.7491044E-004,-2.8000000E-001, 8.7369881E+005,-2.8000000E-001, 1.2600227E-004,-2.8000000E-001, 1.2749450E-004,-2.8000000E-001, 1.2838233E-004,-2.8000000E-001,-6.8237327E-001,-2.8000000E-001,-8.7883840E-001,-2.8000000E-001,-7.8935482E-004
-2.7050847E-001, 3.6766380E+004,-2.7050847E-001, 1.2192096E-004,-2.7050847E-001, 1.2443091E-004,-2.7050847E-001, 1.2603700E-004,-2.7050847E-001,-4.9155754E+000,-2.7050847E-001,-5.7895031E+000,-2.7050847E-001,-2.3268415E-004,-2.7050847E-001, 5.5495260E+005,-2.7050847E-001, 1.3055748E-004,-2.7050847E-001, 1.3202155E-004,-2.7050847E-001, 1.3290532E-004,-2.7050847E-001,-8.8842549E-001,-2.7050847E-001,-1.1410099E+000,-2.7050847E-001,-8.1816937E-004
-2.6101695E-001, 6.0333957E+004,-2.6101695E-001, 1.1989385E-004,-2.6101695E-001, 1.2352048E-004,-2.6101695E-001, 1.2584677E-004,-2.6101695E-001,-4.7901570E+000,-2.6101695E-001,-6.0303876E+000,-2.6101695E-001,-2.5210644E-004,-2.6101695E-001, 9.3067372E+005,-2.6101695E-001, 1.2734246E-004,-2.6101695E-001, 1.2881414E-004,-2.6101695E-001, 1.2969253E-004,-2.6101695E-001,-8.2170342E-001,-2.6101695E-001,-1.0320837E+000,-2.6101695E-001,-1.0312846E-003
-2.5152542E-001, 4.7085149E+005,-2.5152542E-001, 9.9930273E-005,-2.5152542E-001, 1.0214636E-004,-2.5152542E-001, 1.0391758E-004,-2.5152542E-001,-9.7097619E-001,-2.5152542E-001,-1.8939320E+000,-2.5152542E-001,-3.9483373E-004,-2.5152542E-001, 1.8906379E+006,-2.5152542E-001, 1.2233283E-004,-2.5152542E-001, 1.2377321E-004,-2.5152542E-001, 1.2465146E-004,-2.5152542E-001,-7.0932077E-001,-2.5152542E-001,-8.9347813E-001,-2.5152542E-001,-1.6559812E-003
-2.4203390E-001, 5.5035087E+005,-2.4203390E-001, 1.0100016E-004,-2.4203390E-001, 1.0324865E-004,-2.4203390E-001, 1.0491537E-004,-2.4203390E-001,-1.2209157E+000,-2.4203390E-001,-2.1207908E+000,-2.4203390E-001,-6.7413667E-004,-2.4203390E-001, 2.3413055E+006,-2.4203390E-001, 1.2108399E-004,-2.4203390E-001, 1.2256484E-004,-2.4203390E-001, 1.2344131E-004,-2.4203390E-001,-6.7236353E-001,-2.4203390E-001,-8.4883716E-001,-2.4203390E-001,-1.7782758E-003
-2.3254237E-001, 2.1772102E+006,-2.3254237E-001, 9.2632601E-005,-2.3254237E-001, 9.4043225E-005,-2.3254237E-001, 9.5160431E-005,-2.3254237E-001,-5.5910098E-001,-2.3254237E-001,-1.0058456E+000,-2.3254237E-001,-8.4964694E-004,-2.3254237E-001, 3.6933104E+006,-2.3254237E-001, 1.1718448E-004,-2.3254237E-001, 1.1864463E-004,-2.3254237E-001, 1.1953990E-004,-2.3254237E-001,-5.6429869E-001,-2.3254237E-001,-7.2832829E-001,-2.3254237E-001,-2.3839877E-003
-2.2305085E-001, 2.8150976E+006,-2.2305085E-001, 9.3523103E-005,-2.2305085E-001, 9.5012081E-005,-2.2305085E-001, 9.6128760E-005,-2.2305085E-001,-7.2717055E-001,-2.2305085E-001,-1.2331958E+000,-2.2305085E-001,-1.3761439E-003,-2.2305085E-001, 4.4952386E+006,-2.2305085E-001, 1.1569092E-004,-2.2305085E-001, 1.1697864E-004,-2.2305085E-001, 1.1780975E-004,-2.2305085E-001,-5.6649712E-001,-2.2305085E-001,-7.4496359E-001,-2.2305085E-001,-2.6804078E-003
-2.1355932E-001, 3.6335432E+006,-2.1355932E-001, 9.4191026E-005,-2.1355932E-001, 9.5951753E-005,-2.1355932E-001, 9.7203836E-005,-2.1355932E-001,-8.8080218E-001,-2.1355932E-001,-1.4460041E+000,-2.1355932E-001,-2.3773433E-003,-2.1355932E-001, 4.5114397E+006,-2.1355932E-001, 1.1671994E-004,-2.1355932E-001, 1.1818942E-004,-2.1355932E-001, 1.1908529E-004,-2.1355932E-001,-4.3912139E-001,-2.1355932E-001,-8.2312675E-001,-2.1355932E-001,-3.3943895E-003
-2.0406780E-001, 2.9983174E+006,-2.0406780E-001, 9.5209636E-005,-2.0406780E-001, 9.7475869E-005,-2.0406780E-001, 9.9125626E-005,-2.0406780E-001,-1.1035905E+000,-2.0406780E-001,-1.8450279E+000,-2.0406780E-001,-2.6989572E-003,-2.0406780E-001, 6.0386040E+006,-2.0406780E-001, 1.1592216E-004,-2.0406780E-001, 1.1749179E-004,-2.0406780E-001, 1.1839619E-004,-2.0406780E-001,-5.7517553E-001,-2.0406780E-001,-7.8407538E-001,-2.0406780E-001,-4.4593667E-003
-1.9457627E-001, 4.0065243E+006,-1.9457627E-001, 9.4589282E-005,-1.9457627E-001, 9.6155022E-005,-1.9457627E-001, 9.7358923E-005,-1.9457627E-001,-1.0369424E+000,-1.9457627E-001,-1.6485014E+000,-1.9457627E-001,-3.0199558E-003,-1.9457627E-001, 8.3080158E+006,-1.9457627E-001, 1.1219761E-004,-1.9457627E-001, 1.1409543E-004,-1.9457627E-001, 1.1517381E-004,-1.9457627E-001,-4.0000690E-001,-1.9457627E-001,-7.4487438E-001,-1.9457627E-001,-5.1701421E-003
-1.8508475E-001, 7.7143733E+006,-1.8508475E-001, 9.0376589E-005,-1.8508475E-001, 9.2126850E-005,-1.8508475E-001, 9.3410140E-005,-1.8508475E-001,-8.0561989E-001,-1.8508475E-001,-1.3514531E+000,-1.8508475E-001,-3.7874968E-003,-1.8508475E-001, 2.4894738E+007,-1.8508475E-001, 6.6605986E-005,-1.8508475E-001, 1.0800355E-004,-1.8508475E-001, 1.1177424E-004,-1.8508475E-001,-3.4614823E-001,-1.8508475E-001,-7.4682306E-001,-1.8508475E-001,-6.9661629E-003
-1.7559322E-001, 1.1312294E+007,-1.7559322E-001, 8.9947237E-005,-1.7559322E-001, 9.1674261E-005,-1.7559322E-001, 9.2961335E-005,-1.7559322E-001,-6.1975955E-001,-1.7559322E-001,-1.4480434E+000,-1.7559322E-001,-6.3436636E-003,-1.7559322E-001, 3.0296066E+007,-1.7559322E-001, 6.4011925E-005,-1.7559322E-001, 1.0617096E-004,-1.7559322E-001, 1.1016203E-004,-1.7559322E-001,-3.8629883E-001,-1.7559322E-001,-7.8996636E-001,-1.7559322E-001,-7.8930905E-003
-1.6610169E-001, 1.2830187E+007,-1.6610169E-001, 9.0021023E-005,-1.6610169E-001, 9.1712789E-005,-1.6610169E-001, 9.2976040E-005,-1.6610169E-001,-6.9527033E-001,-1.6610169E-001,-1.5760632E+000,-1.6610169E-001,-8.3072524E-003,-1.6610169E-001, 2.4059664E+007,-1.6610169E-001, 7.8585621E-005,-1.6610169E-001, 1.0622615E-004,-1.6610169E-001, 1.0856389E-004,-1.6610169E-001,-5.0763749E-001,-1.6610169E-001,-8.3683483E-001,-1.6610169E-001,-8.0320842E-003
-1.5661017E-001, 1.8823574E+007,-1.5661017E-001, 8.7893590E-005,-1.5661017E-001, 8.9561495E-005,-1.5661017E-001, 9.0821225E-005,-1.5661017E-001,-1.0103156E+000,-1.5661017E-001,-1.6362008E+000,-1.5661017E-001,-1.0658178E-002,-1.5661017E-001, 2.0332132E+007,-1.5661017E-001, 1.0261073E-004,-1.5661017E-001, 1.0464704E-004,-1.5661017E-001, 1.0580158E-004,-1.5661017E-001,-6.3253481E-001,-1.5661017E-001,-8.2017499E-001,-1.5661017E-001,-9.1510470E-003
